gisco_id,name,registered,turnout,invalid,blank,PPP,LPR,PiS,PO,PSL,SRP,MN,LiD,IF,SP (2006)
PL_0201011,Bolesławiec,33759,18625,277,0,164,217,4627,8832,655,177,0,3676,0,0
PL_0201022,Bolesławiec,9885,4510,123,0,34,50,1291,1827,455,118,0,612,0,0
PL_0201032,Gromadka,4377,2048,63,0,17,27,617,707,290,53,0,274,0,0
PL_0201043,Nowogrodziec,11576,4681,168,0,63,67,1521,1814,479,106,0,463,0,0
PL_0201052,Osiecznica,5201,2308,89,0,32,28,531,996,140,50,0,442,0,0
PL_0201062,Warta Bolesławiecka,6285,2716,88,0,27,30,719,1326,157,62,0,307,0,0
PL_0202011,Bielawa,26459,12764,221,0,174,101,3193,5912,392,136,0,2635,0,0
PL_0202021,Dzierżoniów,29680,15871,272,0,163,124,4054,7879,555,179,0,2645,0,0
PL_0202031,Pieszyce,7801,3514,96,0,40,31,1011,1565,151,84,0,536,0,0
PL_0202041,Piława Górna,5331,2443,89,0,48,44,696,1033,109,53,0,371,0,0
PL_0202052,Dzierżoniów,7756,3600,98,0,40,67,1128,1263,352,116,0,536,0,0
PL_0202062,Łagiewniki,6058,2655,88,0,47,47,834,925,318,102,0,294,0,0
PL_0202073,Niemcza,4946,2246,62,0,27,38,749,794,95,44,0,437,0,0
PL_0203011,Głogów,56980,32524,595,0,277,346,9753,12774,1246,432,0,7101,0,0
PL_0203022,Głogów,4291,2205,64,0,34,22,792,724,167,67,0,335,0,0
PL_0203032,Jerzmanowa,2583,1273,34,0,11,14,366,450,141,54,0,203,0,0
PL_0203042,Kotla,3187,1326,61,0,19,20,407,434,117,71,0,197,0,0
PL_0203052,Pącław,1791,805,28,0,2,8,276,285,94,28,0,84,0,0
PL_0203062,Żukowice,2741,1104,36,0,11,12,328,321,164,84,0,148,0,0
PL_0204013,Góra,16425,7265,191,0,72,83,1835,3115,941,213,0,815,0,0
PL_0204022,Jemielno,2474,955,30,0,15,36,252,243,217,54,0,108,0,0
PL_0204032,Niechlów,3909,1575,102,0,21,24,391,369,462,65,0,141,0,0
PL_0204043,Wąsosz,5843,2262,71,0,46,23,614,816,295,102,0,295,0,0
PL_0205011,Jawor,20254,10356,193,0,74,130,3644,4397,368,102,0,1448,0,0
PL_0205023,Bolków,8958,3877,123,0,76,63,1022,1339,394,102,0,758,0,0
PL_0205032,Mącinka,3775,1599,60,0,17,23,693,402,216,37,0,151,0,0
PL_0205042,Mściwojów,3270,1529,51,0,17,18,590,411,218,56,0,168,0,0
PL_0205052,Paszowice,3105,1291,38,0,14,20,514,395,170,27,0,113,0,0
PL_0205062,Wądroże Wielkie,3210,1231,31,0,16,15,286,331,335,56,0,161,0,0
PL_0206011,Karpacz,4419,2442,56,0,21,23,451,1377,71,15,0,428,0,0
PL_0206021,Kowary,9850,4847,154,0,60,43,1016,2338,177,51,0,1008,0,0
PL_0206031,Piechowice,5485,2966,65,0,22,15,666,1557,171,37,0,433,0,0
PL_0206041,Szklarska Porąba,6060,3269,62,0,36,32,764,1717,126,34,0,498,0,0
PL_0206052,Janowice Wielkie,3511,1703,60,0,22,18,371,774,131,21,0,306,0,0
PL_0206062,Jeżów Sudecki,4986,2484,63,0,50,26,567,1207,151,23,0,397,0,0
PL_0206072,Mysłakowice,8024,3928,112,0,35,55,876,1848,333,32,0,637,0,0
PL_0206082,Podgórzyn,6468,3211,76,0,33,21,633,1621,195,42,0,590,0,0
PL_0206092,Stara Kamienica,4123,1851,50,0,19,20,402,840,240,24,0,256,0,0
PL_0207011,Kamienna Góra,17742,8790,159,0,83,66,2418,4138,287,66,0,1573,0,0
PL_0207022,Kamienna Góra,6718,3118,110,0,32,25,864,1268,300,49,0,470,0,0
PL_0207033,Lubawka,9480,4538,112,0,91,48,1044,2116,249,75,0,803,0,0
PL_0207042,Marciszów,3782,1594,48,0,19,19,378,647,246,43,0,194,0,0
PL_0208011,Duszniki-Zdrój,4394,2199,53,0,19,16,569,1045,154,21,0,322,0,0
PL_0208021,Kłodzko,24544,12923,255,0,80,154,3202,6485,1341,118,0,1288,0,0
PL_0208031,Kudowa-Zdrój,8581,4329,103,0,56,48,1344,1699,452,31,0,596,0,0
PL_0208041,Nowa Ruda,20505,9612,223,0,121,94,2157,4845,438,191,0,1543,0,0
PL_0208051,Polanica-Zdrój,5875,3099,142,0,34,34,866,1495,208,42,0,278,0,0
PL_0208063,Bystrzyca Kłodzka,16650,7798,210,0,69,89,2238,3212,1037,148,0,795,0,0
PL_0208072,Kłodzko,13827,6448,218,0,39,69,1417,1870,2374,79,0,382,0,0
PL_0208083,Lądek-Zdrój,7784,3694,83,0,43,57,919,1713,382,40,0,457,0,0
PL_0208092,Lewin Kłodzki,1635,670,23,0,7,6,215,261,79,13,0,66,0,0
PL_0208103,Miądzylesie,6228,2735,95,0,39,26,578,1159,410,84,0,344,0,0
PL_0208112,Nowa Ruda,10119,4415,112,0,59,42,998,1933,458,195,0,618,0,0
PL_0208123,Radków,7627,3266,87,0,35,54,958,1273,486,68,0,305,0,0
PL_0208133,Stronie Śląskie,6233,2935,84,0,48,54,552,1405,342,31,0,419,0,0
PL_0208143,Szczytna,6020,2581,71,0,28,23,587,1316,286,28,0,242,0,0
PL_0209011,Chojnów,11786,5788,119,0,90,72,1663,2560,309,79,0,896,0,0
PL_0209022,Chojnów,7359,3180,81,0,38,59,918,905,766,113,0,300,0,0
PL_0209032,Krotoszyce,2363,1095,19,0,12,12,368,251,311,24,0,98,0,0
PL_0209042,Kunice,4097,2239,64,0,12,12,480,1156,334,30,0,151,0,0
PL_0209052,Legnickie Pole,3893,1853,76,0,28,23,563,603,247,68,0,245,0,0
PL_0209062,Miłkowice,4903,2362,101,0,37,34,701,880,234,38,0,337,0,0
PL_0209073,Prochowice,5927,3078,100,0,27,15,768,1092,765,39,0,272,0,0
PL_0209082,Ruja,2144,761,38,0,6,11,221,214,135,25,0,111,0,0
PL_0210011,Lubań,18741,9686,178,0,89,78,2497,4228,509,115,0,1992,0,0
PL_0210021,Świeradów-Zdrój,3874,1874,27,0,15,46,457,858,112,26,0,333,0,0
PL_0210033,Leśna,8480,3720,113,0,43,35,934,1440,404,73,0,678,0,0
PL_0210042,Lubań,5061,2208,66,0,25,22,479,683,577,51,0,305,0,0
PL_0210052,Olszyna,5447,2466,66,0,36,20,485,934,313,21,0,591,0,0
PL_0210062,Platerówka,1308,593,24,0,8,9,223,188,65,9,0,67,0,0
PL_0210072,Siekierczyn,4051,1958,46,0,22,20,534,746,156,50,0,384,0,0
PL_0211011,Lubin,62855,36416,603,0,237,290,12801,13671,1487,289,0,7038,0,0
PL_0211022,Lubin,9068,4573,104,0,34,39,1445,1696,452,80,0,723,0,0
PL_0211032,Rudna,5682,2732,104,0,22,22,980,768,229,90,0,517,0,0
PL_0211043,Ścinawa,8440,4032,97,0,42,36,1600,1221,427,85,0,524,0,0
PL_0212013,Gryfów Śląski,8332,3841,108,0,32,39,870,1435,661,77,0,619,0,0
PL_0212023,Lubomierz,4922,2146,94,0,22,21,466,790,484,27,0,242,0,0
PL_0212033,Lwówek Śląski,14340,6810,203,0,65,109,1776,3015,547,94,0,1001,0,0
PL_0212043,Mirsk,7374,3106,101,0,37,60,821,1179,413,47,0,448,0,0
PL_0212053,Wleń,3768,1741,60,0,18,18,409,746,197,34,0,259,0,0
PL_0213012,Cieszków,3679,1730,41,0,21,25,388,398,658,35,0,164,0,0
PL_0213022,Krośnice,6323,2693,134,0,30,44,764,889,306,99,0,427,0,0
PL_0213033,Milicz,19085,10102,441,0,118,227,2398,4049,1373,226,0,1270,0,0
PL_0214011,Oleśnica,30103,17284,221,0,190,123,5022,8346,606,283,0,2493,0,0
PL_0214023,Bierutów,8131,3561,103,0,35,50,1108,1278,618,77,0,292,0,0
PL_0214032,Dobroszyce,4717,2011,47,0,15,12,662,935,122,60,0,158,0,0
PL_0214042,Dziadowa Kłoda,3529,1358,41,0,18,14,295,427,345,58,0,160,0,0
PL_0214053,Miądzybórz,3853,1712,34,0,21,22,328,674,395,64,0,174,0,0
PL_0214062,Oleśnica,8877,3547,78,0,36,40,1155,1326,419,186,0,307,0,0
PL_0214073,Syców,12881,6546,154,0,55,70,1902,2730,924,90,0,621,0,0
PL_0214083,Twardogóra,10196,4597,93,0,49,68,1223,2123,287,104,0,650,0,0
PL_0215011,Oława,25419,14778,260,0,142,159,4366,7386,615,134,0,1716,0,0
PL_0215022,Domaniów,4085,1868,72,0,25,35,588,560,375,63,0,150,0,0
PL_0215033,Jelcz-Laskowice,17344,8934,163,0,69,104,3165,3958,527,109,0,839,0,0
PL_0215042,Oława,10734,5247,171,0,60,73,1786,2104,588,118,0,347,0,0
PL_0216013,Chocianów,10069,5248,111,0,60,60,2235,1544,283,223,0,732,0,0
PL_0216022,Gaworzyce,2935,1450,43,0,24,18,461,389,156,104,0,255,0,0
PL_0216032,Grąbocice,4037,1706,60,0,24,13,604,400,177,88,0,340,0,0
PL_0216043,Polkowice,20210,10711,253,0,77,90,3887,3599,412,143,0,2250,0,0
PL_0216053,Przemków,7085,3079,96,0,36,42,1087,911,319,70,0,518,0,0
PL_0216062,Radwanice,3474,1569,42,0,20,15,424,413,311,81,0,263,0,0
PL_0217012,Borów,4180,2119,53,0,13,14,1047,570,255,31,0,136,0,0
PL_0217022,Kondratowice,3764,1532,40,0,21,20,444,668,137,56,0,146,0,0
PL_0217032,Przeworno,4170,1682,51,0,22,27,554,627,205,66,0,130,0,0
PL_0217043,Strzelin,18421,9382,166,0,169,89,2561,4870,449,111,0,967,0,0
PL_0217053,Wiązów,5962,2426,65,0,19,43,1031,817,216,80,0,155,0,0
PL_0218012,Kostomłoty,5569,2328,88,0,22,33,743,682,268,56,0,436,0,0
PL_0218022,Malczyce,4737,2142,53,0,45,42,633,905,165,46,0,253,0,0
PL_0218032,Miąkinia,9545,4472,103,0,32,67,1401,2261,234,53,0,321,0,0
PL_0218043,Środa Śląska,15283,7174,131,0,88,79,1948,3477,452,99,0,900,0,0
PL_0218052,Udanin,4504,1773,43,0,28,23,559,593,225,57,0,245,0,0
PL_0219011,Świdnica,50086,28518,436,0,332,336,7522,14472,1111,263,0,4046,0,0
PL_0219021,Świebodzice,18978,9407,251,0,125,92,2693,4311,322,133,0,1480,0,0
PL_0219032,Dobromierz,4366,1776,52,0,34,19,656,574,197,45,0,199,0,0
PL_0219043,Jaworzyna Śląska,8300,3726,110,0,72,40,1272,1521,240,60,0,411,0,0
PL_0219052,Marcinowice,5060,2340,68,0,28,20,754,768,461,45,0,196,0,0
PL_0219063,Strzegom,22206,10387,229,0,142,107,3024,4540,654,230,0,1461,0,0
PL_0219072,Świdnica,12395,5606,168,0,66,77,1589,2292,588,111,0,715,0,0
PL_0219083,Żarów,10023,4784,113,0,67,44,1363,2306,279,71,0,541,0,0
