gisco_id,name,registered,turnout,invalid,blank,PiS,PJN,SLD,Ruch PL,PSL,PPP,PO,Samoobrona,NP (2011),PR (2007),MN
PL_502010101,Bolesławiec,32669,15923,622,0,3496,276,1815,1867,432,79,7336,0,0,0,0
PL_502010102,Bolesławiec,10560,4214,253,0,1043,68,368,464,359,27,1632,0,0,0,0
PL_502010103,Gromadka,4480,1775,147,0,513,21,158,182,169,8,577,0,0,0,0
PL_502010104,Nowogrodziec,11907,3910,288,0,1048,70,299,425,430,25,1325,0,0,0,0
PL_502010105,Osiecznica,5283,2022,160,0,416,38,234,287,126,10,751,0,0,0,0
PL_502010106,Warta Bolesławiecka,6557,2394,173,0,609,44,245,253,163,12,895,0,0,0,0
PL_502030201,Bielawa,26107,11154,602,0,2484,429,914,1623,213,88,4801,0,0,0,0
PL_502030202,Dzierżoniów,28756,13820,567,0,3167,349,1101,1951,310,88,6287,0,0,0,0
PL_502030203,Pieszyce,7781,3092,174,0,812,65,209,403,121,18,1290,0,0,0,0
PL_502030204,Piława Górna,5386,2079,149,0,695,28,138,283,84,13,689,0,0,0,0
PL_502030205,Dzierżoniów,7732,3110,202,0,899,63,196,402,281,40,1027,0,0,0,0
PL_502030206,Łagiewniki,6177,2336,157,0,651,56,170,281,194,31,796,0,0,0,0
PL_502030207,Niemcza,4844,1897,108,0,476,99,137,276,98,17,686,0,0,0,0
PL_502020301,Głogów,55592,28487,1438,0,8540,596,4108,2820,634,175,10176,0,0,0,0
PL_502020302,Głogów,4872,2342,157,0,775,54,247,242,133,21,713,0,0,0,0
PL_502020303,Jerzmanowa,3101,1582,97,0,466,27,246,143,100,6,497,0,0,0,0
PL_502020304,Kotla,3314,1208,116,0,337,22,142,108,66,9,408,0,0,0,0
PL_502020305,Pęcław,1789,661,57,0,202,11,55,57,63,6,210,0,0,0,0
PL_502020306,Żukowice,2783,1050,68,0,297,16,92,152,139,9,277,0,0,0,0
PL_502020401,Góra,16498,6135,389,0,1405,78,431,595,597,28,2551,0,61,0,0
PL_502020402,Jemielno,2525,788,65,0,219,12,60,68,126,7,220,0,11,0,0
PL_502020403,Niechlów,4002,1259,140,0,350,18,99,118,175,11,338,0,10,0,0
PL_502020404,Wąsosz,5910,1989,155,0,516,27,123,222,264,7,659,0,16,0,0
PL_502010501,Jawor,20097,9059,401,0,2865,135,872,889,240,58,3599,0,0,0,0
PL_502010502,Bolków,8940,3472,211,0,796,44,666,345,273,17,1120,0,0,0,0
PL_502010503,Męcinka,3857,1364,65,0,563,14,111,107,122,8,374,0,0,0,0
PL_502010504,Mściwojów,3291,1342,110,0,345,17,122,137,148,14,449,0,0,0,0
PL_502010505,Paszowice,3195,1165,90,0,389,11,103,98,121,7,346,0,0,0,0
PL_502010506,Wądroże Wielkie,3232,1222,81,0,284,10,103,143,197,4,400,0,0,0,0
PL_502010601,Karpacz,4429,2203,97,0,321,28,326,243,65,8,1115,0,0,0,0
PL_502010602,Kowary,9642,4272,260,0,741,58,864,521,118,29,1681,0,0,0,0
PL_502010603,Piechowice,5353,2494,114,0,552,29,285,325,103,14,1072,0,0,0,0
PL_502010604,Szklarska Poręba,5860,2741,101,0,588,40,298,332,88,15,1279,0,0,0,0
PL_502010605,Janowice Wielkie,3596,1478,127,0,296,9,131,153,66,9,687,0,0,0,0
PL_502010606,Jeżów Sudecki,5409,2449,125,0,432,29,301,288,156,28,1090,0,0,0,0
PL_502010607,Mysłakowice,8164,3487,189,0,678,46,666,365,184,17,1342,0,0,0,0
PL_502010608,Podgórzyn,6569,2822,136,0,471,42,437,329,142,9,1256,0,0,0,0
PL_502010609,Stara Kamienica,4243,1651,126,0,322,22,182,221,134,11,633,0,0,0,0
PL_502010701,Kamienna Góra,17045,7728,418,0,1940,85,795,937,173,27,3353,0,0,0,0
PL_502010702,Kamienna Góra,6909,2980,178,0,780,49,218,338,187,22,1208,0,0,0,0
PL_502010703,Lubawka,9349,4199,228,0,783,41,791,653,131,23,1549,0,0,0,0
PL_502010704,Marciszów,3730,1457,99,0,250,16,130,144,346,7,465,0,0,0,0
PL_502030801,Duszniki-Zdrój,4358,1973,77,0,430,34,156,257,83,4,932,0,0,0,0
PL_502030802,Kłodzko,23475,11298,483,0,2447,113,830,1245,1005,37,5138,0,0,0,0
PL_502030803,Kudowa-Zdrój,8734,4192,199,0,1254,63,287,415,165,35,1774,0,0,0,0
PL_502030804,Nowa Ruda,19832,8451,429,0,1626,101,566,824,251,58,4596,0,0,0,0
PL_502030805,Polanica-Zdrój,6013,3066,189,0,784,45,299,284,143,10,1312,0,0,0,0
PL_502030806,Bystrzyca Kłodzka,16279,6633,385,0,1636,107,416,641,683,53,2712,0,0,0,0
PL_502030807,Kłodzko,13869,5752,402,0,1112,63,290,488,1859,34,1504,0,0,0,0
PL_502030808,Lądek-Zdrój,7578,3282,197,0,717,42,230,338,254,17,1487,0,0,0,0
PL_502030809,Lewin Kłodzki,1631,564,22,0,200,8,30,57,58,3,186,0,0,0,0
PL_502030810,Międzylesie,6202,2358,145,0,456,44,214,325,205,19,950,0,0,0,0
PL_502030811,Nowa Ruda,10008,3885,248,0,803,51,278,360,362,26,1757,0,0,0,0
PL_502030812,Radków,7620,2893,183,0,754,43,148,243,382,21,1119,0,0,0,0
PL_502030813,Stronie Śląskie,6214,2474,166,0,419,39,266,281,129,20,1154,0,0,0,0
PL_502030814,Szczytna,6023,2279,126,0,469,34,218,262,172,19,979,0,0,0,0
PL_502020901,Chojnów,11545,4711,228,0,1246,74,523,561,149,43,1887,0,0,0,0
