gisco_id,name,registered,turnout,invalid,blank,PiS,PO,Razem,NN,PSL,ZL,K’15,.N,JOW,SPP,RS RP,ZdŚ,Samoobrona,SB!,KNP,MN,OdP
PL_502010101,Bolesławiec,31388,15365,360,0,4579,4416,520,969,425,1751,1154,1191,0,0,0,0,0,0,0,0,0
PL_502010102,Bolesławiec,10953,4715,154,0,1591,1090,140,292,227,338,502,381,0,0,0,0,0,0,0,0,0
PL_502010103,Gromadka,4509,1866,107,0,796,382,60,48,98,149,164,62,0,0,0,0,0,0,0,0,0
PL_502010104,Nowogrodziec,11915,4252,221,0,1595,834,153,245,208,227,531,238,0,0,0,0,0,0,0,0,0
PL_502010105,Osiecznica,5456,2136,98,0,609,512,90,149,102,197,246,133,0,0,0,0,0,0,0,0,0
PL_502010106,Warta Bolesławiecka,6705,2564,87,0,962,584,90,119,110,203,277,132,0,0,0,0,0,0,0,0,0
PL_502030201,Bielawa,25042,10978,353,0,3393,2857,421,457,99,1620,915,726,137,0,0,0,0,0,0,0,0
PL_502030202,Dzierżoniów,27607,13619,361,0,4186,4426,447,498,158,1244,1075,1114,110,0,0,0,0,0,0,0,0
PL_502030203,Pieszyce,7670,3183,128,0,1119,864,95,149,214,205,226,157,26,0,0,0,0,0,0,0,0
PL_502030204,Piława Górna,5279,2161,80,0,779,485,98,108,41,135,215,207,13,0,0,0,0,0,0,0,0
PL_502030205,Dzierżoniów,7666,3356,153,0,1230,812,113,118,98,201,405,194,32,0,0,0,0,0,0,0,0
PL_502030206,Łagiewniki,6085,2513,109,0,1002,562,88,102,100,152,238,137,23,0,0,0,0,0,0,0,0
PL_502030207,Niemcza,4750,1936,77,0,625,492,55,79,111,155,190,144,8,0,0,0,0,0,0,0,0
PL_502020301,Głogów,53869,27822,666,0,10653,7307,979,876,369,3101,2121,1750,0,0,0,0,0,0,0,0,0
PL_502020302,Głogów,5190,2639,113,0,1082,564,110,110,70,205,199,186,0,0,0,0,0,0,0,0,0
PL_502020303,Jerzmanowa,3563,1933,62,0,733,399,76,92,77,190,155,149,0,0,0,0,0,0,0,0,0
PL_502020304,Kotla,3410,1358,63,0,580,294,56,30,44,119,106,66,0,0,0,0,0,0,0,0,0
PL_502020305,Pęcław,1779,749,41,0,341,123,19,18,94,38,61,14,0,0,0,0,0,0,0,0,0
PL_502020306,Żukowice,2768,1147,50,0,444,267,30,35,53,86,139,43,0,0,0,0,0,0,0,0,0
PL_502020401,Góra,16082,6466,222,0,1981,2270,196,198,403,343,538,262,0,46,0,0,0,7,0,0,0
PL_502020402,Jemielno,2479,851,37,0,293,155,11,21,172,51,78,26,0,7,0,0,0,0,0,0,0
PL_502020403,Niechlów,3936,1325,72,0,492,261,51,61,160,62,106,49,0,8,0,0,0,3,0,0,0
PL_502020404,Wąsosz,5865,2126,102,0,706,472,72,71,195,144,241,109,0,10,0,0,0,4,0,0,0
PL_502010501,Jawor,19624,9136,205,0,3487,2014,300,416,260,819,1014,621,0,0,0,0,0,0,0,0,0
