gisco_id,name,registered,turnout,invalid,blank,KE,Razem,POLEXIT,JN,PiS,RPE,Wiosna,Konf,K’15,PO
PL_1007141286501,Warszawa,1346633,842309,3537,0,419607,16599,0,0,233422,0,89734,37261,27179,14680
PL_1003021010101,Bolesławiec,30273,13638,90,0,6408,154,0,0,4875,0,892,725,494,0
PL_1003021010102,Bolesławiec,11166,4397,31,0,1536,46,0,0,2060,0,237,271,216,0
PL_1003021010103,Gromadka,4376,1612,32,0,454,17,0,0,881,0,76,91,61,0
PL_1003021010104,Nowogrodziec,11854,3923,61,0,980,53,0,0,2236,0,197,225,171,0
PL_1003021010105,Osiecznica,5369,1856,36,0,614,44,0,0,797,0,131,135,99,0
PL_1003021010106,Warta Bolesławiecka,6725,2338,20,0,709,33,0,0,1201,0,140,131,103,0
PL_1003021030201,Bielawa,24226,9668,71,0,3975,125,0,0,4027,0,657,460,353,0
PL_1003021030202,Dzierżoniów,26216,11989,100,0,5261,145,0,0,4660,0,834,592,397,0
PL_1003021030203,Pieszyce,7572,2858,27,0,1004,36,0,0,1323,0,205,165,98,0
PL_1003021030204,Piława Górna,5039,1875,11,0,585,29,0,0,940,0,117,127,66,0
PL_1003021030205,Dzierżoniów,7454,3004,45,0,891,38,0,0,1604,0,172,119,135,0
PL_1003021030206,Łagiewniki,6018,2259,22,0,616,21,0,0,1283,0,103,116,98,0
PL_1003021030207,Niemcza,4482,1555,19,0,552,23,0,0,766,0,82,63,50,0
PL_1003021020301,Głogów,52081,23838,162,0,9926,340,0,0,9984,0,1462,1014,945,0
PL_1003021020302,Głogów,5325,2342,18,0,794,29,0,0,1138,0,150,98,115,0
PL_1003021020303,Jerzmanowa,3885,1791,11,0,697,28,0,0,773,0,118,88,76,0
PL_1003021020304,Kotla,3412,1195,19,0,310,20,0,0,662,0,81,47,56,0
PL_1003021020305,Pęcław,1745,630,18,0,128,12,0,0,417,0,12,23,20,0
PL_1003021020306,Żukowice,2707,954,17,0,259,13,0,0,496,0,61,58,50,0
PL_1003021020401,Góra,15662,5400,49,0,2020,68,0,0,2548,0,306,211,198,0
PL_1003021020402,Jemielno,2426,762,10,0,199,10,0,0,443,0,36,37,27,0
