gisco_id,name,registered,turnout,invalid,blank,PPD/PSD,PS,CDS-PP,B.E.,PND,CDU,PCTP/MRPP,E,PH,POUS,PDA
PT_010101,Agadão,523,318,2,3,184,71,49,3,3,2,1,0,0,0,0
PT_010102,Aguada De Baixo,1486,883,12,21,369,255,171,23,15,11,4,1,1,0,0
PT_010103,Aguada De Cima,3359,1981,19,54,851,716,222,56,8,34,13,4,4,0,0
PT_010104,Águeda,10081,6354,60,140,1981,2870,557,346,44,290,45,12,9,0,0
PT_010105,Barrô,1463,926,8,22,369,392,73,29,8,20,1,2,2,0,0
PT_010106,Belazaima Do Chão,521,378,7,10,129,198,17,8,1,4,3,1,0,0,0
PT_010107,Castanheira Do Vouga,624,439,3,8,228,138,45,2,3,7,1,0,4,0,0
PT_010108,Espinhel,2439,1559,11,25,461,742,147,88,11,53,14,4,3,0,0
PT_010109,Fermentelos,2474,1775,13,30,1037,260,357,35,5,27,3,1,7,0,0
PT_010110,Lamas Do Vouga,703,463,1,10,162,215,30,23,1,12,6,1,2,0,0
PT_010111,Macieira De Alcoba,139,98,1,3,46,27,12,5,0,2,1,0,1,0,0
PT_010112,Macinhata Do Vouga,2945,1731,13,15,558,752,199,76,17,81,12,3,5,0,0
PT_010113,Óis Da Ribeira,624,488,2,17,179,185,69,22,1,8,2,0,3,0,0
PT_010114,Préstimo,899,498,5,13,221,136,78,12,6,21,3,2,1,0,0
PT_010115,Recardães,2527,1774,8,29,544,835,150,112,13,69,9,3,2,0,0
PT_010116,Segadães,739,500,4,5,155,206,81,21,7,12,8,0,1,0,0
PT_010117,Travassô,1493,960,7,17,346,356,152,47,5,20,7,0,3,0,0
PT_010118,Trofa,2411,1651,11,32,548,706,137,101,9,89,12,4,2,0,0
PT_010119,Valongo Do Vouga,4213,2577,21,59,844,1144,195,108,16,144,32,6,8,0,0
PT_010120,Borralha,1882,1269,7,24,367,618,119,64,16,40,11,3,0,0,0
PT_010201,Albergaria-a-Velha,6117,3872,37,76,1440,1329,593,216,36,109,18,9,9,0,0
PT_010202,Alquerubim,1981,1180,16,12,504,414,156,38,13,19,7,0,1,0,0
PT_010203,Angeja,1929,1237,12,21,366,519,153,59,6,80,16,3,2,0,0
PT_010204,Branca,4150,2754,21,51,1271,883,333,84,34,44,17,7,9,0,0
PT_010205,Frossos,806,544,6,14,168,176,134,19,3,22,2,0,0,0,0
PT_010206,Ribeira De Fráguas,1533,1037,12,19,405,326,186,54,9,16,5,2,3,0,0
PT_010207,São João De Loure,1766,1203,12,19,555,309,219,33,14,24,8,5,5,0,0
PT_010208,Valmaior,1699,1128,9,19,448,423,140,43,8,30,3,0,5,0,0
PT_010301,Amoreira Da Gândara,1135,691,5,13,325,189,124,16,10,3,2,1,3,0,0
PT_010302,Ancas,721,470,8,10,204,155,61,17,8,5,1,0,1,0,0
PT_010303,Arcos,4397,2849,20,74,991,1132,285,175,18,129,15,4,6,0,0
PT_010304,Avelãs De Caminho,1092,670,7,15,277,259,67,22,2,12,5,1,3,0,0
PT_010305,Avelãs De Cima,1987,1274,15,34,723,283,159,35,7,14,3,0,1,0,0
PT_010306,Mogofores,955,620,7,21,190,273,64,43,3,15,2,1,1,0,0
PT_010307,Moita,2267,1395,10,24,649,447,157,61,9,27,7,1,3,0,0
PT_010308,Óis Do Bairro,434,291,2,9,124,114,26,13,1,1,1,0,0,0,0
PT_010309,Sangalhos,4001,2462,46,62,1018,745,309,116,15,103,29,10,9,0,0
PT_010310,São Lourenço Do Bairro,2101,1344,11,20,636,449,130,51,15,20,5,1,6,0,0
PT_010311,Tamengos,1357,886,11,18,403,325,78,35,7,6,1,2,0,0,0
PT_010312,Vila Nova De Monsarros,1619,910,13,18,369,409,57,26,0,13,2,1,2,0,0
PT_010313,Vilarinho Do Bairro,2841,1816,22,48,1145,335,193,36,13,16,5,1,2,0,0
PT_010314,Paredes Do Bairro,1034,704,11,31,443,113,82,12,5,4,1,1,1,0,0
