gisco_id,name,registered,turnout,invalid,blank,PPD/PSD,PS,CDS-PP,B.E.,CDU,PPM,PAN,PCTP/MRPP,PDA,PTP,E,MPT,MEP,PPV/CDC,PH,POUS,PND
PT_430101,Altares,837,379,1,21,171,108,64,7,4,1,1,1,0,0,0,0,0,0,0,0,0
PT_430102,Angra (Nossa Senhora Da Conceição),3802,1481,7,58,643,383,209,75,57,2,23,9,2,4,2,4,3,0,0,0,0
PT_430103,Angra (Santa Luzia),2445,1126,2,51,433,310,184,78,35,0,16,9,1,0,0,2,5,0,0,0,0
PT_430104,Angra (São Pedro),3387,1676,9,65,771,374,313,76,36,0,12,8,3,3,0,3,3,0,0,0,0
PT_430105,Angra (Sé),1300,627,5,15,313,129,105,24,12,2,12,3,0,0,3,1,3,0,0,0,0
PT_430106,Cinco Ribeiras,613,347,3,24,185,62,49,13,5,0,2,1,0,1,1,1,0,0,0,0,0
PT_430107,Doze Ribeiras,523,251,2,15,102,83,29,9,5,1,3,0,0,0,1,1,0,0,0,0,0
PT_430108,Feteira,1022,503,8,26,239,117,77,16,10,1,1,6,0,2,0,0,0,0,0,0,0
PT_430109,Porto Judeu,2320,901,7,35,504,191,103,34,12,0,4,4,1,0,3,0,3,0,0,0,0
PT_430110,Posto Santo,922,419,2,27,191,120,31,27,0,1,4,12,0,1,0,3,0,0,0,0,0
PT_430111,Raminho,526,265,4,9,139,77,25,7,1,1,2,0,0,0,0,0,0,0,0,0,0
PT_430112,Ribeirinha,2374,1290,14,36,687,361,126,35,12,4,4,5,1,1,0,2,2,0,0,0,0
PT_430113,Santa Bárbara,1173,567,7,27,263,112,122,14,12,2,4,2,1,0,0,1,0,0,0,0,0
PT_430114,São Bartolomeu De Regatos,1653,695,6,31,353,134,99,38,10,3,7,8,0,0,0,3,3,0,0,0,0
PT_430115,São Bento,1786,840,4,40,341,253,121,38,22,0,7,4,0,1,2,6,1,0,0,0,0
PT_430116,São Mateus Da Calheta,3078,1171,11,41,411,448,139,55,28,3,12,9,2,4,3,4,1,0,0,0,0
PT_430117,Serreta,380,201,2,11,81,61,38,3,2,0,1,1,0,0,1,0,0,0,0,0,0
PT_430118,Terra Chã,2531,1030,14,44,422,279,151,64,28,4,9,6,2,0,1,3,3,0,0,0,0
PT_430119,Vila De São Sebastião,1915,800,6,18,382,199,132,33,10,1,6,2,4,2,0,2,3,0,0,0,0
PT_450101,Calheta,1270,567,9,20,290,166,46,9,10,1,2,5,1,1,2,3,2,0,0,0,0
PT_450102,Norte Pequeno,215,131,0,1,80,24,18,3,2,0,2,1,0,0,0,0,0,0,0,0,0
PT_450103,Ribeira Seca,1012,522,1,9,362,68,54,12,5,0,5,4,0,1,0,0,1,0,0,0,0
PT_450104,Santo Antão,774,349,5,7,238,46,35,7,1,2,0,2,0,2,1,1,2,0,0,0,0
PT_450105,Topo (Nossa Senhora Do Rosário),502,224,1,6,151,35,21,3,3,0,1,0,1,1,0,0,1,0,0,0,0
PT_490101,Corvo,349,195,1,6,46,73,22,1,6,37,1,1,1,0,0,0,0,0,0,0,0
PT_470101,Capelo,451,224,0,10,94,77,11,8,11,0,4,5,1,1,2,0,0,0,0,0,0
PT_470102,Castelo Branco,1164,568,3,26,279,153,46,20,19,2,4,9,2,0,1,0,4,0,0,0,0
PT_470103,Cedros,852,476,5,21,304,45,55,16,16,4,4,3,1,0,2,0,0,0,0,0,0
PT_470104,Feteira,1492,522,4,25,231,121,66,21,27,4,9,6,0,1,1,2,4,0,0,0,0
PT_470105,Flamengos,1339,584,5,26,281,176,48,13,24,1,2,5,1,0,1,0,1,0,0,0,0
PT_470106,Horta (Angústias),2389,996,4,45,441,294,81,43,56,2,10,7,2,1,3,3,4,0,0,0,0
PT_470107,Horta (Conceição),1018,495,3,26,232,133,47,13,31,3,2,2,0,0,1,1,1,0,0,0,0
PT_470108,Horta (Matriz),2155,996,2,47,522,201,92,34,72,4,6,4,2,4,2,0,4,0,0,0,0
PT_470109,Pedro Miguel,616,293,3,23,138,63,26,6,26,1,2,2,0,1,0,1,1,0,0,0,0
PT_470110,Praia Do Almoxarife,693,379,2,32,156,132,24,12,14,1,1,4,0,0,0,1,0,0,0,0,0
PT_470111,Praia Do Norte,224,141,2,16,60,26,26,2,7,0,1,1,0,0,0,0,0,0,0,0,0
PT_470112,Ribeirinha,403,207,0,9,117,37,17,11,8,2,0,2,1,2,0,1,0,0,0,0,0
PT_470113,Salão,359,203,2,4,138,21,19,9,7,0,1,1,0,0,0,0,1,0,0,0,0
PT_420101,Água De Pau,2807,819,11,24,350,268,100,37,7,4,7,5,4,1,0,1,0,0,0,0,0
PT_420102,Cabouco,1468,584,11,18,249,180,76,21,5,0,10,6,3,3,0,1,1,0,0,0,0
PT_420103,Lagoa (Nossa Senhora Do Rosário),4595,1873,19,61,800,569,219,89,52,3,18,16,9,6,4,8,0,0,0,0,0
PT_420104,Lagoa (Santa Cruz),2988,1030,21,18,491,257,121,52,36,8,6,9,4,3,0,3,1,0,0,0,0
PT_420105,Ribeira Chã,358,159,3,14,68,38,23,6,5,1,0,0,0,1,0,0,0,0,0,0,0
PT_480101,Fajã Grande,179,77,2,3,35,18,10,5,1,0,2,0,0,0,1,0,0,0,0,0,0
PT_480102,Fajãzinha,78,45,1,4,21,12,2,1,0,2,1,0,0,1,0,0,0,0,0,0,0
PT_480103,Fazenda,222,124,2,10,54,36,10,4,4,0,0,2,0,0,0,1,1,0,0,0,0
PT_480104,Lajedo,96,48,1,4,28,6,5,0,2,0,1,0,0,0,0,0,1,0,0,0,0
PT_480105,Lajes Das Flores,509,226,3,11,118,50,21,10,5,3,3,1,0,0,1,0,0,0,0,0,0
PT_480106,Lomba,148,70,1,6,37,15,4,1,1,1,3,0,0,0,0,0,1,0,0,0,0
PT_480107,Mosteiro,39,19,0,2,5,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PT_460101,Calheta De Nesquim,354,147,1,13,90,29,8,0,1,0,1,2,1,0,1,0,0,0,0,0,0
PT_460102,Lajes Do Pico,1610,741,4,35,310,262,89,15,12,2,7,4,0,0,0,1,0,0,0,0,0
PT_460103,Piedade,792,372,0,17,221,95,26,5,2,1,1,1,0,0,0,2,1,0,0,0,0
PT_460104,Ribeiras,933,387,3,8,222,108,23,10,4,0,2,3,0,0,2,1,1,0,0,0,0
PT_460105,Ribeirinha,388,175,1,5,83,66,10,7,2,0,1,0,0,0,0,0,0,0,0,0,0
PT_460106,São João,432,246,1,13,134,63,23,1,4,0,3,0,1,1,1,0,1,0,0,0,0
PT_460201,Bandeiras,516,203,4,9,124,43,12,2,2,0,1,4,0,1,1,0,0,0,0,0,0
PT_460202,Candelária,789,392,3,20,168,133,44,7,11,0,0,2,1,0,1,1,1,0,0,0,0
PT_460203,Criação Velha,690,308,0,20,200,43,31,5,6,0,0,2,0,0,0,0,1,0,0,0,0
PT_460204,Madalena,2258,914,8,58,542,174,70,26,14,0,7,6,2,3,0,2,2,0,0,0,0
PT_460205,São Caetano,491,235,1,7,154,42,18,4,2,1,2,1,1,1,0,0,1,0,0,0,0
PT_460206,São Mateus,714,364,3,18,202,106,20,0,8,0,2,2,1,0,1,0,1,0,0,0,0
PT_420201,Achada,449,254,2,5,119,107,8,3,2,1,0,2,2,1,0,1,1,0,0,0,0
PT_420202,Achadinha,482,238,8,2,104,92,10,5,4,1,2,3,3,0,1,1,2,0,0,0,0
PT_420208,Algarvia,319,174,2,5,96,32,14,10,3,0,3,2,3,1,0,3,0,0,0,0,0
PT_420203,Lomba Da Fazenda,848,415,7,14,226,96,37,18,4,2,3,2,1,1,1,2,1,0,0,0,0
PT_420204,Nordeste,1150,585,14,19,313,129,57,24,11,1,5,3,1,2,1,4,1,0,0,0,0
PT_420206,Salga,474,225,5,9,110,70,14,4,1,0,5,2,0,3,1,0,1,0,0,0,0
PT_420207,Santana,397,229,6,15,97,74,16,6,4,1,2,3,1,1,0,3,0,0,0,0,0
PT_420209,Santo António de Nordestinho,321,161,2,0,90,42,14,6,2,0,3,0,0,1,0,1,0,0,0,0,0
PT_420210,São Pedro de Nordestinho,290,145,5,9,73,32,15,4,0,0,0,2,1,1,0,1,2,0,0,0,0
PT_420323,Ajuda da Bretanha,657,225,1,5,99,37,40,13,11,3,2,6,1,0,0,5,2,0,0,0,0
PT_420301,Arrifes,6109,1930,23,42,861,545,231,90,59,8,16,16,13,6,3,13,4,0,0,0,0
PT_420303,Candelária,990,298,6,10,148,73,34,13,8,0,0,4,0,0,0,2,0,0,0,0,0
PT_420304,Capelas,3514,1303,9,38,540,378,172,73,36,1,10,13,13,4,2,7,7,0,0,0,0
PT_420305,Covoada,1115,420,3,7,196,106,61,18,11,0,3,3,4,1,3,4,0,0,0,0,0
PT_420306,Fajã De Baixo,4338,1912,13,55,828,467,299,125,53,2,23,14,10,5,3,9,6,0,0,0,0
PT_420307,Fajã De Cima,3170,1029,7,25,458,240,162,55,33,3,12,11,8,3,1,6,5,0,0,0,0
PT_420308,Fenais Da Luz,1704,641,3,20,319,111,94,46,19,1,7,7,3,1,0,2,8,0,0,0,0
PT_420309,Feteiras,1398,381,3,16,146,159,23,9,9,1,2,4,2,2,0,3,2,0,0,0,0
PT_420310,Ginetes,1127,409,8,9,188,104,56,11,14,3,2,4,2,3,1,3,1,0,0,0,0
PT_420311,Mosteiros,1134,401,3,7,211,116,36,4,16,2,1,0,0,2,0,3,0,0,0,0,0
PT_420324,Pilar da Bretanha,582,239,4,7,103,41,53,9,12,0,1,4,1,0,2,0,2,0,0,0,0
PT_420313,Ponta Delgada (São José),5890,2533,18,77,1229,537,333,153,74,8,26,19,23,3,5,19,9,0,0,0,0
PT_420314,Ponta Delgada (São Pedro),7476,3376,29,119,1650,680,429,196,143,7,46,19,18,7,10,17,6,0,0,0,0
PT_420312,Ponta Delgada (São Sebastião),4366,1969,18,51,1087,346,270,88,54,4,15,11,9,5,0,7,4,0,0,0,0
PT_420315,Relva,2430,984,8,25,495,179,139,61,31,6,13,6,3,3,3,7,5,0,0,0,0
PT_420316,Remédios,868,398,5,10,168,118,39,27,12,1,3,4,5,1,2,3,0,0,0,0,0
PT_420317,Rosto Do Cão (Livramento),3612,1366,14,37,680,258,190,74,48,4,11,12,20,2,5,5,6,0,0,0,0
PT_420318,Rosto Do Cão (São Roque),4180,1386,16,40,650,331,150,81,54,6,9,19,8,9,0,9,4,0,0,0,0
PT_420319,Santa Bárbara,763,347,5,5,138,101,40,22,15,0,7,2,5,3,1,3,0,0,0,0,0
PT_420325,Santa Clara,2654,1070,11,31,473,276,127,56,43,4,20,12,6,2,0,4,5,0,0,0,0
PT_420320,Santo António,1782,716,7,27,304,149,131,31,29,3,7,13,3,4,1,4,3,0,0,0,0
PT_420321,São Vicente Ferreira,1871,780,13,32,362,168,116,35,24,1,5,7,9,3,2,1,2,0,0,0,0
PT_420322,Sete Cidades,712,220,3,5,88,99,13,4,5,0,0,0,3,0,0,0,0,0,0,0,0
PT_420401,Água Retorta,439,249,6,11,98,101,10,12,4,0,3,1,0,1,0,0,2,0,0,0,0
PT_420402,Faial Da Terra,394,166,1,8,89,49,11,3,1,2,0,0,1,0,0,0,1,0,0,0,0
PT_420403,Furnas,1521,637,8,38,256,179,69,38,11,3,6,9,6,5,2,5,2,0,0,0,0
PT_420404,Nossa Senhora Dos Remédios,1034,474,6,15,256,141,32,6,4,0,5,4,0,2,0,2,1,0,0,0,0
PT_420405,Povoação,2055,876,11,35,365,329,69,16,19,4,12,4,3,4,0,3,2,0,0,0,0
PT_420406,Ribeira Quente,812,274,2,17,97,121,11,12,4,1,3,3,0,1,0,2,0,0,0,0,0
PT_420501,Calheta,720,281,6,7,111,83,27,25,8,0,3,6,0,1,0,2,2,0,0,0,0
PT_420502,Fenais Da Ajuda,995,427,7,10,217,86,73,17,5,1,2,0,4,1,2,2,0,0,0,0,0
PT_420503,Lomba Da Maia,1034,392,2,11,183,99,53,20,6,1,0,5,1,7,1,2,1,0,0,0,0
PT_420504,Lomba De São Pedro,288,149,1,5,65,47,20,3,3,0,0,2,0,1,0,1,1,0,0,0,0
PT_420505,Maia,1811,732,17,22,299,299,55,15,7,0,4,9,4,0,0,0,1,0,0,0,0
PT_420506,Pico Da Pedra,2238,995,23,42,392,236,131,75,38,6,17,12,10,1,2,6,4,0,0,0,0
PT_420507,Porto Formoso,1152,455,6,14,170,190,20,27,10,1,1,8,1,5,0,2,0,0,0,0,0
PT_420508,Rabo De Peixe,6482,1370,22,42,605,301,146,202,24,1,5,7,6,2,1,3,3,0,0,0,0
PT_420509,Ribeira Grande (Conceição),1995,858,4,28,389,226,95,60,21,0,13,6,5,5,0,2,4,0,0,0,0
