gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD-CDS-PP-PPM,CH,B.E.,IL,ADN,PAN,R.I.R.,L,CDU,E,MAS,MPT,PCTP/MRPP,Volt,PPD/PSD,CDS-PP,JPP,PTP,A,NC,PPD/PSD-CDS-PP,PPM
PT_430101,Altares,827,358,2,6,166,135,19,15,7,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_430102,Angra (Nossa Senhora Da Conceição),3702,1511,18,31,686,462,72,81,66,4,32,7,16,29,1,1,3,2,0,0,0,0,0,0,0,0,0
PT_430103,Angra (Santa Luzia),2330,1058,4,23,492,335,50,58,40,3,21,1,8,13,2,2,0,5,1,0,0,0,0,0,0,0,0
PT_430104,Angra (São Pedro),3309,1690,10,35,637,644,83,85,102,14,17,3,26,20,2,4,3,2,3,0,0,0,0,0,0,0,0
PT_430105,Angra (Sé),1078,561,3,11,179,260,24,25,38,0,5,1,5,8,0,0,0,1,1,0,0,0,0,0,0,0,0
PT_430106,Cinco Ribeiras,651,328,6,16,122,150,12,5,8,0,3,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0
PT_430107,Doze Ribeiras,456,238,4,7,129,67,16,8,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_430108,Feteira,1232,639,8,9,256,244,29,30,30,8,8,2,3,7,0,0,2,2,1,0,0,0,0,0,0,0,0
PT_430109,Porto Judeu,2352,955,9,15,465,346,51,13,35,2,4,1,3,5,0,0,4,2,0,0,0,0,0,0,0,0,0
PT_430110,Posto Santo,942,474,4,12,231,147,23,20,12,1,4,0,5,8,0,1,2,4,0,0,0,0,0,0,0,0,0
PT_430111,Raminho,497,195,1,6,85,73,5,7,10,1,1,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0
PT_430112,Ribeirinha,2424,1204,21,15,501,529,51,24,34,6,3,2,6,7,0,1,1,3,0,0,0,0,0,0,0,0,0
