gisco_id,registered,turnout,invalid,blank,PPD/PSD-CDS-PP-PPM,PS,CH,B.E.,IL,ADN,L,CDU,R.I.R.,E,JPP,MPT,PAN,PPD/PSD-CDS-PP,PCTP/MRPP,NC,PPM,PND,Volt,PLS,PTP
PT_430101,845,427,2,27,169,117,80,10,9,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PT_430102,3618,1607,16,37,532,504,278,49,48,26,64,25,4,2,3,2,17,0,0,0,0,0,0,0,0
PT_430103,2280,1145,12,31,397,379,192,24,50,13,19,14,0,0,1,0,13,0,0,0,0,0,0,0,0
PT_430104,3316,1813,6,47,799,483,204,48,82,25,63,25,1,2,2,2,24,0,0,0,0,0,0,0,0
PT_430105,1105,569,7,17,238,131,76,16,39,8,22,6,1,0,1,1,6,0,0,0,0,0,0,0,0
PT_430106,640,354,4,10,160,72,63,7,12,3,8,10,1,0,1,0,3,0,0,0,0,0,0,0,0
PT_430107,428,253,3,5,94,68,54,3,6,3,10,6,0,0,0,1,0,0,0,0,0,0,0,0,0
PT_430108,1276,692,9,20,300,170,126,9,20,5,13,8,0,1,4,0,7,0,0,0,0,0,0,0,0
PT_430109,2366,993,8,31,394,277,180,17,26,28,20,3,2,2,0,1,4,0,0,0,0,0,0,0,0
PT_430110,959,497,7,19,202,139,82,4,12,10,9,3,0,0,1,1,8,0,0,0,0,0,0,0,0
PT_430111,491,236,2,9,99,66,34,4,5,3,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0
PT_430112,2460,1233,16,35,600,299,190,16,31,15,20,6,1,0,2,0,2,0,0,0,0,0,0,0,0
PT_430113,1269,584,11,22,228,159,102,7,20,16,11,3,0,0,1,0,4,0,0,0,0,0,0,0,0
PT_430114,1825,882,11,30,353,198,157,15,38,21,38,5,0,1,3,1,11,0,0,0,0,0,0,0,0
PT_430115,1790,946,9,29,336,301,149,20,30,12,31,14,1,0,2,0,12,0,0,0,0,0,0,0,0
PT_430116,3643,1636,22,46,579,450,339,29,52,26,42,21,1,1,2,0,26,0,0,0,0,0,0,0,0
PT_430117,347,180,2,6,59,69,31,3,3,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
PT_430118,2609,1199,18,54,391,332,248,24,51,20,24,14,4,1,1,1,16,0,0,0,0,0,0,0,0
PT_430119,2128,913,10,23,389,234,185,5,24,15,17,3,1,1,2,0,4,0,0,0,0,0,0,0,0
PT_450101,1348,554,8,18,243,131,84,9,16,10,7,21,1,0,0,0,6,0,0,0,0,0,0,0,0
PT_450102,188,101,1,0,49,17,13,3,0,6,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0
PT_450103,980,404,4,11,238,52,49,5,8,14,9,10,0,0,0,0,4,0,0,0,0,0,0,0,0
PT_450104,711,233,5,10,136,28,27,4,1,9,4,7,0,1,1,0,0,0,0,0,0,0,0,0,0
PT_450105,462,213,0,11,105,49,26,0,4,5,3,6,1,1,0,1,1,0,0,0,0,0,0,0,0
PT_490101,363,242,7,16,66,95,23,0,3,2,2,24,1,1,1,0,1,0,0,0,0,0,0,0,0
PT_470101,493,203,0,8,70,50,40,12,2,2,4,8,1,0,0,0,6,0,0,0,0,0,0,0,0
PT_470102,1156,528,5,31,190,134,113,14,10,5,10,8,1,1,1,0,5,0,0,0,0,0,0,0,0
PT_470103,743,363,2,21,208,55,46,5,3,4,5,11,1,1,0,0,1,0,0,0,0,0,0,0,0
PT_470104,1633,731,12,33,279,185,136,15,20,8,20,9,1,1,3,1,8,0,0,0,0,0,0,0,0
PT_470105,1408,628,4,31,255,156,119,17,19,5,10,9,0,0,2,0,1,0,0,0,0,0,0,0,0
PT_470106,2031,1005,7,32,380,289,120,31,32,16,37,35,1,2,9,2,12,0,0,0,0,0,0,0,0
PT_470107,1023,516,2,27,207,131,78,12,15,6,11,18,0,1,2,0,6,0,0,0,0,0,0,0,0
PT_470108,2211,1139,6,32,458,303,129,43,37,21,53,43,1,3,0,0,10,0,0,0,0,0,0,0,0
PT_470109,623,310,4,13,149,62,44,4,6,3,5,11,1,0,3,0,5,0,0,0,0,0,0,0,0
PT_470110,741,416,2,31,137,114,66,17,10,4,19,13,0,0,0,0,3,0,0,0,0,0,0,0,0
PT_470111,218,143,1,12,76,23,17,3,1,5,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0
PT_470112,364,174,1,9,85,30,39,3,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
PT_470113,343,181,2,6,100,22,25,8,1,4,5,4,0,0,1,0,3,0,0,0,0,0,0,0,0
PT_420101,2771,969,13,8,254,298,320,6,11,16,14,2,1,1,2,2,21,0,0,0,0,0,0,0,0
PT_420102,1770,849,17,15,216,246,254,22,31,12,11,4,0,0,4,1,16,0,0,0,0,0,0,0,0
PT_420103,4916,2315,24,54,762,577,571,48,90,37,73,24,1,1,26,3,24,0,0,0,0,0,0,0,0
PT_420104,3237,1344,18,19,326,355,455,23,51,21,23,5,2,1,19,1,25,0,0,0,0,0,0,0,0
PT_420105,375,170,3,9,47,35,52,6,5,3,5,1,0,0,1,0,3,0,0,0,0,0,0,0,0
PT_480101,207,115,1,4,36,39,27,2,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
PT_480102,62,42,1,3,12,16,4,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
PT_480103,218,125,0,3,44,31,29,1,4,3,2,4,1,2,0,0,1,0,0,0,0,0,0,0,0
PT_480104,79,35,0,1,10,13,2,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_480105,485,217,1,10,76,71,39,4,4,6,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0
PT_480106,162,99,0,5,28,24,22,1,5,3,5,4,0,0,0,0,2,0,0,0,0,0,0,0,0
PT_480107,25,12,1,0,5,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_460101,336,143,1,10,58,47,15,1,4,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
PT_460102,1609,784,8,42,276,263,120,11,24,10,16,9,0,0,0,0,5,0,0,0,0,0,0,0,0
PT_460103,794,344,2,19,161,109,25,1,4,7,4,6,0,1,0,0,5,0,0,0,0,0,0,0,0
PT_460104,845,401,5,9,167,122,53,8,6,7,10,11,1,0,0,0,2,0,0,0,0,0,0,0,0
PT_460105,413,193,5,11,69,74,10,4,6,9,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
PT_460106,445,247,2,7,118,64,38,0,5,3,5,3,0,0,1,0,1,0,0,0,0,0,0,0,0
PT_460201,672,272,2,11,103,56,74,6,5,5,4,0,0,0,0,1,5,0,0,0,0,0,0,0,0
PT_460202,789,404,3,29,143,112,73,4,9,3,15,10,0,0,0,0,3,0,0,0,0,0,0,0,0
PT_460203,780,323,4,18,148,66,53,6,8,4,6,5,0,1,0,0,4,0,0,0,0,0,0,0,0
PT_460204,2649,1137,9,56,507,203,192,17,48,18,41,23,2,1,4,2,14,0,0,0,0,0,0,0,0
PT_460205,490,204,1,5,109,47,23,5,4,5,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0
PT_460206,650,340,7,17,132,113,46,12,2,1,0,5,1,0,3,0,1,0,0,0,0,0,0,0,0
PT_420201,458,206,3,6,86,61,38,1,0,3,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0
PT_420202,493,217,7,3,69,62,62,0,3,2,0,2,2,1,0,0,4,0,0,0,0,0,0,0,0
PT_420208,271,137,3,4,62,27,24,3,1,6,0,1,3,0,0,2,1,0,0,0,0,0,0,0,0
PT_420203,876,366,11,8,166,68,72,3,5,7,7,7,0,1,1,2,8,0,0,0,0,0,0,0,0
PT_420204,1180,551,8,14,243,135,103,8,11,8,15,3,2,0,0,0,1,0,0,0,0,0,0,0,0
PT_420206,537,213,6,9,77,62,51,2,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
PT_420207,436,225,5,14,73,59,57,4,5,1,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0
PT_420209,300,149,4,11,60,41,21,2,2,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
PT_420210,287,127,2,6,49,46,19,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
PT_420323,664,269,8,7,66,41,116,5,3,5,9,3,0,0,0,1,5,0,0,0,0,0,0,0,0
PT_420301,6944,2480,25,59,683,503,905,55,76,49,64,9,4,4,6,1,37,0,0,0,0,0,0,0,0
PT_420303,924,320,4,7,106,48,113,11,8,5,8,5,0,1,1,0,3,0,0,0,0,0,0,0,0
PT_420304,3815,1625,16,37,515,328,523,41,56,26,32,11,2,1,6,4,27,0,0,0,0,0,0,0,0
PT_420305,1144,458,5,6,136,95,160,12,14,12,7,3,0,1,1,0,6,0,0,0,0,0,0,0,0
PT_420306,4704,2367,20,57,862,535,485,60,136,33,81,29,3,6,16,7,37,0,0,0,0,0,0,0,0
PT_420307,2994,1215,21,27,349,276,351,29,61,18,30,8,1,4,5,3,32,0,0,0,0,0,0,0,0
PT_420308,2040,939,10,18,300,126,332,23,46,10,24,6,3,1,3,3,34,0,0,0,0,0,0,0,0
PT_420309,1441,450,5,12,97,98,205,6,9,7,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0
PT_420310,1114,430,7,9,130,77,146,18,12,11,8,5,0,1,1,1,4,0,0,0,0,0,0,0,0
PT_420311,1032,364,4,8,151,64,111,2,4,6,6,2,1,0,1,0,4,0,0,0,0,0,0,0,0
PT_420324,600,264,3,3,85,37,105,6,4,6,1,1,2,1,1,1,8,0,0,0,0,0,0,0,0
PT_420313,5798,2791,31,70,1075,603,447,90,193,43,143,27,6,1,8,2,52,0,0,0,0,0,0,0,0
PT_420314,7577,3740,29,90,1461,847,621,106,229,51,173,46,5,5,5,6,66,0,0,0,0,0,0,0,0
PT_420312,4229,2133,19,41,867,400,364,59,147,33,103,23,5,5,11,4,52,0,0,0,0,0,0,0,0
PT_420315,2741,1342,15,35,474,239,376,27,67,24,34,5,2,6,3,0,35,0,0,0,0,0,0,0,0
PT_420316,781,316,8,5,87,71,122,3,6,6,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0
PT_420317,4268,2036,17,40,734,404,500,50,113,30,84,16,1,6,7,1,33,0,0,0,0,0,0,0,0
PT_420318,4380,1721,28,50,539,339,497,32,80,26,68,20,0,0,6,1,35,0,0,0,0,0,0,0,0
PT_420319,753,336,6,6,80,79,134,5,6,3,6,2,1,0,0,0,8,0,0,0,0,0,0,0,0
PT_420325,2885,1336,11,45,464,302,294,33,66,19,42,29,0,2,3,0,26,0,0,0,0,0,0,0,0
PT_420320,1579,638,10,13,218,136,191,22,12,13,8,3,0,0,1,2,9,0,0,0,0,0,0,0,0
PT_420321,2416,1188,17,37,424,190,361,28,46,10,38,7,3,0,4,1,22,0,0,0,0,0,0,0,0
PT_420322,640,234,1,6,86,65,50,1,7,7,5,2,0,0,1,0,3,0,0,0,0,0,0,0,0
PT_420401,436,184,6,7,51,63,46,0,1,4,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0
PT_420402,395,148,2,6,47,50,34,4,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
PT_420403,1481,606,8,22,151,133,215,9,16,19,13,4,1,1,0,0,14,0,0,0,0,0,0,0,0
PT_420404,1127,459,4,19,166,103,119,9,11,8,6,4,0,1,3,1,5,0,0,0,0,0,0,0,0
PT_420405,2004,836,14,21,293,222,216,12,17,19,5,4,1,1,4,3,4,0,0,0,0,0,0,0,0
PT_420406,800,288,10,5,84,95,60,7,2,11,4,2,0,1,1,0,6,0,0,0,0,0,0,0,0
PT_420501,813,384,2,12,136,56,145,6,13,3,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0
PT_420502,902,308,7,6,146,42,87,3,5,7,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0
PT_420503,1054,409,5,14,147,92,110,5,12,7,6,6,1,1,0,0,3,0,0,0,0,0,0,0,0
PT_420504,310,129,1,3,40,37,44,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PT_420505,1700,725,11,15,226,186,234,5,22,8,4,6,1,0,3,1,3,0,0,0,0,0,0,0,0
PT_420506,2886,1424,17,43,440,254,440,43,68,21,58,15,0,0,5,1,19,0,0,0,0,0,0,0,0
PT_420507,1081,424,9,12,149,98,125,3,9,6,6,1,0,0,1,0,5,0,0,0,0,0,0,0,0
PT_420508,7804,1999,26,33,601,329,769,61,58,26,46,15,1,3,4,4,23,0,0,0,0,0,0,0,0
PT_420509,2389,1141,13,24,383,261,305,15,49,17,37,9,0,0,4,1,23,0,0,0,0,0,0,0,0
PT_420510,3460,1300,20,41,428,284,356,34,48,16,21,15,1,2,3,0,31,0,0,0,0,0,0,0,0
PT_420511,2608,1072,16,22,403,163,327,32,44,11,22,8,0,3,0,3,18,0,0,0,0,0,0,0,0
PT_420512,2334,839,13,27,254,164,303,13,10,14,18,6,2,0,1,4,10,0,0,0,0,0,0,0,0
PT_420513,1205,535,28,15,167,109,158,6,12,10,9,8,1,1,0,3,8,0,0,0,0,0,0,0,0
PT_420514,591,283,2,5,132,50,73,2,5,5,4,1,0,0,0,1,3,0,0,0,0,0,0,0,0
PT_440101,949,426,7,21,213,108,50,2,3,13,3,1,2,2,0,0,1,0,0,0,0,0,0,0,0
PT_440102,640,217,6,8,79,63,47,4,3,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
PT_440104,1563,721,4,34,293,246,86,11,13,5,10,6,3,0,1,0,9,0,0,0,0,0,0,0,0
PT_440103,695,304,3,13,123,111,35,3,3,6,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0
PT_480201,65,38,1,0,14,9,8,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PT_480202,109,56,2,5,9,17,18,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
PT_480203,286,138,0,3,55,39,28,1,3,3,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0
PT_480204,1363,686,11,14,235,195,148,14,12,16,9,27,0,0,0,0,5,0,0,0,0,0,0,0,0
PT_460301,531,238,3,12,101,71,31,4,6,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
PT_460302,502,201,1,6,83,40,44,6,5,6,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0
PT_460303,282,163,3,8,59,56,12,1,3,11,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0
PT_460304,722,345,1,21,101,108,76,11,10,8,3,1,0,0,3,1,1,0,0,0,0,0,0,0,0
PT_460305,1271,593,4,14,293,126,78,7,14,14,29,4,3,1,1,1,4,0,0,0,0,0,0,0,0
PT_450201,359,139,0,5,68,22,13,1,3,1,5,18,0,1,1,0,1,0,0,0,0,0,0,0,0
PT_450202,542,231,3,3,127,31,31,1,4,5,3,18,0,1,1,2,1,0,0,0,0,0,0,0,0
PT_450203,692,284,5,7,150,57,45,0,3,5,1,9,0,1,0,0,1,0,0,0,0,0,0,0,0
PT_450204,824,351,1,12,153,59,67,6,7,18,6,19,1,0,1,0,1,0,0,0,0,0,0,0,0
PT_450205,846,395,6,9,183,82,54,7,6,10,10,24,0,1,0,0,3,0,0,0,0,0,0,0,0
PT_450206,1722,728,9,27,315,197,111,7,16,8,12,17,0,1,1,2,5,0,0,0,0,0,0,0,0
PT_430201,1289,551,1,19,243,173,74,2,18,8,8,2,0,0,0,1,2,0,0,0,0,0,0,0,0
PT_430202,1557,658,6,21,246,153,161,6,15,9,17,13,1,1,0,0,9,0,0,0,0,0,0,0,0
PT_430203,690,328,4,12,139,56,82,3,14,5,8,2,0,0,0,2,1,0,0,0,0,0,0,0,0
PT_430204,1170,542,1,22,238,115,107,5,20,11,4,3,6,0,3,0,7,0,0,0,0,0,0,0,0
PT_430205,1444,631,4,28,291,168,95,9,22,8,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0
PT_430206,3140,1371,10,52,529,320,336,22,34,20,17,13,1,1,2,0,14,0,0,0,0,0,0,0,0
PT_430211,1178,588,4,28,250,129,98,11,28,8,18,5,2,0,0,0,7,0,0,0,0,0,0,0,0
PT_430207,6327,2534,19,76,912,639,606,36,98,50,51,16,2,2,6,1,20,0,0,0,0,0,0,0,0
PT_430208,370,200,4,4,80,63,32,3,5,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PT_430209,1009,418,2,13,150,102,103,10,11,10,2,7,0,0,2,0,6,0,0,0,0,0,0,0,0
PT_430210,1603,676,15,25,267,187,121,10,15,13,6,6,1,0,1,1,8,0,0,0,0,0,0,0,0
PT_410101,574,223,1,7,83,61,42,8,11,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0
PT_410102,431,152,3,10,51,50,16,5,3,7,1,3,0,1,0,1,1,0,0,0,0,0,0,0,0
PT_410103,610,180,3,5,63,46,37,7,3,5,5,0,1,0,1,1,3,0,0,0,0,0,0,0,0
PT_410104,704,281,3,16,91,72,27,28,9,11,13,6,0,0,1,0,4,0,0,0,0,0,0,0,0
PT_410105,2852,1244,12,60,383,362,209,63,50,25,44,14,2,1,0,0,19,0,0,0,0,0,0,0,0
PT_420601,1600,636,7,9,202,162,210,5,8,10,9,8,3,2,0,0,1,0,0,0,0,0,0,0,0
PT_420602,3079,1172,12,15,373,205,456,24,20,21,10,9,3,2,1,4,17,0,0,0,0,0,0,0,0
PT_420603,629,286,4,10,78,88,72,8,6,4,1,0,2,0,2,3,8,0,0,0,0,0,0,0,0
PT_420606,1038,438,4,7,149,72,147,13,16,7,9,2,1,0,0,0,11,0,0,0,0,0,0,0,0
PT_420604,2672,923,13,9,320,183,297,14,36,12,19,7,1,0,3,2,7,0,0,0,0,0,0,0,0
PT_420605,1466,594,6,11,212,154,159,6,14,3,15,2,2,1,0,0,9,0,0,0,0,0,0,0,0
PT_010103,3597,2118,19,35,0,393,584,26,71,38,49,10,1,2,0,0,12,866,5,3,2,1,1,0,0
PT_010121,11753,7289,70,115,0,1747,1463,96,425,110,157,77,6,6,0,0,62,2914,17,5,5,9,5,0,0
PT_010122,2848,1744,20,40,0,324,398,18,72,30,38,4,3,3,0,0,19,763,6,1,2,1,2,0,0
PT_010123,1324,876,6,19,0,156,187,7,21,18,18,3,0,0,0,0,8,429,2,0,2,0,0,0,0
PT_010109,2813,1852,11,33,0,159,364,17,106,41,42,11,2,1,0,0,10,1045,3,1,1,3,2,0,0
PT_010112,3004,1655,18,31,0,391,388,26,51,32,28,27,3,2,0,0,26,615,4,1,1,4,7,0,0
PT_010127,746,452,2,6,0,101,100,3,20,13,6,2,1,0,0,0,1,191,2,2,1,0,1,0,0
PT_010124,5315,3465,35,75,0,880,703,54,201,60,72,34,4,5,0,0,42,1266,12,4,3,6,9,0,0
PT_010125,2007,1380,13,30,0,315,242,22,59,38,46,19,5,0,0,0,7,576,3,1,0,1,3,0,0
PT_010126,4047,2681,21,50,0,576,624,26,135,46,74,48,6,2,0,0,24,1029,11,2,2,0,5,0,0
PT_010119,4215,2549,29,49,0,635,601,23,105,49,52,41,7,1,0,0,23,921,7,2,2,1,1,0,0
PT_010209,9719,6125,63,75,0,1033,1545,100,364,90,154,65,18,7,0,0,76,2489,14,4,3,5,20,0,0
PT_010202,2060,1355,19,21,0,261,334,14,41,34,19,7,3,1,0,0,9,585,3,0,1,3,0,0,0
PT_010203,1764,1155,9,13,0,260,322,14,32,21,21,22,1,3,0,0,9,420,2,0,0,3,3,0,0
PT_010204,4950,3128,24,48,0,528,750,28,147,68,60,21,6,4,0,0,28,1390,6,5,0,9,6,0,0
PT_010206,1399,915,8,21,0,159,193,12,44,18,11,8,2,0,0,0,9,426,2,0,1,0,1,0,0
