gisco_id,name,registered,turnout,invalid,blank,PPD/PSD,PS,CDS-PP,B.E.,CDU,MEP,PCTP/MRPP,PPM,POUS,PH,E,MPT,PLD
PT_430101,Altares,830,250,4,11,103,99,15,10,3,2,2,1,0,0,0,0,0
PT_430102,Angra (Nossa Senhora Da Conceição),4015,875,4,62,293,251,100,101,41,4,3,4,1,2,1,7,1
PT_430103,Angra (Santa Luzia),2529,638,4,39,182,208,81,78,20,6,2,4,0,6,1,3,4
PT_430104,Angra (São Pedro),3547,998,11,80,364,255,153,87,26,9,2,8,0,1,1,1,0
PT_430105,Angra (Sé),1371,402,2,17,175,92,53,39,11,6,1,3,0,1,1,0,1
PT_430106,Cinco Ribeiras,591,210,0,7,89,57,29,16,6,1,1,2,0,0,0,1,1
PT_430107,Doze Ribeiras,534,178,1,8,67,74,15,5,3,0,1,1,0,0,1,1,1
PT_430108,Feteira,948,272,2,16,127,71,31,17,5,0,0,2,0,0,0,1,0
PT_430109,Porto Judeu,2379,408,2,19,202,112,37,19,7,1,3,0,0,2,0,2,2
PT_430110,Posto Santo,918,265,3,18,81,98,27,22,6,5,1,1,0,1,1,0,1
PT_430111,Raminho,529,203,6,14,90,69,13,6,3,0,0,0,1,0,0,1,0
PT_430112,Ribeirinha,2374,905,7,29,402,361,60,19,7,6,4,5,1,0,1,1,2
PT_430113,Santa Bárbara,1174,356,1,13,160,92,56,16,9,2,3,2,0,1,0,1,0
PT_430114,São Bartolomeu De Regatos,1580,352,3,21,164,97,36,14,4,3,2,2,1,3,0,1,1
PT_430115,São Bento,1782,514,5,39,155,208,53,29,14,3,2,1,0,1,0,3,1
PT_430116,São Mateus Da Calheta,2929,604,7,27,137,296,42,53,26,4,1,2,1,1,0,4,3
PT_430117,Serreta,395,161,3,18,60,46,26,4,0,0,0,0,0,3,0,0,1
PT_430118,Terra Chã,2450,593,10,34,180,198,74,54,22,7,1,5,0,1,3,1,3
PT_430119,Vila De São Sebastião,2007,426,2,17,165,153,58,13,8,1,1,4,0,1,1,2,0
PT_450101,Calheta,1313,304,5,11,121,125,13,11,8,3,1,1,0,1,3,1,0
PT_450102,Norte Pequeno,227,118,0,6,74,25,7,3,1,0,1,0,0,1,0,0,0
PT_450103,Ribeira Seca,1094,225,1,3,135,50,23,5,4,1,0,1,1,1,0,0,0
PT_450104,Santo Antão,847,206,2,9,133,41,13,1,4,0,0,1,1,1,0,0,0
