gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD-CDS-PP,MPT,CDU,B.E.,L,PCTP/MRPP,PPV/CDC,PAN,PND,PPM,PTP,MAS,PDA,E,POUS
PT_430101,Altares,839,194,5,15,81,61,7,6,5,3,3,3,2,1,1,1,0,0,0,0
PT_430106,Cinco Ribeiras,622,192,5,14,67,73,11,2,3,3,2,2,1,1,2,1,3,2,0,0
PT_430107,Doze Ribeiras,487,159,4,11,82,48,2,2,2,2,0,0,2,1,0,1,1,1,0,0
PT_430108,Feteira,1120,319,2,10,144,109,11,11,10,6,3,2,2,2,0,4,2,1,0,0
PT_430102,Angra (Nossa Senhora Da Conceição),3897,841,19,52,352,210,65,41,34,13,9,1,22,1,6,6,1,5,3,1
PT_430109,Porto Judeu,2366,373,5,21,139,159,10,10,15,3,1,2,1,1,3,2,0,0,1,0
PT_430110,Posto Santo,921,201,3,25,85,50,10,5,7,5,3,0,2,3,0,1,1,1,0,0
PT_430111,Raminho,541,159,4,4,63,71,7,3,0,0,1,0,1,0,2,0,1,2,0,0
PT_430112,Ribeirinha,2399,669,16,29,316,261,17,4,7,2,3,1,4,0,4,3,1,0,1,0
PT_430113,Santa Bárbara,1198,262,6,20,114,95,13,5,1,1,2,0,1,0,1,3,0,0,0,0
PT_430103,Angra (Santa Luzia),2387,634,13,43,262,161,37,29,30,9,9,2,15,5,5,1,4,7,2,0
PT_430114,São Bartolomeu De Regatos,1735,325,8,23,97,125,19,12,13,4,3,1,3,3,5,3,1,5,0,0
PT_430115,São Bento,1801,457,8,32,217,124,18,16,17,2,5,0,7,4,2,1,2,0,2,0
PT_430116,São Mateus Da Calheta,3345,586,11,42,286,117,33,34,29,9,3,2,8,0,4,2,1,3,2,0
PT_430104,Angra (São Pedro),3391,960,30,63,341,311,69,45,40,27,5,0,8,5,1,1,2,9,1,2
PT_430105,Angra (Sé),1128,337,4,20,112,133,21,11,13,6,2,2,6,0,1,1,0,1,2,2
PT_430117,Serreta,363,122,1,7,55,40,7,8,1,1,0,1,0,0,1,0,0,0,0,0
PT_430118,Terra Chã,2566,522,17,42,200,163,31,14,17,9,2,2,8,3,3,7,0,2,1,1
PT_430119,Vila De São Sebastião,1944,379,6,13,144,173,15,4,7,3,1,1,1,3,3,2,2,0,1,0
PT_450101,Calheta,1273,294,9,21,127,75,22,7,6,5,1,0,1,6,1,1,0,10,1,1
PT_450102,Norte Pequeno,225,86,1,5,24,44,5,0,1,2,2,0,0,2,0,0,0,0,0,0
PT_450103,Ribeira Seca,954,215,2,10,41,123,12,3,7,4,0,0,2,7,1,0,1,1,1,0
PT_450104,Santo Antão,728,174,5,7,55,83,3,2,1,2,2,1,1,4,1,1,0,6,0,0
PT_450105,Topo (Nossa Senhora Do Rosário),493,125,3,3,44,63,0,2,0,1,1,0,3,0,1,0,1,2,0,1
PT_490101,Corvo,350,134,0,5,72,10,3,5,0,0,0,1,0,0,20,0,0,18,0,0
PT_470106,Horta (Angústias),2249,550,2,35,225,166,22,33,23,9,2,2,6,0,17,1,2,4,1,0
PT_470101,Capelo,466,150,0,10,67,41,6,11,5,2,3,0,0,3,2,0,0,0,0,0
PT_470102,Castelo Branco,1139,294,3,22,134,89,9,12,7,1,2,1,1,2,4,0,4,1,2,0
PT_470103,Cedros,822,301,3,24,72,168,4,7,2,5,4,2,1,0,3,1,0,4,0,1
PT_470107,Horta (Conceição),1042,284,3,25,125,77,16,14,5,6,0,0,0,2,5,2,1,1,2,0
PT_470104,Feteira,1541,285,6,23,108,82,11,16,8,6,3,1,5,1,9,0,2,4,0,0
PT_470105,Flamengos,1368,316,4,27,159,88,4,9,6,4,1,0,3,0,10,0,0,0,1,0
PT_470108,Horta (Matriz),2196,570,9,46,183,174,21,63,35,12,2,0,11,1,7,2,0,3,1,0
PT_470109,Pedro Miguel,621,156,5,19,49,40,3,19,6,2,1,0,3,0,1,2,0,4,2,0
PT_470110,Praia Do Almoxarife,712,233,3,25,131,47,3,14,2,1,1,0,2,1,1,0,0,2,0,0
PT_470111,Praia Do Norte,222,124,2,15,33,63,4,2,0,0,1,0,0,0,2,0,1,1,0,0
PT_470112,Ribeirinha,384,111,0,12,41,42,1,7,2,1,1,0,1,1,2,0,0,0,0,0
PT_470113,Salão,361,118,0,12,29,63,4,1,2,1,0,0,1,3,0,1,0,1,0,0
PT_420101,Água De Pau,2821,354,14,21,182,83,17,8,7,2,3,0,5,2,1,1,3,4,1,0
