gisco_id,name,registered,turnout,invalid,blank,UUR,FCER,Andreicuț,Puiu-Barraud,USR (2016),FD,UDMR/RMDSZ,PSD,AUR,SENS,REPER,RîA,S.O.S. România,PER,PNCR,ANC,PSDI,ARS,POT,DREPT,USR (1989),UPR,UBBR,UCRR,CRLR,ALAR (1999),UDSCR,UAR,UDTR,AMR,RO.AS.IT.,UER,FCR,APR-PE,UCR,FDGR/DFDR,UDTTMR,PNL,PNR [Partidul Nouă Românie],PPR,PRR,ADN,PLAN,PD,Hagimă,Banu-Muscel,PUGD,PP,Stoian,Secară,Curtean,Szűcs,Baciu [Gheorghe-Damian Baciu],PV,Iusein,Negoiță,Ion,Iancu,Toader,Karani,Sărmaș,Boșneagu,Tîrnoveanu,Ciobanu,POC,Dan [Aurelian-Leonard Dan],Dămureanu,Ștefan,Fanaca,Rusu,PNȚCD,Dumitrică,Olărașu,Cazacu,Moldovanu,Stegaru,Burlea,PPU,Voinea,Vlașin,Cirț,Măneanu,Tița,Renghea,Dan [Roberto Dan],David,Dumitru [Bogdan Dumitru],Dinulescu,Andrei-Ionuț Neșculescu,Bodnar,Drăgan,Balaș,Abrudan,Mocanu Gollent,Spiru,Spiridon [Silvian-Andrei Spiridon],Lisaru,Stancu,Pîrvulescu,Aga
RO_001017,Municipiul Alba Iulia,64561,34805,378,91,4,23,0,0,4914,521,522,6406,5832,1252,443,713,1497,213,489,92,62,0,3000,400,8,4,23,132,4,22,4,9,7,38,5,20,7,28,8,14,7,7319,59,183,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_001071,Ciugud,3128,2050,27,5,1,0,0,0,171,47,21,291,332,46,28,28,64,13,36,9,13,0,189,29,2,0,3,18,4,2,0,0,0,5,0,0,0,1,1,0,0,638,15,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_001151,Oraş Abrud,4488,2133,23,4,0,0,0,0,101,17,22,793,414,39,11,18,143,7,22,9,13,0,188,10,1,0,1,10,0,0,0,2,0,7,2,3,1,0,0,1,0,257,2,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_001213,Municipiul Aiud,21099,9824,150,39,1,3,0,0,772,128,1377,2676,1367,269,161,44,353,41,81,25,21,0,835,95,3,0,10,37,3,17,2,1,1,14,3,9,0,4,7,7,2,1202,21,32,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_001348,Municipiul Blaj,16930,8167,110,42,7,4,0,0,720,84,309,1270,1312,236,67,46,424,45,113,16,17,0,781,78,7,0,5,21,3,7,2,0,3,20,1,10,3,14,4,8,0,2289,45,31,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_001455,Oraş Câmpeni,6154,3307,52,18,1,0,0,0,151,24,16,829,748,47,21,12,306,13,39,11,19,0,328,16,1,2,1,10,2,7,0,1,1,8,2,7,3,2,2,4,0,579,7,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_001696,Oraş Cugir,21215,9921,176,48,4,1,0,0,1152,118,94,2646,1575,298,89,30,515,64,84,33,38,0,886,69,7,1,5,18,1,7,1,3,3,21,4,7,2,23,3,4,0,1806,30,39,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_001794,Oraş Ocna Mureş,11460,4739,72,24,4,4,0,0,404,59,232,921,659,99,33,21,308,36,80,9,13,0,447,58,1,1,4,18,2,8,1,4,1,13,1,5,3,8,5,6,0,1118,25,26,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_001874,Municipiul Sebeş,26780,13070,141,49,2,6,0,0,1264,147,56,1805,2583,382,137,100,738,63,117,30,24,0,1381,141,2,5,8,27,1,12,0,5,2,28,3,10,5,10,4,71,4,3581,41,63,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_001936,Oraş Zlatna,6673,3326,44,15,0,2,0,0,155,39,29,580,715,47,15,12,164,8,44,8,12,0,288,21,2,1,1,38,1,2,1,0,0,9,3,6,2,1,2,0,1,1013,16,21,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
