gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,PP,SPI,ÖVR
SE_1082,Karlshamn,24606,20945,7,272,5426,1023,1099,722,7709,1253,1299,1947,34,130,0,24
SE_1080,Karlskrona,48178,42041,14,535,11905,2304,2695,1777,14651,1814,2312,3682,104,223,1,24
SE_1060,Olofström,10130,8333,8,108,1552,502,300,373,3859,462,299,802,11,46,1,10
SE_1081,Ronneby,22114,18922,4,240,5006,1407,878,662,6478,1098,929,2042,48,118,1,11
SE_1083,Sölvesborg,13251,11263,4,150,3498,535,459,439,3823,448,450,1357,17,71,1,11
SE_2084,Avesta,17393,14553,3,205,3289,897,684,496,6320,778,710,1034,41,76,4,16
SE_2081,Borlänge,36721,31177,10,411,7142,1652,1532,1075,12164,2039,1853,2842,105,230,54,68
SE_2080,Falun,43469,37101,11,531,10558,2942,2092,1813,11523,2009,2963,2007,173,240,162,77
SE_2026,Gagnef,7744,6642,3,97,1548,802,266,373,2284,326,396,475,13,32,13,14
SE_2083,Hedemora,12006,9820,4,130,2311,926,341,446,3525,623,589,803,35,53,14,20
SE_2029,Leksand,12253,10418,2,171,3218,965,546,899,2964,425,665,410,46,63,29,15
SE_2085,Ludvika,20340,16810,5,253,3425,641,833,549,7466,1363,842,1251,25,94,35,28
SE_2023,Malung-Sälen,8207,6792,0,120,2002,548,388,171,2434,449,200,382,5,42,6,45
SE_2062,Mora,16127,13138,1,207,3468,1169,631,584,4666,600,772,787,25,91,79,58
SE_2034,Orsa,5447,4492,2,66,940,453,202,207,1599,273,292,400,12,37,1,8
SE_2031,Rättvik,8901,7284,5,120,1899,800,367,350,2438,268,441,437,36,46,60,17
SE_2061,Smedjebacken,8571,7302,1,101,1421,364,243,191,3664,479,298,461,10,47,8,14
SE_2082,Säter,8638,7225,1,139,1856,828,324,299,2392,400,347,552,29,39,11,8
SE_2021,Vansbro,5465,4489,3,88,868,610,156,299,1777,256,113,266,8,22,4,19
SE_2039,Älvdalen,5790,4699,1,83,1052,489,142,173,1923,245,171,363,7,15,6,29
SE_0980,Gotland,46237,39257,46,571,9731,5657,1785,1128,12855,2342,3259,1225,303,308,1,46
SE_2183,Bollnäs,20912,16702,13,223,3676,1574,888,700,6063,1123,880,1386,42,68,1,65
SE_2180,Gävle,73244,62070,40,707,16677,2827,4189,2349,21208,4186,4600,4566,194,383,4,140
SE_2104,Hofors,7580,6304,1,83,967,250,308,123,3089,684,262,458,16,26,3,34
SE_2184,Hudiksvall,29124,23841,16,353,5126,2376,953,1040,8677,1905,1680,1337,61,126,5,186
