gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,ÖVR
SE_1082,Karlshamn,24702,21213,3,218,3923,1015,616,647,8114,1044,1192,3867,430,144
SE_1080,Karlskrona,49012,43095,4,364,8848,2493,2225,1674,15522,1954,2309,6603,755,344
SE_1060,Olofström,10131,8490,7,111,1123,473,168,287,3839,413,295,1602,97,75
SE_1081,Ronneby,21746,18869,5,169,3335,1289,653,534,6731,972,732,4028,274,147
SE_1083,Sölvesborg,13273,11553,2,112,2595,522,322,341,3775,363,441,2860,145,75
SE_2084,Avesta,17224,14813,5,154,2264,825,453,439,6121,820,525,2837,222,148
SE_2081,Borlänge,37298,32146,10,396,5713,1615,1181,1001,11825,1953,1768,5617,733,334
SE_2080,Falun,44325,38729,14,464,8871,3058,1711,1466,11555,2271,2749,4912,1278,380
SE_2026,Gagnef,7791,6863,0,92,1225,786,211,284,2214,348,293,1170,179,61
SE_2083,Hedemora,11875,10050,2,125,1756,920,278,306,3478,605,445,1732,244,159
SE_2029,Leksand,12240,10707,3,120,2511,1056,403,787,3110,515,614,1247,264,77
SE_2085,Ludvika,20005,17099,32,226,2590,691,522,402,6836,1287,780,3363,287,83
SE_2023,Malung-Sälen,7937,6768,5,89,1506,575,247,157,2414,315,181,1154,61,64
SE_2062,Mora,16106,13602,6,139,2629,1338,386,416,4776,605,625,2279,232,171
SE_2034,Orsa,5470,4640,0,33,666,493,127,147,1523,261,230,956,134,70
SE_2031,Rättvik,8949,7574,3,113,1593,760,270,257,2362,337,359,1270,141,109
SE_2061,Smedjebacken,8550,7472,0,81,1109,401,139,158,3262,493,269,1365,138,57
SE_2082,Säter,8594,7502,1,96,1376,772,217,239,2489,398,284,1393,171,66
SE_2021,Vansbro,5343,4508,0,67,640,629,96,263,1623,253,121,720,37,59
SE_2039,Älvdalen,5586,4783,2,67,638,452,109,105,1955,211,109,1028,55,52
SE_0980,Gotland,46466,40175,22,498,8450,5317,1494,1095,12774,2308,2859,3259,1764,335
SE_2183,Bollnäs,20669,17331,7,154,2612,1444,526,546,6672,1012,720,3191,338,109
SE_2180,Gävle,74732,64875,24,552,13500,2753,3248,2087,21915,4310,3991,10170,1685,640
SE_2104,Hofors,7332,6169,3,66,681,274,171,106,2893,660,182,975,95,63
SE_2184,Hudiksvall,29090,24592,8,234,3940,2233,687,809,9352,1698,1461,3349,597,224
SE_2161,Ljusdal,14771,12254,2,133,2278,1041,383,291,4420,676,592,2009,319,110
SE_2132,Nordanstig,7411,6281,1,76,907,583,212,227,2398,357,228,1127,109,56
SE_2101,Ockelbo,4598,3918,2,35,502,440,83,86,1489,229,142,804,79,27
SE_2121,Ovanåker,9117,7762,0,78,1108,1028,167,632,2802,291,270,1228,86,72
SE_2181,Sandviken,28988,24965,10,214,3830,1273,921,677,10816,1763,961,3789,456,255
SE_2182,Söderhamn,20241,17126,6,153,2553,1175,442,470,7393,1058,691,2687,289,209
SE_1382,Falkenberg,32975,28419,10,310,6516,3177,1137,1104,9158,1094,1615,3666,466,166
SE_1380,Halmstad,74040,63643,17,627,15501,3940,3379,2454,21043,2816,3926,7824,1132,984
SE_1315,Hylte,7322,6169,1,45,1061,739,258,200,2244,176,175,1135,66,69
SE_1384,Kungsbacka,58477,52828,22,420,19909,3975,4254,2884,8936,1506,3160,6281,1042,439
SE_1381,Laholm,18430,15855,1,193,3882,1764,612,607,4234,468,793,2867,231,203
SE_1383,Varberg,47158,41744,9,444,10392,3772,2167,1739,12947,1725,2515,4782,829,423
SE_2326,Berg,5653,4799,1,41,809,742,84,82,1855,216,179,671,84,35
SE_2305,Bräcke,5097,4276,1,49,551,492,86,57,2002,260,120,533,54,71
SE_2361,Härjedalen,8264,6842,4,73,1160,707,142,130,2903,349,200,1027,100,47
SE_2309,Krokom,10910,9353,1,99,1631,1443,216,259,3421,615,432,988,185,63
SE_2303,Ragunda,4311,3599,2,46,333,454,43,58,1719,255,97,491,64,37
SE_2313,Strömsund,9366,7854,1,98,892,788,83,160,3858,556,171,1092,102,53
SE_2321,Åre,8003,6893,1,86,1467,932,208,270,2151,332,601,640,163,42
SE_2380,Östersund,47588,41010,13,396,7670,3929,1508,1103,15394,2669,2960,3782,1283,303
SE_0604,Aneby,5017,4469,0,44,744,543,129,599,1288,114,213,731,36,28
SE_0686,Eksjö,12948,11266,5,118,2282,1252,475,958,3439,381,603,1477,176,100
SE_0662,Gislaved,21569,18364,4,208,3973,1826,583,975,6427,555,665,2888,146,114
SE_0617,Gnosjö,6865,5840,6,64,1196,491,169,822,1757,150,197,916,48,24
SE_0643,Habo,8025,7354,5,95,1644,472,270,974,2007,231,393,1119,82,62
SE_0680,Jönköping,100590,87607,31,747,19020,5040,3626,9645,26475,3996,5932,10891,1619,585
SE_0642,Mullsjö,5388,4806,2,52,793,241,161,809,1357,230,284,761,68,48
SE_0682,Nässjö,22272,19401,5,178,3203,1350,543,1767,6502,794,989,3713,228,129
SE_0684,Sävsjö,8124,7054,1,60,1248,806,159,1067,1919,189,184,1310,55,56
SE_0687,Tranås,14214,12418,4,106,2332,793,461,944,4441,488,680,1905,191,73
SE_0665,Vaggeryd,9900,8613,2,86,1521,683,261,1013,2921,298,346,1319,83,80
SE_0685,Vetlanda,20337,17579,2,174,3189,1920,609,1615,5581,607,708,2858,199,117
SE_0683,Värnamo,25384,22034,6,204,4449,2383,644,2134,7373,652,901,2927,223,138
SE_0885,Borgholm,8825,7674,5,82,1866,1115,264,385,1941,279,340,1160,174,63
SE_0862,Emmaboda,7096,6095,1,66,1001,670,105,243,2419,278,238,924,96,54
SE_0860,Hultsfred,10521,8844,1,76,1253,956,182,580,3468,362,237,1542,95,92
SE_0821,Högsby,4266,3656,0,28,532,386,69,194,1426,150,82,721,41,27
SE_0880,Kalmar,50384,44138,18,409,10260,2954,1950,1941,14311,1974,3035,5744,1162,380
SE_0861,Mönsterås,10194,8921,1,90,1494,852,210,376,3449,396,270,1620,103,60
SE_0840,Mörbylånga,11329,10228,10,91,2513,982,413,458,2972,380,561,1536,262,50
SE_0881,Nybro,15362,13148,3,144,2246,1359,335,598,4780,694,438,2232,163,156
SE_0882,Oskarshamn,20583,17822,3,204,3704,810,767,1017,6662,864,584,2866,223,118
SE_0834,Torsås,5483,4774,1,46,760,649,161,193,1582,150,152,982,62,36
SE_0884,Vimmerby,12043,10432,4,114,1954,1196,233,520,3740,450,399,1600,142,80
