gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,AfS,CSIS,DD,DP,EAP,Enhet,FS,Gup,INI,KLP,KrVP,Lpo,MED,NMR,NS,NYREF,PP,RNP,FRP,SKP,SkåP,TRP,VL-S,ÖVR
SE_0114,Upplands-Väsby,30740,26036,15,180,5970,1618,1463,1734,6966,2069,1012,4659,96,80,0,23,10,0,11,0,0,0,5,18,3,49,20,0,0,18,0,4,2,0,0,0,0
SE_0115,Vallentuna,23438,21099,17,125,5927,2119,1620,1588,3962,937,1017,3485,57,78,0,21,21,0,20,0,0,2,3,0,6,53,12,0,0,21,0,0,1,0,1,0,1
SE_0117,Österåker,31309,27947,37,192,8224,2592,2072,1976,5463,1376,1231,4459,82,74,0,13,6,0,24,0,0,4,0,1,1,85,6,0,0,13,0,0,5,0,0,0,4
SE_0120,Värmdö,31371,28335,19,191,7728,2743,1799,1657,5759,1693,1522,4832,102,83,0,20,20,0,42,0,0,7,2,12,3,68,9,0,0,11,0,0,1,0,0,0,2
SE_0123,Järfälla,53230,45948,34,243,10937,2881,2756,2872,12635,3995,2074,6847,155,150,0,38,13,0,22,0,0,4,5,77,4,96,18,0,1,45,0,6,14,0,1,0,8
SE_0125,Ekerö,19472,17946,15,115,5010,2002,1361,1398,3059,848,1016,2887,61,63,0,17,5,0,7,0,0,1,4,7,0,55,1,0,0,8,0,1,2,0,0,0,1
SE_0126,Huddinge,72839,61869,44,359,14789,4620,3772,3287,16033,5303,3271,9319,303,260,0,59,25,1,30,0,0,12,22,37,1,177,21,0,1,82,0,0,9,0,0,0,6
SE_0127,Botkyrka,58436,45719,21,293,8407,2354,1992,3691,14680,4471,1749,7287,200,143,0,25,75,2,27,0,0,11,2,49,3,85,13,0,6,77,0,0,19,0,0,0,25
SE_0128,Salem,11463,10066,2,75,2480,760,757,797,2304,597,447,1685,32,32,0,5,3,0,6,0,0,0,3,15,0,34,4,0,0,22,0,0,2,0,0,0,0
SE_0136,Haninge,59890,50940,28,400,11583,3058,2579,2704,13776,4036,1875,10042,190,233,0,45,64,0,31,0,0,2,17,29,8,110,26,0,2,60,0,4,5,0,1,0,4
SE_0138,Tyresö,33776,30482,17,195,7818,2399,2099,1741,7223,1929,1636,4941,115,98,0,27,45,3,23,0,0,1,2,11,2,94,6,0,0,44,0,0,2,0,0,0,1
SE_0139,Upplands-Bro,19023,16506,9,124,3790,984,889,1234,4281,1089,532,3291,56,71,0,9,18,0,11,0,0,2,1,32,2,48,10,0,0,10,0,4,1,0,0,0,1
SE_0140,Nykvarn,7623,6916,5,64,1865,524,312,415,1535,241,204,1681,17,25,0,0,1,0,7,0,0,2,1,2,2,9,2,0,0,2,0,0,0,0,0,0,0
SE_0160,Täby,51157,46616,20,204,16687,5094,4966,3853,6491,1483,1908,5293,120,153,0,24,24,0,19,0,0,2,9,43,2,164,10,0,0,32,0,0,6,0,0,0,3
SE_0162,Danderyd,23891,21961,6,52,9106,2470,2450,2212,1760,516,825,2263,61,71,0,10,11,0,8,0,0,10,4,23,1,78,2,0,0,14,0,0,2,0,0,0,0
SE_0163,Sollentuna,49597,43934,25,220,12260,4445,3918,3290,9107,2833,2293,4910,144,155,0,42,8,0,30,0,0,8,7,28,2,131,5,0,0,37,0,1,17,0,0,0,5
