gisco_id,name,registered,turnout,invalid,blank,C,L,KD,S,V,MP (1981),SD,ÖVR
SE_1440,Ale,23187,19730,33,180,1029,648,1100,5834,1301,694,5015,328
SE_1489,Alingsås,31871,28004,19,251,1930,1416,2023,8256,1811,1607,5295,417
SE_0764,Alvesta,14578,12351,18,107,764,292,891,3544,505,318,3472,245
SE_0604,Aneby,5113,4511,6,40,414,154,511,1115,119,122,1203,78
SE_1984,Arboga,10941,9195,11,103,474,324,434,3069,437,316,2324,103
SE_2506,Arjeplog,2126,1746,3,26,77,51,151,651,134,59,426,13
SE_2505,Arvidsjaur,4772,4054,2,50,226,130,203,1681,285,51,960,35
SE_1784,Arvika,19885,16818,16,209,991,484,920,5796,901,693,3859,145
SE_1882,Askersund,9144,7914,4,93,505,219,438,2504,262,231,2317,118
SE_2084,Avesta,17253,14504,7,153,697,371,774,5122,657,316,4006,205
SE_1460,Bengtsfors,7070,5905,4,61,347,141,380,1903,260,192,1735,49
SE_2326,Berg,5527,4625,3,68,434,63,260,1476,198,153,1115,67
SE_2403,Bjurholm,1832,1518,1,17,121,45,137,447,42,29,364,14
SE_1260,Bjuv,10979,8776,8,107,255,155,356,2347,319,118,3644,163
SE_2582,Boden,22022,18804,19,211,896,436,834,7831,975,460,4213,196
SE_1443,Bollebygd,7202,6414,4,54,412,258,420,1627,272,248,1763,78
SE_2183,Bollnäs,20585,17166,30,197,1264,443,1047,6100,870,512,4170,175
SE_0885,Borgholm,8990,7805,7,83,673,239,571,2169,290,337,1967,98
SE_2081,Borlänge,38802,32251,28,375,1677,1124,1515,10831,1917,1170,7794,488
SE_1490,Borås,83786,69024,73,668,4043,2889,4305,20724,4197,2563,14652,1157
SE_0127,Botkyrka,61194,43645,52,331,2027,1358,2837,13960,4468,1697,7982,1454
SE_0560,Boxholm,4307,3789,4,36,222,93,226,1347,154,98,999,52
SE_1272,Bromölla,9567,8102,7,105,191,214,414,2261,267,143,3127,90
SE_2305,Bräcke,4820,3988,4,54,320,48,187,1446,181,99,1086,47
SE_1231,Burlöv,13481,10044,12,85,487,362,332,3247,713,374,2409,271
SE_1278,Båstad,12600,10981,3,90,832,678,747,2258,286,461,2690,126
SE_1438,Dals-Ed,3504,2915,2,38,248,73,312,667,86,46,910,52
SE_0162,Danderyd,24246,21755,24,73,2163,2664,1285,2708,465,899,2405,194
SE_1862,Degerfors,7456,6332,9,62,244,143,260,2482,485,148,1666,83
SE_2425,Dorotea,1937,1566,0,43,116,58,78,641,131,26,351,18
SE_1730,Eda,5458,4386,4,62,267,92,395,1441,131,59,1292,36
SE_0125,Ekerö,20320,18360,29,145,1662,1150,1030,4187,686,1112,3503,198
SE_0686,Eksjö,13389,11592,7,128,1039,437,912,3264,414,346,2791,216
SE_0862,Emmaboda,6884,5844,4,77,398,141,361,1922,251,155,1616,78
SE_0381,Enköping,34998,29524,27,304,1954,1065,1858,8146,1232,978,7206,429
SE_0484,Eskilstuna,78420,63018,62,643,3180,2245,2949,20584,3695,2158,15090,907
SE_1285,Eslöv,24959,20928,17,226,1059,747,970,5853,975,742,6340,333
SE_1445,Essunga,4380,3829,5,36,309,71,225,1021,134,93,1133,35
SE_1982,Fagersta,9607,7759,10,115,252,189,368,2715,587,186,2127,83
SE_1382,Falkenberg,35872,30707,35,354,2568,1216,1663,9547,1282,1055,6572,308
SE_1499,Falköping,24879,21182,26,223,1491,662,1595,6224,1022,723,5259,330
SE_2080,Falun,46002,40039,30,415,3217,1567,2205,12440,2391,2447,7352,595
SE_1782,Filipstad,7763,6244,10,102,188,150,303,2249,315,100,1863,73
SE_0562,Finspång,16657,14214,11,204,673,443,774,4965,752,401,3656,206
SE_0482,Flen,12039,9939,7,95,616,302,499,3428,506,404,2452,124
SE_1763,Forshaga,8824,7672,12,78,379,177,448,2861,322,210,2023,83
SE_1439,Färgelanda,5021,4295,0,39,288,117,279,1137,134,72,1627,50
SE_2026,Gagnef,8044,7070,11,91,574,200,627,1884,339,273,1937,68
SE_0662,Gislaved,21367,17436,27,235,1216,515,1334,4982,598,317,4732,159
SE_0461,Gnesta,8615,7447,5,82,557,217,319,2141,505,456,1631,106
SE_0617,Gnosjö,6831,5571,1,52,399,166,716,1358,143,92,1464,41
SE_0980,Gotland,48274,42047,55,533,4858,1169,1645,14361,2642,2683,6504,628
SE_1764,Grums,6952,5849,10,90,294,102,251,2178,248,104,1693,59
SE_1444,Grästorp,4530,4001,6,52,368,125,267,980,104,94,1161,49
SE_1447,Gullspång,4029,3359,7,53,195,74,164,1139,153,74,971,60
SE_2523,Gällivare,13652,11056,6,91,303,151,474,4219,894,394,2978,125
SE_2180,Gävle,78868,66236,77,601,3287,2464,2806,21861,4251,2627,14794,908
SE_1480,Göteborg,434273,350516,381,3032,20343,20317,15170,95980,44602,27485,50889,8160
SE_1471,Götene,10275,9053,5,97,671,285,722,2884,394,351,2096,107
SE_0643,Habo,25464,22488,8,232,1311,925,1757,5605,767,656,5933,274
