gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),JL,SD,ÖVR
SE_1440,Ale,18859,6910,19,185,756,375,620,400,1886,1231,363,968,57,50
SE_1489,Alingsås,27106,11398,22,287,1667,567,1376,1095,2177,1698,934,1457,71,47
SE_0764,Alvesta,14393,4830,2,157,647,666,219,295,1162,543,186,824,111,18
SE_0604,Aneby,4988,1731,2,46,158,271,91,359,290,147,83,261,9,14
SE_1984,Arboga,10461,3793,0,124,536,268,240,170,1071,398,206,755,16,9
SE_2506,Arjeplog,2595,1016,3,30,47,65,28,31,304,357,36,109,4,2
SE_2505,Arvidsjaur,5562,2181,5,36,147,132,78,39,702,722,41,203,1,75
SE_1784,Arvika,20200,6133,15,203,740,481,442,281,1763,810,436,763,114,85
SE_1882,Askersund,9078,3232,3,115,413,313,171,271,936,311,137,506,52,4
SE_2084,Avesta,17473,5949,3,137,603,455,294,298,1953,953,293,874,21,65
SE_1460,Bengtsfors,8032,2537,4,48,255,184,126,183,639,293,116,644,4,41
SE_2326,Berg,6097,2131,4,35,115,417,50,69,379,331,134,449,2,146
SE_2403,Bjurholm,2056,741,1,5,84,96,80,55,152,186,13,56,3,10
SE_1260,Bjuv,10126,2511,7,93,461,129,114,82,1006,196,89,197,126,11
SE_2582,Boden,21939,8333,18,169,1139,325,250,295,2462,2280,288,1026,16,65
SE_1443,Bollebygd,5907,2310,6,45,407,159,195,163,485,381,85,359,9,16
SE_2183,Bollnäs,20785,5895,16,166,544,866,290,232,1232,823,342,1131,22,231
SE_0885,Borgholm,8916,3058,11,70,525,738,161,177,579,236,123,413,6,19
SE_2081,Borlänge,35791,12855,26,384,1275,624,752,596,4173,1853,687,2211,137,137
SE_1490,Borås,74549,27537,68,738,4258,1279,2766,1804,6809,3232,1376,4310,250,647
SE_0127,Botkyrka,49085,16784,36,347,2530,301,1521,1179,4969,1908,1128,2528,145,192
SE_0560,Boxholm,4069,1345,1,57,105,204,42,86,425,158,51,204,12,0
SE_1272,Bromölla,9285,2609,6,110,310,136,147,100,952,417,141,221,48,21
SE_2305,Bräcke,5684,2554,3,108,172,284,48,24,711,479,92,496,6,131
SE_1231,Burlöv,11140,3725,5,88,667,102,349,109,1263,301,166,408,245,22
SE_1278,Båstad,11377,4257,8,138,1504,451,436,164,529,192,161,572,56,46
SE_1438,Dals-Ed,3657,1082,3,22,96,129,47,103,212,118,43,278,2,29
