gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,PP,d,FRP,Kustkult,SF,BRP,AfS,CSIS,DD,DP,EAP,KLP,KrVP,Lpo,MED,NYREF,PV,SKP,SkåP,TRP,ViS
SE_0114,Upplands-Väsby,31505,16325,28.0,106,3121,1390,606,1548,3569,1073,1706,2785,91,121,0.0,1.0,0.0,0.0,0.0,65.0,1.0,7.0,10.0,0.0,5.0,7.0,2.0,25.0,2.0,11.0,6.0,0.0,0.0,39.0
SE_0115,Vallentuna,23794,14469,24.0,78,3375,1800,793,1251,2353,536,1787,2136,76,96,0.0,0.0,0.0,0.0,0.0,80.0,0.0,5.0,11.0,0.0,3.0,1.0,0.0,43.0,0.0,15.0,0.0,0.0,0.0,6.0
SE_0117,Österåker,31925,19103,42.0,112,4610,2171,970,1854,3306,736,2250,2696,95,103,0.0,0.0,0.0,0.0,0.0,68.0,0.0,11.0,7.0,0.0,3.0,2.0,3.0,27.0,0.0,19.0,6.0,0.0,0.0,12.0
SE_0120,Värmdö,31978,19297,51.0,105,4226,2196,839,1469,3442,983,2763,2795,108,106,0.0,0.0,0.0,0.0,1.0,91.0,0.0,5.0,45.0,0.0,0.0,8.0,4.0,30.0,0.0,24.0,1.0,0.0,0.0,5.0
SE_0123,Järfälla,54359,29395,51.0,182,5950,2527,1381,2482,6844,1851,3425,3999,157,178,0.0,2.0,0.0,0.0,0.0,149.0,0.0,14.0,12.0,0.0,7.0,18.0,3.0,75.0,2.0,39.0,24.0,0.0,0.0,23.0
SE_0125,Ekerö,19721,13122,22.0,74,3138,1735,685,1323,1885,458,1761,1775,74,58,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,4.0,0.0,2.0,3.0,2.0,33.0,0.0,14.0,1.0,0.0,0.0,6.0
SE_0126,Huddinge,74036,40230,83.0,227,7921,3928,1731,2853,8582,2608,5534,5646,351,259,0.0,3.0,0.0,0.0,0.0,223.0,0.0,10.0,31.0,0.0,4.0,35.0,3.0,103.0,0.0,51.0,9.0,0.0,0.0,35.0
SE_0127,Botkyrka,59492,26098,66.0,157,3850,1854,859,2500,6948,2088,2883,4140,202,187,0.0,3.0,0.0,0.0,0.0,129.0,0.0,8.0,8.0,0.0,5.0,49.0,0.0,69.0,4.0,34.0,30.0,0.0,0.0,25.0
SE_0128,Salem,11580,6778,17.0,39,1427,700,341,646,1427,276,786,955,39,33,0.0,1.0,0.0,0.0,0.0,26.0,0.0,2.0,14.0,0.0,2.0,8.0,4.0,18.0,0.0,10.0,1.0,0.0,0.0,6.0
SE_0136,Haninge,60903,30512,50.0,232,5685,2502,1043,2264,7057,1988,3046,5759,206,260,0.0,6.0,0.0,0.0,0.0,219.0,0.0,7.0,23.0,0.0,8.0,10.0,2.0,59.0,0.0,34.0,8.0,0.0,0.0,44.0
SE_0138,Tyresö,34285,21095,48.0,115,4700,1992,1018,1551,4396,952,2973,2867,122,125,0.0,0.0,0.0,0.0,0.0,111.0,0.0,4.0,29.0,1.0,0.0,7.0,1.0,37.0,0.0,20.0,3.0,0.0,0.0,23.0
SE_0139,Upplands-Bro,19413,10050,16.0,70,1883,845,423,1080,2181,550,892,1861,46,76,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,3.0,0.0,3.0,30.0,2.0,14.0,0.0,8.0,1.0,0.0,0.0,8.0
SE_0140,Nykvarn,7785,4295,8.0,28,979,428,116,304,868,96,432,956,13,26,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0
