gisco_id,name,registered,turnout,invalid,blank,SA,DeSUS,KDS,LDS,Lipa,LPR,NPS,NSi,SDS,SLS-SMS,SNS,SD,SSN,Zares,ZS
SI_1001,Jesenice,26884,15320,318,0,0,972,60,889,268,59,42,410,3672,271,724,6076,37,1457,65
SI_1002,Radovljica I,13886,8980,148,0,0,825,48,568,126,192,12,337,2662,155,475,2571,15,781,65
SI_1003,Radovljica II,15871,10397,193,0,0,729,42,1104,151,26,0,396,3052,146,602,2762,29,1071,94
SI_1004,Kranj I,20588,13306,210,0,0,878,41,586,215,94,13,464,3533,245,526,4817,15,1591,78
SI_1005,Kranj II,20625,13294,206,0,0,937,34,691,217,76,16,396,3730,319,609,4478,38,1481,66
SI_1006,Kranj III,22403,15724,308,0,0,952,55,538,188,35,16,585,6182,1429,857,3278,38,1179,84
SI_1007,Tržič,12829,8255,208,0,0,502,28,1509,98,22,18,203,2570,101,340,2038,13,570,35
SI_1008,Škofja Loka I,18336,12774,217,0,0,764,108,561,174,99,13,809,4252,473,475,3367,24,1389,49
SI_1009,Škofja Loka II,14951,10426,179,0,0,385,61,269,100,18,4,605,4184,1679,426,1964,16,494,42
SI_1010,Kamnik,26919,18376,298,0,0,1574,54,1054,265,23,0,1452,5266,420,966,5273,24,1627,80
SI_1011,Idrija,14048,9023,206,0,0,375,27,374,127,21,0,273,2960,846,405,2976,24,374,35
SI_2001,Tolmin,17088,11073,230,0,13,977,77,283,93,12,0,495,4164,985,425,2601,48,613,57
SI_2002,Piran,14907,8188,148,0,14,585,25,468,152,30,0,143,1526,108,250,3757,17,909,56
SI_2003,Izola,12818,7530,124,0,11,526,19,318,151,47,0,57,1409,70,264,3379,15,1082,58
SI_2004,Koper I,18989,10660,216,0,67,812,31,597,201,48,0,180,1853,131,288,4847,10,1290,89
SI_2005,Koper II,23024,13170,253,0,36,710,54,646,239,37,0,279,2997,306,907,4984,28,1599,95
SI_2006,Sežana,21050,13271,253,0,19,1020,53,889,241,113,0,192,2952,229,1268,4929,26,989,98
SI_2007,Ilirska Bistrica,13183,7369,229,0,7,563,93,165,57,14,0,141,2243,479,550,2147,14,650,17
SI_2008,Postojna,17616,10960,220,0,17,794,32,395,183,25,0,238,3417,623,387,3595,17,964,53
SI_2009,Nova Gorica I,25598,16380,272,0,23,1139,76,728,249,42,0,562,5110,367,701,6314,25,708,64
SI_2010,Nova Gorica II,24778,16419,256,0,35,765,91,550,177,92,0,334,3652,166,604,8379,35,1228,55
SI_2011,Ajdovščina,19908,12981,257,0,7,618,96,352,521,17,0,836,5261,255,433,3290,18,969,51
SI_3001,Cerknica- Logatec,23522,16081,275,0,0,644,271,563,206,27,17,1128,5082,664,767,5159,32,1178,68
SI_3002,Vrhnika,18582,13253,196,0,0,853,49,625,179,57,9,422,3957,338,637,4544,21,1289,77
SI_3003,LJ-Vič-Rudnik I,21966,15237,245,0,0,763,44,757,211,30,12,740,4937,788,840,4433,40,1328,69
