gisco_id,name,registered,turnout,invalid,blank,SA,DSD,DeSUS,DL,GŽS,LDS,PS,NPS,NSi,SD,SDS,SNS,SLS,SMS,SSN,SEM-Si,SHS,TRS,Zares,ZS
SI_1001,Jesenice,26789,16657,348,0,0,104,1031,1367,109,192,6426,0,588,1581,3278,227,638,75,25,35,0,244,292,97
SI_1002,Radovljica I,13977,9416,183,0,0,54,726,816,229,155,2543,0,565,910,2214,207,471,63,11,30,0,140,48,51
SI_1003,Radovljica II,15977,10698,173,0,0,42,703,967,97,112,3124,0,624,1040,2529,224,533,129,20,24,0,179,94,84
SI_1004,Kranj I,20772,14203,253,0,0,47,885,1167,32,147,5520,0,634,1200,3069,169,477,75,13,30,0,335,89,61
SI_1005,Kranj II,20831,14468,216,0,0,70,918,1209,40,123,5459,0,689,1196,3187,179,622,72,29,34,0,260,105,60
SI_1006,Kranj III,22963,16923,232,0,0,56,1043,1509,37,135,3868,0,1181,1066,5366,242,1696,84,23,34,0,236,47,68
SI_1007,Tržič,12745,8491,196,0,0,33,702,795,20,204,2508,0,400,588,2285,101,435,23,9,12,0,120,29,31
SI_1008,Škofja Loka I,18455,13514,206,0,0,67,645,1128,54,100,3988,0,978,893,3876,180,816,152,20,40,0,163,160,48
SI_1009,Škofja Loka II,15202,10906,163,0,0,45,515,1095,32,87,1878,0,1100,704,3644,141,1209,71,18,26,0,122,31,25
SI_1010,Kamnik,27518,19605,305,0,0,80,1533,1444,21,170,6129,0,1982,1441,4690,297,974,87,20,34,0,228,115,55
SI_1011,Idrija,14041,9199,205,0,0,62,425,776,24,63,1790,0,560,1467,2479,134,889,78,12,23,0,146,30,36
SI_2001,Tolmin,17008,11060,227,0,27,65,717,909,111,140,1944,0,735,1158,3538,202,702,294,27,13,14,147,39,51
SI_2002,Piran,14904,8656,158,0,12,54,805,703,17,99,2892,0,222,1574,1458,111,146,78,28,11,27,163,45,53
SI_2003,Izola,12909,7893,179,0,15,39,661,621,25,101,2832,0,141,1408,1154,98,227,69,14,9,8,150,99,43
SI_2004,Koper I,18828,11158,222,0,36,65,912,856,35,126,4178,0,273,1833,1666,115,220,83,18,18,21,252,162,67
SI_2005,Koper II,23776,14451,269,0,36,121,1328,1216,29,161,4355,0,515,2286,2783,293,458,89,27,57,10,224,121,73
SI_2006,Sežana,21441,13544,288,0,28,141,1155,1101,38,184,3644,0,353,2863,2480,203,481,124,48,17,18,212,89,77
SI_2007,Ilirska Bistrica,13283,7486,184,0,10,59,788,732,15,71,1826,0,229,842,1926,123,377,37,19,8,11,73,127,29
SI_2008,Postojna,17980,11421,197,0,13,52,607,931,27,121,3644,0,512,1102,3146,106,588,51,20,7,9,183,69,36
SI_2009,Nova Gorica I,25747,16872,276,0,14,121,984,1396,84,222,3308,0,1104,3650,4335,214,638,146,37,27,14,185,58,59
SI_2010,Nova Gorica II,24694,16424,207,0,16,80,758,1175,72,140,4327,0,645,4684,3002,224,386,104,15,30,21,307,177,54
SI_2011,Ajdovščina,20320,14086,230,0,5,418,783,1326,17,90,2272,0,1583,1838,4285,101,741,166,27,16,5,120,32,31
SI_3001,Cerknica- Logatec,24262,17141,254,0,0,72,700,1618,55,194,4895,100,1419,1381,4872,196,944,163,0,44,0,0,234,0
SI_3002,Vrhnika,19093,14036,198,0,0,61,699,1196,71,99,5066,78,794,1323,3262,203,759,134,0,49,0,0,44,0
SI_3003,LJ-Vič-Rudnik I,23138,16752,257,0,0,64,673,1266,55,120,5872,79,860,1204,4708,221,1145,138,0,32,0,0,58,0
SI_3004,LJ-Vič- Rudnik II,16496,12074,131,0,0,45,359,902,24,87,5967,33,485,962,2338,130,384,116,0,47,0,0,64,0
SI_3005,LJ-Vič- Rudnik III,16267,11883,136,0,0,62,467,931,34,85,5482,55,446,1265,2245,103,302,112,0,51,0,0,107,0
SI_3006,LJ-Vič- Rudnik IV,20639,15065,182,0,0,67,587,1335,62,119,4790,64,1134,1257,4327,164,688,183,0,43,0,0,63,0
SI_3007,LJ- center,21876,14343,176,0,0,59,421,923,54,155,6807,48,712,1756,2348,112,330,213,0,54,0,0,175,0
SI_3008,LJ-Šiška I,14885,10434,131,0,0,52,430,690,41,150,5200,58,323,1150,1653,118,209,120,0,40,0,0,69,0
SI_3009,LJ-Šiška II,17935,12815,154,0,0,58,517,876,31,104,6241,40,431,1514,2104,102,345,152,0,48,0,0,98,0
SI_3010,LJ-Šiška III,17295,12606,140,0,0,79,515,955,56,99,5682,53,573,1240,2463,120,391,146,0,44,0,0,50,0
SI_3011,LJ-Šiška IV,21125,15774,252,0,0,94,876,1346,108,118,5582,74,954,1298,3768,210,818,154,0,46,0,0,76,0
SI_4001,Kočevje,15087,9310,205,0,0,50,664,742,15,86,3007,13,264,1852,1452,181,325,108,10,0,0,94,212,30
SI_4002,Ribnica,11634,7686,107,0,0,34,310,615,10,58,1522,16,827,462,2823,111,519,31,13,0,0,51,153,24
SI_4003,Grosuplje,30381,21734,290,0,0,119,889,1354,21,213,4880,31,1104,1253,9696,271,1107,86,20,0,0,244,85,71
SI_4004,Litija,16842,11636,213,0,0,67,690,748,84,122,3346,24,477,869,3126,226,1278,60,15,0,0,89,172,30
SI_4005,LJ-Moste- Polje I,22261,16132,228,0,0,76,798,1127,31,124,6679,27,803,1176,3648,187,762,63,17,0,0,267,61,58
SI_4006,LJ-Moste- Polje II,16970,11574,164,0,0,33,600,611,19,117,6522,22,350,903,1459,118,213,57,10,0,0,295,39,42
SI_4007,LJ-Moste- Polje III,20849,14290,163,0,0,56,618,819,37,164,7210,31,506,1219,2437,140,380,62,21,0,0,285,82,60
SI_4008,LJ- Bežigrad I,23327,17311,197,0,0,65,746,1241,37,182,7496,21,885,1664,3363,184,575,111,33,0,0,395,57,59
SI_4009,LJ- Bežigrad II,22062,15383,186,0,0,62,629,985,33,179,7515,28,473,1700,2449,146,325,91,11,0,0,395,109,67
SI_4010,Domžale I,22840,16427,282,0,0,67,819,1872,30,206,4938,17,1454,1281,3802,235,994,82,20,0,0,196,44,88
SI_4011,Domžale II,21432,15618,207,0,0,45,900,1378,35,155,6108,21,960,1371,3163,176,619,87,14,0,0,268,47,64
SI_5001,Šentjur,16972,10497,225,0,0,56,896,1028,14,279,1555,0,380,738,3890,170,766,56,0,12,0,322,33,77
SI_5002,Celje I,29342,18995,361,0,0,167,1635,1743,57,407,4119,0,705,1668,5956,371,1250,86,0,40,0,268,74,88
SI_5003,Celje II,23464,14937,224,0,0,121,1284,1364,51,166,4429,0,356,1852,3555,219,705,107,0,55,0,286,73,90
