gisco_id,name,registered,turnout,invalid,blank,DeSUS,DL,NPS,ZL,LGS,NSi,PIRATI,PS,SD,SDS,SNS,SLS,SMC,SHS,Verjamem,SAB,ZS
SI_1001,Jesenice,26647,11630,182,0,1082,48,84,696,0,497,195,563,600,2123,165,382,4240,0,73,600,100
SI_1002,Radovljica I,14038,7859,126,0,779,97,40,474,0,439,183,118,336,1619,263,243,2661,0,61,368,52
SI_1003,Radovljica II,16010,8574,132,0,704,69,55,591,0,517,175,189,382,1628,179,162,3210,0,93,446,42
SI_1004,Kranj I,20632,10964,160,0,878,69,48,842,0,638,241,412,411,2018,175,153,3958,0,88,791,82
SI_1005,Kranj II,20856,10964,167,0,936,85,48,779,0,693,188,422,402,1991,218,317,3827,0,99,746,46
SI_1006,Kranj III,23398,13643,209,0,1002,65,57,715,0,1212,271,280,337,3748,294,615,4028,0,113,594,103
SI_1007,Tržič,12733,6421,124,0,662,33,56,368,0,293,0,212,199,1375,124,193,2404,0,61,258,59
SI_1008,Škofja Loka I,18500,10697,157,0,671,133,47,844,0,782,130,253,336,2862,209,395,3344,0,85,396,53
SI_1009,Škofja Loka II,15330,9016,132,0,391,558,0,521,0,728,106,104,243,2639,176,815,2292,0,48,227,36
SI_1010,Kamnik,27700,15577,182,0,1706,78,69,892,0,1938,240,452,523,3053,271,340,5128,0,99,553,53
SI_1011,Idrija,13958,7483,138,0,452,72,35,419,0,540,95,78,804,1481,96,525,2449,0,42,228,29
SI_2001,Tolmin,16853,9190,137,0,742,34,0,408,0,670,135,148,374,2526,139,550,2718,0,94,455,60
SI_2002,Piran,15029,6889,102,0,1071,42,27,457,0,207,147,197,741,875,116,92,2342,0,31,397,45
SI_2003,Izola,12873,6167,101,0,864,28,32,448,0,136,95,264,510,715,113,92,2352,0,58,320,39
SI_2004,Koper I,18807,8815,104,0,1193,36,21,880,0,219,206,421,580,926,104,113,3349,0,72,540,51
SI_2005,Koper II,24183,11566,167,0,1438,65,21,891,0,469,242,361,607,1370,178,247,4716,0,65,655,74
SI_2006,Sežana,21655,11003,202,0,1134,72,23,720,0,410,190,250,1194,1637,240,216,3898,0,93,653,71
SI_2007,Ilirska Bistrica,13192,5689,123,0,693,105,22,214,0,222,0,123,382,1170,83,250,1962,0,27,267,46
SI_2008,Postojna,18140,9061,154,0,698,41,17,490,0,472,162,302,467,2082,104,267,3243,0,38,483,41
SI_2009,Nova Gorica I,25625,13342,158,0,1324,78,19,682,0,890,192,202,1467,3069,166,449,3921,0,94,565,66
SI_2010,Nova Gorica II,24409,13377,145,0,1237,87,30,1103,0,542,216,386,1276,2310,147,206,4557,0,140,909,86
SI_2011,Ajdovščina,20530,11696,228,0,831,38,21,626,0,1422,200,239,762,3379,156,273,2925,0,154,380,62
SI_3001,Cerknica- Logatec,24596,14085,205,0,843,204,43,758,0,1427,0,324,625,3530,233,519,4531,0,120,653,70
SI_3002,Vrhnika,19431,11292,147,0,877,73,25,733,0,752,246,381,499,2353,200,289,4176,0,72,423,46
SI_3003,LJ-Vič-Rudnik I,23914,13640,186,0,998,57,28,777,0,736,222,552,497,3394,253,572,4741,0,81,498,48
SI_3004,LJ-Vič- Rudnik II,16715,9395,94,0,578,54,14,739,0,462,160,695,376,1785,111,136,3570,0,72,497,52
SI_3005,LJ-Vič- Rudnik III,16278,9781,64,0,690,62,14,799,0,394,146,451,473,1658,100,127,4171,0,78,502,52
SI_3006,LJ-Vič- Rudnik IV,20890,12119,133,0,671,76,22,829,0,1031,199,351,428,3140,163,302,4106,0,116,501,51
SI_3007,LJ- center,22173,11661,134,0,504,62,18,1421,0,601,224,685,673,1840,82,120,4468,0,76,689,64
SI_3008,LJ-Šiška I,14758,8205,69,0,621,56,17,779,0,296,188,494,491,1140,102,74,3293,0,78,468,39
SI_3009,LJ-Šiška II,18248,10410,120,0,783,81,14,855,0,417,163,597,656,1521,102,119,4194,0,90,652,46
SI_3010,LJ-Šiška III,17197,9934,95,0,646,62,19,762,0,498,208,568,471,1838,125,131,3854,0,72,540,45
SI_3011,LJ-Šiška IV,21436,12662,167,0,868,95,0,711,0,887,225,481,512,2700,235,281,4683,0,122,628,67
SI_4001,Kočevje,14877,6935,80,0,739,10,20,275,14,342,0,291,1201,881,179,136,2452,0,56,232,27
SI_4002,Ribnica,11659,6239,88,0,397,13,18,212,9,635,58,93,185,1975,121,675,1532,0,25,176,27
SI_4003,Grosuplje,30991,17405,210,0,1037,74,30,673,48,1153,204,361,501,6116,265,660,5425,0,90,485,73
SI_4004,Litija,17037,9205,130,0,831,48,20,465,10,356,89,300,317,1936,227,1078,2962,0,68,334,34
SI_4005,LJ-Moste- Polje I,22703,12500,149,0,955,63,39,793,21,715,316,773,486,2548,214,298,4473,0,86,501,70
SI_4006,LJ-Moste- Polje II,16463,7975,99,0,779,37,18,755,9,282,119,849,424,920,95,78,3001,0,76,396,38
SI_4007,LJ-Moste- Polje III,20748,10607,138,0,905,42,17,814,21,420,300,857,511,1676,141,168,3927,0,71,555,44
SI_4008,LJ- Bežigrad I,23427,13943,146,0,994,90,28,1059,16,801,220,634,744,2469,169,191,5479,0,89,748,66
SI_4009,LJ- Bežigrad II,22039,12286,127,0,897,67,29,1210,21,462,267,828,774,1734,144,123,4752,0,90,701,60
SI_4010,Domžale I,23341,13214,188,0,1111,108,33,641,21,1284,241,327,491,2695,311,445,4596,0,86,565,71
SI_4011,Domžale II,21803,12485,126,0,1116,84,0,810,26,816,241,438,452,2267,230,216,4957,0,111,551,44
SI_5001,Šentjur,17097,8570,131,0,896,30,33,339,0,380,0,89,363,2139,189,492,3088,0,80,250,71
SI_5002,Celje I,29571,14575,200,0,1836,56,41,810,0,684,243,316,528,3161,356,730,4877,0,102,550,85
SI_5003,Celje II,23153,11625,143,0,1571,48,35,740,0,321,215,378,595,1979,197,283,4375,0,98,564,83
SI_5004,Žalec I,17893,9811,93,0,1624,32,29,418,0,339,167,205,465,2316,233,234,3082,0,67,441,66
SI_5005,Žalec II,18509,10440,95,0,1413,54,34,380,0,733,150,157,608,2086,219,528,3411,0,76,446,50
SI_5006,Mozirje,13907,7614,120,0,742,96,25,355,0,492,0,109,231,2043,154,802,2146,0,37,226,36
SI_5007,Velenje I,16759,8619,131,0,1186,20,19,480,0,282,131,391,991,1521,136,130,2801,0,65,310,25
SI_5008,Velenje II,17651,9204,141,0,1235,30,9,476,0,439,127,290,804,2145,237,333,2522,0,56,327,33
SI_5009,Slovenj Gradec,18243,10137,137,0,1233,28,13,485,0,414,142,199,1041,1654,184,433,3677,0,48,422,27
SI_5010,Ravne na Koroškem,21892,11182,121,0,1437,64,23,456,0,471,140,282,724,2168,213,270,4278,0,83,401,51
SI_5011,Dravograd- Radlje,21337,10474,127,0,1680,43,36,510,0,435,0,138,669,2123,247,323,3611,0,94,389,49
SI_6001,Črnomelj- Metlika,23384,11033,170,0,1316,45,18,375,0,876,0,643,1265,1816,314,672,3131,0,37,317,38
SI_6002,Novo mesto I,26819,13065,209,0,1187,52,46,511,0,1143,0,206,505,3977,400,694,3495,0,95,461,84
SI_6003,Novo mesto II,25893,14099,166,0,1499,56,35,738,0,717,194,369,829,2767,349,383,5033,0,90,791,83
SI_6004,Trebnje,16476,8698,127,0,597,37,24,540,0,636,0,111,269,2314,186,600,2947,0,37,245,28
SI_6005,Brežice,21555,9844,115,0,909,50,19,776,0,260,70,251,406,2466,155,329,3565,0,38,385,50
SI_6006,Krško,24034,11534,138,0,1126,36,22,693,0,409,84,165,406,2490,301,1510,3665,0,96,334,59
SI_6007,Sevnica,14771,7725,96,0,843,31,14,370,0,259,60,112,265,1943,132,934,2399,0,31,218,18
SI_6008,Laško,15421,7967,116,0,878,23,12,311,0,530,124,95,1332,1503,170,428,2067,0,34,299,45
SI_6009,Hrastnik,8301,4266,51,0,797,75,5,247,0,58,32,272,395,334,71,84,1547,0,24,251,23
SI_6010,Trbovlje,14437,7711,120,0,1130,29,6,919,0,137,0,330,601,974,85,155,2770,0,36,387,32
SI_6011,Zagorje,14249,7836,92,0,936,81,0,416,0,406,0,249,486,1080,141,386,3105,0,47,376,35
