gisco_id,name,registered,turnout,invalid,blank,ZS,DeSUS,DD,GAS,ZSi,GSN,ZD [Združena desnica],Levica,LMŠ,LNBP,NPS,NSi,PIRATI,ReSET,SDS,SLS,SNS,SMC,SPS,SD,SOL,SSN,SAB,ZD (2018)
SI_1001,Jesenice,26612,11924,165,0,68,640,176,31,84,68,0,1331,1759,138,45,646,319,0,2739,134,462,1012,65,1044,36,18,855,89
SI_1002,Radovljica I,13709,7769,103,0,47,347,105,20,34,22,0,623,1042,62,13,542,205,0,1840,130,266,609,23,595,15,17,1055,54
SI_1003,Radovljica II,15967,8756,83,0,66,281,174,19,67,54,0,919,1305,97,20,577,306,0,2046,89,391,750,25,719,20,17,642,89
SI_1004,Kranj I,20685,10980,146,0,92,486,198,41,91,37,0,1247,1535,116,27,757,311,0,2401,95,356,967,24,808,15,18,1137,75
SI_1005,Kranj II,20749,11050,122,0,76,448,185,19,92,42,0,1208,1449,92,20,828,317,0,2410,157,416,994,25,770,19,16,1274,71
SI_1006,Kranj III,23913,14517,168,0,100,401,287,80,100,32,0,942,2241,135,23,1443,405,0,4405,501,546,1010,17,778,19,28,757,99
SI_1007,Tržič,12697,6762,110,0,45,394,331,32,35,17,0,563,1022,67,18,415,155,0,1790,86,218,570,13,466,6,10,352,47
SI_1008,Škofja Loka I,18573,10903,127,0,92,309,147,28,40,41,0,1537,1357,95,21,1074,235,0,3193,247,289,818,19,634,17,18,486,79
SI_1009,Škofja Loka II,15437,9360,124,0,80,212,104,22,65,39,0,707,1199,66,0,1117,184,0,3252,514,245,530,6,520,18,11,300,45
SI_1010,Kamnik,27964,17136,174,0,59,419,160,27,42,47,0,1085,6160,109,0,2480,278,0,3140,219,321,1039,31,656,12,13,592,73
SI_1011,Idrija,13760,7388,161,0,51,184,106,17,53,73,0,616,1039,70,0,671,191,0,1742,188,217,595,14,1034,27,14,243,82
SI_2001,Tolmin,16520,9109,137,0,40,410,102,29,45,77,11,633,795,49,0,989,183,0,2739,375,206,699,38,923,33,12,400,184
SI_2002,Piran,14938,6656,115,0,128,458,153,18,33,73,14,965,621,79,0,270,188,0,1002,43,155,698,17,1026,28,20,470,82
SI_2003,Izola,12761,5960,120,0,31,510,182,17,22,143,8,846,572,82,0,197,157,0,930,67,176,727,10,720,20,0,348,75
SI_2004,Koper I,18762,8428,146,0,76,538,156,22,44,131,7,1648,876,93,0,408,279,0,1026,55,264,822,34,1030,54,12,628,79
SI_2005,Koper II,24784,11303,225,0,137,616,262,85,66,186,12,1689,1342,157,0,644,271,0,1762,86,409,1234,23,1187,49,22,719,120
SI_2006,Sežana,21862,10745,188,0,87,640,164,36,56,267,24,1398,1157,88,0,512,287,0,1792,130,489,854,21,1405,17,20,1028,85
SI_2007,Ilirska Bistrica,13031,5890,102,0,33,486,85,66,20,62,8,552,544,47,0,696,93,0,1335,68,253,478,11,626,14,9,280,22
SI_2008,Postojna,18152,9178,97,0,54,408,122,28,23,41,18,1085,1158,77,0,604,228,0,2481,229,258,925,27,750,16,14,490,45
SI_2009,Nova Gorica I,25420,13073,170,0,82,814,147,69,95,115,15,1137,1044,138,0,1038,281,0,3372,323,360,929,32,1887,32,18,876,99
SI_2010,Nova Gorica II,24294,12900,166,0,77,613,228,88,118,234,9,1815,950,104,0,734,284,0,2586,133,268,956,23,2324,47,17,1043,83
SI_2011,Ajdovščina,20670,11834,230,0,87,289,105,47,124,83,14,1043,961,191,0,1787,256,0,3498,204,244,593,17,1606,33,0,356,66
SI_3001,Cerknica- Logatec,24977,14300,169,0,79,527,190,74,64,48,16,1280,1989,106,0,1753,347,0,3872,268,432,1206,29,1137,48,12,534,120
SI_3002,Vrhnika,19824,11646,122,0,96,455,184,48,55,59,6,1240,1707,100,0,908,359,0,2784,102,379,1115,31,1165,23,12,594,102
SI_3003,LJ-Vič-Rudnik I,24837,14196,140,0,96,528,290,51,50,54,9,1368,1927,139,0,1014,371,0,3940,336,454,1422,19,1096,56,24,711,101
SI_3004,LJ-Vič- Rudnik II,16887,9480,83,0,0,464,158,27,23,55,4,1479,1066,100,0,663,319,0,1924,67,231,1287,19,829,19,8,560,95
SI_3005,LJ-Vič- Rudnik III,16601,9887,69,0,54,445,183,28,28,49,11,1621,1007,105,0,566,319,0,1777,50,228,1656,21,841,18,8,744,59
SI_3006,LJ-Vič- Rudnik IV,21334,12503,118,0,65,357,192,42,61,35,19,1526,1496,138,0,971,328,0,3715,180,319,1308,22,908,15,9,601,78
SI_3007,LJ- center,22385,11664,113,0,71,441,197,59,26,41,5,2836,910,117,0,658,446,0,1943,67,171,1408,22,1218,45,14,788,68
