gisco_id,name,registered,turnout,invalid,blank,DeSUS,DOM,Resni.ca,GS,ZSi,Levica,LBP,LMŠ,ND,NP-DD,ZD (2018),NSi,PIRATI,PoS,SDS,SNS,SD,SAB,VESNA,ZLS,ZSi-SSN
SI_1001,Jesenice,26220,16981,225,0,129,80,957,5846,0,694,73,702,280,626,341,779,334,462,3148,194,1058,670,225,121,37
SI_1002,Radovljica I,13434,10215,105,0,45,48,290,3191,0,498,54,404,129,154,294,737,184,418,2196,162,598,356,216,116,20
SI_1003,Radovljica II,15916,11916,126,0,54,30,530,4057,0,577,50,562,175,169,411,809,216,248,2393,140,692,340,207,105,25
SI_1004,Kranj I,20383,14738,116,0,93,46,746,5272,0,796,31,581,126,183,230,911,277,302,2821,173,940,726,243,111,14
SI_1005,Kranj II,20456,14995,133,0,72,52,855,5149,0,730,26,566,152,206,243,1069,296,409,2911,177,813,829,186,111,10
SI_1006,Kranj III,24293,19276,174,0,63,41,655,5384,0,639,45,807,343,258,355,2141,338,1115,4927,282,802,481,288,120,18
SI_1007,Tržič,12493,8915,107,0,53,11,378,3267,0,346,41,299,77,158,304,628,165,151,1909,102,359,216,264,67,13
SI_1008,Škofja Loka I,18616,14237,125,0,61,35,422,4410,0,938,28,478,140,219,256,1130,270,515,3753,175,594,348,238,89,13
SI_1009,Škofja Loka II,15419,12209,104,0,51,30,332,2742,0,429,26,406,189,153,194,1318,218,600,4202,175,530,228,177,99,6
SI_1010,Kamnik,27960,21283,177,0,96,50,472,6611,0,791,38,2768,253,275,311,2610,358,395,4069,211,887,490,263,147,11
SI_1011,Idrija,13497,9935,154,0,45,7,272,3041,0,354,39,446,128,114,160,848,165,512,2270,142,864,178,134,53,9
SI_2001,Tolmin,16066,11449,101,0,68,15,174,3730,0,363,18,246,167,95,195,1157,152,718,2838,118,895,167,165,54,13
SI_2002,Piran,14707,9350,104,0,68,19,263,3691,0,527,121,313,81,178,263,315,152,140,1510,62,1097,285,87,60,14
SI_2003,Izola,12644,8556,105,0,83,22,234,3682,0,484,136,242,75,200,195,273,154,193,1234,52,710,321,86,64,11
SI_2004,Koper I,18485,11976,152,0,86,10,316,5213,0,861,644,386,70,341,229,324,260,184,1329,80,864,422,100,92,13
SI_2005,Koper II,24985,17378,145,0,94,28,512,7466,0,834,782,611,179,432,341,646,285,279,2502,105,1169,647,167,125,29
SI_2006,Sežana,21966,15218,193,0,119,22,338,6178,0,891,100,430,375,287,308,669,275,419,2271,169,1029,853,177,94,21
SI_2007,Ilirska Bistrica,12706,7868,128,0,66,9,149,2443,0,319,30,315,144,110,59,1095,102,284,1799,121,354,186,91,55,9
SI_2008,Postojna,18119,12509,130,0,119,25,235,4266,0,618,97,747,253,179,206,661,208,378,2925,133,738,392,131,56,12
SI_2009,Nova Gorica I,25098,18329,165,0,131,33,287,7484,0,586,54,352,374,253,290,1250,268,473,4214,161,1117,315,369,131,22
SI_2010,Nova Gorica II,23879,17405,147,0,95,38,264,7936,0,835,54,292,202,647,287,760,237,373,3095,131,1321,416,187,76,12
SI_2011,Ajdovščina,20656,15548,181,0,106,24,227,4359,0,555,53,311,222,204,244,2275,281,363,4163,123,1390,217,173,69,8
SI_3001,Cerknica- Logatec,25039,18794,159,0,55,26,367,6128,0,702,95,657,274,240,414,1937,320,774,4580,201,1140,429,212,84,0
