gisco_id,name,registered,turnout,invalid,blank,NSi,SMS,SLS,NS,SD,ZS,DeSUS,SDS,Zares,NLZPB,LDS,SNS
SI_1001,Jesenice,26879,6495,310,0,885,102,107,18,1256,51,511,1574,634,32,789,226
SI_1002,Radovljica I,13846,4351,153,0,790,74,82,8,754,31,289,1114,363,29,507,157
SI_1003,Radovljica II,15861,4775,215,0,746,103,66,16,823,40,324,1145,443,20,651,183
SI_1004,Kranj I,20652,6238,288,0,972,105,53,10,1182,55,365,1515,589,40,941,123
SI_1005,Kranj II,20728,5725,232,0,900,94,80,13,964,28,358,1389,486,18,1045,118
SI_1006,Kranj III,22499,7796,248,0,1890,98,233,30,893,50,475,2443,466,37,772,161
SI_1007,Tržič,12855,3421,172,0,574,54,48,15,427,25,273,960,268,21,479,105
SI_1008,Škofja Loka I,18350,6285,214,0,1520,71,98,16,1002,27,299,1829,467,28,590,124
SI_1009,Škofja Loka II,15019,5498,148,0,1540,59,246,16,725,9,263,1724,239,9,412,108
SI_1010,Kamnik,27120,7809,259,0,1613,109,333,9,1120,54,474,2093,777,27,736,205
SI_1011,Idrija,14079,4325,201,0,880,55,337,17,769,20,211,1049,275,25,363,123
SI_2001,Tolmin,17048,5874,282,0,1423,232,183,34,789,44,425,1471,320,26,508,137
SI_2002,Piran,14886,3520,169,0,319,57,41,12,1023,40,250,529,470,36,481,93
SI_2003,Izola,12848,3050,168,0,244,52,35,8,915,30,235,506,361,19,413,64
SI_2004,Koper I,18962,4463,207,0,397,68,49,16,1419,32,336,588,596,27,652,76
SI_2005,Koper II,23160,5693,254,0,721,108,113,28,1443,44,411,979,553,47,834,158
SI_2006,Sežana,21120,6368,327,0,750,143,135,39,1306,88,601,1166,582,57,960,214
SI_2007,Ilirska Bistrica,13200,3529,253,0,495,78,102,14,619,21,354,885,203,28,354,123
SI_2008,Postojna,17729,5821,311,0,849,89,124,17,1409,49,307,1429,419,46,608,164
SI_2009,Nova Gorica I,25622,7646,337,0,1522,135,191,24,1785,58,454,1841,456,41,610,192
SI_2010,Nova Gorica II,24785,7569,265,0,1038,119,112,23,2373,92,386,1429,697,45,801,189
SI_2011,Ajdovščina,19989,6920,281,0,2078,114,122,27,1135,55,349,1891,345,26,369,128
SI_3001,Cerknica- Logatec,23220,8006,243,0,2017,134,292,36,1271,50,316,2116,563,33,723,212
SI_3002,Vrhnika,18719,5987,190,0,1154,88,99,14,1079,44,311,1602,694,28,540,144
SI_3003,LJ-Vič-Rudnik I,22229,6437,183,0,1225,94,167,21,1026,46,338,1987,576,27,579,168
SI_3004,LJ-Vič- Rudnik II,15958,4799,136,0,689,65,41,15,969,35,206,1262,671,20,575,115
SI_3005,LJ-Vič- Rudnik III,16349,5468,99,0,660,78,46,10,1340,32,283,1260,856,22,669,113
SI_3006,LJ-Vič- Rudnik IV,20282,6811,159,0,1509,116,81,9,1170,44,248,1997,706,34,587,151
SI_3007,LJ- center,21936,7072,145,0,938,111,54,18,1848,57,239,1379,1230,30,889,134
SI_3008,LJ-Šiška I,15025,4819,124,0,524,86,20,19,1331,37,258,871,723,36,665,125
SI_3009,LJ-Šiška II,17523,5841,177,0,619,80,44,10,1678,53,277,1073,941,32,713,144
SI_3010,LJ-Šiška III,17245,5528,134,0,776,89,42,21,1234,43,266,1356,716,29,679,143
SI_3011,LJ-Šiška IV,20585,6808,185,0,1416,107,92,21,1104,51,360,1725,811,37,743,156
SI_4001,Kočevje,15092,3791,134,0,438,67,88,96,1179,19,290,596,292,21,472,99
SI_4002,Ribnica,11523,4009,119,0,1099,34,141,16,433,22,174,1405,201,24,243,98
SI_4003,Grosuplje,29506,9327,242,0,1913,72,240,15,1099,54,318,3893,580,39,685,177
SI_4004,Litija,16690,4894,206,0,726,59,357,11,655,29,477,1365,382,29,480,118
SI_4005,LJ-Moste- Polje I,22015,6495,230,0,1160,128,132,19,1209,34,388,1595,657,27,719,197
SI_4006,LJ-Moste- Polje II,17414,3805,119,0,436,93,36,30,962,29,306,616,537,15,510,116
SI_4007,LJ-Moste- Polje III,20722,5794,196,0,828,83,49,13,1460,28,362,1198,712,31,719,115
