gisco_id,name,registered,turnout,invalid,blank,Konkretno,DL,ZL,SNS,Verjamem,NSi-SLS,SD,SDS,SSN,PIRATI,SOL,ZS,DeSUS,Sanjska služba,PS,Zares
SI_1001,Jesenice,26618,5906,324,0,425,121,270,168,490,619,395,1269,13,101,90,49,345,212,596,419
SI_1002,Radovljica I,14009,3900,153,0,194,49,201,163,451,613,238,949,11,97,45,33,211,119,307,66
SI_1003,Radovljica II,16002,4163,204,0,230,61,215,143,542,503,271,899,16,109,82,36,205,184,375,88
SI_1004,Kranj I,20628,5210,222,0,510,43,279,129,540,656,334,1248,16,155,89,34,319,176,398,62
SI_1005,Kranj II,20798,5080,180,0,580,58,311,137,518,723,300,1154,13,141,58,48,285,188,320,66
SI_1006,Kranj III,23376,6740,270,0,394,61,296,218,465,1659,251,1938,20,194,82,33,285,239,272,63
SI_1007,Tržič,12710,2888,146,0,174,42,126,87,265,420,165,768,12,71,34,16,249,99,164,50
SI_1008,Škofja Loka I,18479,5322,206,0,225,56,333,121,434,1096,240,1583,14,104,65,35,314,155,296,45
SI_1009,Škofja Loka II,15331,4609,190,0,178,38,196,92,216,1363,199,1512,17,86,45,17,162,117,147,34
SI_1010,Kamnik,27660,7223,293,0,288,75,362,224,724,1368,363,1749,24,183,123,39,598,311,450,49
SI_1011,Idrija,13957,3699,218,0,125,29,193,98,248,830,306,854,8,72,49,25,161,272,196,15
SI_2001,Tolmin,16830,5348,309,0,225,47,240,193,337,1243,316,1352,17,107,57,45,363,187,280,30
SI_2002,Piran,15004,3055,167,0,129,31,206,98,319,219,520,488,6,70,53,30,328,93,265,33
SI_2003,Izola,12858,2749,130,0,153,24,192,83,273,186,416,406,10,69,69,19,325,88,285,21
SI_2004,Koper I,18784,3940,201,0,244,43,292,114,475,317,534,518,11,107,113,48,423,124,350,26
SI_2005,Koper II,24135,4890,246,0,333,77,336,159,446,572,657,728,14,127,126,44,464,167,371,23
SI_2006,Sežana,21648,6073,389,0,285,76,397,291,558,563,753,1120,20,160,170,54,507,269,409,52
SI_2007,Ilirska Bistrica,13166,2810,185,0,137,37,126,150,159,361,266,705,8,73,32,40,249,112,161,9
SI_2008,Postojna,18107,4250,194,0,178,38,223,80,387,682,311,1084,12,116,75,20,301,173,357,19
SI_2009,Nova Gorica I,25602,6575,303,0,298,49,284,184,407,1239,780,1703,22,101,92,38,478,247,312,38
SI_2010,Nova Gorica II,24379,6764,252,0,265,75,426,136,853,770,944,1414,11,153,183,40,511,223,467,41
SI_2011,Ajdovščina,20519,6055,275,0,162,50,227,132,323,1602,412,1774,15,182,68,48,269,280,212,24
SI_3001,Cerknica- Logatec,24562,6976,247,0,241,65,333,186,493,1575,514,1927,36,138,96,40,322,252,479,32
SI_3002,Vrhnika,19392,5601,213,0,192,52,336,165,636,866,375,1345,19,179,97,45,413,280,359,29
SI_3003,LJ-Vič-Rudnik I,23911,6308,233,0,185,50,269,191,612,1071,391,1786,21,168,126,34,382,352,408,29
SI_3004,LJ-Vič- Rudnik II,16665,4878,133,0,233,55,397,155,639,587,298,1049,11,143,109,33,265,205,524,42
SI_3005,LJ-Vič- Rudnik III,16251,5419,143,0,237,62,402,138,827,497,375,1154,14,177,132,48,351,237,563,62
SI_3006,LJ-Vič- Rudnik IV,20844,6047,146,0,199,55,408,136,625,997,327,1774,19,189,125,39,278,273,420,37
