gisco_id,name,registered,turnout,invalid,blank,TIP,SMS,OĽANO-NOVA,DEM,ŠANCA,Sme rodina,SZ,KSZS,Most-Híd,SOS,SNS,Odvaha,KSS,SDKÚ-DS,SMER-SD,KDH,MySlovensko,ĽSNS,SKS,Szövetség–Aliancia,PD,SaS
SK_528595,Bratislava - mestská časť Staré Mesto,38397,26445,218,0,45,16,4050,15,60,1006,152,11,3263,14,1148,22,54,133,3929,1385,357,707,1895,163,38,7764
SK_529311,Bratislava - mestská časť Podunajské Biskupice,19137,11989,122,0,42,6,1445,4,25,1097,79,13,1487,11,647,11,40,55,2245,365,179,567,669,349,24,2507
SK_529320,Bratislava - mestská časť Ružinov,66439,45445,576,0,118,14,6176,24,76,2646,266,33,4075,22,2501,49,141,163,8306,2031,547,1565,3100,245,61,12710
SK_529338,Bratislava - mestská časť Vrakuňa,17264,10316,118,0,37,18,1269,5,25,1027,68,10,833,5,591,11,36,52,1870,316,179,553,597,92,21,2583
SK_529346,Bratislava - mestská časť Nové Mesto,34867,23935,252,0,38,9,3284,15,59,1266,166,14,2276,13,1270,30,72,102,4315,956,312,795,1607,124,37,6923
SK_529354,Bratislava - mestská časť Rača,18147,12460,176,0,44,7,1834,6,14,791,116,10,882,11,841,9,60,36,2733,498,171,518,811,31,12,2849
SK_529362,Bratislava - mestská časť Vajnory,4446,3075,24,0,14,1,447,2,5,229,24,0,171,2,224,0,10,18,560,160,40,135,291,4,1,713
SK_529401,Bratislava - mestská časť Devín,1165,856,13,0,4,0,125,0,1,54,5,0,70,0,62,1,1,3,156,28,16,38,52,1,0,226
SK_529371,Bratislava - mestská časť Devínska Nová Ves,14607,9617,110,0,36,6,1503,2,21,845,87,4,650,14,513,5,39,60,1542,267,150,537,715,17,21,2473
SK_529389,Bratislava - mestská časť Dúbravka,31225,19759,210,0,39,14,2755,13,40,1356,155,17,1508,13,1182,22,83,182,4126,785,240,881,1231,70,21,4816
SK_529397,Bratislava - mestská časť Karlova Ves,30348,21517,215,0,43,7,3245,7,38,1230,155,10,1902,10,1198,13,77,75,3485,897,317,858,1511,79,37,6108
SK_529419,Bratislava - mestská časť Lamač,6176,4511,33,0,11,2,677,1,5,243,29,3,343,1,350,6,8,14,917,261,53,174,285,17,2,1076
SK_529427,Bratislava - mestská časť Záhorská Bystrica,3641,2693,30,0,4,0,416,0,3,162,16,0,167,1,204,2,8,16,446,102,31,117,191,0,2,775
SK_529435,Bratislava - mestská časť Čunovo,1132,882,13,0,2,2,172,1,2,43,8,0,120,2,36,0,0,1,111,43,14,33,74,6,0,199
SK_529443,Bratislava - mestská časť Jarovce,1802,1373,15,0,5,2,231,0,3,112,13,3,167,0,67,1,2,5,208,32,18,47,118,5,4,315
SK_529460,Bratislava - mestská časť Petržalka,97630,63039,537,0,161,43,8632,22,125,5118,501,57,4802,60,3939,56,226,216,11676,2218,882,3055,4099,317,211,16086
SK_529494,Bratislava - mestská časť Rusovce,3108,2283,28,0,3,0,353,0,6,159,14,4,291,3,98,0,6,9,312,62,22,76,167,16,10,644
SK_507831,Borinka,602,441,4,0,2,3,74,0,1,27,2,0,36,0,30,0,2,0,57,29,8,24,27,0,0,115
SK_507890,Gajary,2453,1273,28,0,2,5,168,0,0,148,13,0,27,2,104,2,8,7,449,16,6,106,68,0,3,111
SK_507954,Jablonové,1048,647,12,0,5,0,123,3,1,55,9,1,18,0,43,0,2,3,170,37,4,38,23,0,0,100
SK_507962,Jakubov,1313,806,23,0,4,1,76,3,4,88,3,2,17,0,76,0,14,2,281,24,11,52,27,1,0,97
SK_508012,Kostoliste,1108,736,15,0,3,1,87,0,1,104,6,0,16,0,43,1,2,2,184,30,3,53,32,0,0,153
SK_508021,Kuchyna,1455,864,7,0,2,1,105,2,1,99,7,0,17,0,82,1,3,3,248,28,4,75,42,0,0,137
SK_508039,Lab,1339,893,21,0,6,0,135,2,0,80,9,0,41,1,60,1,8,8,225,22,4,62,52,0,0,156
SK_508055,Lozorno,2474,1410,21,0,11,1,223,0,2,154,12,0,58,0,72,0,3,10,248,80,36,102,87,0,1,289
SK_508063,Malacky,15416,9070,111,0,43,14,1229,9,20,961,74,8,311,9,567,8,56,35,2379,284,120,610,550,9,10,1653
SK_504556,Male Levare,1002,497,11,0,0,0,71,0,2,37,2,0,10,0,33,0,8,3,167,19,3,48,20,0,0,63
SK_508080,Marianka,1397,1109,6,0,3,0,206,0,2,81,9,0,52,1,70,2,2,5,185,60,7,34,73,0,1,310
SK_508161,Pernek,724,450,10,0,1,3,81,0,1,37,2,0,15,1,26,0,5,8,161,10,8,33,20,0,0,28
SK_504629,Plavecke Podhradie,564,357,3,0,3,0,48,0,0,24,1,0,17,0,22,1,2,19,80,26,7,22,53,0,0,29
SK_504637,Plavecky Mikulas,622,402,6,0,4,2,53,0,0,29,1,0,3,1,29,0,2,2,138,21,4,54,11,1,0,41
SK_508195,Plavecky Stvrtok,1929,996,23,0,7,0,115,0,3,90,4,0,27,1,65,1,4,2,306,39,11,69,57,0,1,171
SK_504769,Rohožník,2831,1590,31,0,5,3,169,2,7,172,5,1,30,1,159,3,8,5,420,75,15,183,101,0,1,194
SK_504858,Solosnica,1316,825,24,0,2,1,95,0,2,66,3,2,28,1,73,1,3,8,250,55,6,67,43,0,0,95
SK_504874,Studienka,1438,841,9,0,2,8,112,0,2,66,13,0,25,1,53,0,3,3,292,36,7,68,39,0,3,99
SK_508233,Stupava,8579,5784,36,0,10,7,926,6,8,493,52,2,318,7,337,10,25,47,1020,235,64,346,360,2,8,1465
SK_508241,Suchohrad,597,331,4,0,7,1,39,0,1,44,7,0,12,0,15,1,2,1,108,11,5,11,14,0,1,47
SK_504947,Velke Levare,3005,1605,34,0,7,3,178,1,5,171,14,0,30,0,97,0,5,5,536,69,14,154,91,1,0,190
SK_508349,Vysoka pri Morave,1784,1017,13,0,5,0,141,0,0,127,7,0,25,2,70,0,7,2,348,19,11,52,34,1,2,151
SK_500267,Záhorie (vojenský obvod),144,78,1,0,2,0,13,0,0,2,0,0,2,0,5,0,5,0,18,1,0,18,3,0,0,8
SK_508365,Zahorska Ves,1478,647,20,0,0,1,68,0,4,72,6,0,18,2,32,1,1,3,242,17,4,55,25,0,4,72
SK_504980,Zavod,2335,1212,17,0,4,1,123,0,1,157,11,0,19,4,104,2,7,5,461,54,8,107,38,0,0,89
SK_508381,Zohor,2740,1649,26,0,8,1,268,2,7,132,17,1,48,1,111,2,0,10,453,84,15,97,114,0,6,246
SK_507806,Bahon,1433,929,21,0,1,1,114,1,0,87,9,2,19,0,60,1,4,4,254,82,7,66,40,0,0,156
SK_507849,Budmerice,1983,1348,17,0,7,5,189,1,2,126,12,0,36,1,102,1,6,10,365,50,26,138,66,0,4,184
SK_507857,Casta,1903,1293,26,0,5,3,158,2,1,226,16,2,36,2,110,2,16,5,303,79,11,80,64,0,2,144
SK_507873,Doľany,886,655,9,0,3,0,126,1,0,55,6,0,21,0,58,0,2,1,185,35,4,56,21,0,0,72
SK_507881,Dubová,880,637,0,0,1,1,108,0,1,67,3,0,10,0,72,0,1,2,174,32,3,42,28,0,1,91
SK_507946,Jablonec,772,520,8,0,5,1,67,0,1,62,7,0,8,1,35,0,0,1,141,39,5,61,27,0,3,48
SK_508047,Limbach,1502,1138,13,0,0,0,168,0,0,75,4,2,81,1,91,1,5,0,232,38,16,52,75,0,4,280
SK_508101,Modra,7940,5081,53,0,21,7,834,10,20,437,38,3,217,3,368,1,30,35,1160,112,67,295,284,6,7,1073
SK_508179,Pezinok,19724,13043,111,0,39,12,2002,8,44,1147,114,15,602,12,922,19,66,58,2753,480,169,731,866,8,30,2835
SK_508187,Píla,288,219,2,0,0,0,31,0,0,85,0,0,3,0,6,0,2,0,42,5,0,17,7,0,0,19
SK_508225,Slovensky Grob,2343,1655,16,0,4,1,212,0,11,162,7,0,38,1,149,1,5,4,516,35,21,92,87,0,6,287
SK_507989,Svätý Jur,4496,3084,53,0,8,4,467,3,3,227,18,1,136,1,214,3,5,16,719,155,37,151,205,5,2,651
SK_508250,Senkvice,3969,2729,25,0,8,2,331,7,3,217,30,3,73,1,294,3,15,3,854,107,37,212,155,0,5,344
SK_508268,Stefanova,314,185,3,0,0,0,33,0,0,16,1,0,9,0,9,1,2,1,42,6,6,18,18,0,0,20
SK_508306,Vinicne,1848,1315,17,0,3,1,154,1,2,110,11,1,46,1,117,1,5,5,287,55,24,64,101,0,3,306
SK_508314,Vinosady,1044,767,18,0,2,3,132,0,0,73,5,1,25,0,66,1,1,0,176,20,7,30,53,0,2,152
SK_508322,Vistuk,1134,793,17,0,10,1,87,1,0,76,7,0,22,1,65,0,7,2,250,45,7,58,39,0,4,94
SK_507814,Bernolakovo,5210,3655,32,0,10,5,610,4,20,253,34,8,200,1,276,1,22,11,756,101,52,190,228,4,6,831
SK_507822,Blatne,1385,939,28,0,2,1,90,1,0,72,1,3,39,0,88,0,5,1,291,83,9,54,44,0,2,125
SK_503681,Boldog,386,277,2,0,2,0,13,0,1,11,0,0,68,0,4,0,1,2,15,1,4,16,12,97,0,28
SK_507865,Cataj,995,673,13,0,2,1,81,0,0,73,2,0,19,0,62,0,4,1,226,15,4,46,24,1,0,99
SK_545333,Dunajska Luzna,4439,3110,26,0,10,2,445,1,4,217,12,4,321,0,150,5,4,8,521,163,41,179,209,10,5,773
SK_507903,Hamuliakovo,1490,1056,14,0,3,1,115,0,0,84,5,4,235,1,45,0,1,7,115,10,10,42,66,111,0,187
SK_503797,Hruba Borsa,556,411,5,0,0,0,55,0,2,33,0,0,56,0,13,2,2,2,55,1,7,18,30,34,0,96
SK_503801,Hruby Sur,682,485,10,0,1,0,61,0,1,36,2,4,136,0,5,0,2,0,17,12,3,7,19,122,0,47
SK_503819,Hurbanova Ves,267,194,1,0,0,0,13,0,3,21,0,0,15,1,5,1,0,0,78,4,3,5,11,4,0,29
SK_507911,Chorvatsky Grob,3832,2851,23,0,11,2,402,4,3,172,20,1,145,2,162,0,7,8,450,103,37,106,264,3,2,924
SK_555487,Igram,469,308,3,0,2,2,49,1,0,23,3,1,8,0,13,0,0,0,57,60,3,19,23,0,0,41
SK_507938,Ivanka pri Dunaji,5164,3724,48,0,12,0,509,3,8,252,29,2,209,5,273,2,17,7,803,171,47,268,231,3,5,820
SK_507997,Kalinkovo,1087,770,5,0,3,1,108,1,1,64,5,0,152,0,36,1,1,0,134,6,9,37,29,43,3,131
SK_555495,Kaplna,638,410,0,0,4,0,53,0,2,30,3,0,18,1,20,1,1,0,134,37,6,24,16,0,1,59
SK_503851,Kostolna pri Dunaji,492,344,5,0,3,0,30,0,0,26,0,1,72,0,9,0,1,1,37,27,1,9,16,71,0,35
SK_503894,Kralova pri Senci,1528,1040,12,0,5,0,149,1,1,98,7,0,63,2,101,1,9,5,249,35,9,67,48,4,0,174
SK_508071,Malinovo,2368,1749,15,0,5,0,229,1,6,132,20,0,310,1,71,2,2,6,170,20,24,47,95,183,5,405
SK_508098,Miloslavov,1804,1369,15,0,3,0,244,0,5,84,3,0,126,1,135,0,2,3,222,27,15,47,75,3,1,358
SK_508110,Most pri Bratislave,2261,1575,21,0,7,1,216,2,5,182,8,6,94,1,148,1,4,4,291,36,27,76,103,5,1,336
SK_508136,Nova Dedinka,2000,1421,37,0,2,4,179,1,3,156,8,3,255,1,58,0,8,6,176,22,14,55,81,86,0,266
SK_582549,Nový Svet,89,77,1,0,0,0,19,0,0,1,0,0,0,0,6,0,2,1,30,1,0,4,4,0,0,8
SK_503983,Reca,1204,746,13,0,2,1,65,0,2,66,4,0,175,0,17,1,4,1,79,5,6,37,41,154,2,71
SK_508209,Rovinka,2597,1849,34,0,8,2,218,0,9,170,12,1,149,0,124,0,4,6,315,70,29,88,111,5,0,494
SK_508217,Senec,14773,9372,111,0,43,4,1298,13,18,927,63,4,1206,8,545,4,21,37,1237,292,89,505,561,603,10,1773
SK_508276,Tomasov,2060,1431,22,0,7,7,147,0,2,73,4,0,440,1,59,2,2,2,146,17,11,30,54,207,1,197
SK_508284,Turen,921,633,5,0,0,0,49,0,0,38,1,8,189,0,8,0,0,3,33,10,6,12,23,170,1,77
SK_508292,Velky Biel,1998,1256,18,0,7,1,129,0,3,138,7,2,296,1,30,1,3,3,156,34,17,47,60,102,0,201
SK_508331,Vlky,368,283,1,0,2,0,20,1,0,8,0,0,99,0,7,0,0,0,4,2,1,5,5,119,0,9
SK_555509,Zálesie,1444,1114,6,0,2,0,196,1,0,84,3,1,56,1,74,1,1,7,157,42,16,55,85,2,2,322
SK_501441,Bac,469,356,1,0,1,0,27,0,3,11,0,0,103,0,0,0,0,0,25,23,2,9,7,133,0,11
SK_501450,Baka,944,626,12,0,0,0,16,0,1,7,0,0,191,0,0,0,0,1,7,4,1,0,9,371,0,6
SK_501468,Balon,632,390,6,0,0,0,5,0,0,5,0,0,101,0,1,0,1,0,14,1,0,0,2,254,0,0
SK_555517,Bellova Ves,225,146,0,0,0,0,16,1,0,16,1,0,35,0,12,0,1,1,27,3,0,8,4,5,1,15
SK_501484,Blahova,314,202,5,0,0,0,12,1,0,17,1,2,53,0,9,0,0,6,46,6,0,12,8,6,0,18
SK_501492,Blatna na Ostrove,745,444,3,0,1,0,16,0,0,10,1,0,147,0,7,1,1,1,24,1,2,10,8,194,0,17
SK_503461,Bodiky,285,187,6,0,0,0,11,0,1,9,0,0,59,0,6,0,0,0,4,0,0,4,3,72,0,12
SK_501506,Bohelov,287,157,2,0,0,0,3,0,0,3,0,0,49,0,1,0,0,0,5,2,0,0,0,90,0,2
SK_501514,Cakany,501,348,13,0,0,0,18,0,2,21,3,0,130,2,2,0,1,0,11,2,2,5,12,95,0,29
SK_580554,Cenkovce,881,603,6,0,2,0,21,0,0,16,0,2,260,0,2,1,0,0,22,1,1,10,11,234,0,14
SK_501531,Cilizska Radvan,996,630,3,0,1,2,12,0,1,2,0,0,134,0,0,4,0,0,26,0,0,1,3,435,0,6
SK_501549,Dobrohost,400,283,3,0,1,0,35,1,0,8,1,0,95,0,7,0,0,0,15,1,2,9,9,58,1,37
SK_501557,Dolny Bar,515,324,8,0,1,0,17,0,1,8,0,1,130,0,3,0,0,0,8,0,0,6,9,124,1,7
SK_501611,Dolny Stal,1636,904,12,0,1,0,22,0,0,8,0,0,253,0,1,0,2,0,24,1,0,1,5,570,0,4
SK_501433,Dunajska Streda,19234,9871,170,0,27,3,459,2,50,252,25,0,3253,1,135,2,8,11,484,64,31,80,229,4201,3,381
SK_555541,Dunajsky Klatov,466,253,4,0,0,0,8,0,1,10,1,0,79,0,0,0,1,0,6,0,0,3,3,130,0,7
SK_501573,Gabcikovo,4312,2526,33,0,3,3,71,1,6,48,7,0,788,0,22,0,2,0,106,3,6,22,28,1325,0,52
SK_501581,Holice,1663,1143,14,0,2,1,37,1,0,13,0,0,403,0,1,1,1,1,18,1,2,11,7,602,0,27
SK_501590,Horna Poton,1609,926,9,0,4,0,34,0,2,32,5,1,367,0,8,0,3,1,43,3,1,20,21,327,0,45
SK_555568,Horne Myto,789,425,1,0,2,0,6,0,0,1,0,0,146,0,1,0,1,3,6,1,0,1,1,250,0,5
SK_501603,Horny Bar,1070,675,8,0,1,0,32,1,2,13,2,0,253,0,9,0,0,1,43,2,2,5,8,262,0,31
SK_501620,Hubice,508,375,6,0,5,0,28,0,0,35,2,0,144,0,8,0,1,2,29,2,2,5,9,75,0,22
SK_501638,Hviezdoslavov,952,675,4,0,1,0,92,0,0,70,4,1,89,1,36,2,0,2,90,15,9,61,28,14,2,154
SK_501654,Jahodna,1253,720,21,0,4,0,23,1,4,7,2,0,257,2,3,0,2,1,27,0,1,5,5,337,0,18
SK_501662,Janiky,756,535,8,0,2,0,13,0,1,31,1,0,261,0,4,0,1,0,12,2,2,17,6,146,0,28
