gisco_id,name,registered,turnout,invalid,blank,Piráti,PRINCÍP,PS,SOS,OĽANO+,KSS,MF,VB,MES,SPRAVODLIVOSŤ,SHO,SaS,Sme rodina,MySlovensko,SNS,SMER-SD,Hlas-SD,Szövetség–Aliancia,BS,SDKÚ-DS,ĽSNS,D,KDH,Karma,REPUBLIKA
SK_528595,Bratislava - mestská časť Staré Mesto,37237,28521,140,0,49,11,11804,6,1172,23,22,1,107,14,5,4297,306,16,877,4184,1913,147,12,3,99,1261,1548,10,494
SK_529311,Bratislava - mestská časť Podunajské Biskupice,18464,13016,128,0,50,6,3489,13,942,21,22,4,81,4,6,1478,277,15,477,2700,1452,303,9,6,72,517,535,9,400
SK_529320,Bratislava - mestská časť Ružinov,65511,49046,383,0,102,9,17952,23,2365,55,32,6,167,29,5,7251,532,29,1909,7943,4072,220,27,9,183,2145,2402,32,1164
SK_529338,Bratislava - mestská časť Vrakuňa,16160,11079,86,0,38,2,3069,5,845,18,18,4,38,12,3,1382,221,11,446,2258,1246,96,13,3,65,394,422,5,379
SK_529346,Bratislava - mestská časť Nové Mesto,33916,26223,167,0,39,9,9890,13,1175,32,12,4,89,9,5,4042,282,35,1004,4034,2176,106,16,2,119,1194,1184,20,565
SK_529354,Bratislava - mestská časť Rača,19944,14456,136,0,28,6,4600,10,800,23,10,4,32,8,4,1801,196,15,673,2750,1472,43,7,3,96,647,683,17,392
SK_529362,Bratislava - mestská časť Vajnory,4532,3427,31,0,14,1,976,3,214,12,0,0,16,1,2,415,48,3,183,635,349,6,2,1,28,186,188,4,109
SK_529401,Bratislava - mestská časť Devín,1490,1151,9,0,7,0,432,2,63,2,1,2,10,0,1,163,15,0,42,146,104,0,3,0,6,64,62,0,17
SK_529371,Bratislava - mestská časť Devínska Nová Ves,13571,9963,77,0,22,3,3073,6,542,25,7,4,18,5,1,1319,227,14,489,1735,981,16,5,2,68,462,475,11,376
SK_529389,Bratislava - mestská časť Dúbravka,28613,20886,157,0,61,9,6592,9,1044,37,11,8,58,12,6,2607,345,22,897,3867,2246,65,16,4,99,1066,1045,19,584
SK_529397,Bratislava - mestská časť Karlova Ves,27497,20862,168,0,59,2,7447,6,892,29,15,3,70,4,4,3064,304,23,816,3379,1781,78,13,6,133,949,1103,15,499
SK_529419,Bratislava - mestská časť Lamač,6154,4797,62,0,13,0,1459,3,265,4,1,0,8,1,2,596,53,7,216,863,480,13,10,1,25,259,327,0,129
SK_529427,Bratislava - mestská časť Záhorská Bystrica,5259,4345,33,0,8,1,1524,1,227,10,1,0,14,2,0,729,54,1,193,608,343,2,1,0,24,248,220,2,99
SK_529435,Bratislava - mestská časť Čunovo,1355,1138,10,0,3,0,353,1,140,1,5,1,1,0,0,167,20,1,41,148,90,2,0,1,6,55,67,0,25
SK_529443,Bratislava - mestská časť Jarovce,2379,1935,19,0,4,0,610,2,127,2,1,0,6,1,0,289,34,0,76,308,157,16,1,1,7,148,85,1,40
SK_529460,Bratislava - mestská časť Petržalka,91295,64922,433,0,199,14,19647,38,3846,116,35,24,192,20,17,8099,1175,62,2892,12399,6783,338,63,9,377,2944,3116,64,2020
SK_529494,Bratislava - mestská časť Rusovce,3438,2658,30,0,14,1,918,1,175,3,3,0,23,2,2,392,42,0,106,384,248,11,1,0,5,145,91,1,60
SK_507831,Borinka,718,586,5,0,2,0,196,1,30,0,0,1,2,0,0,64,11,1,28,112,59,0,0,0,3,23,36,0,12
SK_507890,Gajary,2491,1669,26,0,4,0,219,1,142,8,0,1,2,0,0,78,46,4,81,552,249,0,0,1,49,47,32,4,123
SK_507954,Jablonové (okres Malacky),1149,866,8,0,4,0,190,2,96,1,0,0,0,0,0,50,16,0,73,174,112,0,3,5,3,38,47,1,43
SK_507962,Jakubov,1410,1039,9,0,1,0,204,2,99,4,0,0,0,0,0,84,32,1,57,277,152,0,1,0,17,21,29,1,48
SK_508012,Kostoliste,1689,1321,11,0,10,0,283,0,82,1,2,1,1,1,1,112,56,2,58,290,190,0,1,2,14,63,85,2,53
SK_508021,Kuchyna,1504,1047,7,0,1,1,173,0,93,7,4,1,1,0,0,81,37,7,54,282,150,0,0,0,12,25,55,1,55
SK_508039,Lab,1640,1294,12,0,10,0,303,3,90,0,0,1,2,0,0,109,49,0,87,286,144,0,0,0,10,54,56,0,78
SK_508055,Lozorno,2633,1769,22,0,9,0,443,0,183,6,1,0,3,0,0,182,51,1,92,285,227,0,0,0,22,100,66,1,75
SK_508063,Malacky,14658,10315,104,0,28,3,2101,6,690,39,2,3,6,5,7,840,285,25,504,2722,1584,7,5,1,71,352,425,10,490
