gisco_id,name,registered,turnout,invalid,blank,Szövetség–Aliancia,IDEA,SDKÚ-DS,MFS,ŽSS,ZZ-DÚ,KSS,SF,SNS,SĽS,AŽ-OS,SMER-SD,ĽS-HZDS,KDH,HZD-ĽÚ,OKS,RKDH
SK_528595,Staré Mesto,39928,11788,166,0,866,586,2949,20,46,91,356,852,202,18,85,1359,1573,2012,128,466,13
SK_529311,Podunajské Biskupice,17451,3025,36,0,667,180,573,13,12,4,80,137,58,2,21,486,391,292,27,44,2
SK_529320,Ružinov,61377,14687,205,0,1045,664,3611,11,71,45,509,856,269,10,110,2075,2521,2229,141,307,8
SK_529338,Vrakuňa,14960,2446,44,0,251,135,567,2,12,6,90,159,46,1,18,444,313,286,24,47,1
SK_529346,Nové Mesto,33234,8430,86,0,500,411,2055,8,26,50,300,567,145,15,49,1185,1529,1168,92,234,10
SK_529354,Rača,17167,3655,63,0,155,195,868,2,12,9,188,182,65,2,21,609,671,512,32,67,2
SK_529362,Vajnory,3464,712,13,0,13,22,172,0,3,5,25,39,8,0,5,103,113,173,7,11,0
SK_529401,Devín,825,199,2,0,4,9,52,0,1,0,3,14,4,1,2,34,24,41,0,8,0
SK_529371,Devínska Nová Ves,12282,2044,30,0,74,118,577,2,13,9,69,148,42,4,15,372,233,264,22,50,2
SK_529389,Dúbravka,30285,6486,86,0,386,358,1641,11,37,30,270,409,110,8,37,1094,877,909,54,163,6
SK_529397,Karlova Ves,25726,6294,50,0,321,371,1665,10,22,38,186,438,96,9,47,1006,800,984,62,187,2
SK_529419,Lamač,5728,1548,17,0,70,65,338,1,6,9,35,125,52,5,9,207,256,283,22,44,4
SK_529427,Záhorská Bystrica,1899,411,8,0,10,18,124,0,5,0,13,26,1,0,1,46,80,63,4,12,0
SK_529435,Čunovo,736,137,1,0,12,10,32,1,0,0,6,7,2,0,0,29,7,26,0,4,0
SK_529443,Jarovce,1022,233,7,0,39,4,79,2,0,1,8,10,4,0,1,10,20,45,2,1,0
SK_529460,Petržalka,102307,18375,205,0,1183,1171,4390,15,106,88,623,1224,353,28,171,3525,1990,2580,207,488,28
SK_529494,Rusovce,1766,352,12,0,45,18,109,1,0,3,8,21,1,1,1,40,37,45,2,8,0
SK_507831,Borinka,422,94,3,0,2,9,30,0,3,0,3,2,1,0,0,10,12,18,0,1,0
SK_507890,Gajary,2171,203,6,0,2,16,39,0,0,1,29,8,3,0,1,21,44,30,0,2,1
SK_507954,Jablonové,863,96,3,0,0,2,22,0,3,0,1,1,1,0,1,18,26,18,0,0,0
SK_507962,Jakubov,1112,132,4,0,0,5,34,0,0,1,14,0,3,0,1,23,28,16,2,1,0
SK_508012,Kostoliste,818,103,1,0,1,3,53,0,0,0,3,2,2,0,1,6,15,16,0,0,0
SK_508021,Kuchyna,1283,147,1,0,2,4,33,0,0,1,3,5,3,1,2,20,26,40,5,1,0
SK_508039,Lab,1122,149,2,0,2,8,49,0,0,0,7,8,1,0,1,26,23,18,2,2,0
SK_508055,Lozorno,2214,254,4,0,1,11,86,0,3,0,10,15,1,0,2,29,42,48,1,1,0
SK_508063,Malacky,14692,1803,21,0,33,86,461,1,2,4,107,89,42,2,17,385,295,229,15,13,1
SK_504556,Male Levare,835,76,1,0,0,1,21,0,0,1,0,5,0,0,0,17,13,13,2,0,2
SK_508080,Marianka,780,145,3,0,3,8,25,0,1,4,4,11,1,0,0,28,33,19,0,5,0
SK_508161,Pernek,652,77,1,0,1,0,16,0,0,0,5,2,2,0,1,10,29,8,1,0,1
SK_504629,Plavecke Podhradie,528,98,0,0,0,1,15,0,0,17,8,1,2,0,0,11,24,18,0,0,1
SK_504637,Plavecky Mikulas,559,85,0,0,1,0,21,0,0,0,3,0,3,0,2,13,23,18,1,0,0
SK_508195,Plavecky Stvrtok,1718,187,2,0,1,16,55,0,4,0,6,7,4,1,0,34,28,23,4,2,0
SK_504769,Rohožník,2627,231,10,0,3,19,52,0,2,0,3,11,0,0,4,45,43,33,5,0,1
SK_504858,Solosnica,1210,181,1,0,1,6,38,0,0,2,14,4,10,3,4,21,37,38,1,0,1
SK_504874,Studienka,1278,121,2,0,0,7,25,0,0,2,8,6,4,0,1,22,21,21,2,0,0
SK_508233,Stupava,6646,985,13,0,21,67,279,0,10,3,40,66,28,2,5,146,132,151,13,9,0
SK_508241,Suchohrad,460,79,1,0,1,2,15,0,0,1,9,3,0,1,2,23,16,4,1,0,0
SK_504947,Velke Levare,2726,303,4,0,3,16,60,0,2,0,18,5,8,0,6,52,40,85,2,2,0
SK_508349,Vysoka pri Morave,1529,166,5,0,8,8,42,0,0,0,8,5,5,0,0,45,20,17,0,3,0
SK_500267,Zahorie,335,26,0,0,2,1,1,0,0,0,6,2,2,0,0,6,4,0,2,0,0
SK_508365,Zahorska Ves,1213,108,7,0,4,3,34,0,1,1,3,6,3,0,1,23,14,7,0,0,1
SK_504980,Zavod,2091,153,3,0,0,6,25,0,1,0,5,9,2,0,2,23,25,47,4,1,0
SK_508381,Zohor,2531,318,6,0,1,26,73,0,3,0,2,13,4,0,2,36,63,82,4,3,0
SK_507806,Bahon,1226,186,2,0,0,4,35,0,1,1,9,7,1,0,3,34,30,52,3,4,0
SK_507849,Budmerice,1610,216,2,0,1,9,37,0,1,1,9,15,3,0,2,28,46,58,1,3,0
SK_507857,Casta,1657,290,6,0,3,16,64,0,0,0,8,14,2,0,2,41,49,79,2,4,0
SK_507873,Doľany,787,134,2,0,0,1,34,0,1,0,1,3,6,1,0,22,30,26,6,1,0
SK_507881,Dubová,734,143,0,0,0,7,27,0,0,0,5,2,1,0,0,30,41,22,5,3,0
SK_507946,Jablonec,612,93,2,0,2,4,19,0,1,1,3,3,2,0,1,9,20,26,0,0,0
SK_508047,Limbach,1002,211,2,0,1,15,69,0,1,2,4,2,1,0,4,55,27,22,2,2,2
SK_508101,Modra,7068,1342,34,0,22,91,305,0,5,7,37,65,27,1,14,235,259,196,15,28,1
SK_508179,Pezinok,17461,2991,49,0,38,184,711,2,7,3,103,120,48,7,25,620,522,445,33,72,2
SK_508187,Píla,220,51,0,0,1,1,10,0,0,0,1,1,6,0,0,12,15,4,0,0,0
SK_508225,Slovensky Grob,1577,232,6,0,0,15,42,0,0,0,4,2,10,0,0,32,86,29,4,2,0
SK_507989,Svety Jur,3808,722,12,0,15,26,172,0,2,4,16,24,12,0,3,141,180,104,3,8,0
SK_508250,Senkvice,3431,555,6,0,2,29,108,0,3,2,17,13,14,0,1,70,188,89,8,4,1
SK_508268,Stefanova,248,51,0,0,0,1,8,0,0,0,0,4,0,0,1,8,14,15,0,0,0
SK_508306,Vinicne,1389,245,11,0,3,9,50,0,0,0,12,8,2,0,0,31,61,51,3,4,0
SK_508314,Vinosady,821,137,3,0,2,4,13,0,3,0,7,10,2,0,0,32,29,25,3,4,0
SK_508322,Vistuk,1095,118,4,0,2,7,27,0,0,2,5,3,1,2,0,11,30,23,0,1,0
SK_507814,Bernolakovo,3847,720,9,0,17,48,167,1,6,2,52,42,19,1,6,120,96,110,15,8,1
SK_507822,Blatne,1149,282,4,0,2,6,32,1,7,0,3,5,4,1,2,31,87,91,3,3,0
SK_503681,Boldog,347,135,2,0,108,1,4,2,0,0,3,0,0,0,2,7,2,4,0,0,0
SK_507865,Cataj,748,169,5,0,0,4,16,0,1,0,12,2,2,1,0,43,59,20,3,1,0
SK_545333,Dunajska Luzna,2449,529,8,0,56,20,98,0,4,2,14,18,17,0,1,81,44,151,5,10,0
SK_507903,Hamuliakovo,801,172,0,0,105,8,26,0,0,0,5,5,1,0,1,10,5,3,2,1,0
SK_503797,Hruba Borsa,299,74,2,0,43,1,7,1,0,0,6,0,2,0,0,2,7,2,0,1,0
SK_503801,Hruby Sur,496,153,1,0,127,0,3,0,0,0,7,1,0,0,0,0,3,9,1,1,0
SK_503819,Hurbanova Ves,196,49,0,0,9,2,7,0,1,0,1,0,1,0,0,17,7,2,0,2,0
SK_507911,Chorvatsky Grob,1389,194,4,0,1,9,46,0,1,0,6,2,5,0,3,29,39,45,1,3,0
SK_555487,Igram,417,101,0,0,1,1,24,0,0,0,1,3,2,0,0,17,17,32,3,0,0
SK_507938,Ivanka pri Dunaji,4210,792,9,0,18,48,182,2,4,1,46,28,23,0,5,139,133,137,9,8,0
SK_507997,Kalinkovo,758,118,2,0,49,3,13,0,0,1,1,1,4,0,0,21,19,2,0,1,1
SK_555495,Kaplna,567,91,2,0,2,0,19,0,0,0,3,5,0,0,0,15,24,19,0,2,0
SK_503851,Kostolna pri Dunaji,380,131,6,0,95,1,6,1,0,0,3,5,0,0,0,0,1,13,0,0,0
SK_503894,Kralova pri Senci,1182,167,1,0,7,3,31,0,2,1,11,9,4,0,0,19,43,31,1,3,1
SK_508071,Malinovo,1147,272,5,0,185,15,26,0,1,0,2,7,0,0,1,13,7,8,1,1,0
SK_508098,Miloslavov,750,209,6,0,10,18,45,0,1,1,2,10,1,0,1,41,47,22,2,2,0
SK_508110,Most pri Bratislave,1264,187,1,0,14,13,39,0,0,2,4,9,8,0,1,37,36,16,1,5,1
SK_508136,Nova Dedinka,1398,166,3,0,95,1,22,0,1,0,3,2,2,0,0,14,7,15,1,0,0
SK_582549,Nový Svet,51,35,0,0,1,7,2,0,0,0,10,3,0,1,0,4,6,0,1,0,0
SK_503983,Reca,998,243,2,0,194,3,14,1,0,0,10,4,0,0,0,4,7,3,1,0,0
SK_508209,Rovinka,1065,157,4,0,17,8,26,0,1,0,2,3,2,0,1,37,29,15,4,8,0
SK_508217,Senec,12032,1986,37,0,664,76,296,4,19,2,54,61,17,4,11,246,231,232,14,16,2
SK_508276,Tomasov,1709,362,7,0,246,8,20,0,1,1,1,8,5,1,3,27,29,5,0,0,0
SK_508284,Turen,692,167,3,0,139,2,1,0,0,0,1,3,0,0,1,6,4,6,1,0,0
SK_508292,Velky Biel,1681,329,0,0,187,9,25,0,0,0,12,6,3,0,0,44,21,17,0,4,1
SK_508331,Vlky,310,105,1,0,92,0,3,0,0,0,0,0,1,0,2,6,0,0,0,0,0
SK_555509,Zálesie,674,142,2,0,1,4,44,0,0,0,1,1,0,0,1,26,30,27,1,4,0
SK_501450,Baka,881,150,0,0,134,0,1,3,0,0,0,0,0,0,0,11,0,0,1,0,0
SK_501468,Balon,606,118,1,0,116,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SK_501441,Bac,471,215,5,0,107,3,0,0,0,0,0,0,1,0,0,0,1,98,0,0,0
SK_555517,Bellova Ves,150,31,0,0,12,2,7,0,0,0,0,2,1,0,0,0,4,0,1,2,0
SK_501484,Blahova,287,52,0,0,20,3,2,0,0,0,2,5,0,1,0,15,1,3,0,0,0
SK_501492,Blatna na Ostrove,649,136,1,0,128,0,1,0,0,0,1,1,0,0,0,2,0,2,0,0,0
SK_503461,Bodiky,258,111,1,0,109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SK_501506,Bohelov,291,35,1,0,32,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
SK_501514,Cakany,449,133,5,0,111,3,6,0,0,0,0,0,0,0,1,5,0,1,1,0,0
SK_580554,Cenkovce,648,170,0,0,159,0,0,7,1,0,0,0,0,0,0,3,0,0,0,0,0
SK_501531,Cilizska Radvan,960,153,0,0,140,0,1,1,0,0,1,0,0,0,0,2,8,0,0,0,0
SK_501549,Dobrohost,301,89,2,0,75,0,4,2,0,0,0,0,0,0,0,2,1,2,0,1,0
SK_501557,Dolny Bar,426,112,0,0,107,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0
SK_501611,Dolny Stal,1527,232,6,0,214,1,0,2,0,0,0,5,0,0,0,1,3,0,0,0,0
SK_501433,Dunajska Streda,19007,2875,51,0,2338,37,84,29,5,1,26,27,7,2,6,82,118,44,4,13,1
SK_555541,Dunajsky Klatov,368,70,0,0,65,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
SK_501573,Gabcikovo,4082,646,11,0,591,5,3,2,0,0,3,1,2,0,0,18,7,2,0,0,1
SK_501581,Holice,1450,270,8,0,252,1,3,1,0,0,1,0,0,0,1,1,1,1,0,0,0
SK_501590,Horna Poton,1368,174,2,0,163,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
SK_555568,Horne Myto,743,128,0,0,120,0,3,1,0,0,1,0,0,0,0,2,1,0,0,0,0
SK_501603,Horny Bar,907,188,0,0,171,5,1,1,0,0,4,0,0,0,0,1,2,3,0,0,0
SK_501620,Hubice,396,131,0,0,113,1,2,1,0,0,2,4,0,1,0,4,3,0,0,0,0
