gisco_id,name,registered,turnout,invalid,blank,ĽS-HZDS,SaS,SMER-SD,SZ,SDKÚ-DS,DS,Misia 21,DD,KDS-OKS,Szövetség–Aliancia,KSS,SNS,SL,SDĽ,SF,KDH
SK_529435,Bratislava - Čunovo,833,194,1,0,8,22,37,2,68,0,0,3,14,5,1,6,1,1,3,22
SK_529401,Bratislava - Devín,963,297,8,0,16,37,64,10,84,2,0,1,13,2,0,15,5,3,4,33
SK_529371,Bratislava - Devínska Nová Ves,14231,3015,76,0,101,375,670,151,1035,14,2,5,116,25,22,122,6,16,63,216
SK_529389,Bratislava - Dúbravka,30885,7556,152,0,395,679,2293,320,2087,13,5,29,266,167,81,282,16,20,131,620
SK_529443,Bratislava - Jarovce,1201,323,8,0,15,27,60,6,121,3,1,0,20,19,3,7,0,5,6,22
SK_529397,Bratislava - Karlova Ves,28132,8122,175,0,353,963,1910,404,2443,29,5,32,364,156,48,275,34,26,141,764
SK_529419,Bratislava - Lamač,5777,1802,39,0,125,165,479,70,456,8,2,6,61,31,7,73,10,6,16,248
SK_529346,Bratislava - Nové Mesto,33190,9416,229,0,612,956,2317,390,2794,34,7,22,321,245,94,404,39,36,121,795
SK_529460,Bratislava - Petržalka,103287,21158,331,0,987,2296,5505,1013,6091,69,16,84,836,577,156,934,54,136,436,1637
SK_529311,Bratislava - Podunajské Biskupice,17977,3722,71,0,201,290,941,114,855,5,3,7,97,669,16,175,5,24,58,191
SK_529354,Bratislava - Rača,17337,4445,118,0,301,462,1318,179,1116,8,6,26,139,59,69,216,12,15,52,349
SK_529494,Bratislava - Rusovce,2281,548,10,0,33,85,88,27,178,2,0,2,17,25,1,14,2,2,35,27
SK_529320,Bratislava - Ružinov,64569,17278,342,0,1091,1641,4601,711,5000,59,11,40,605,558,146,659,48,82,249,1435
SK_528595,Bratislava - Staré Mesto,37099,11442,176,0,592,1388,2211,527,3614,37,12,31,587,355,102,393,40,48,173,1156
SK_529362,Bratislava - Vajnory,3846,1010,26,0,63,103,268,38,283,8,2,3,32,8,12,47,4,3,11,99
SK_529338,Bratislava - Vrakuňa,16123,3076,66,0,126,321,859,122,888,7,4,12,92,153,30,129,11,9,70,177
SK_529427,Bratislava - Záhorská Bystrica,2464,713,18,0,68,105,125,35,230,2,1,2,30,4,9,20,0,4,17,43
SK_507831,Borinka,488,112,2,0,9,10,26,5,32,0,0,0,1,0,1,2,0,1,4,19
SK_507890,Gajary,2332,211,10,0,26,21,64,9,33,0,0,1,0,0,16,19,0,1,1,10
SK_507954,Jablonové,925,121,1,0,23,7,48,2,29,1,1,0,2,0,2,3,0,0,0,2
SK_507962,Jakubov,1222,155,3,0,18,1,50,3,40,0,0,0,1,0,6,19,0,0,3,11
SK_508012,Kostoliste,909,113,8,0,10,10,26,1,30,0,0,0,4,0,0,5,0,1,1,17
SK_508021,Kuchyna,1363,182,5,0,9,5,62,11,49,0,2,5,6,1,1,10,0,0,2,14
SK_508039,Lab,1180,199,7,0,22,24,66,7,48,1,0,0,4,0,4,7,0,3,0,6
SK_508055,Lozorno,2401,290,7,0,19,28,49,5,95,1,2,3,12,1,2,14,0,3,9,40
SK_508063,Malacky,15187,2357,66,0,151,180,821,69,606,10,3,8,50,6,49,102,16,10,19,191
