country_code,parliament_name,election_date,round,vote_type,file_path
LI,Landtag,2001-02-11,,,elections/LI/2001_02.csv
IT,Camera dei Deputati,2001-05-13,,,elections/IT/2001_05.csv
CY,Βουλή των Αντιπροσώπων,2001-05-27,,,elections/CY/2001_05.csv
PL,Sejm,2001-09-23,,,elections/PL/2001_09.csv
DK,Folketing,2001-11-20,,,elections/DK/2001_11.csv
PT,Assembleia da República,2002-03-17,,,elections/PT/2002_03.csv
HU,Országgyűlés,2002-04-07,1.0,party,elections/HU/2002_04_1_party.csv
HU,Országgyűlés,2002-04-07,1.0,single_member,elections/HU/2002_04_1_single_member.csv
HU,Országgyűlés,2002-04-21,2.0,single_member,elections/HU/2002_04_2_single_member.csv
NL,Tweede Kamer,2002-05-15,,,elections/NL/2002_05.csv
IE,Dáil Éireann,2002-05-17,,,elections/IE/2002_05.csv
FR,Assemblée nationale,2002-06-09,1.0,,elections/FR/2002_06_1.csv
CZ,Poslanecká sněmovna,2002-06-15,,,elections/CZ/2002_06.csv
FR,Assemblée nationale,2002-06-16,2.0,,elections/FR/2002_06_2.csv
DE,Bundestag,2002-09-22,,Erststimme,elections/DE/2002_09_Erststimme.csv
DE,Bundestag,2002-09-22,,Zweitstimme,elections/DE/2002_09_Zweitstimme.csv
AT,Nationalrat,2002-11-24,,,elections/AT/2002_11.csv
NL,Tweede Kamer,2003-01-22,,,elections/NL/2003_01.csv
EE,Riigikogu,2003-03-02,,,elections/EE/2003_03.csv
FI,Eduskunta,2003-03-16,,,elections/FI/2003_03.csv
MT,Parlament ta' Malta,2003-04-12,,,elections/MT/2003_04.csv
IS,Alþingi,2003-05-10,,,elections/IS/2003_05.csv
BE,Chambre des Représentants,2003-05-18,,,elections/BE/2003_05.csv
CH,Nationalrat,2003-10-19,,,elections/CH/2003_10.csv
HR,Hrvatski sabor,2003-11-23,,,elections/HR/2003_11.csv
EL,Βουλή των Ελλήνων,2004-03-07,,,elections/EL/2004_03.csv
ES,Congreso de los Diputados,2004-03-14,,,elections/ES/2004_03.csv
