party_id,name_native,name_english,abbreviation,other_names,region,founded_year,dissolved_year,colors,wikipedia_page,wikidata_id,ideology
EPP Group,European People's Party Group (Christian Democrats),European People's Party Group (Christian Democrats),EPP Group,"[{""name_native"": ""Group of the European People's Party (Christian Democrats) and European Democrats"", ""abbreviation"": ""EPP-ED""}]",EU,1979,,"[""#3399FF""]",https://en.wikipedia.org/wiki/European_People%27s_Party_Group,Q635616,"center, center-right or moderate right"
S&D,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,"[{""name_native"": ""Socialist Group in the European Parliament"", ""abbreviation"": ""PES Group""}, {""name_native"": ""Group of the Party of European Socialists"", ""abbreviation"": ""PES Group""}]",EU,1953,,"[""#F0001C""]",https://en.wikipedia.org/wiki/Progressive_Alliance_of_Socialists_and_Democrats,Q507343,"left or center-left, including non-radical greens"
Renew,Renew Europe,Renew Europe,Renew,"[{""name_native"": ""Group of the Alliance of Liberals and Democrats for Europe"", ""abbreviation"": ""ALDE""}]",EU,1953,,"[""#FFD700""]",https://en.wikipedia.org/wiki/Renew_Europe,Q64590185,"center, center-right or moderate right"
ECR Group,European Conservatives and Reformists Group,European Conservatives and Reformists Group,ECR Group,,EU,2009,,"[""#19C6A8""]",https://en.wikipedia.org/wiki/European_Conservatives_and_Reformists_Group,Q1345559,radical right
PfE,Patriots for Europe,Patriots for Europe,PfE,"[{""name_native"": ""Identity and Democracy"", ""abbreviation"": ""ID Group""}, {""name_native"": ""Europe of Nations and Freedom"", ""abbreviation"": ""ENF""}]",EU,2015,,"[""#253082""]",https://en.wikipedia.org/wiki/Patriots_for_Europe,Q126947805,radical right
ESN Group,Europe of Sovereign Nations Group,Europe of Sovereign Nations Group,ESN,,EU,2024,,"[""#13517E""]",https://en.wikipedia.org/wiki/Europe_of_Sovereign_Nations_(political_group),Q127264685,radical right
Greens/EFA,Group of The Greens/European Free Alliance in the European Parliament,Group of The Greens/European Free Alliance in the European Parliament,Greens/EFA,,EU,1999,,"[""#57B45F""]",https://en.wikipedia.org/wiki/Greens%E2%80%93European_Free_Alliance,Q751935,"left or center-left, including non-radical greens"
GUE/NGL,The Left in the European Parliament – GUE/NGL,The Left in the European Parliament – GUE/NGL,GUE/NGL,"[{""name_native"": ""European United Left/Nordic Green Left"", ""abbreviation"": ""GUE/NGL""}, {""name_native"": ""European United Left/Nordic Green Left"", ""abbreviation"": ""EUL/NGL""}]",EU,1994,,"[""#B71C1C""]",https://en.wikipedia.org/wiki/The_Left_in_the_European_Parliament_%E2%80%93_GUE/NGL,Q753711,radical left
UEN,Union for Europe of the Nations,Union for Europe of the Nations,UEN,,EU,1999,2009.0,"[""#99FFFF""]",https://en.wikipedia.org/wiki/Union_for_Europe_of_the_Nations,Q835545,radical right
EFDD,Europe of Freedom and Direct Democracy,Europe of Freedom and Direct Democracy,EFDD,"[{""name_native"": ""Europe of Freedom and Democracy"", ""abbreviation"": ""EFD""}, {""name_native"": ""Independence/Democracy"", ""abbreviation"": ""IND/DEM""}, {""name_native"": ""Europe of Democracies and Diversities"", ""abbreviation"": ""EDD""}]",EU,1999,2019.0,"[""#24B9B9""]",https://en.wikipedia.org/wiki/Europe_of_Freedom_and_Direct_Democracy,Q1165759,radical right
NI,Non-Inscrits (non-attached members),Non-Inscrits (non-attached members),NI,,EU,1979,,"[""#999999""]",https://en.wikipedia.org/wiki/Non-attached_members,Q1440626,other
