party_id,name_native,name_english,abbreviation,other_names,region,founded_year,dissolved_year,ep_group,colors,wikipedia_page,wikidata_id,ideology
EPP,European People's Party,European People's Party,EPP,,EU,1976,,"[{""year_start"": null, ""year_end"": null, ""party_id"": ""EPP Group""}]","[""#3399FF""]",https://en.wikipedia.org/wiki/European_People%27s_Party,Q208242,"center, center-right or moderate right"
PES,Party of European Socialists,Party of European Socialists,PES,,EU,1992,,"[{""year_start"": null, ""year_end"": null, ""party_id"": ""S&D""}]","[""#F0001C""]",https://en.wikipedia.org/wiki/Party_of_European_Socialists,Q220945,"left or center-left, including non-radical greens"
ALDE,Alliance of Liberals and Democrats for Europe Party,Alliance of Liberals and Democrats for Europe Party,ALDE,"[{""name_native"": ""European Liberal Democrat and Reform Party Group"", ""abbreviation"": ""ELDR""}]",EU,1976,,"[{""year_start"": null, ""year_end"": null, ""party_id"": ""Renew""}]","[""#FFD700""]",https://en.wikipedia.org/wiki/Alliance_of_Liberals_and_Democrats_for_Europe_Party,Q25079,"center, center-right or moderate right"
EGP,European Green Party,European Green Party,EGP,,EU,2004,,"[{""year_start"": null, ""year_end"": null, ""party_id"": ""Greens/EFA""}]","[""#57B45F""]",https://en.wikipedia.org/wiki/European_Green_Party,Q950179,"left or center-left, including non-radical greens"
PEL,Party of the European Left,Party of the European Left,PEL,,EU,2004,,"[{""year_start"": null, ""year_end"": null, ""party_id"": ""GUE/NGL""}]","[""#AA0000""]",https://en.wikipedia.org/wiki/Party_of_the_European_Left,Q202649,radical left
ECR,European Conservatives and Reformists Party,European Conservatives and Reformists Party,ECR,"[{""name_native"": ""Alliance of Conservatives and Reformists in Europe"", ""abbreviation"": ""ACRE""}, {""name_native"": ""Alliance of European Conservatives and Reformists"", ""abbreviation"": ""AECR""}]",EU,2009,,"[{""year_start"": null, ""year_end"": null, ""party_id"": ""ECR Group""}]","[""#19C6A8""]",https://en.wikipedia.org/wiki/European_Conservatives_and_Reformists_Party,Q1889223,radical right
EFA,European Free Alliance,European Free Alliance,EFA,,EU,1981,,"[{""year_start"": null, ""year_end"": null, ""party_id"": ""Greens/EFA""}]","[""#671B88""]",https://en.wikipedia.org/wiki/European_Free_Alliance,Q639383,other
EDP,European Democratic Party,European Democratic Party,EDP,,EU,2004,,"[{""year_start"": null, ""year_end"": ""2009"", ""party_id"": ""EPP Group""}, {""year_start"": ""2009"", ""year_end"": null, ""party_id"": ""Renew""}]","[""#E9521C""]",https://en.wikipedia.org/wiki/European_Democratic_Party,Q734792,"center, center-right or moderate right"
Patriots.eu,Patriots.eu,Patriots.eu,Patriots.eu,"[{""name_native"": ""Identity and Democracy Party"", ""abbreviation"": ""ID""}, {""name_native"": ""Movement for a Europe of Nations and Freedom"", ""abbreviation"": ""MENF""}]",EU,2014,,"[{""year_start"": null, ""year_end"": null, ""party_id"": ""PfE""}]","[""#253082""]",https://en.wikipedia.org/wiki/Patriots_for_Europe,Q18907386,radical right
ECPP,European Christian Political Party,European Christian Political Party,ECPP,"[{""name_native"": ""European Christian Political Movement"", ""abbreviation"": ""ECPM""}]",EU,2002,,[],"[""#3055D4""]",https://en.wikipedia.org/wiki/European_Christian_Political_Movement,Q1377279,"center, center-right or moderate right"
APF,Alliance for Peace and Freedom,Alliance for Peace and Freedom,APF,,EU,2015,2018.0,"[{""year_start"": null, ""year_end"": null, ""party_id"": ""NI""}]","[""#000000""]",https://en.wikipedia.org/wiki/Alliance_for_Peace_and_Freedom,Q19834410,radical right
AENM,Alliance of European National Movements,Alliance of European National Movements,AENM,,EU,2009,2018.0,"[{""year_start"": null, ""year_end"": null, ""party_id"": ""NI""}]","[""#644117""]",https://en.wikipedia.org/wiki/Alliance_of_European_National_Movements,Q368067,radical right
ESN,Europe of Sovereign Nations,Europe of Sovereign Nations,ESN,,EU,2024,,"[{""year_start"": null, ""year_end"": null, ""party_id"": ""ESN Group""}]","[""#13517E""]",https://en.wikipedia.org/wiki/Europe_of_Sovereign_Nations,Q130269264,radical right
ELA,European Left Alliance for the People and the Planet,European Left Alliance for the People and the Planet,ELA,,EU,2024,,"[{""year_start"": null, ""year_end"": null, ""party_id"": ""GUE/NGL""}]","[""#665199""]",https://en.wikipedia.org/wiki/European_Left_Alliance_for_the_People_and_the_Planet,Q130219314,radical left
