party_id,name_native,name_english,abbreviation,coalition_members,other_names,individual_candidate,region,founded_year,dissolved_year,european_party,ep_group,colors,wikipedia_page,wikidata_id,party_facts_id,ideology
ANDERS,Europa anders – ANDERS,ANDERS,ANDERS,"[""KPÖ"", ""PIRAT"", ""WANDL""]",,,AT,2014.0,2014.0,[],[],"[""#6A0C5A"", ""#FF0000"", ""#FFFF00""]",https://de.wikipedia.org/wiki/Europa_anders,Q15763190,,radical left
BGE,Die GELBEN,The YELLOWS,BGE,[],,,AT,,,[],[],[],,,,other
BIER,Die Bierpartei,Beer Party,BIER,[],,,AT,2015.0,2025.0,[],[],"[""#FFD700"", ""#004D9F"", ""#FFFF00""]",https://de.wikipedia.org/wiki/Die_Bierpartei,Q88487372,,other
BZÖ,Bündnis Zukunft Österreich,Alliance for the Future of Austria,BZÖ,[],,,AT,2005.0,2013.0,[],[],"[""#FFA500""]",https://de.wikipedia.org/wiki/Bündnis_Zukunft_Österreich,Q653833,599.0,radical right
CPÖ,Christliche Partei Österreichs,Christian Party of Austria,CPÖ,[],"[{""name_native"": ""Die Christen"", ""abbreviation"": ""DC""}]",,AT,2005.0,,[],[],"[""#FF0000"", ""#FFFFFF""]",https://de.wikipedia.org/wiki/Christliche_Partei_%C3%96sterreichs,Q578350,,radical right
CWG,Christliche Wählergemeinschaft,Christian Voter Community,CWG,[],,,AT,1989.0,,[],[],[],https://de.wikipedia.org/wiki/Christliche_Wählergemeinschaft,Q876085,,radical right
DEMOKRATEN,Die Demokraten,The Democrats,DEMOKRATEN,[],,,AT,1991.0,2002.0,[],[],[],https://de.wikipedia.org/wiki/Die_Demokraten,Q1211949,,radical right
DNA,DNA – Demokratisch – Neutral – Authentisch,DNA – Democratic – Neutral – Authentic,DNA,[],,,AT,2024.0,,[],[],"[""#000080"", ""#CE1719""]",https://de.wikipedia.org/wiki/DNA_-_Demokratisch_-_Neutral_-_Authentisch,Q126373310,,radical right
DU,Die Unabhängigen – Liste Lugner,The Independents,DU,[],,,AT,1998.0,1999.0,[],[],[],https://de.wikipedia.org/wiki/Die_Unabhängigen_(Österreich),Q8934466,1500.0,other
EUAUS,EU-Austrittspartei für Österreich,EU Withdrawal Party,EUAUS,[],,,AT,2011.0,2019.0,[],[],[],https://de.wikipedia.org/wiki/EU-Austrittspartei,Q15807050,,radical right
EUSTOP,EUSTOP,EUSTOP,EUSTOP,"[""EUAUS"", ""NFÖ""]",,,AT,,,[],[],[],https://de.wikipedia.org/wiki/EUSTOP,,,radical right
