gisco_id,name,registered,turnout,invalid,blank,ÖVP,SPÖ,FPÖ,NEOS,JETZT,GRÜNE,KPÖ,WANDL,BZÖ,BIER,CPÖ,GILT,SLP
AT_10099,Wahlkarten - Burgenland (ungültig nicht zuordenbar),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_10101,Eisenstadt,10798,7192,78,0,2966,1450,1023,535,120,944,28,27,0,0,21,0,0
AT_10199,Wahlkarten - Eisenstadt Stadt,0,1382,11,0,557,235,139,119,22,276,11,12,0,0,0,0,0
AT_10201,Rust,1594,1055,18,0,355,315,209,52,12,82,5,4,0,0,3,0,0
AT_10299,Wahlkarten - Rust Stadt,0,221,3,0,69,74,30,17,3,24,0,1,0,0,0,0,0
AT_10301,Breitenbrunn am Neusiedler See,1582,1137,27,0,376,331,149,77,38,132,5,2,0,0,0,0,0
AT_10302,Donnerskirchen,1535,1076,17,0,470,242,200,60,13,67,6,1,0,0,0,0,0
AT_10303,Großhöflein,1676,1164,25,0,487,271,183,67,7,115,4,5,0,0,0,0,0
AT_10304,Hornstein,2397,1647,34,0,515,538,267,89,30,151,13,8,0,0,2,0,0
AT_10305,Klingenbach,870,635,9,0,202,279,86,12,8,30,2,7,0,0,0,0,0
AT_10306,Leithaprodersdorf,965,710,11,0,396,115,87,46,12,39,0,3,0,0,1,0,0
AT_10307,Mörbisch am See,1821,1347,21,0,450,449,262,48,14,92,2,5,0,0,4,0,0
AT_10308,Müllendorf,1146,868,16,0,328,273,108,42,22,68,2,7,0,0,2,0,0
AT_10309,Neufeld an der Leitha,2642,1868,28,0,525,610,343,121,27,191,15,8,0,0,0,0,0
AT_10310,Oggau am Neusiedler See,1471,1149,25,0,420,396,164,50,10,73,4,1,0,0,6,0,0
AT_10311,Oslip,1021,751,14,0,261,268,90,28,13,72,2,2,0,0,1,0,0
AT_10312,Purbach am Neusiedler See,2387,1597,25,0,680,364,283,90,16,127,3,5,0,0,4,0,0
AT_10313,Sankt Margarethen im Burgenland,2298,1666,26,0,714,375,303,72,28,140,5,1,0,0,2,0,0
AT_10314,Schützen am Gebirge,1108,849,18,0,392,217,112,43,7,54,0,4,0,0,2,0,0
AT_10315,Siegendorf,2270,1634,29,0,376,714,259,65,26,153,9,2,0,0,1,0,0
AT_10316,Steinbrunn,2099,1503,16,0,473,528,249,84,20,120,8,4,0,0,1,0,0
AT_10317,Trausdorf an der Wulka,1658,1150,11,0,409,397,171,48,21,86,3,2,0,0,2,0,0
AT_10318,Wimpassing an der Leitha,1226,851,12,0,343,187,172,59,8,67,2,1,0,0,0,0,0
AT_10319,Wulkaprodersdorf,1486,1123,24,0,426,371,105,46,20,125,5,1,0,0,0,0,0
AT_10320,Loretto,411,283,1,0,110,78,48,16,10,18,2,0,0,0,0,0,0
AT_10321,Stotzing,645,470,8,0,203,126,76,31,3,21,1,0,0,0,1,0,0
AT_10322,Zillingtal,761,527,7,0,169,163,84,32,9,60,3,0,0,0,0,0,0
AT_10323,Zagersdorf,832,595,9,0,234,213,73,25,5,30,3,1,0,0,2,0,0
AT_10399,Wahlkarten - Eisenstadt - Umgebung,0,3664,35,0,1358,1067,453,231,43,447,15,12,0,0,3,0,0
AT_10401,Bocksdorf,674,488,4,0,157,177,104,18,7,19,2,0,0,0,0,0,0
AT_10402,Burgauberg-Neudauberg,1097,771,13,0,329,183,163,27,4,44,4,2,0,0,2,0,0
AT_10403,Eberau,722,495,7,0,274,93,68,20,5,25,2,1,0,0,0,0,0
AT_10404,Gerersdorf-Sulz,834,601,4,0,282,171,83,16,3,42,0,0,0,0,0,0,0
AT_10405,Güssing,2954,1969,33,0,876,508,314,92,21,116,5,0,0,0,4,0,0
AT_10406,Güttenbach,725,510,10,0,251,132,61,19,5,31,1,0,0,0,0,0,0
AT_10407,Heiligenbrunn,651,455,7,0,252,107,66,5,1,14,2,1,0,0,0,0,0
AT_10408,Kukmirn,1651,1122,21,0,459,259,224,50,15,79,9,6,0,0,0,0,0
AT_10409,Neuberg im Burgenland,833,576,6,0,257,183,73,21,2,30,2,1,0,0,1,0,0
AT_10410,Neustift bei Güssing,412,268,3,0,71,115,56,6,2,12,2,0,0,0,1,0,0
AT_10411,Olbendorf,1200,836,19,0,222,328,185,25,5,41,6,2,0,0,3,0,0
AT_10412,Ollersdorf im Burgenland,805,649,10,0,262,206,95,21,6,39,2,5,0,0,3,0,0
AT_10413,Sankt Michael im Burgenland,811,617,9,0,302,136,106,29,4,29,1,1,0,0,0,0,0
AT_10414,Stegersbach,2091,1419,15,0,520,432,260,65,18,95,7,2,0,0,5,0,0
AT_10415,Stinatz,940,652,7,0,210,327,34,14,6,53,0,1,0,0,0,0,0
AT_10416,Strem,762,537,9,0,309,85,90,17,3,21,2,0,0,0,1,0,0
AT_10417,Tobaj,1112,808,9,0,403,142,166,29,7,41,6,4,0,0,1,0,0
AT_10418,Hackerberg,287,203,2,0,105,58,26,2,2,8,0,0,0,0,0,0,0
AT_10419,Wörterberg,396,290,3,0,116,87,47,5,3,27,0,2,0,0,0,0,0
AT_10420,Großmürbisch,212,149,1,0,81,46,10,4,0,7,0,0,0,0,0,0,0
AT_10421,Inzenhof,252,197,2,0,66,93,31,1,0,4,0,0,0,0,0,0,0
AT_10422,Kleinmürbisch,205,134,3,0,61,46,21,0,0,2,0,1,0,0,0,0,0
AT_10423,Tschanigraben,54,38,1,0,10,21,5,0,0,1,0,0,0,0,0,0,0
AT_10424,Heugraben,187,152,1,0,63,49,32,4,0,3,0,0,0,0,0,0,0
AT_10425,Rohr im Burgenland,327,241,1,0,110,63,50,7,1,8,0,1,0,0,0,0,0
AT_10426,Bildein,261,214,1,0,134,25,36,3,0,14,1,0,0,0,0,0,0
AT_10427,Rauchwart,371,279,8,0,82,102,71,2,2,9,0,3,0,0,0,0,0
AT_10428,Moschendorf,325,257,4,0,148,56,34,1,1,13,0,0,0,0,0,0,0
AT_10499,Wahlkarten - Güssing,0,2409,14,0,945,705,317,133,24,260,5,6,0,0,0,0,0
AT_10501,Deutsch Kaltenbrunn,1470,965,19,0,339,280,191,38,12,78,4,3,0,0,1,0,0
AT_10502,Eltendorf,791,533,5,0,207,135,126,17,6,34,0,2,0,0,1,0,0
AT_10503,Heiligenkreuz im Lafnitztal,966,632,8,0,262,173,131,16,7,30,2,2,0,0,1,0,0
AT_10504,Jennersdorf,3465,2257,32,0,913,362,619,88,25,201,13,4,0,0,0,0,0
AT_10505,Minihof-Liebau,879,633,10,0,235,161,141,37,6,35,5,2,0,0,1,0,0
AT_10506,Mogersdorf,915,650,10,0,231,200,132,25,7,38,6,1,0,0,0,0,0
AT_10507,Neuhaus am Klausenbach,754,498,5,0,230,111,93,14,4,33,5,2,0,0,1,0,0
AT_10508,Rudersdorf,1835,1214,23,0,520,277,227,54,14,90,3,4,0,0,2,0,0
AT_10509,Sankt Martin an der Raab,1715,1277,22,0,544,289,246,48,18,102,4,2,0,0,2,0,0
AT_10510,Weichselbaum,586,447,11,0,202,113,85,8,8,16,2,2,0,0,0,0,0
AT_10511,Königsdorf,611,453,6,0,181,137,89,13,7,19,0,0,0,0,1,0,0
AT_10512,Mühlgraben,324,237,6,0,63,99,38,13,1,15,2,0,0,0,0,0,0
AT_10599,Wahlkarten - Jennersdorf,0,1527,9,0,599,332,248,89,32,199,12,6,0,0,1,0,0
AT_10601,Draßburg,939,624,7,0,151,321,74,24,4,37,4,2,0,0,0,0,0
AT_10602,Forchtenstein,2253,1593,20,0,655,455,285,70,12,93,2,1,0,0,0,0,0
AT_10603,Hirm,751,583,18,0,147,274,83,14,9,33,2,1,0,0,2,0,0
AT_10604,Loipersbach im Burgenland,988,704,23,0,147,257,176,31,10,57,2,1,0,0,0,0,0
AT_10605,Marz,1615,1208,24,0,486,345,165,74,14,90,5,3,0,0,2,0,0
AT_10606,Mattersburg,5767,3878,64,0,1369,1090,661,220,61,374,18,14,0,0,7,0,0
AT_10607,Neudörfl,3448,2331,35,0,706,737,480,143,32,185,5,5,0,0,3,0,0
AT_10608,Pöttelsdorf,621,396,5,0,162,98,56,30,2,43,0,0,0,0,0,0,0
AT_10609,Pöttsching,2405,1739,19,0,583,526,261,131,24,176,12,6,0,0,1,0,0
AT_10610,Rohrbach bei Mattersburg,2130,1559,22,0,577,550,232,58,14,99,6,1,0,0,0,0,0
AT_10611,Bad Sauerbrunn,1772,1182,16,0,370,249,233,78,28,192,8,8,0,0,0,0,0
AT_10612,Schattendorf,1937,1494,36,0,405,654,206,52,12,120,4,3,0,0,2,0,0
AT_10613,Sieggraben,991,739,14,0,306,219,152,14,5,24,4,1,0,0,0,0,0
AT_10614,Sigleß,964,765,5,0,238,302,102,29,10,71,5,2,0,0,1,0,0
AT_10615,Wiesen,2203,1605,30,0,706,271,354,89,20,117,9,6,0,0,3,0,0
AT_10616,Antau,614,486,11,0,218,119,78,14,12,30,4,0,0,0,0,0,0
AT_10617,Baumgarten,698,517,8,0,139,232,61,23,11,37,3,2,0,0,1,0,0
AT_10618,Zemendorf-Stöttera,1008,712,9,0,334,209,94,25,5,34,1,1,0,0,0,0,0
AT_10619,Krensdorf,483,350,8,0,159,91,61,10,3,18,0,0,0,0,0,0,0
AT_10699,Wahlkarten - Mattersburg,0,3293,26,0,1142,1009,416,242,40,392,15,6,0,0,5,0,0
AT_10701,Andau,1919,1452,18,0,511,535,299,33,8,44,1,3,0,0,0,0,0
AT_10702,Apetlon,1525,1142,15,0,499,368,170,33,8,32,1,4,0,0,12,0,0
AT_10703,Bruckneudorf,2368,1532,21,0,407,412,371,97,25,177,14,6,0,0,2,0,0
AT_10704,Deutsch Jahrndorf,443,346,7,0,112,116,74,15,5,16,0,1,0,0,0,0,0
AT_10705,Frauenkirchen,2350,1566,34,0,555,503,272,66,24,100,5,2,0,0,5,0,0
AT_10706,Gattendorf,951,716,12,0,269,215,147,25,7,35,6,0,0,0,0,0,0
AT_10707,Gols,3133,2228,40,0,701,611,468,122,31,231,9,12,0,0,3,0,0
AT_10708,Halbturn,1594,1210,19,0,557,265,223,59,10,64,5,6,0,0,2,0,0
AT_10709,Illmitz,2053,1617,21,0,617,598,242,51,17,66,2,0,0,0,3,0,0
AT_10710,Jois,1268,895,15,0,362,220,172,47,13,52,6,4,0,0,4,0,0
AT_10711,Kittsee,1508,1002,16,0,461,262,153,35,11,55,4,2,0,0,3,0,0
AT_10712,Mönchhof,1828,1289,27,0,583,284,234,58,15,73,10,3,0,0,2,0,0
AT_10713,Neusiedl am See,6233,3952,57,0,1459,803,623,360,72,544,16,11,0,0,7,0,0
AT_10714,Nickelsdorf,1254,887,15,0,267,285,191,36,20,68,3,2,0,0,0,0,0
AT_10715,Pama,858,656,9,0,317,220,55,19,7,26,1,2,0,0,0,0,0
AT_10716,Pamhagen,1365,914,11,0,465,241,120,25,6,39,4,2,0,0,1,0,0
AT_10717,Parndorf,3286,2060,39,0,573,672,466,112,28,146,15,7,0,0,2,0,0
AT_10718,Podersdorf am See,1755,1281,26,0,640,203,190,79,22,114,1,2,0,0,4,0,0
AT_10719,Sankt Andrä am Zicksee,1127,878,9,0,405,220,148,48,8,34,2,0,0,0,4,0,0
AT_10720,Tadten,1009,753,8,0,351,244,84,27,4,34,1,0,0,0,0,0,0
AT_10721,Wallern im Burgenland,1421,1099,25,0,381,399,208,31,10,42,1,1,0,0,1,0,0
AT_10722,Weiden am See,1933,1382,21,0,521,277,273,116,25,147,1,0,0,0,1,0,0
AT_10723,Winden am See,1077,719,18,0,236,234,117,39,14,57,2,2,0,0,0,0,0
AT_10724,Zurndorf,1677,1278,32,0,323,429,333,48,13,92,3,4,0,0,1,0,0
AT_10725,Neudorf,563,399,5,0,158,128,53,19,4,31,0,0,0,0,1,0,0
AT_10726,Potzneusiedl,434,324,4,0,96,113,72,13,4,18,3,1,0,0,0,0,0
AT_10727,Edelstal,497,356,3,0,209,67,51,8,2,16,0,0,0,0,0,0,0
AT_10799,Wahlkarten - Neusiedl am See,0,4649,53,0,1624,1236,642,349,74,618,21,22,0,0,10,0,0
AT_10801,Deutschkreutz,2522,1780,24,0,839,455,271,79,15,84,7,3,0,0,3,0,0
AT_10802,Draßmarkt,1136,847,13,0,388,265,81,39,7,49,1,3,0,0,1,0,0
AT_10803,Frankenau-Unterpullendorf,922,653,7,0,289,183,69,24,9,68,3,0,0,0,1,0,0
AT_10804,Großwarasdorf,1164,807,9,0,392,221,90,28,15,44,7,1,0,0,0,0,0
AT_10805,Horitschon,1464,1087,16,0,483,307,182,39,10,41,2,2,0,0,5,0,0
