country,file,row_index,municipality_code,municipality_name,canonical_name,reason
AT,2019.csv,0,AT_10099,Wahlkarten - Burgenland (ungültig nicht zuordenbar),Wahlkarten - Burgenland (ungültig nicht zuordenbar),special_wahlkarten
AT,2019.csv,2,AT_10199,Wahlkarten - Eisenstadt Stadt,Wahlkarten - Eisenstadt Stadt,special_wahlkarten
AT,2019.csv,4,AT_10299,Wahlkarten - Rust Stadt,Wahlkarten - Rust Stadt,special_wahlkarten
AT,2019.csv,28,AT_10399,Wahlkarten - Eisenstadt - Umgebung,Wahlkarten - Eisenstadt - Umgebung,special_wahlkarten
AT,2019.csv,57,AT_10499,Wahlkarten - Güssing,Wahlkarten - Güssing,special_wahlkarten
AT,2019.csv,70,AT_10599,Wahlkarten - Jennersdorf,Wahlkarten - Jennersdorf,special_wahlkarten
AT,2019.csv,90,AT_10699,Wahlkarten - Mattersburg,Wahlkarten - Mattersburg,special_wahlkarten
AT,2019.csv,118,AT_10799,Wahlkarten - Neusiedl am See,Wahlkarten - Neusiedl am See,special_wahlkarten
AT,2019.csv,147,AT_10899,Wahlkarten - Oberpullendorf,Wahlkarten - Oberpullendorf,special_wahlkarten
AT,2019.csv,180,AT_10999,Wahlkarten - Oberwart,Wahlkarten - Oberwart,special_wahlkarten
AT,2019.csv,181,AT_1A099,Wahlkarten - Burgenland Nord,Wahlkarten - Burgenland Nord,special_wahlkarten
AT,2019.csv,182,AT_1B099,Wahlkarten - Burgenland Süd,Wahlkarten - Burgenland Süd,special_wahlkarten
AT,2019.csv,183,AT_20099,Wahlkarten - Kärnten (ungültig nicht zuordenbar),Wahlkarten - Kärnten (ungültig nicht zuordenbar),special_wahlkarten
AT,2019.csv,185,AT_20199,Wahlkarten - Klagenfurt Stadt,Wahlkarten - Klagenfurt Stadt,special_wahlkarten
AT,2019.csv,187,AT_20299,Wahlkarten - Villach Stadt,Wahlkarten - Villach Stadt,special_wahlkarten
AT,2019.csv,195,AT_20399,Wahlkarten - Hermagor,Wahlkarten - Hermagor,special_wahlkarten
AT,2019.csv,215,AT_20499,Wahlkarten - Klagenfurt-Land,Wahlkarten - Klagenfurt-Land,special_wahlkarten
