gisco_id,name,registered,turnout,invalid,blank,N-VA,open vld,CD&V,SP.A,VLAAMS BELANG,GROEN,SD&P,PVDA+,Piratenpartij,R.O.S.S.E.M.,B.U.B.-Belg.Unie,PVGW,OpenVld,ROSSEM,PP,FDF,PS,MR,CDH,PTB-GO !,Parti Populaire,ECOLO,DEBOUT LES BELGES,Faire place Nette,LA DROITE,WALLONIE D'ABORD,PIRATE,Lutte Ouvrière,RassemblementWalon,P+,NATION,R.W.F.,FW,NWA,MG,MGJOD,B.U.B.,Lijst Dedecker,VLC,PP PARTIPENSIONNES,ISLAM,CIM,PTB-GO!,Vox Populi Belgica,B.U.B.- Belg.Unie,NVA,PTB*PVDA-GO !,DEBOUT LES BELGES!,GAUCHES COMMUNES,Égalitaires !,Parti Libertarien,Agora Erasmus,LaLutte-DeStrijd,F.D.F,MOVE
BE_41002,Aalst (Aalst) / Alost (Alost),0,57433,2723,0,20618,8596,7845,6526,4305,3767,1218,1081,468,147,87,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_44001,Aalter,0,14619,635,0,3878,1812,4719,1204,514,1440,12,242,100,43,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24001,Aarschot,0,21669,1137,0,5694,0,4045,2510,1354,1543,0,452,0,0,41,0,4727,109,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_11001,Aartselaar,0,10213,279,0,4724,0,1488,773,546,738,0,215,79,11,10,0,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23105,Affligem,0,9279,311,0,3253,0,1532,601,435,437,0,100,0,0,22,0,2517,25,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_52074,Aiseau-Presles,0,6581,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,2441,940,675,383,366,324,282,101,67,51,36,30,22,20,20,19,19,14,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_73001,Alken,0,8490,406,0,2771,0,1809,999,319,639,0,98,65,21,8,0,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_38002,Alveringem,0,3531,173,0,1019,0,827,480,146,192,0,49,0,9,8,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_61003,Amay,0,11238,848,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,250,3957,1688,868,823,477,1654,138,0,168,99,52,0,0,0,31,34,6,0,14,0,0,0,48,40,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_63001,Amel / Amblève,0,3660,817,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21,492,896,781,35,29,415,33,0,52,4,42,0,0,0,11,0,4,0,12,0,0,0,3,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
