gisco_id,name,registered,turnout,invalid,blank,N-VA,VLAAMS BELANG,open vld,SP.A,CD&V,GROEN,PVDA,DierAnimal,de coöperatie,B.U.B,BUB Belgische Unie,PRO,DéFI,Piratenpartij,Volt,D-SA,PV&S,PS,PTB,MR,CDH,ECOLO,Parti Populaire,COLLECTIF CITOYEN,LISTES DESTEXHE,AGIR,LA DROITE,Lutte Ouvrière,NATION,PCB,LES BELGES D'ABORD,WALLONIE INSOUMISE,PTB*PVDA,Turquoise
BE_41002,Aalst (Aalst) / Alost (Alost),0,56590,2460,0,14655,13768,7333,5370,5285,4361,2440,746,121,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_44001,Aalter,0,20996,936,0,4387,3371,2802,1500,4749,2211,732,257,21,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24001,Aarschot,0,21796,1157,0,5301,3848,3203,2231,2950,1852,1063,0,0,0,86,85,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_11001,Aartselaar,0,10110,255,0,4346,1577,1207,542,859,727,436,74,0,0,0,0,0,65,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23105,Affligem,0,9283,332,0,2759,1720,1349,563,1599,564,290,0,0,0,28,31,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_52074,Aiseau-Presles,0,6545,678,0,0,52,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,2141,1010,633,584,563,230,132,83,69,56,50,46,17,0,0,0,0
BE_73001,Alken,0,8612,496,0,2253,1314,1219,843,1306,850,308,0,0,0,0,14,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_38002,Alveringem,0,3546,174,0,840,734,358,356,771,177,96,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_61003,Amay,0,9466,864,0,0,46,0,0,0,0,0,123,0,0,0,0,265,0,0,0,0,2800,1655,778,260,1842,250,151,122,0,67,0,21,0,165,57,0,0
BE_63001,Amel / Amblève,0,3676,781,0,0,104,0,0,0,0,0,25,0,0,0,0,19,0,0,0,0,374,127,666,672,710,57,10,18,0,45,0,16,0,37,15,0,0
BE_92003,Andenne,0,17573,1523,0,0,107,0,0,0,0,0,260,0,0,0,0,751,0,0,0,0,4993,2609,2138,1842,2110,563,122,216,134,118,0,87,0,0,0,0,0
