country,file,row_index,municipality_code,municipality_name,canonical_name,reason
BE,2024.csv,18,BE_KAE001,AE Anvers,AE Anvers,matched_be_canton
BE,2024.csv,23,BE_KAE010,AE Luxembourg,AE Luxembourg,matched_be_canton
BE,2024.csv,93,BE_KAE004,AE Flandre occidentale,AE Flandre occidentale,matched_be_canton
BE,2024.csv,95,BE_KAE003,AE Bruxelles-Hal-Vilvorde,AE Bruxelles-Hal-Vilvorde,matched_be_canton
BE,2024.csv,186,BE_KAE005,AE Flandre Orientale,AE Flandre Orientale,matched_be_canton
BE,2024.csv,225,BE_KAE008,AE Limbourg,AE Limbourg,matched_be_canton
BE,2024.csv,325,BE_KAE007,AE Liège,AE Liège,matched_be_canton
BE,2024.csv,347,BE_KAE009,AE Louvain,AE Louvain,matched_be_canton
BE,2024.csv,383,BE_KAE006,AE Hainaut,AE Hainaut,matched_be_canton
BE,2024.csv,393,BE_KAE011,AE Namur,AE Namur,matched_be_canton
BE,2024.csv,405,BE_KAE002,AE Brabant Wallon,AE Brabant Wallon,matched_be_canton
BE,2024.csv,592,BE_K00002,Alost,Alost,matched_be_canton
BE,2024.csv,593,BE_K00216,Aalter,Aalter,matched_be_canton
BE,2024.csv,594,BE_K00001,Aarschot,Aarschot,matched_be_canton
BE,2024.csv,595,BE_K00003,Andenne,Andenne,matched_be_canton
BE,2024.csv,596,BE_K00004,Anderlecht,Anderlecht,matched_be_canton
BE,2024.csv,597,BE_K00217,Anderlues,Anderlues,matched_be_canton
BE,2024.csv,598,BE_K00005,Antoing,Antoing,matched_be_canton
BE,2024.csv,599,BE_K00006,Anvers,Anvers,matched_be_canton
BE,2024.csv,600,BE_K00007,Arendonk,Arendonk,matched_be_canton
BE,2024.csv,601,BE_K00008,Arlon,Arlon,matched_be_canton
BE,2024.csv,602,BE_K00009,Asse,Asse,matched_be_canton
BE,2024.csv,603,BE_K00010,Assenede,Assenede,matched_be_canton
BE,2024.csv,604,BE_K00011,Ath,Ath,matched_be_canton
BE,2024.csv,605,BE_K00012,Aubel,Aubel,matched_be_canton
BE,2024.csv,606,BE_K00014,Avelgem,Avelgem,matched_be_canton
BE,2024.csv,607,BE_K00015,Aywaille,Aywaille,matched_be_canton
BE,2024.csv,608,BE_K00016,Bassenge,Bassenge,matched_be_canton
BE,2024.csv,609,BE_K00017,Bastogne,Bastogne,matched_be_canton
BE,2024.csv,610,BE_K00018,Beaumont,Beaumont,matched_be_canton
BE,2024.csv,611,BE_K00019,Beauraing,Beauraing,matched_be_canton
BE,2024.csv,612,BE_K00020,Beloeil,Beloeil,matched_be_canton
BE,2024.csv,613,BE_K00021,Beringen,Beringen,matched_be_canton
BE,2024.csv,614,BE_K00022,Beveren,Beveren,matched_be_canton
BE,2024.csv,615,BE_K00023,Bilzen,Bilzen,matched_be_canton
BE,2024.csv,616,BE_K00024,Binche,Binche,matched_be_canton
BE,2024.csv,617,BE_K00025,Boom,Boom,matched_be_canton
BE,2024.csv,618,BE_K00120,Looz,Looz,matched_be_canton
BE,2024.csv,619,BE_K00026,Bouillon,Bouillon,matched_be_canton
BE,2024.csv,620,BE_K00027,Boussu,Boussu,matched_be_canton
BE,2024.csv,621,BE_K00031,Bruges,Bruges,matched_be_canton
BE,2024.csv,622,BE_K00032,Bruxelles,Bruxelles,matched_be_canton
BE,2024.csv,624,BE_K00028,Brakel,Brakel,matched_be_canton
BE,2024.csv,625,BE_K00029,Brecht,Brecht,matched_be_canton
BE,2024.csv,626,BE_K00030,Bree,Bree,matched_be_canton
BE,2024.csv,627,BE_K00033,Celles,Celles,matched_be_canton
BE,2024.csv,628,BE_K00034,Châtelet,Châtelet,matched_be_canton
BE,2024.csv,629,BE_K00035,Charleroi,Charleroi,matched_be_canton
BE,2024.csv,630,BE_K00036,Chièvres,Chièvres,matched_be_canton
BE,2024.csv,631,BE_K00037,Chimay,Chimay,matched_be_canton
BE,2024.csv,632,BE_K00038,Ciney,Ciney,matched_be_canton
BE,2024.csv,633,BE_K00039,Comines-Warneton,Comines-Warneton,matched_be_canton
BE,2024.csv,634,BE_K00041,Couvin,Couvin,matched_be_canton
BE,2024.csv,635,BE_K00042,Deinze,Deinze,matched_be_canton
BE,2024.csv,636,BE_K00178,Termonde,Termonde,matched_be_canton
BE,2024.csv,637,BE_K00043,Destelbergen,Destelbergen,matched_be_canton
