gisco_id,name,registered,turnout,invalid,blank,ФСБСБ,ДНБ,КзБ,Гранит,КнЕ,НДСВ,КДБ,ДСБ,НКДЖБ,Евророма,КнР,БНС,НВ,Атака,ФАГО,ОППБ,ДПС,БХК,ОДС,НЗПНП,ПСД,РК,Петко Илиев Пенев,Радослав Николов Коев,Неделчо Михайлов Димов,Стефчо Иванов Събчев,Илия Замфиров Илиев - Независим,Любомир Христов Василев,Ивайло Манчев Петров,Жоро Петров Ничев,Георги Николаев Мумджиев,Веселина Минчева Бозукова,Асен Фиданов Чаушев,Илия Кирилов Велчев - Независим,Юлий Григоров Абаджиев - Независим
BG_BLG0102676,Банско,10788,5165,131,0,4,25,1636,7,7,1199,11,298,24,64,29,432,139,150,11,48,429,5,505,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG0203504,Белица,7923,5171,146,0,2,10,780,5,3,259,7,71,4,135,31,54,5,48,0,12,3516,3,78,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG0304279,Благоевград,64781,32602,534,0,38,212,8845,52,32,10498,63,2204,120,191,345,1631,1183,1718,255,68,228,145,4111,29,82,18,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG1117395,Гоце Делчев,27290,14988,385,0,39,39,3158,17,7,2380,26,912,53,117,81,399,371,759,40,67,5272,26,828,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG1318366,Гърмен,11800,7714,111,0,7,33,1004,3,3,383,9,172,5,118,178,169,74,91,8,16,5164,2,163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG2814492,Кресна,5152,2400,48,0,5,8,734,6,1,566,3,309,4,58,21,133,43,111,4,9,51,17,255,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG3356126,Петрич,47119,22404,596,0,26,67,6501,38,24,3404,34,808,70,606,831,2813,363,1226,55,55,693,77,4062,32,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG3761813,Разлог,18121,10105,396,0,16,30,3390,13,11,2180,31,894,74,271,39,426,312,643,30,33,114,12,1172,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG4065334,Сандански,36016,15645,396,0,19,64,4209,16,20,4027,25,1020,47,830,196,849,747,842,23,118,280,102,1787,13,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG4265440,Сатовча,13939,6255,94,0,8,10,920,2,4,336,10,143,5,79,445,52,186,26,7,16,3545,7,357,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG4466460,Симитли,12324,5863,266,0,7,21,1204,7,5,1905,11,183,31,158,28,251,227,246,14,25,219,12,1027,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_BLG4978046,Струмяни,5513,2495,110,0,4,3,827,6,8,668,2,102,12,158,23,140,97,61,7,17,19,9,213,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
