gisco_id,name,registered,turnout,invalid,blank,"ПП ""Нова Алтернатива""","ПП ""Демократическа Партия""","ПП ""Национален Фронт за Спасение на България""","КП ""Коалиция за България""","КП ""Център - Свобода и Достойнство""","ПП ""Национал-Демократична Партия""","КП ""Гражданска Листа - Модерна България""","КП ""Съюз на Демократичните Сили""","ПП ""Либерален Алианс""","ПП ""Християн-Социален Съюз""","ПП ""Атака""","ПП ""ГЕРБ""","ПП ""Ред, Законност и Справедливост""","ПП ""ВМРО - Българско Национално Движение""","ПП ""Демократична Гражданска Инициатива""","ПП ""Християндемократическа Партия на България""","ПП ""Средна Европейска Класа""","ПП ""Национално Патриотично Обединение""","ПП ""Лидер""","ПП ""Зелените""","КП ""Демократи за Силна България и Български Демократически Форум (ДСБ, БДФ)""","ПП ""Социалдемократическа Партия""","ПП ""Другата България""","ПП ""Българската Левица""","ПП ""Кауза България""","ПП ""Движение България на Гражданите""","ПП ""Демократична Алтернатива за Национално Обединение""","КП ""Българска Пролет""","КП ""Горда България""","ПП ""Глас Народен""","ПП ""Български Земеделски Народен Съюз""","ПП ""Движение за Права и Свободи""","ПП ""Национално Движение Единство""","ПП ""Партия на Българските Жени""","ПП ""Единна Народна Партия""","ПП ""Съюз на Комунистите в България""",Инициативен Комитет Жоро Петров НиЧев
BG_BGZZAU,Australia,34,31,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,1,0,1,0,0,0,2,0,1,0
BG_BGZZAT,Austria,511,1551,22,0,3,7,37,183,119,1,0,28,1,0,83,461,9,25,10,0,0,0,10,84,200,1,2,3,1,123,0,4,5,48,1,70,0,2,0,8,0
BG_BGZZAZ,Azerbaijan,29,43,1,0,1,0,0,13,0,0,0,0,0,0,0,10,0,2,0,0,0,0,2,0,3,0,0,0,1,6,0,0,2,1,0,1,0,0,0,0,0
BG_BGZZAL,Albania,22,117,9,0,0,1,2,43,0,0,0,1,0,0,2,33,0,8,0,0,0,0,0,1,5,1,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0
BG_BGZZAR,Argentina,33,34,3,0,0,1,0,11,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0
BG_BGZZAF,Afghanistan,330,384,4,0,192,1,5,69,0,0,0,0,0,0,18,53,2,5,1,0,0,0,1,0,5,0,1,2,0,9,1,0,1,11,0,2,0,0,0,1,0
BG_BGZZBE,Belgium,1407,3167,76,0,13,6,39,310,69,4,15,36,1,2,92,710,26,31,17,4,1,3,5,111,202,4,2,15,0,227,0,7,5,34,14,1076,0,3,3,4,0
BG_66665,Ситово,5364,2945,114,0,4,0,149,719,77,4,8,10,4,1,68,398,61,6,5,1,1,2,46,3,13,0,0,4,0,42,8,1,2,6,0,1178,1,0,9,0,0
BG_BGZZGB,United Kingdom,2995,5656,137,0,28,7,119,465,22,8,23,90,8,2,409,2784,44,79,57,6,5,11,14,231,361,5,14,12,1,406,0,5,23,187,13,54,2,9,7,8,0
BG_SOF46,Столична,1128218,613179,11073,0,3054,635,13211,163584,2487,720,2689,11297,744,351,40581,213769,7415,13906,4270,820,455,573,3445,12520,44504,516,825,990,339,28409,556,788,2615,17818,959,3956,194,1562,682,916,0
BG_BGZZGE,Georgia,30,39,1,0,0,0,2,9,0,1,1,1,0,0,2,5,2,2,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,2,0,1,0,1,0,0,0
BG_BGZZGR,Greece,1276,2925,115,0,15,4,205,316,23,2,12,37,3,5,177,1534,59,49,24,3,6,5,12,22,58,10,4,9,1,87,2,8,21,29,3,30,1,12,5,17,0
BG_BGZZDK,Denmark,389,735,20,0,5,1,10,30,9,0,4,11,1,1,49,261,2,12,10,1,5,1,2,67,55,1,1,3,0,48,1,2,0,52,2,63,1,1,0,3,0
BG_BGZZEG,Egypt,26,36,2,0,0,0,0,8,0,0,1,1,0,0,0,11,0,0,0,0,0,0,0,5,2,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0
BG_BGZZIL,Israel,31,209,7,0,1,0,3,26,2,1,0,0,0,0,6,121,3,4,0,0,3,0,1,6,12,0,0,1,0,6,0,0,0,3,0,0,0,0,2,1,0
BG_BGZZIE,Ireland,117,356,4,0,2,0,10,42,0,0,3,9,0,0,34,177,2,3,8,0,0,0,0,8,15,0,0,0,0,26,0,1,0,7,0,4,0,1,0,0,0
BG_BGZZES,Spain,3362,10069,152,0,32,14,451,658,38,10,40,97,19,6,694,5925,117,152,98,6,23,6,22,109,199,13,37,33,11,415,4,11,49,100,27,436,5,36,7,17,0
BG_BGZZIT,Italy,578,1299,25,0,10,4,39,151,5,2,7,30,0,2,111,604,13,22,12,1,1,0,1,34,93,3,1,8,1,75,8,0,4,12,1,7,0,8,1,3,0
BG_BGZZCA,Canada,462,1256,19,0,8,0,31,120,3,0,2,25,1,0,82,623,4,20,5,2,0,0,5,62,122,5,3,6,0,69,0,2,3,16,2,2,1,3,6,4,0
BG_BGZZQA,Qatar,37,62,1,0,0,0,0,3,0,0,4,2,0,0,1,33,0,1,0,0,0,0,0,3,7,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0
BG_BGZZCY,Cyprus,894,3373,69,0,11,5,92,217,10,6,6,27,3,1,247,2201,59,46,26,2,5,0,9,15,43,4,11,5,0,101,1,0,14,38,2,78,0,15,1,3,0
BG_BGZZCN,China,35,80,0,0,0,0,4,23,0,0,0,1,0,0,2,25,1,0,1,0,0,0,0,7,3,0,0,1,0,7,0,1,0,3,0,1,0,0,0,0,0
BG_BGZZKR,South Korea,30,48,1,0,0,1,0,6,1,0,1,2,0,0,2,7,1,0,0,0,0,0,0,15,4,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0
BG_06224,Брегово,5150,3530,220,0,7,0,64,1935,12,8,14,31,4,1,189,826,54,17,5,5,0,1,0,6,34,0,2,1,3,40,0,0,9,15,0,15,0,0,2,10,0
BG_BGZZJO,Jordan,28,47,0,0,0,0,0,7,0,0,1,0,0,0,3,25,0,2,1,0,1,0,0,2,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
BG_BGZZKW,Kuwait,41,125,1,0,1,1,1,13,0,0,3,3,0,1,5,44,2,2,1,0,0,0,0,0,20,1,0,1,0,17,1,0,1,0,0,3,0,3,0,0,0
BG_BGZZLB,Lebanon,53,109,1,0,1,1,1,28,0,0,1,1,0,0,8,47,0,0,0,0,0,0,2,0,4,2,1,0,0,5,0,0,1,0,0,4,0,0,0,1,0
BG_BGZZLU,Luxembourg,187,364,5,0,1,0,1,63,2,0,1,11,0,0,4,121,2,1,1,0,0,0,0,32,60,0,2,1,0,42,1,0,3,8,1,1,0,0,0,0,0
BG_00607,Ардино,21053,7713,278,0,11,4,80,667,437,2,14,27,2,0,37,903,35,403,0,5,1,4,26,11,20,1,3,4,0,44,4,0,6,13,7,4616,0,13,23,12,0
BG_BGZZMT,Malta,200,332,0,0,1,1,6,26,1,0,3,6,0,0,37,202,4,10,0,0,0,0,0,1,3,0,1,0,0,13,0,2,1,8,0,2,0,3,1,0,0
BG_BGZZMA,Morocco,34,76,2,0,0,1,4,9,0,0,0,4,0,0,5,31,2,1,0,0,0,0,0,1,8,0,0,0,0,4,0,0,0,0,0,2,0,1,0,1,0
BG_BGZZMD,Moldova,27,182,11,0,1,1,0,30,0,1,1,2,0,1,6,28,3,0,0,0,0,0,0,1,1,7,81,1,0,1,0,2,0,0,0,1,1,0,0,2,0
BG_BGZZNG,Nigeria,33,38,0,0,0,0,2,11,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,2,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
BG_BGZZNL,Netherlands,254,1306,21,0,5,1,23,107,25,0,7,17,0,1,60,470,8,14,4,2,0,0,6,72,104,0,3,3,0,120,2,3,5,31,0,184,0,4,3,1,0
