gisco_id,name,registered,turnout,invalid,blank,Движение 21,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ - НД,ПП НОВОТО ВРЕМЕ,ОБЕДИНЕНА БЪЛГАРИЯ,СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ,"РЕФОРМАТОРСКИ БЛОК – БЗНС, ДБГ, ДСБ, НПСД, СДС",ПП Нова България,ПП ГЕРБ,ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,АТАКА,НДСВ,КП БЪЛГАРИЯ БЕЗ ЦЕНЗУРА,Коалиция АБВ – (Алтернатива за българско възраждане),ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА АЛТЕРНАТИВА,КП ДЕСНИТЕ,ДПС – Движение за права и свободи,ПП Глас Народен,ПАРТИЯ НА ЗЕЛЕНИТЕ,НОВА СИЛА,БСП лява България,ЗЕЛЕНИТЕ,ПАТРИОТИЧЕН ФРОНТ – НФСБ И ВМРО,РЕПУБЛИКА БГ,Инициативен Комитет Никола Николов Вапцаров,Ик Октай Хасанов Енимехмедов,Господин Тончев Тонев
BG_77058,Хаджидимово,8624,4968,413,0,11,8,5,8,8,12,157,8,1258,3,110,36,272,77,3,1,6,1565,3,3,2,772,3,211,0,13,0,0
BG_43952,Ловеч,48168,24640,1059,0,369,55,38,33,76,38,1637,76,7912,73,1371,34,1391,1327,54,86,21,1779,198,63,65,4604,110,1564,607,0,0,0
BG_40097,Крушари,5708,2352,151,0,4,2,0,1,1,1,57,7,246,2,90,3,74,20,3,3,12,1423,4,6,1,152,1,86,2,0,0,0
BG_39030,Котел,19776,7051,572,0,14,19,10,8,13,10,159,18,1817,10,269,6,331,156,14,37,11,2709,17,4,4,485,4,341,13,0,0,0
BG_87338,Якоруда,9110,5010,488,0,17,7,6,1,6,0,100,4,447,11,40,1,40,85,2,3,7,3474,4,2,0,148,3,111,0,3,0,0
BG_00084,Аврен,4849,4589,614,0,19,17,6,7,9,10,233,10,1725,5,89,15,263,174,6,1,6,712,14,5,9,439,5,188,8,0,0,0
BG_39970,Крумовград,33801,11247,511,0,5,10,2,2,10,9,166,33,1224,9,65,12,126,67,11,14,26,8092,28,6,10,600,9,118,82,0,0,0
BG_65927,Севлиево,33901,16653,733,0,187,56,17,11,50,28,686,54,5612,34,659,35,747,626,33,30,14,2164,113,47,3284,61,1236,136,0,0,0,0
BG_36926,Кирково,34445,13021,875,0,3,4,5,6,4,9,262,15,1868,5,24,12,148,103,19,9,24,8653,12,3,3,736,3,85,131,0,0,0
BG_04279,Благоевград,86825,34439,1833,0,543,113,67,59,189,36,3329,108,13641,42,1622,92,1682,1745,126,89,92,300,431,252,58,4896,174,2258,487,175,0,0
BG_00151,Айтос,28314,13038,1292,0,59,31,12,20,22,9,684,25,2663,15,313,14,601,324,19,13,10,4690,49,13,15,1230,15,869,6,0,25,0
BG_03592,Белово,8220,4268,348,0,30,16,8,7,14,13,184,17,1566,7,364,14,298,84,10,9,3,51,30,7,5,948,18,207,10,0,0,0
BG_10971,Видин,63802,24519,1166,0,223,62,34,33,60,39,1953,82,7708,44,1504,59,1766,853,61,163,61,1380,163,52,52,5385,77,1159,380,0,0,0
BG_00182,Аксаково,15565,8325,1029,0,88,24,7,15,20,11,490,34,2960,18,372,18,502,248,5,23,15,720,67,12,15,978,26,605,23,0,0,0
