gisco_id,name,registered,turnout,invalid,blank,РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,"ПАТРИОТИЧЕН ФРОНТ – НФСБ, БДС РАДИКАЛИ И БНДС ЦЕЛОКУПНА БЪЛГАРИЯ",ВЪЗРАЖДАНЕ,НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА,БСДД – Български Съюз за Директна Демокрация,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,АТАКА,ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ПП ГЛАС НАРОДЕН,Движение за права и свободи – ДПС,ПП ПРАВОТО,ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,БНО,ВОЛЯ,ПП ИМА ТАКЪВ НАРОД,Продължаваме Промяната,Партия МИР,ПП БЛАГОДЕНСТВИЕ – ОБЕДИНЕНИЕ – ГРАДИВНОСТ,Български национален съюз – НД,ПРЯКА ДЕМОКРАЦИЯ,"ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България, ДСБ, Зелено движение)",ИЗПРАВИ СЕ БГ! НИЕ ИДВАМЕ!,ГЕРБ-СДС,БСП ЗА БЪЛГАРИЯ,БЪЛГАРСКА ПРОГРЕСИВНА ЛИНИЯ,Партия на ЗЕЛЕНИТЕ,БРИГАДА,ИК за Петър Константинов Низамов - независим-Петър Константинов Низамов,Давид Леон Леви - независим-Давид Леон Леви
BG_BLG52,Хаджидимово,8524,3099,8,36,4,12,56,12,7,18,13,10,17,677,11,12,1,9,461,394,6,0,0,2,73,24,718,475,0,2,41,0,0
BG_LOV18,Ловеч,42072,15807,88,205,38,37,748,76,28,98,82,69,90,648,41,155,22,41,1700,4047,32,6,7,6,641,411,4323,2130,11,16,11,0,0
BG_DOB20,Крушари,5027,1453,29,7,3,11,18,10,9,6,4,4,10,906,2,10,6,5,61,69,1,2,0,0,20,16,155,86,1,1,1,0,0
BG_SLV11,Котел,18915,4494,18,36,25,29,127,36,28,52,31,23,29,1026,20,22,12,37,202,509,11,5,6,4,96,113,1598,375,3,13,8,0,0
BG_BLG53,Якоруда,8724,3489,6,43,6,3,45,9,10,11,3,12,7,2406,6,11,0,7,149,201,5,0,0,0,39,15,386,106,1,0,2,0,0
BG_VAR01,Аврен,6723,2813,27,24,12,13,118,19,13,10,15,10,12,204,11,69,3,31,249,505,4,3,0,5,65,60,966,359,2,4,2,0,0
BG_KRZ15,Крумовград,33836,9189,47,70,6,6,56,32,17,25,17,22,33,6922,15,8,7,17,289,397,8,14,1,4,92,18,666,392,2,4,2,0,0
BG_GAB29,Севлиево,30980,10527,47,148,35,45,596,46,31,66,67,64,56,1091,35,108,10,37,1098,2564,19,0,16,8,322,267,2729,988,5,24,5,0,0
BG_KRZ14,Кирково,35590,9142,52,60,13,17,63,40,19,29,11,31,38,6301,19,17,8,10,329,422,8,10,1,1,165,38,1076,356,0,1,7,0,0
BG_BLG03,Благоевград,90468,27537,26,348,47,81,1026,97,56,140,108,143,125,1364,99,445,24,61,3183,8217,54,13,10,17,1635,905,6747,2503,14,40,9,0,0
BG_BGS01,Айтос,26813,8598,24,99,13,29,255,22,21,51,36,27,42,2554,23,45,8,35,607,1365,12,3,4,4,216,133,2213,730,7,11,2,7,0
