gisco_id,name,registered,turnout,invalid,blank,Движение за права и свободи – ДПС,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,БНО,ПП Национално движение Единство,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,Коалиция Справедлива България,ПРЯКА ДЕМОКРАЦИЯ,НФСБ,Продължаваме Промяната,МИР,КОД /Консервативно Обединение на Десницата/,БТР – БЪЛГАРИЯ НА ТРУДА И РАЗУМА,ПП КОАЛИЦИЯ ЗА ТЕБ БЪЛГАРИЯ,ВЪЗРАЖДАНЕ,БЪЛГАРСКИ ВЪЗХОД,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,ПП ИЗПРАВИ СЕ БЪЛГАРИЯ,ДВИЖЕНИЕ НА НЕПАРТИЙНИТЕ КАНДИДАТИ,ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,ПРАВОТО,НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,ГЕРБ-СДС,"ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България, ДСБ, Зелено движение)",БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,АТАКА,БСП ЗА БЪЛГАРИЯ,РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,ИК за издигане на Цветан Христов Атанасов като независим кандидат-Цветан Христов Атанасов,Луна Йорданова Йорданова-Луна Йорданова Йорданова
BG_BLG52,Хаджидимово,8423,3096,15,54,651,3,1,3,14,4,3,1,374,0,2,3,8,176,161,1,15,8,95,3,1,0,842,98,5,6,534,15,0,0
BG_LOV18,Ловеч,42409,15355,86,544,976,16,5,16,99,60,22,14,3128,17,11,18,32,1415,576,9,214,64,755,56,14,17,4359,706,60,67,1928,71,0,0
BG_DOB20,Крушари,5007,1505,14,15,953,8,1,5,5,1,3,0,76,0,1,0,1,61,19,1,10,3,22,1,2,1,194,27,4,2,73,2,0,0
BG_SLV11,Котел,18524,4926,24,77,843,34,17,0,13,14,10,19,540,11,7,19,15,228,70,16,41,12,58,9,7,13,2452,82,25,12,248,10,0,0
BG_BLG53,Якоруда,8356,3547,0,62,2551,11,2,6,14,4,3,1,152,3,1,2,6,84,48,0,2,13,31,2,1,0,412,29,4,2,101,0,0,0
BG_VAR01,Аврен,6708,3004,27,58,255,13,8,15,11,5,14,4,438,11,9,5,8,281,93,6,80,8,83,5,2,9,1169,89,5,12,273,6,2,0
BG_KRZ15,Крумовград,33523,9781,40,109,7781,47,10,12,19,9,8,2,433,5,1,7,7,100,69,3,10,7,114,2,3,0,557,74,6,2,342,2,0,0
BG_GAB29,Севлиево,30772,10574,53,437,1237,23,12,10,110,35,31,25,1925,13,11,21,19,1201,335,15,92,36,392,32,7,15,3049,402,31,42,933,30,0,0
BG_KRZ14,Кирково,35931,10128,58,92,7449,38,2,18,16,6,12,7,686,8,5,8,12,124,33,6,15,6,107,7,5,5,962,160,5,8,264,4,0,0
BG_BLG03,Благоевград,91566,28010,17,979,1660,38,14,45,426,68,43,21,6168,64,40,25,45,2386,1865,22,179,108,1311,54,21,0,8208,1439,94,57,2569,44,0,0
BG_BGS01,Айтос,27556,8749,18,197,2728,24,7,14,22,25,9,13,993,9,10,8,25,579,340,4,34,11,197,17,5,11,2531,192,21,18,662,25,0,0
BG_PAZ04,Белово,7193,2778,0,91,92,6,1,15,17,5,3,3,417,5,4,3,16,278,141,2,32,14,96,2,1,4,977,87,17,13,425,11,0,0
BG_VID09,Видин,56566,17174,60,623,1560,40,9,14,48,70,23,19,3369,27,17,15,38,1673,637,11,290,96,618,44,15,15,4418,1334,55,78,1907,51,0,0
BG_VAR02,Аксаково,17033,7152,48,196,587,23,8,8,27,23,5,13,1154,10,6,9,12,896,265,1,55,29,256,12,4,30,2566,235,14,10,623,15,12,0
BG_SML11,Златоград,10441,3782,17,102,428,6,3,9,6,9,4,7,898,7,4,5,7,208,64,0,54,12,92,3,5,2,1038,111,3,3,670,5,0,0
BG_TGV35,Търговище,56229,21012,68,494,7786,94,17,37,96,57,35,29,2732,38,18,19,39,1452,417,14,112,57,572,19,8,20,4249,611,33,34,1811,44,0,0
BG_SFO45,Сливница,7262,2808,5,105,119,5,1,5,30,15,2,2,471,5,1,3,12,275,232,2,46,12,115,11,1,4,912,156,6,10,241,4,0,0
BG_VTR28,Свищов,28408,9410,39,436,472,13,8,18,98,47,43,23,1909,15,18,9,18,1170,362,18,174,49,561,26,8,18,1963,415,26,70,1351,33,0,0
BG_SLS01,Алфатар,2558,1032,6,28,149,3,0,2,2,1,2,1,146,0,1,5,1,45,30,2,5,1,44,1,2,0,405,30,1,4,114,1,0,0
BG_PAZ19,Пазарджик,99836,31873,74,1152,3417,69,24,65,193,202,56,29,5850,42,48,41,50,3247,2005,29,459,158,1317,50,19,29,8216,1451,65,113,3250,153,0,0
BG_BGS17,Поморие,23180,8135,20,238,1418,17,6,22,34,28,10,32,1305,14,6,11,18,904,353,6,66,32,271,12,11,3,2355,369,17,13,535,9,0,0
BG_SZR24,Павел баня,13583,4603,14,94,2146,36,6,8,25,21,9,4,447,13,3,12,10,369,108,1,28,11,97,8,1,3,672,96,10,6,334,11,0,0
BG_HKV34,Хасково,88964,31646,58,954,5244,78,26,57,113,150,52,23,6739,43,50,36,66,2886,1797,20,173,110,1073,35,18,28,8050,1151,75,71,2406,64,0,0
