gisco_id,name,registered,turnout,invalid,blank,БСП ЗА БЪЛГАРИЯ,ГЕРБ-СДС,ВЪЗРАЖДАНЕ,ПП ИМА ТАКЪВ НАРОД,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,"КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (АТАКА, РУСОФИЛИ, КОМУНИСТИ)",Българско Национално Обединение,ЗАЕДНО,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,НДСВ,КОД /Консервативно Обединение на Десницата/,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,Движение за права и свободи – ДПС,ЛЕВИЦАТА!,ПП БЪЛГАРСКИ ВЪЗХОД,МИР,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,ПП Глас Народен,Социалистическа партия Български път,ВЪН от ЕС и НАТО,ИК за издигане на Веселин Найденов Марешки за независим кандидат за народен представител-Веселин Найденов Марешки,Милен Ганев Милев-Милен Ганев Милев
BG_BLG52,Хаджидимово,8420,3435,65,95,462,888,241,102,13,2,3,3,0,13,6,515,911,33,65,5,4,3,4,0,2,0,0
BG_LOV18,Ловеч,42096,15536,230,706,1890,4526,2164,724,47,61,17,119,17,29,20,3205,868,323,397,13,9,11,39,3,101,0,17
BG_DOB20,Крушари,5025,1544,30,19,73,179,67,21,0,0,0,0,1,2,2,98,1006,12,25,0,3,5,0,0,1,0,0
BG_SLV11,Котел,18556,4983,281,84,381,2224,317,66,14,6,3,6,3,4,4,600,779,85,107,2,2,2,2,0,11,0,0
BG_BLG53,Якоруда,8686,5112,132,70,80,416,106,23,7,1,5,1,3,9,4,133,2491,25,1596,5,1,1,0,0,1,0,0
BG_VAR01,Аврен,6643,3169,108,81,262,1357,388,102,14,6,4,5,0,16,3,456,237,59,46,3,1,2,4,2,3,7,0
BG_KRZ15,Крумовград,33135,9497,122,132,358,610,164,76,12,6,4,7,2,2,6,475,7395,34,64,3,11,6,2,0,6,0,0
BG_GAB29,Севлиево,30439,10475,179,440,894,3097,1565,429,25,51,6,69,11,20,15,2000,1139,179,247,9,18,4,35,5,39,0,0
BG_KRZ14,Кирково,34561,9904,115,108,304,1176,180,78,8,5,5,10,9,10,11,684,7058,34,77,1,13,7,2,3,6,0,0
BG_BLG03,Благоевград,93742,28988,335,1252,2104,8946,3347,1357,78,88,26,60,29,78,49,7133,1986,848,1100,30,37,13,31,16,42,0,0
BG_BGS01,Айтос,27515,9531,224,228,584,3060,877,207,14,35,6,12,5,6,4,1010,2876,132,211,3,8,4,9,1,15,0,0
BG_PAZ04,Белово,7171,2984,53,112,326,1107,478,103,9,14,2,4,2,3,0,501,52,57,137,5,4,1,4,0,10,0,0
BG_VID09,Видин,56054,18107,294,801,2005,4845,2472,665,37,85,20,27,11,157,56,3997,1684,435,470,12,35,7,31,10,41,0,0
BG_VAR02,Аксаково,17140,7351,150,246,589,2639,1145,328,41,14,4,16,6,24,11,1120,709,99,134,6,9,10,12,2,18,17,0
BG_SML11,Златоград,10360,4249,77,117,463,1212,318,99,17,2,2,7,0,6,5,1335,491,35,47,2,2,0,8,0,3,0,0
BG_TGV35,Търговище,56183,18970,258,645,1775,4329,1992,549,52,56,21,30,11,40,21,2877,5472,372,355,15,21,16,23,2,38,0,0
BG_SFO45,Сливница,7241,2848,35,144,255,975,430,112,8,6,0,14,1,5,8,543,113,90,84,6,1,0,6,0,8,0,0
BG_VTR28,Свищов,28155,10026,170,487,1329,2207,1841,556,49,70,6,21,9,5,38,1971,606,319,273,10,8,5,12,5,17,0,0
BG_SLS01,Алфатар,2501,1086,41,26,108,433,107,23,5,5,2,1,1,0,0,146,134,4,39,5,1,1,1,0,3,0,0
BG_PAZ19,Пазарджик,98443,31666,654,1390,3164,8355,4781,1430,109,276,28,50,23,68,69,6553,2811,595,1036,51,34,31,59,9,84,0,0
BG_BGS17,Поморие,23167,8856,200,335,583,2354,1208,332,41,28,14,15,4,20,17,1543,1477,146,472,13,9,7,6,6,25,0,0
BG_SZR24,Павел баня,13566,4879,119,131,353,710,534,131,13,10,4,9,2,6,4,463,2209,70,77,5,7,6,5,2,9,0,0
BG_HKV34,Хасково,89105,32142,567,1264,2423,7979,4280,1031,83,117,30,72,30,33,66,6781,5303,896,1003,22,26,21,32,12,70,0,0
BG_SHU25,Смядово,5403,1637,67,42,155,632,204,46,5,5,8,7,0,1,1,256,99,19,71,1,2,3,5,2,5,0,0
BG_JAM22,Стралджа,9441,2897,77,91,591,980,342,100,13,27,3,4,1,1,4,432,79,34,98,1,2,2,2,1,12,0,0
BG_SOF46,Столична,1190636,514347,4096,25543,34341,121296,68527,17752,1297,2135,477,2112,403,1905,2669,192343,3837,14342,14769,1206,497,721,1893,108,1452,0,0
BG_DOB12,Генерал Тошево,12500,3687,86,133,789,702,604,150,12,22,5,5,8,9,6,526,306,83,204,2,10,2,15,0,4,0,0
BG_DOB15,Добрич-селска,20728,6772,188,128,1639,1172,704,156,11,18,7,8,2,14,7,782,1688,84,119,8,13,6,5,1,11,0,0
BG_SFO39,Самоков,29941,11551,238,531,1554,3917,1373,397,29,42,5,35,6,75,25,2168,544,226,286,10,28,9,20,3,30,0,0
BG_VRC08,Бяла Слатина,20086,9446,146,351,676,4124,756,297,27,21,12,17,6,11,7,1461,1279,71,152,6,3,4,10,1,8,0,0
BG_DOB27,Тервел,19770,4963,141,93,352,1736,313,82,8,7,9,3,2,7,1,563,1469,59,94,4,4,2,2,3,9,0,0
BG_HKV19,Минерални бани,6731,3510,77,47,130,257,168,30,3,5,2,15,2,3,1,218,2449,52,35,2,5,3,2,1,3,0,0
BG_PDV43,Сопот,8743,3259,61,160,441,636,449,214,12,41,1,7,2,9,4,634,59,47,451,5,5,8,3,1,9,0,0
BG_SLS34,Тутракан,13764,5515,108,177,438,1080,730,149,19,15,5,7,2,12,3,803,1782,52,88,4,7,5,9,2,14,0,0
BG_SFO54,Антон,1220,431,3,18,35,70,76,18,2,1,0,1,0,1,2,91,88,5,13,1,0,1,0,0,4,0,0
BG_TGV02,Антоново,5546,2683,75,49,192,269,105,30,4,7,3,2,1,1,0,138,1742,15,34,3,5,3,2,2,1,0,0
BG_SFO10,Горна Малина,4612,2015,46,123,411,581,282,78,7,10,1,5,2,5,1,287,59,47,54,7,0,0,4,0,5,0,0
BG_SZR07,Гълъбово,9567,3456,66,153,560,749,555,167,17,21,5,26,4,7,6,783,151,78,82,3,3,2,8,0,10,0,0
BG_TGV24,Попово,24399,7120,133,262,1740,1513,920,342,28,36,8,16,4,9,8,1021,723,170,138,9,12,6,7,3,12,0,0
BG_VTR04,Велико Търново,70878,29859,327,1757,2627,7553,4971,1455,70,180,29,85,16,109,104,6788,1888,826,887,18,18,10,71,5,70,0,0
BG_SML31,Смолян,32931,13122,149,769,1257,4126,1508,484,50,35,11,61,7,35,22,2960,820,300,421,15,17,5,19,3,36,0,0
BG_KRZ02,Ардино,25089,6739,134,85,129,578,102,19,4,3,3,5,3,5,6,388,5194,15,52,2,4,4,0,0,4,0,0
BG_VAR16,Дългопол,12339,5234,141,56,441,2278,284,60,9,5,1,1,1,5,3,437,1422,45,28,3,3,1,3,0,3,5,0
BG_GAB05,Габрово,54421,20831,263,932,1600,7410,3506,858,50,83,12,63,25,36,72,4367,233,518,605,31,25,16,60,7,59,0,0
BG_SZR31,Стара Загора,137794,56204,810,2929,5438,14986,9735,3396,163,373,60,198,32,226,134,12669,1462,1286,1734,76,63,79,139,22,185,0,0
BG_VID16,Димово,4858,2345,86,42,180,354,151,30,6,4,1,2,3,9,5,355,1010,21,71,1,5,0,1,1,7,0,0
BG_PDV01,Асеновград,57809,22181,403,866,2803,5738,2591,777,76,74,14,19,6,35,27,3831,3735,352,708,19,16,15,33,4,37,0,0
BG_SLV16,Нова Загора,31268,9292,164,295,1046,2957,1454,359,41,73,14,17,13,16,7,1740,549,248,257,3,4,3,14,4,14,0,0
BG_VTR31,Стражица,10853,3413,115,148,357,741,320,119,21,9,6,9,4,4,6,437,993,43,58,2,6,1,3,1,10,0,0
BG_PVN21,Никопол,7801,3052,81,91,522,486,262,67,4,12,3,2,2,16,6,343,976,121,42,5,3,4,2,0,2,0,0
BG_JAM25,Тунджа,17557,6551,185,200,1756,1636,960,199,23,28,3,34,6,10,2,973,80,178,233,9,8,5,6,0,17,0,0
BG_PVN16,Левски,16665,5051,102,160,838,1257,750,216,15,24,3,21,7,7,7,926,305,246,134,3,5,5,2,1,16,0,0
BG_BGS09,Карнобат,20434,6209,139,236,1051,1303,940,253,36,28,14,17,2,27,23,1109,640,121,228,10,5,1,8,3,15,0,0
BG_MON26,Медковец,2520,1397,57,30,187,477,100,26,2,2,1,3,2,2,1,173,294,21,11,0,0,0,0,0,7,0,0
BG_KRZ21,Момчилград,31393,8067,116,105,143,793,124,64,10,2,1,5,1,2,7,525,6092,22,34,7,7,3,3,1,0,0,0
BG_PDV28,Садово,12048,3630,90,134,992,872,482,155,7,13,5,9,3,6,2,534,88,34,185,1,2,2,3,1,10,0,0
BG_SML02,Баните,3382,1667,31,40,217,599,50,50,10,2,1,0,1,2,1,278,328,22,19,0,12,2,2,0,0,0,0
BG_BGS13,Царево,7339,3179,70,125,219,1173,428,120,10,12,1,5,4,6,5,721,88,55,107,1,2,0,3,2,22,0,0
BG_PAZ08,Велинград,30921,11436,139,375,749,3995,1294,294,25,41,10,15,2,11,14,1944,2028,180,247,15,3,4,11,3,14,0,0
BG_SLS31,Силистра,46604,18184,303,781,1884,5035,2722,738,78,108,17,37,12,37,29,4267,1051,389,570,16,13,13,29,10,48,0,0
BG_PDV07,Брезово,4994,2013,74,51,501,576,311,55,11,11,6,3,0,0,1,280,12,39,66,3,2,4,2,0,5,0,0
BG_KNL04,Бобов дол,6631,2410,36,100,444,807,326,85,7,9,2,9,3,7,1,346,97,55,62,2,6,0,1,0,5,0,0
BG_RSE33,Сливо поле,10036,3065,77,74,261,890,292,65,4,12,1,1,2,13,3,395,896,23,43,1,2,0,3,0,6,0,0
BG_BLG02,Белица,7914,4896,119,55,245,400,80,17,4,5,4,1,0,3,0,110,3733,26,83,4,3,2,1,0,1,0,0
BG_KNL29,Кюстендил,66005,19528,279,856,2246,6857,2579,797,74,87,16,57,18,35,42,4108,248,612,398,24,66,19,46,7,57,0,0
BG_KNL05,Бобошево,2000,868,16,31,126,278,90,28,2,5,2,4,0,2,1,159,75,11,32,1,3,0,1,0,1,0,0
BG_PVN10,Долна Митрополия,15700,4741,86,160,711,1380,623,372,19,25,3,32,3,11,5,772,270,149,89,6,6,0,3,1,15,0,0
BG_PER36,Радомир,15631,6216,120,230,626,2169,906,224,13,21,8,18,10,6,40,1281,179,146,170,10,3,8,12,2,14,0,0
BG_SHU11,Хитрино,10732,2861,110,27,118,215,68,11,3,1,0,7,3,0,0,1710,556,5,18,1,1,4,0,0,3,0,0
BG_KRZ35,Черноочене,12705,4730,68,23,58,268,61,5,3,1,1,2,0,2,2,157,4052,12,12,0,0,0,1,1,1,0,0
BG_LOV34,Троян,26622,9824,117,519,1161,2796,1573,384,25,43,3,20,5,34,24,2114,388,206,331,10,9,2,14,1,37,0,8
BG_KNL48,Дупница,39864,13793,192,624,1576,4684,2005,598,58,83,19,113,7,26,20,2615,454,240,384,14,8,10,22,4,37,0,0
BG_BLG13,Гърмен,13410,6631,101,96,292,1298,191,111,8,6,5,7,2,1,11,384,3916,95,95,1,1,3,1,2,4,0,0
BG_VID06,Брегово,4011,2202,48,66,355,922,145,50,1,3,0,8,3,8,9,249,270,32,21,1,2,2,0,0,7,0,0
BG_HKV30,Стамболово,12431,4373,34,36,100,171,84,19,4,2,4,4,1,4,0,187,3659,23,31,2,5,0,1,0,2,0,0
BG_RAZ26,Разград,50367,15262,237,600,1397,3112,2016,433,20,62,11,40,10,23,17,4102,2576,203,311,12,13,13,21,9,24,0,0
BG_DOB03,Балчик,17350,5430,112,189,466,1011,986,213,24,27,5,14,4,9,10,939,1090,124,170,3,4,3,12,1,14,0,0
BG_MON02,Берковица,15372,6036,156,196,603,1510,779,177,14,21,2,4,3,6,9,990,1249,187,93,3,7,5,4,0,14,0,0
BG_RSE08,Две могили,7502,2356,65,52,205,661,258,67,8,6,2,5,2,7,1,332,586,41,38,1,5,1,3,2,8,0,0
BG_VRC10,Враца,64719,24267,299,1087,2309,7297,3558,1063,58,101,23,44,24,84,45,4601,1097,507,1858,38,18,12,44,4,96,0,0
BG_BLG11,Гоце Делчев,28266,11623,185,381,2227,2484,1007,259,22,26,3,13,3,24,16,1376,2906,277,359,23,8,4,12,3,5,0,0
BG_PER08,Брезник,4994,2095,45,73,261,754,255,84,3,11,2,3,2,4,19,333,55,128,52,2,1,1,4,0,3,0,0
BG_VAR26,Суворово,6521,2942,90,80,175,1469,319,83,7,7,3,2,2,2,4,340,258,48,26,4,5,1,5,0,7,5,0
BG_BLG01,Банско,10748,5600,84,303,660,1916,641,246,29,18,3,13,4,2,5,1303,136,117,105,5,1,3,0,0,6,0,0
BG_BLG37,Разлог,17372,8775,140,304,857,2260,900,406,49,23,7,51,5,16,8,2047,1156,142,370,8,7,3,6,2,8,0,0
BG_BGS15,Несебър,20448,7809,101,371,581,1764,1548,325,34,28,4,22,5,13,12,2021,176,335,387,24,7,7,16,1,27,0,0
BG_PAZ20,Панагюрище,20382,7130,111,274,941,2289,1118,362,34,30,2,13,2,7,7,1450,117,126,174,15,12,7,14,2,16,0,0
BG_PDV13,Карлово,42345,14291,290,801,2061,3621,2112,708,51,112,8,34,11,32,14,2956,654,251,454,39,15,12,16,3,35,0,0
BG_KNL27,Кочериново,3207,1391,38,48,169,610,132,51,3,4,1,3,0,7,4,202,52,35,24,1,2,0,3,0,2,0,0
BG_SML10,Доспат,7487,3484,52,83,276,1913,120,77,10,2,1,7,1,1,1,593,265,20,50,1,2,1,3,0,2,0,0
BG_RSE27,Русе,142668,51419,630,2779,4723,10786,9095,3012,207,287,47,285,26,374,186,14005,1629,1337,1560,81,46,51,117,8,145,0,0
BG_BLG33,Петрич,54268,18127,356,576,1393,7687,1862,770,51,40,14,40,14,36,101,2979,1058,481,593,6,16,6,20,8,16,0,0
BG_VTR22,Павликени,19360,6554,168,269,1259,1535,900,205,16,38,16,9,6,14,12,942,824,133,156,8,8,11,8,1,16,0,0
BG_PAZ03,Батак,5113,2497,28,75,101,480,176,61,5,6,0,4,0,0,1,223,1246,23,51,3,6,0,5,0,5,0,0
BG_RSE03,Борово,4819,1581,59,50,197,477,181,40,3,4,3,0,0,8,3,276,215,21,33,1,1,1,1,2,5,0,0
BG_SFO43,Своге,15797,6508,109,261,530,1891,870,207,22,22,5,14,3,10,9,1004,1155,188,154,8,4,0,23,0,16,0,0
BG_LOV38,Ябланица,4590,1556,32,41,181,589,191,60,4,7,1,2,0,2,4,224,151,26,22,2,2,2,1,2,4,0,6
BG_VRC21,Криводол,6794,2948,68,69,323,728,267,67,5,19,2,8,0,1,1,383,344,28,619,4,2,2,2,1,5,0,0
BG_KRZ16,Кърджали,99142,25512,573,890,1351,3439,1630,381,40,36,21,33,20,53,24,3423,12828,257,380,29,33,20,14,3,34,0,0
BG_SLS07,Главиница,11114,4769,98,69,160,710,197,44,5,8,2,3,4,3,5,322,3071,18,35,1,2,2,1,3,5,0,0
BG_SZR23,Опан,2031,1067,26,13,271,281,113,29,6,9,0,3,1,2,0,147,105,29,25,0,1,2,0,0,4,0,0
BG_VTR13,Елена,7966,3118,59,87,309,1029,382,87,7,16,1,9,0,1,8,575,377,74,69,1,4,5,8,1,6,0,0
BG_PVN24,Плевен,116144,42943,532,2515,4091,10360,6506,3321,126,243,35,546,28,134,181,9415,1756,1437,1343,83,40,32,89,14,119,0,0
BG_PDV12,Калояново,9130,3272,55,133,430,1045,422,136,12,10,4,17,3,1,1,588,263,23,103,14,2,3,1,1,5,0,0
BG_SML09,Девин,10371,4158,84,131,461,1271,272,95,13,4,3,15,7,4,4,548,1091,50,87,5,2,0,5,2,3,0,0
BG_LOV19,Луковит,14731,4360,186,150,485,1524,465,210,10,9,4,5,4,5,6,639,444,68,84,32,4,3,5,1,15,0,2
BG_SFO26,Костинброд,13687,6266,94,307,526,2328,828,211,16,29,4,16,3,9,10,1129,404,135,167,11,4,7,8,1,19,0,0
BG_MON29,Монтана,44857,18657,214,784,1677,5260,3225,794,47,70,10,110,9,34,24,3209,2134,475,439,16,18,13,32,0,64,0,0
BG_PDV26,Родопи,27867,10538,187,464,942,3047,1575,498,53,47,15,20,3,15,31,2169,624,461,313,11,10,5,18,4,26,0,0
BG_DOB17,Каварна,12444,3787,84,118,445,750,709,151,17,16,7,17,4,6,8,944,217,104,161,5,5,2,5,2,10,0,0
BG_PVN03,Белене,7666,2844,38,143,484,515,463,168,17,11,1,11,1,1,1,712,77,112,61,0,6,4,8,0,10,0,0
BG_MON04,Бойчиновци,6976,3355,104,51,230,1184,312,71,11,18,1,6,0,4,2,226,1040,56,33,0,3,0,2,0,1,0,0
BG_SZR27,Раднево,15368,5446,93,266,718,1157,1127,344,23,27,3,13,6,12,3,1154,202,96,124,8,8,5,11,5,39,0,0
BG_BGS06,Средец,10819,3580,75,122,476,1242,506,108,9,12,3,7,1,2,15,624,87,96,173,9,5,2,3,2,1,0,0
BG_MON36,Чипровци,2988,1722,48,76,144,774,252,39,6,7,2,3,2,1,2,276,52,16,13,1,3,0,1,0,4,0,0
BG_RAZ14,Исперих,25550,8909,188,221,317,2407,351,118,9,10,2,5,0,2,5,811,4324,45,53,6,12,0,5,1,14,0,0
BG_GAB35,Трявна,9646,3290,33,148,335,830,600,142,14,26,1,9,2,6,10,840,32,123,110,8,3,2,6,0,10,0,0
BG_PDV15,Лъки,2199,806,17,31,97,210,102,20,1,0,0,2,1,0,0,175,64,6,74,0,3,1,1,0,1,0,0
BG_HKV17,Любимец,7730,3753,100,88,381,1997,330,141,7,7,3,5,1,2,3,540,40,31,64,0,3,2,2,1,5,0,0
BG_RAZ16,Кубрат,18072,6350,151,167,351,957,347,103,20,7,4,11,4,4,4,824,3073,56,233,3,7,5,2,4,11,0,0
BG_PDV37,Хисаря,10116,3942,85,166,614,864,691,169,14,25,0,8,1,8,2,966,103,75,119,6,3,8,6,4,5,0,0
BG_VAR08,Ветрино,4675,2004,60,54,161,786,264,50,2,6,0,5,0,2,3,202,329,37,34,1,3,1,2,0,2,0,0
BG_VID01,Белоградчик,5159,2071,53,72,245,337,208,61,0,2,2,5,3,2,4,332,630,33,77,0,2,1,0,0,2,0,0
BG_PDV25,Раковски,22119,5862,148,243,620,2431,880,227,21,14,6,11,2,11,8,981,41,46,123,6,7,4,7,2,14,0,0
BG_SHU30,Шумен,85922,28216,344,1294,2856,7316,4721,1179,124,176,28,59,14,61,54,6442,1845,489,1002,32,17,17,69,8,69,0,0
BG_TGV22,Омуртаг,25032,6412,210,303,1352,1105,243,57,7,13,6,8,4,7,8,796,2164,36,66,4,7,4,4,0,8,0,0
BG_VID33,Ружинци,3053,1575,59,28,95,744,98,16,1,3,1,1,1,1,1,186,298,14,18,2,0,2,0,2,4,0,0
BG_HKV11,Ивайловград,5702,2714,50,72,228,1014,257,55,7,7,2,6,1,2,5,469,357,69,100,3,3,2,1,0,4,0,0
BG_VAR04,Белослав,8946,2962,52,137,247,788,520,188,13,10,5,8,3,6,2,567,244,60,66,4,2,19,3,1,11,4,0
BG_RSE37,Ценово,4357,2000,80,50,292,873,180,66,2,6,0,5,1,2,5,335,41,20,27,2,8,0,1,2,2,0,0
BG_PDV17,Марица,25296,8607,145,411,913,2584,1571,447,36,39,5,20,7,6,20,1593,235,109,385,9,5,23,15,5,22,0,0
BG_SFO56,Мирково,1757,618,14,50,98,165,87,23,4,2,0,3,2,0,16,105,7,14,20,5,0,0,1,1,1,0,0
BG_BGS23,Сунгурларе,10223,3589,106,61,262,677,254,59,11,13,2,2,5,4,4,340,1677,43,56,2,3,5,1,0,2,0,0
BG_SLV20,Сливен,108206,33559,765,1238,3506,9701,5085,1461,169,126,42,134,13,89,151,7159,1223,1187,1257,57,36,15,58,12,75,0,0
