gisco_id,name,registered,turnout,invalid,blank,ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,"НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ, КОЙ, БРСП, НАЦИЯ/",ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ)
BG_BLG52,Хаджидимово,8362,2960,97,71,119,6,13,2,2,5,48,13,1,2,204,82,158,4,1,21,2,5,3,0,767,4,344,51,10,8,914,1,0,1,1
BG_LOV18,Ловеч,41519,13015,281,354,1260,39,124,42,39,25,64,197,22,8,1846,318,1444,18,69,32,9,60,27,43,3791,10,1164,592,128,22,930,40,9,3,5
BG_DOB20,Крушари,4982,1794,73,13,38,6,5,2,1,4,1,3,0,1,62,20,31,3,3,1,3,3,2,1,307,2,44,20,2,2,1136,1,1,1,2
BG_SLV11,Котел,18649,4115,288,71,77,14,16,4,1,5,34,49,3,2,270,67,155,6,8,3,2,13,9,10,1681,4,174,49,37,4,1037,17,0,3,2
BG_BLG53,Якоруда,8737,5596,133,85,68,2,2,1,1,2,40,2,4,0,120,28,59,1,3,3,5,4,1,3,225,0,63,17,10,13,4690,8,0,2,1
BG_VAR01,Аврен,6669,3124,146,75,132,6,19,4,1,4,8,71,8,1,356,70,214,3,10,1,4,98,3,3,1183,4,141,86,30,3,430,4,4,1,1
BG_KRZ15,Крумовград,33153,9943,267,127,101,8,14,5,2,1,11,12,7,1,114,66,197,4,33,4,20,11,8,5,544,2,302,50,12,17,7975,14,4,2,3
BG_GAB29,Севлиево,30235,8449,224,249,536,26,81,17,23,9,78,114,14,3,1305,274,748,16,35,14,7,25,43,14,2218,16,623,381,63,28,1243,13,4,1,4
BG_KRZ14,Кирково,35497,10716,307,89,120,9,17,1,2,5,27,15,8,2,165,56,253,5,22,3,18,10,7,8,873,4,197,16,5,16,8440,9,3,4,0
BG_BLG03,Благоевград,93675,24751,537,629,1733,66,307,32,43,17,493,413,46,18,2996,498,3421,21,62,48,10,209,34,50,7065,14,1360,836,354,42,3294,71,11,10,11
BG_BGS01,Айтос,27518,7424,298,151,298,13,33,7,5,9,33,45,41,4,673,209,411,8,30,5,13,15,18,13,2032,7,394,274,19,10,2331,12,2,3,8
BG_PAZ04,Белово,7071,2708,105,81,105,7,13,7,4,1,27,19,4,1,381,137,167,3,9,0,3,12,5,7,1034,3,324,122,4,3,116,1,2,0,1
BG_VID09,Видин,55553,15391,449,528,948,41,265,25,40,18,88,296,12,8,2088,374,2008,17,43,34,24,274,32,19,3496,13,1339,664,61,24,2095,36,8,4,20
BG_VAR02,Аксаково,17105,6239,257,149,373,18,60,10,2,3,40,59,9,5,873,216,464,8,22,2,4,218,17,28,2168,6,377,270,36,16,505,8,1,0,15
BG_SML11,Златоград,10194,3506,102,91,89,16,21,6,7,3,20,25,3,5,251,53,616,5,4,1,5,7,5,6,830,2,553,96,6,2,671,3,2,0,0
BG_TGV35,Търговище,55463,19880,646,466,710,31,97,17,23,11,191,134,25,2,1786,507,1203,19,58,14,27,113,34,32,3046,22,1220,528,79,36,8741,26,18,4,14
BG_SFO45,Сливница,6589,2211,44,84,164,6,30,5,4,5,27,43,2,2,317,69,282,1,15,2,3,4,7,4,775,3,122,75,22,3,77,7,3,0,4
BG_VTR28,Свищов,27797,8437,220,261,572,22,124,12,7,9,61,89,12,4,1421,237,791,12,34,11,16,50,18,16,2488,15,773,462,88,32,530,19,7,1,23
