gisco_id,name,registered,turnout,invalid,blank,ПП ДОСТ,ПП ГЛАС НАРОДЕН,Социалистическа партия Български път,ПП ВЕЛИЧИЕ,Булгари,МОЯ СТРАНА БЪЛГАРИЯ,ПП ИМА ТАКЪВ НАРОД,ДПС-Ново начало,БРИГАДА,Партия на ЗЕЛЕНИТЕ,ПРАВОТО,ВЪЗРАЖДАНЕ,АЛИАНС ЗА ПРАВА И СВОБОДИ – АПС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСДД – ДИРЕКТНА ДЕМОКРАЦИЯ,СИНЯ БЪЛГАРИЯ,ПП МЕЧ,ГЕРБ-СДС,АТАКА,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,ПРЯКА ДЕМОКРАЦИЯ,"КП СВОБОДНИ ИЗБИРАТЕЛИ (РБ, ССД и ЗС)",БТР – БЪЛГАРИЯ НА ТРУДА И РАЗУМА,КОЙ,КП РУСОФИЛИ ЗА БЪЛГАРИЯ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,БЪЛГАРСКИ ВЪЗХОД,БСП – ОБЕДИНЕНА ЛЕВИЦА,ЧАВДАР ИВАНОВ ПОПОВ - независим кандидат-ЧАВДАР ИВАНОВ ПОПОВ
BG_BLG52,Хаджидимово,8374,3499,54,95,0,1,0,74,3,7,108,487,4,3,4,230,725,4,3,10,129,957,0,5,2,25,3,6,6,162,2,390,0
BG_LOV18,Ловеч,40939,15045,285,473,17,36,13,587,25,15,1351,614,6,20,19,1977,397,11,4,93,699,4875,16,8,29,16,10,15,63,1542,81,1748,0
BG_DOB20,Крушари,4956,1823,75,30,0,2,2,16,0,1,42,190,0,1,0,65,838,1,2,3,21,459,1,1,3,2,0,0,2,27,0,39,0
BG_SLV11,Котел,18809,5169,295,77,0,10,6,55,3,6,101,876,1,2,2,293,589,7,5,15,124,2271,4,6,2,9,2,4,4,158,3,239,0
BG_BLG53,Якоруда,8705,6021,170,62,0,2,0,34,0,4,37,4298,2,2,0,149,769,1,1,1,48,303,4,0,0,8,0,0,5,62,1,58,0
BG_VAR01,Аврен,6778,3542,146,54,3,7,1,138,2,2,197,517,1,0,2,369,152,2,3,17,94,1473,4,4,9,5,2,2,6,182,8,140,0
BG_KRZ15,Крумовград,34359,9970,169,144,11,2,5,56,2,6,125,1083,2,7,2,142,6946,16,6,7,52,613,1,8,4,13,13,2,5,218,8,302,0
BG_GAB29,Севлиево,30587,10318,285,322,0,33,0,418,8,12,740,972,6,38,7,1450,1194,20,7,67,459,2551,20,15,18,53,3,5,38,880,29,668,0
BG_KRZ14,Кирково,37196,10591,351,122,21,7,4,24,2,5,138,2489,3,4,3,184,5759,11,6,2,62,940,1,5,2,2,11,2,3,207,3,209,0
BG_BLG03,Благоевград,96342,27733,371,974,0,98,0,1001,22,27,2075,3347,5,40,26,3509,133,23,16,271,1164,8095,25,25,76,20,13,11,66,4130,66,2094,0
BG_BGS01,Айтос,27684,9345,330,164,13,14,5,276,5,5,319,974,5,8,7,665,1911,9,5,16,317,3243,11,11,12,2,7,2,20,359,21,609,0
BG_PAZ04,Белово,7023,2770,48,109,0,4,7,91,1,3,116,128,3,1,7,435,6,5,3,10,224,946,7,3,5,39,6,2,5,193,4,359,0
BG_VID09,Видин,55239,17688,365,653,0,48,0,447,13,19,1104,2900,13,16,30,2504,136,18,14,210,725,4150,31,15,30,134,10,24,86,2552,52,1389,0
BG_VAR02,Аксаково,17132,7224,205,191,4,15,9,329,3,9,445,1022,2,5,4,964,47,3,0,46,329,2462,18,7,23,4,4,5,28,506,17,518,0
BG_SML11,Златоград,9706,3826,85,163,5,24,10,92,0,9,123,177,1,3,4,325,638,4,4,7,73,1147,2,14,7,0,5,1,4,688,11,200,0
