gisco_id,name,registered,turnout,invalid,blank,FDP,CVP,SP,SVP,EVP,PdA/Sol.,FGA,GPS,SD,EDU,GLP,BDP,Others,CSP,LPS,Lega,MCR
CH_0001,Aeugst am Albis,1407,779,0,6,127,19,90,236,25,1,2,117,3,26,111,9,7,0,0,0,0
CH_0002,Affoltern am Albis,7218,3042,0,14,406,137,444,919,200,6,11,382,6,40,384,60,33,0,0,0,0
CH_0003,Bonstetten,3673,1996,0,8,306,77,334,521,83,3,14,246,3,23,323,25,30,0,0,0,0
CH_0004,Hausen am Albis,2537,1355,0,7,150,53,185,449,55,2,5,226,3,18,168,21,13,0,0,0,0
CH_0005,Hedingen,2540,1371,0,11,191,52,228,363,50,2,11,168,1,28,224,25,17,0,0,0,0
CH_0006,Kappel am Albis,768,376,2,7,40,20,33,163,16,0,2,38,0,5,40,4,6,0,0,0,0
CH_0007,Knonau,1494,695,0,8,63,37,79,223,47,0,0,78,0,15,120,18,7,0,0,0,0
CH_0008,Maschwanden,451,214,0,4,7,5,36,95,7,0,0,21,0,6,26,6,1,0,0,0,0
CH_0009,Mettmenstetten,3504,1768,2,8,208,62,271,551,82,6,5,208,4,64,258,23,16,0,0,0,0
CH_0010,Obfelden,3508,1513,0,5,174,96,221,510,80,1,3,129,0,32,220,27,15,0,0,0,0
CH_0011,Ottenbach,1852,970,0,6,127,34,132,313,38,2,1,103,3,14,163,28,6,0,0,0,0
CH_0012,Rifferswil,758,444,0,6,30,16,65,119,31,1,3,95,0,14,56,5,3,0,0,0,0
CH_0013,Stallikon,2363,1122,1,5,164,51,160,399,19,1,4,119,0,2,176,10,11,0,0,0,0
CH_0014,Wettswil am Albis,3428,1791,0,14,394,83,219,506,35,1,3,165,3,17,305,29,17,0,0,0,0
CH_0021,Adlikon,496,275,9,5,24,3,16,150,17,0,0,17,1,6,17,10,0,0,0,0,0
CH_0022,Benken (ZH),608,287,0,5,28,8,30,133,3,0,0,34,0,7,26,12,1,0,0,0,0
CH_0023,Berg am Irchel,452,256,0,8,18,2,15,134,5,1,0,20,0,7,38,8,0,0,0,0,0
CH_0024,Buch am Irchel,685,363,0,6,47,8,17,176,15,0,0,23,3,12,44,11,1,0,0,0,0
CH_0025,Dachsen,1344,617,8,8,63,30,91,184,23,0,2,104,0,11,77,12,4,0,0,0,0
CH_0026,Dorf,481,231,0,6,22,4,22,112,10,0,0,9,0,19,25,1,1,0,0,0,0
CH_0027,Feuerthalen,2270,898,0,9,81,46,167,282,29,0,5,106,4,11,128,20,10,0,0,0,0
CH_0028,Flaach,972,493,0,7,48,7,44,238,31,0,0,44,0,25,41,3,5,0,0,0,0
CH_0029,Flurlingen,1026,521,0,6,80,26,86,130,10,1,4,79,1,3,75,11,9,0,0,0,0
CH_0030,Andelfingen,1516,852,0,6,131,23,90,265,48,0,1,101,0,19,126,33,9,0,0,0,0
CH_0031,Henggart,1618,834,0,7,99,28,76,311,64,0,1,83,0,28,113,19,5,0,0,0,0
CH_0032,Humlikon,349,187,0,6,29,8,12,90,7,0,0,8,0,7,18,0,2,0,0,0,0
CH_0033,Kleinandelfingen,1458,712,0,7,91,16,73,285,29,0,3,75,0,14,90,22,7,0,0,0,0
CH_0034,Laufen-Uhwiesen,1237,600,0,6,97,30,54,221,12,2,1,60,0,17,74,16,10,0,0,0,0
CH_0035,Marthalen,1406,797,0,6,61,15,78,395,18,2,1,89,1,17,78,31,5,0,0,0,0
CH_0037,Ossingen,1229,616,1,4,74,19,64,249,36,0,3,60,1,9,71,16,9,0,0,0,0
CH_0038,Rheinau,863,462,0,6,27,37,97,152,6,3,3,59,1,7,49,10,5,0,0,0,0
CH_0039,Thalheim an der Thur,653,313,0,5,33,5,24,171,11,0,0,28,0,7,19,6,4,0,0,0,0
CH_0040,Trüllikon,807,398,0,6,23,8,32,195,9,1,0,41,0,14,40,27,2,0,0,0,0
CH_0041,Truttikon,360,211,0,5,19,2,28,89,11,2,0,21,0,17,9,4,4,0,0,0,0
CH_0043,Volken,246,132,0,6,15,1,7,65,9,0,0,11,0,3,14,0,1,0,0,0,0
CH_0051,Bachenbülach,2544,1030,4,5,210,37,138,322,49,1,1,94,4,19,122,19,5,0,0,0,0
CH_0052,Bassersdorf,7156,2720,0,7,369,115,471,895,92,8,11,243,16,73,334,64,22,0,0,0,0
CH_0053,Bülach,12297,4803,2,10,546,185,777,1477,284,7,23,620,10,157,581,70,54,0,0,0,0
CH_0054,Dietlikon,4735,1943,8,7,287,84,346,554,54,2,16,165,2,33,313,52,20,0,0,0,0
CH_0055,Eglisau,3200,1516,0,6,160,57,248,462,65,3,3,169,3,44,255,21,20,0,0,0,0
CH_0056,Embrach,5454,1939,4,9,206,116,235,794,63,1,8,150,0,65,231,35,22,0,0,0,0
CH_0057,Freienstein-Teufen,1688,886,0,7,70,20,102,333,88,1,5,95,0,24,112,20,9,0,0,0,0
CH_0058,Glattfelden,3149,1221,0,7,105,31,174,510,46,1,1,124,3,31,152,27,9,0,0,0,0
CH_0059,Hochfelden,1334,605,4,6,48,17,73,264,29,1,2,42,1,37,62,14,5,0,0,0,0
CH_0060,Höri,1547,506,0,5,26,12,52,271,24,1,1,35,1,31,41,6,0,0,0,0,0
CH_0061,Hüntwangen,737,365,0,5,35,12,41,156,12,0,0,43,1,3,50,5,2,0,0,0,0
CH_0062,Kloten,11036,3523,3,10,403,169,592,1369,148,6,8,310,14,40,339,72,40,0,0,0,0
CH_0063,Lufingen,1498,658,2,6,73,22,54,293,23,0,0,48,1,20,89,17,10,0,0,0,0
CH_0064,Nürensdorf,3931,1784,2,5,295,61,160,796,59,1,4,109,3,35,199,41,14,0,0,0,0
CH_0065,Oberembrach,809,430,0,6,38,12,43,220,5,0,0,37,1,23,31,9,5,0,0,0,0
CH_0066,Opfikon,9313,2521,1,6,321,149,371,878,83,11,15,195,5,20,392,45,29,0,0,0,0
CH_0067,Rafz,2935,1377,6,6,124,45,223,499,54,0,5,150,5,62,165,25,8,0,0,0,0
CH_0068,Rorbas,1591,587,0,7,53,22,100,226,30,2,6,63,1,13,56,5,3,0,0,0,0
CH_0069,Wallisellen,9498,3655,5,6,607,176,552,1107,98,5,12,367,5,50,540,66,59,0,0,0,0
CH_0070,Wasterkingen,414,205,0,5,21,3,21,95,5,0,0,21,1,3,24,5,1,0,0,0,0
CH_0071,Wil (ZH),1029,538,4,6,59,6,72,233,20,0,2,54,3,9,55,11,4,0,0,0,0
CH_0072,Winkel,3245,1509,0,9,324,44,123,586,62,0,1,100,1,35,180,26,18,0,0,0,0
CH_0081,Bachs,427,241,0,7,8,2,22,131,3,0,0,34,0,13,18,3,0,0,0,0,0
CH_0082,Boppelsen,992,534,0,7,74,12,46,203,33,3,1,54,0,15,79,5,2,0,0,0,0
CH_0083,Buchs (ZH),3886,1311,0,6,151,52,158,564,36,2,4,106,6,34,158,24,10,0,0,0,0
CH_0084,Dällikon,2393,837,1,5,82,44,89,392,20,0,3,70,1,13,103,7,7,0,0,0,0
CH_0085,Dänikon,1096,488,0,6,60,22,44,200,10,2,0,37,2,7,84,7,7,0,0,0,0
CH_0086,Dielsdorf,3348,1265,3,6,156,45,190,470,42,1,5,145,4,44,137,7,10,0,0,0,0
