country,file,row_index,municipality_code,municipality_name,canonical_name,reason
CH,2019.csv,2206,CH_9010,ZH-Ausland-CH,ZH-Ausland-CH,special_ausland
CH,2019.csv,2207,CH_9030,LU-Ausland-CH,LU-Ausland-CH,special_ausland
CH,2019.csv,2208,CH_9040,UR-Ausland-CH,UR-Ausland-CH,special_ausland
CH,2019.csv,2209,CH_9100,FR-CH de l'étranger,FR-CH de l'étranger,special_ausland
CH,2019.csv,2210,CH_9120,BS-Ausland-CH,BS-Ausland-CH,special_ausland
CH,2019.csv,2211,CH_9160,AI-Ausland-CH,AI-Ausland-CH,special_ausland
CH,2019.csv,2212,CH_9170,SG-Ausland-CH,SG-Ausland-CH,special_ausland
CH,2019.csv,2213,CH_9190,AG-Ausland-CH,AG-Ausland-CH,special_ausland
CH,2019.csv,2214,CH_9200,TG-Ausland-CH,TG-Ausland-CH,special_ausland
CH,2019.csv,2215,CH_9220,VD-CH de l'étranger,VD-CH de l'étranger,special_ausland
CH,2019.csv,2216,CH_9230,VS-CH de l'étranger,VS-CH de l'étranger,special_ausland
CH,2019.csv,2217,CH_9250,GE-CH de l'étranger,GE-CH de l'étranger,special_ausland
