gisco_id,name,registered,turnout,invalid,blank,Národně demokratická strana,Demokratická liga,Česká str.sociálně demokrat.,Balbínova poetická strana,Občanská demokratická aliance,Volba pro budoucnost,Humanistická aliance,Naděje,Nové hnutí,Republikáni Miroslava Sládka,Cesta změny,Česká strana národně sociální,Strana zdravého rozumu,Str.venkova-spoj.občan.síly,Česká pravice,Republikáni,Sdružení nezávislých,Občanská demokratická strana,Komunistická str.Čech a Moravy,"Koalice KDU-ČSL, US-DEU",Strana za životní jistoty,Pravý Blok,Strana zelených,Strana demokrat.socialismu,Akce za zruš.Senátu a proti t.,Moravská demokratická strana,Romská občanská iniciativa ČR,České sociálně demokrat.hnutí
CZ_554782,Praha,982543,589283,2824,0,626,307,151628,4974,3182,1013,1544,4447,139,2821,1931,4821,736,895,324,335,12543,198431,65136,108316,2190,4909,14736,475,0,0,0,0
CZ_535826,Adamov,415,268,4,0,0,0,66,0,1,1,0,3,0,5,3,2,0,4,0,0,8,84,39,32,4,4,6,0,2,0,0,0
CZ_536156,Becice,78,60,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,3,0,1,4,7,5,14,0,0,2,0,0,0,0,0
CZ_544272,Borek,941,611,0,0,1,0,145,0,4,5,1,5,0,3,3,3,0,2,1,0,25,224,87,83,3,8,8,0,0,0,0,0
CZ_544281,Borovany,2821,1779,20,0,1,2,556,0,7,8,1,9,0,22,7,53,1,21,2,4,83,354,246,300,15,15,40,0,12,0,0,0
CZ_535681,Borovnice,73,47,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2,3,0,0,2,16,1,5,0,0,1,0,0,0,0,0
CZ_544299,Borsov nad Vltavou,753,460,3,0,0,1,109,0,0,0,0,1,0,1,1,4,0,4,0,1,35,125,70,92,2,2,8,0,1,0,0,0
CZ_535401,Bosilec,168,124,0,0,0,0,43,0,1,0,0,0,0,1,0,0,1,5,0,0,5,30,20,17,0,0,1,0,0,0,0,0
CZ_551490,Branisov,128,75,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,1,29,5,13,3,0,2,0,0,0,0,0
CZ_536059,Brehov,83,59,0,0,0,1,10,0,0,0,0,0,0,1,0,1,0,0,0,0,1,19,7,16,1,0,2,0,0,0,0,0
CZ_535541,Cakov,150,108,0,0,0,0,31,0,1,1,0,0,0,2,0,1,0,4,0,3,4,18,18,19,1,5,0,0,0,0,0,0
CZ_544329,Cejkovice,224,112,0,0,0,0,42,0,0,0,0,0,0,1,1,2,0,1,0,0,3,20,27,12,3,0,0,0,0,0,0,0
CZ_544256,Ceske Budejovice,78837,43450,189,0,18,42,12724,0,214,123,74,143,0,276,338,401,72,145,9,69,1285,13878,6657,5183,252,313,939,0,106,0,0,0
CZ_551503,Cizkrajice,227,127,0,0,0,0,36,0,1,6,0,1,0,2,0,3,0,24,0,0,1,18,18,14,2,0,1,0,0,0,0,0
CZ_535249,Dasny,189,145,0,0,0,0,51,0,0,0,0,2,0,2,0,1,0,2,0,0,7,40,22,15,0,2,1,0,0,0,0,0
CZ_544361,Divcice,421,276,2,0,0,0,73,0,1,0,0,0,0,0,0,6,1,22,0,1,7,72,55,33,1,1,1,0,0,0,0,0
CZ_535206,Dobra Voda u Ceskych Bu,2013,1246,3,0,1,1,343,0,8,5,4,6,0,1,12,44,0,11,0,2,40,393,115,193,9,13,37,0,5,0,0,0
CZ_536199,Dobsice,90,61,0,0,1,0,11,0,1,0,0,0,0,0,0,0,0,5,0,0,1,10,20,11,0,0,1,0,0,0,0,0
CZ_544388,Dolni Bukovsko,1161,702,1,0,0,0,186,0,5,3,2,4,0,6,2,2,3,8,0,1,9,172,128,140,12,2,11,0,5,0,0,0
CZ_535664,Doubravice,145,88,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,2,0,0,3,23,11,14,0,1,2,0,0,0,0,0
CZ_544400,Doudleby,287,174,0,0,0,0,44,0,1,0,0,0,0,3,2,2,1,6,0,1,9,52,13,34,1,2,2,0,1,0,0,0
CZ_535958,Drahotesice,168,117,1,0,0,0,51,0,0,0,0,0,0,3,0,2,1,0,0,0,4,14,15,24,0,0,2,0,0,0,0,0
CZ_544426,Driten,1008,639,1,0,1,0,154,0,2,1,0,3,0,4,3,5,0,39,0,1,18,137,132,100,6,6,24,0,2,0,0,0
CZ_535788,Dubicne,237,130,1,0,0,0,42,0,0,0,0,0,0,2,0,0,0,2,0,0,2,35,13,22,0,9,2,0,0,0,0,0
CZ_544442,Dubne,881,542,2,0,0,1,139,0,2,1,1,5,0,0,1,3,0,13,6,0,14,150,73,117,2,3,7,0,2,0,0,0
CZ_544451,Dynin,257,133,0,0,0,0,41,0,1,0,0,1,0,0,0,3,2,5,0,0,1,30,14,23,5,2,4,0,1,0,0,0
