gisco_id,name,registered,turnout,invalid,blank,Strana zdravého rozumu,Balbínova poetická strana,Právo a Spravedlnost,NEZÁVISLÍ,Česká pravice,Koruna Česká (monarch.strana),Občanská demokratická strana,Česká str.sociálně demokrat.,SNK Evropští demokraté,Unie svobody-Demokratická unie,Pravý Blok,4 VIZE-www.4vize.cz,Česká str.národ.socialistická,Strana zelených,Humanistická strana,Komunistická str.Čech a Moravy,Koalice pro Českou republiku,Národní strana,Křesť.demokr.unie-Čs.str.lid.,NEZ.DEMOKRATÉ(předs.V.Železný),STRANA ROVNOST ŠANCÍ,Moravané,Liberální reformní strana,Folklor i Společnost,Helax-Ostrava se baví,České hnutí za národní jednotu
CZ_554782,Praha,963199,659883,3388,0,2039,1073,937,1763,23,1083,317224,152962,23386,1638,2052,313,552,60384,857,51925,554,973,31820,2665,2272,0,0,0,0,0
CZ_535826,Adamov,459,305,5,0,3,2,0,0,0,1,140,63,3,2,0,0,0,25,0,39,1,0,19,1,1,0,0,0,0,0
CZ_536156,Becice,86,69,1,0,0,0,0,2,0,0,12,23,0,1,1,0,0,3,0,2,1,0,22,1,0,0,0,0,0,0
CZ_544272,Borek,1013,740,2,0,1,1,0,0,0,1,347,161,13,1,3,1,0,33,0,99,2,5,64,4,2,0,0,0,0,0
CZ_544281,Borovany,2995,2006,17,0,7,3,7,25,0,3,628,613,43,10,19,4,0,102,0,224,4,0,274,15,7,1,0,0,0,0
CZ_535681,Borovnice,85,62,0,0,1,0,0,1,0,0,36,15,2,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0
CZ_544299,Borsov nad Vltavou,1031,735,0,0,4,0,1,6,0,2,322,186,19,2,1,0,0,30,0,62,0,0,93,6,1,0,0,0,0,0
CZ_535401,Bosilec,168,118,1,0,0,0,0,4,0,1,26,44,4,0,0,2,0,4,0,23,0,0,9,0,0,0,0,0,0,0
CZ_551490,Branisov,153,107,0,0,0,0,0,0,0,0,54,23,3,0,0,0,0,7,0,4,0,0,14,1,1,0,0,0,0,0
CZ_536059,Brehov,91,73,0,0,0,0,0,0,0,0,30,13,7,0,0,0,0,6,0,4,0,0,12,1,0,0,0,0,0,0
CZ_535541,Cakov,178,144,0,0,2,0,0,0,0,0,55,37,3,0,5,0,0,7,0,17,1,0,14,3,0,0,0,0,0,0
CZ_544329,Cejkovice,231,137,1,0,0,0,0,1,0,0,46,44,0,0,0,0,0,4,0,25,0,0,13,3,0,0,0,0,0,0
CZ_544256,Ceske Budejovice,77384,50191,210,0,188,55,69,205,0,78,21379,13863,1114,116,235,15,0,3404,0,5727,27,75,3119,202,84,26,0,0,0,0
CZ_551503,Cizkrajice,221,135,0,0,0,0,1,2,0,0,26,50,0,2,2,0,0,8,0,19,0,0,25,0,0,0,0,0,0,0
CZ_535249,Dasny,213,158,0,0,0,0,0,0,0,1,72,49,2,0,1,0,0,4,0,16,1,0,11,1,0,0,0,0,0,0
CZ_544361,Divcice,437,306,1,0,2,0,1,3,0,1,90,90,4,1,1,1,0,23,0,53,0,1,31,1,2,0,0,0,0,0
CZ_535206,Dobra Voda u Ceskych Bu,2018,1383,7,0,6,1,2,1,0,6,644,348,30,4,10,0,0,96,0,103,0,0,118,4,2,1,0,0,0,0
CZ_536199,Dobsice,90,47,0,0,0,0,0,1,0,1,8,14,1,2,0,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0
CZ_544388,Dolni Bukovsko,1199,794,0,0,5,0,2,5,0,4,284,207,11,3,0,0,0,38,0,102,1,0,124,4,3,1,0,0,0,0
CZ_535664,Doubravice,211,178,3,0,1,0,0,0,0,0,85,43,13,0,1,0,0,9,0,8,0,0,14,1,0,0,0,0,0,0
CZ_544400,Doudleby,309,179,2,0,1,0,1,5,0,0,75,44,2,0,0,2,0,12,0,15,0,1,18,0,0,1,0,0,0,0
CZ_535958,Drahotesice,192,137,0,0,0,0,0,1,0,0,21,62,2,0,1,0,0,17,0,16,0,0,15,1,1,0,0,0,0,0
CZ_544426,Driten,1087,689,2,0,4,2,4,9,0,1,202,226,7,2,6,1,0,27,0,108,1,1,79,6,1,0,0,0,0,0
CZ_535788,Dubicne,269,183,0,0,0,0,0,0,0,0,76,62,3,0,1,0,0,6,0,15,0,0,20,0,0,0,0,0,0,0
CZ_544442,Dubne,960,688,1,0,1,0,1,3,0,0,277,189,18,2,1,0,0,37,0,55,2,1,94,5,0,1,0,0,0,0
CZ_544451,Dynin,259,161,1,0,0,0,0,1,0,0,51,58,4,0,0,0,0,14,0,16,0,1,15,0,0,0,0,0,0,0
CZ_535575,Habri,77,59,0,0,3,2,0,1,0,0,19,15,0,0,1,0,0,4,0,1,0,0,13,0,0,0,0,0,0,0
CZ_536075,Hartmanice,139,93,0,0,1,1,0,1,0,1,33,23,0,0,0,0,0,2,0,14,0,0,17,0,0,0,0,0,0,0
CZ_598593,Herman,123,96,0,0,1,0,0,0,0,0,37,33,0,1,1,0,0,6,0,10,0,0,6,1,0,0,0,0,0,0
CZ_535851,Hlavatce,111,80,0,0,0,0,0,0,0,0,35,20,1,0,0,0,0,0,0,3,0,0,20,1,0,0,0,0,0,0
CZ_598607,Hlincova Hora,215,169,1,0,0,0,0,0,0,0,108,34,5,0,1,0,0,5,0,5,0,0,9,1,0,0,0,0,0,0
CZ_544485,Hluboka nad Vltavou,3891,2656,5,0,3,3,5,14,0,4,1114,681,91,5,9,2,0,159,0,331,0,5,194,28,1,2,0,0,0,0
CZ_544493,Homole,770,548,4,0,0,1,4,8,0,0,260,122,11,3,0,0,0,28,0,48,0,0,54,5,0,0,0,0,0,0
CZ_536105,Horni Knezeklady,93,69,1,0,2,0,0,0,0,0,17,27,4,0,0,0,0,1,0,7,0,0,10,0,0,0,0,0,0,0
CZ_544515,Horni Stropnice,1282,767,4,0,5,1,2,4,0,5,176,185,6,3,4,5,0,39,0,230,2,4,88,4,0,0,0,0,0,0
CZ_544523,Hosin,563,394,1,0,0,3,1,1,0,0,152,118,18,0,0,0,0,19,0,26,1,1,53,0,0,0,0,0,0,0
