gisco_id,name,registered,turnout,invalid,blank,Česká str.sociálně demokrat.,Strana svobodných občanů,Česká pirátská strana,TOP 09,HLAVU VZHŮRU - volební blok,Občanská demokratická strana,politické hnutí Změna,Strana soukromníků ČR,Křesť.demokr.unie-Čs.str.lid.,Volte Pr.Blok www.cibulka.net,Suver.-Strana zdravého rozumu,Aktiv nezávislých občanů,Strana Práv Občanů ZEMANOVCI,OBČANÉ 2011,Úsvit přímé demokr.T.Okamury,Dělnic.str.sociální spravedl.,ANO 2011,Komunistická str.Čech a Moravy,LEV 21-Národní socialisté,Strana zelených,Koruna Česká (monarch.strana),Romská demokratická strana,Klub angažovaných nestraníků
CZ_554782,Praha,921819,591245,4736,0,82668,21915,21327,135100,2591,70378,4401,738,32051,1225,798,196,5427,455,18758,2473,96564,49975,376,37888,1205,0,0
CZ_535826,Adamov,595,382,3,0,55,16,8,63,0,33,9,0,28,0,0,0,3,0,19,3,81,55,0,5,1,0,0
CZ_536156,Becice,77,49,0,0,10,1,3,6,1,1,0,0,4,0,0,0,1,0,6,3,6,7,0,0,0,0,0
CZ_544272,Borek,1129,827,7,0,130,39,18,144,3,73,9,1,48,0,9,0,6,0,50,3,167,91,0,28,1,0,0
CZ_544281,Borovany,3263,2063,21,0,425,39,43,215,6,127,21,10,235,0,13,0,13,0,191,23,324,310,4,39,4,0,0
CZ_535681,Borovnice,95,72,0,0,11,7,0,6,1,8,1,0,6,0,0,0,0,0,3,0,17,6,0,5,1,0,0
CZ_544299,Borsov nad Vltavou,1378,953,4,0,148,31,21,167,2,76,7,0,93,0,2,0,3,0,63,3,218,93,0,22,0,0,0
CZ_535401,Bosilec,170,118,0,0,38,3,4,15,1,11,2,0,8,0,0,0,0,0,6,0,13,17,0,0,0,0,0
CZ_551490,Branisov,178,121,3,0,16,5,1,18,0,13,0,2,19,0,0,0,2,0,8,0,25,6,0,3,0,0,0
CZ_536059,Brehov,113,85,2,0,6,2,0,24,0,8,0,0,10,0,1,0,0,0,8,1,17,5,0,1,0,0,0
CZ_535541,Cakov,208,132,1,0,18,0,3,26,1,15,1,1,14,0,0,0,1,0,8,0,16,23,1,3,0,0,0
CZ_544329,Cejkovice,281,147,2,0,33,1,3,13,0,9,0,0,11,0,0,0,0,0,10,0,36,28,0,1,0,0,0
CZ_598976,Cenkov u Bechyne,42,31,0,0,9,0,0,5,0,0,0,0,5,0,0,0,2,0,2,0,1,6,0,1,0,0,0
CZ_544256,Ceske Budejovice,75852,46003,385,0,8434,1420,948,7274,242,3852,388,156,2775,0,88,0,403,0,2983,376,8202,6472,16,1530,59,0,0
CZ_551503,Cizkrajice,226,127,0,0,31,1,4,16,0,8,2,0,9,0,0,0,1,0,11,0,20,22,0,2,0,0,0
CZ_535249,Dasny,233,176,2,0,30,5,1,18,2,17,0,1,16,0,1,0,1,0,18,1,33,29,0,1,0,0,0
CZ_544361,Divcice,458,279,5,0,60,9,7,31,2,21,2,0,22,0,0,0,3,0,14,6,34,55,0,8,0,0,0
CZ_535206,Dobra Voda u Ceskych Bu,2157,1507,11,0,240,40,25,280,4,160,20,8,126,0,3,0,15,0,87,8,266,160,1,50,3,0,0
