gisco_id,name,registered,turnout,invalid,blank,"""Rebelové web: re3elove.cz""",Jasný Signál Nezávislých,VÝZVA 2025,SMS – Stát Má Sloužit,Svoboda a př. demokracie (SPD),Česká suverenita soc. dem.,PŘÍSAHA občanské hnutí,Levice,Česká republika na 1. místě!,"SPOLU (ODS, KDU-ČSL, TOP 09)",ŠVÝCARSKÁ DEMOKRACIE,Urza.cz: Nechceme vaše hlasy,Hnutí občanů a podnikatelů,Hnutí Generace,Česká pirátská strana,Koruna Česká (monarch.strana),Volt Česko,Volte Pr.Blok www.cibulka.net,Motoristé sobě,Balbínova poetická strana,ANO 2011,STAROSTOVÉ A NEZÁVISLÍ,Hnutí Kruh,Stačilo!,Voluntia,Moravské zemské hnutí
CZ_554782,Praha,898829,641930,8992,0,700,339,488,209,33188,709,4552,757,819,214826,1372,280,160,2513,106657,1177,609,428,32712,608,125996,84665,766,17428,980,0
CZ_CZZZDZ,Alžírsko,50,16,16,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0
CZ_CZZZAM,Arménie,166,162,162,0,0,0,0,0,14,0,4,0,0,72,0,0,0,0,32,0,0,0,2,0,10,22,0,4,0,0
CZ_CZZZAU,Austrálie,2830,1936,1884,0,4,0,0,2,76,0,2,2,2,666,0,4,0,8,366,2,4,0,28,0,34,276,4,20,2,0
CZ_CZZZAZ,Ázerbájdžán,56,50,50,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,18,0,0,0,2,0,4,6,0,2,0,0
CZ_CZZZCN,Čína,394,252,252,0,0,0,0,0,12,0,0,0,0,90,0,0,0,2,52,0,0,0,10,2,20,58,0,4,0,0
CZ_CZZZEG,Egypt,158,114,114,0,0,0,0,0,4,0,0,0,0,28,0,0,2,0,36,0,0,0,2,0,18,14,0,0,0,0
CZ_CZZZET,Etiopie,60,42,42,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,10,0,0,0,2,0,2,10,0,0,0,0
CZ_CZZZPH,Filipíny,120,106,104,0,0,0,0,0,2,0,0,0,0,44,0,0,0,4,20,0,0,0,6,0,4,20,0,0,0,0
CZ_CZZZGH,Ghana,36,34,34,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,10,0,0,0,0,0,2,4,0,0,0,0
CZ_CZZZGE,Gruzie,202,188,188,0,0,0,2,0,10,0,4,0,0,86,0,0,0,0,30,0,0,0,4,0,12,36,0,2,0,0
CZ_CZZZIN,Indie,172,162,160,0,0,0,0,0,0,0,0,2,0,66,0,0,0,0,22,0,0,0,4,0,4,44,0,2,2,0
CZ_CZZZID,Indonésie,160,106,104,0,0,0,0,0,4,0,0,0,0,48,0,0,0,0,32,0,0,0,4,0,8,6,0,0,0,0
CZ_CZZZIQ,Irák,60,58,58,0,0,0,0,0,4,0,2,0,0,16,0,0,0,2,6,0,0,0,2,0,18,8,0,0,0,0
CZ_CZZZIR,Írán,22,14,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,2,6,0,0,0,0
CZ_CZZZIL,Izrael,254,164,164,0,0,0,0,0,4,0,0,0,0,92,0,0,0,0,28,0,0,0,4,0,8,24,0,0,0,0
CZ_CZZZJP,Japonsko,922,822,820,0,0,0,2,0,8,0,0,8,0,280,0,0,0,2,282,0,0,0,14,0,4,196,0,2,2,0
CZ_CZZZZA,Jižní Afrika,186,72,72,0,0,0,0,0,4,0,0,0,0,34,0,0,0,0,14,0,0,0,4,0,8,2,0,4,0,0
CZ_CZZZJO,Jordánsko,76,68,68,0,0,0,0,0,2,0,0,0,0,34,0,0,0,0,16,0,0,0,4,0,2,8,0,2,0,0
