country,file,row_index,municipality_code,municipality_name,canonical_name,reason
DE,2021_2.csv,115,DE_01051963,Briefwahl Amt Burg-St. Michaelisdonn,Briefwahl Amt Burg-St. Michaelisdonn,special_briefwahl
DE,2021_2.csv,116,DE_01051966,Briefwahl Amt Marne-Nordsee,Briefwahl Amt Marne-Nordsee,special_briefwahl
DE,2021_2.csv,117,DE_01051969,Briefwahl KSLG Eider,Briefwahl KSLG Eider,special_briefwahl
DE,2021_2.csv,118,DE_01051972,Briefwahl KSLG Heider Umland,Briefwahl KSLG Heider Umland,special_briefwahl
DE,2021_2.csv,119,DE_01051975,Briefwahl Amt Mitteldithmarschen,Briefwahl Amt Mitteldithmarschen,special_briefwahl
DE,2021_2.csv,120,DE_01051978,Briefwahl Amt Büsum-Wesselburen,Briefwahl Amt Büsum-Wesselburen,special_briefwahl
DE,2021_2.csv,253,DE_01053908,Briefwahl Amt Berkenthin,Briefwahl Amt Berkenthin,special_briefwahl
DE,2021_2.csv,254,DE_01053913,Briefwahl Amt Breitenfelde,Briefwahl Amt Breitenfelde,special_briefwahl
DE,2021_2.csv,255,DE_01053918,Briefwahl Amt Büchen,Briefwahl Amt Büchen,special_briefwahl
DE,2021_2.csv,256,DE_01053923,Briefwahl Amt Hohe Elbgeest,Briefwahl Amt Hohe Elbgeest,special_briefwahl
DE,2021_2.csv,257,DE_01053943,Briefwahl Amt Lütau,Briefwahl Amt Lütau,special_briefwahl
DE,2021_2.csv,258,DE_01053958,Briefwahl Amt Lauenburgische Seen,Briefwahl Amt Lauenburgische Seen,special_briefwahl
DE,2021_2.csv,259,DE_01053973,Briefwahl Amt Schwarzenbek-Land,Briefwahl Amt Schwarzenbek-Land,special_briefwahl
DE,2021_2.csv,260,DE_01053991,Briefwahl Amt Sandesneben-Nusse (Gemeinden Wahlkreis 10),Briefwahl Amt Sandesneben-Nusse (Gemeinden Wahlkreis 10),special_briefwahl
DE,2021_2.csv,261,DE_01053991,Briefwahl Amt Sandesneben-Nusse (Gemeinden Wahlkreis 11),Briefwahl Amt Sandesneben-Nusse (Gemeinden Wahlkreis 11),special_briefwahl
DE,2021_2.csv,392,DE_01054917,Briefwahl Amt Eiderstedt,Briefwahl Amt Eiderstedt,special_briefwahl
DE,2021_2.csv,393,DE_01054939,Briefwahl Amt Landschaft Sylt,Briefwahl Amt Landschaft Sylt,special_briefwahl
DE,2021_2.csv,394,DE_01054953,Briefwahl Amt Viöl,Briefwahl Amt Viöl,special_briefwahl
DE,2021_2.csv,395,DE_01054959,Briefwahl Amt Pellworm,Briefwahl Amt Pellworm,special_briefwahl
DE,2021_2.csv,396,DE_01054988,Briefwahl Amt Föhr-Amrum (Gemeinden Insel Föhr),Briefwahl Amt Föhr-Amrum (Gemeinden Insel Föhr),special_briefwahl
