gisco_id,name,registered,turnout,invalid,blank,SPD,CDU,GRÜNE,FDP,AfD,CSU,Die Linke,FREIE WÄHLER,Tierschutzpartei,dieBasis,Die PARTEI,Team Todenhöfer,PIRATEN,Volt,ÖDP,SSW,PdH,Bündnis C,BP,MLPD,PdF,SGP,BüSo,BÜNDNIS DEUTSCHLAND,BSW,MERA25,WerteUnion,Übrige
DE_01001000,Flensburg,69358,55072,372,0,7934,9860,16696,1261,7527,0,4255,242,0,0,0,0,0,547,0,6067,0,0,0,0,0,0,0,174,0,0,0,137
DE_01002000,Kiel,183830,151581,903,0,33263,30011,39858,4318,16402,0,15206,701,0,0,1905,0,0,2377,0,6637,0,0,0,0,0,0,0,0,0,0,0,0
DE_01003000,Lübeck,162925,129549,1139,0,36803,29412,25623,3520,19469,0,9446,1689,0,0,0,0,0,2173,0,0,0,0,0,275,0,0,0,0,0,0,0,0
DE_01004000,Neumünster,58634,44693,642,0,10900,12929,4489,1391,9877,0,2938,919,0,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051001,Albersdorf,2819,1685,22,0,332,578,119,47,421,0,107,36,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051002,Arkebek,243,171,1,0,39,70,11,7,32,0,6,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051003,Averlak,511,336,3,0,62,92,8,11,139,0,11,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051004,Bargenstedt,775,512,2,0,75,224,33,25,127,0,15,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051005,Barkenholm,145,101,0,0,16,36,10,4,19,0,5,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051006,Barlt,591,418,2,0,77,156,19,22,113,0,18,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051010,Brickeln,162,87,2,0,16,25,2,1,35,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051011,Brunsbüttel,9794,7807,60,0,1852,2393,568,454,1789,0,443,146,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051012,Buchholz,841,567,3,0,99,233,25,31,140,0,22,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051013,Büsum,4152,2169,16,0,464,818,174,87,403,0,86,30,0,0,0,0,0,16,0,75,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051014,Büsumer Deichhausen,322,192,2,0,46,68,26,7,24,0,8,1,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051015,Bunsoh,722,481,8,0,70,195,42,18,83,0,47,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051016,Burg (Dithmarschen),3400,1987,16,0,406,626,155,79,552,0,112,19,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051017,Busenwurth,252,164,0,0,26,51,10,12,51,0,10,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051019,Dellstedt,596,412,0,0,54,177,29,18,95,0,17,5,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051020,Delve,681,445,1,0,69,155,29,23,107,0,24,3,0,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051021,Diekhusen-Fahrstedt,562,386,4,0,88,132,20,23,92,0,22,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
