gisco_id,name,registered,turnout,blank,invalid,A,B,C,D,F,O,Q,V,Z,Ø,1
DK_101,København,375506,308705,2137,1226,86642,32819,21126,7302,38068,33247,4919,58537,1099,21289,294
DK_147,Frederiksberg,72272,63005,397,214,14788,6574,10375,1603,5396,5255,1035,14281,175,2912,0
DK_151,Ballerup,34027,30412,211,67,10945,1240,1911,586,2191,4728,451,7252,73,757,0
DK_153,Brøndby,23784,20501,109,50,7528,761,1176,393,1419,3669,230,4518,63,585,0
DK_155,Dragør,9624,8901,28,12,2108,463,987,204,469,1135,88,3248,22,137,0
DK_157,Gentofte,50482,45006,202,128,6465,3939,8201,1497,2424,3457,822,16712,108,1051,0
DK_159,Gladsaxe,45373,39933,239,49,12023,2464,3071,1234,3523,5289,674,9698,130,1539,0
DK_161,Glostrup,15635,13715,70,52,4504,419,965,256,941,2235,179,3814,39,241,0
DK_163,Herlev,19741,17345,99,58,6382,722,1265,331,1306,2414,393,3852,39,484,0
DK_165,Albertslund,19463,17179,107,60,5911,817,890,369,1977,2444,169,3321,37,1077,0
DK_167,Hvidovre,36222,31396,196,85,10952,1232,1852,557,2366,5335,397,7318,110,996,0
DK_169,Høje Taastrup,32218,28132,170,92,8705,1007,2250,558,1498,4447,368,8432,96,509,0
DK_171,Ledøje-Smørum,7320,6792,22,18,1590,335,766,199,399,807,105,2434,17,100,0
DK_173,Lyngby-Taarbæk,38988,34803,152,110,7577,2955,4745,1032,2413,3182,627,11055,99,856,0
DK_175,Rødovre,27478,23894,189,71,8644,966,1566,453,1903,3839,356,5197,86,624,0
DK_181,Søllerød,23242,21382,82,42,2928,1735,3048,632,888,1457,355,9830,51,334,0
DK_183,Ishøj,13539,11596,55,52,4029,434,649,214,684,2127,105,2906,36,305,0
DK_185,Tårnby,30062,26285,173,85,9454,874,1512,420,1683,4695,324,6413,87,565,0
DK_187,Vallensbæk,9042,8285,36,20,2112,307,1304,181,347,1158,102,2609,22,87,0
DK_189,Værløse,13224,12336,72,27,2498,1050,1472,404,896,1139,230,4181,28,339,0
DK_201,Allerød,16515,15258,78,30,2917,1103,1803,389,1064,1328,312,5929,51,254,0
DK_205,Birkerød,15613,14058,58,43,2665,1587,1622,351,1026,1088,267,4927,31,393,0
DK_207,Farum,12813,11510,65,18,2388,864,884,269,1102,872,185,4438,36,389,0
DK_208,Fredensborg-Humlebæk,14428,12939,79,18,2855,991,1401,308,861,1256,257,4613,41,259,0
DK_209,Frederikssund,13514,12042,91,26,3504,570,960,225,693,1355,186,4188,52,192,0
DK_211,Frederiksværk,15042,12911,126,30,4408,508,763,233,720,1848,230,3704,99,242,0
DK_213,Græsted-Gilleleje,15646,13781,83,45,3097,627,803,272,878,1880,457,5209,111,319,0
DK_215,Helsinge,14166,12672,75,13,2832,673,867,295,816,1551,306,4921,59,264,0
DK_217,Helsingør,44302,38120,234,135,11139,2382,4403,804,2673,4569,535,10169,160,917,0
DK_219,Hillerød,26940,24049,140,47,6354,1653,2032,563,1796,2244,842,7696,59,623,0
DK_221,Hundested,7324,6384,51,13,1992,255,333,119,511,939,89,1865,23,194,0
DK_223,Hørsholm,18038,16455,55,27,2122,1219,3030,357,494,1394,252,7323,36,146,0
DK_225,Jægerspris,7164,6359,52,20,1914,272,303,124,510,886,80,1986,22,190,0
DK_227,Karlebo,13222,11815,65,17,2487,827,1116,222,716,1409,191,4495,54,216,0
DK_229,Skibby,4997,4455,40,9,1100,184,327,87,269,644,76,1607,25,87,0
DK_231,Skævinge,4030,3655,38,11,822,138,390,69,164,444,67,1430,24,58,0
DK_233,Slangerup,6291,5703,34,13,1312,238,415,130,312,690,71,2383,28,77,0
DK_235,Stenløse,9699,8994,65,15,1953,509,878,235,535,1037,132,3431,36,168,0
DK_237,Ølstykke,10453,9551,69,16,2477,358,767,228,450,1318,108,3610,29,121,0
DK_251,Bramsnæs,6971,6362,45,18,1649,255,401,135,282,891,81,2474,23,108,0
DK_253,Greve,34700,31015,144,94,7919,1072,2792,568,1217,4784,424,11558,109,334,0
DK_255,Gundsø,11090,10293,50,21,2366,474,933,224,484,1446,143,3961,38,153,0
DK_257,Hvalsø,5502,5040,29,14,1484,275,337,97,348,609,84,1581,18,164,0
DK_259,Køge,29115,25593,185,92,8218,923,2006,373,1337,3665,326,7870,112,486,0
DK_261,Lejre,6423,5991,34,8,1442,367,446,92,324,535,127,2464,16,136,0
DK_263,Ramsø,6720,6232,36,6,1813,298,446,111,282,682,97,2356,17,88,0
DK_265,Roskilde,40164,35541,211,97,10492,2206,3014,635,3149,3528,659,10240,111,1199,0
DK_267,Skovbo,10180,9285,73,18,2340,377,833,175,444,1333,209,3329,39,115,0
DK_269,Solrød,14812,13451,62,30,3196,502,1315,263,711,1795,136,5266,48,127,0
DK_271,Vallø,7898,7220,35,25,1787,225,614,123,306,1109,92,2755,43,106,0
DK_301,Bjergsted,5975,5096,35,14,1570,142,365,60,374,836,99,1440,34,120,7
DK_303,Dianalund,5438,4621,39,25,1271,157,519,78,242,653,192,1322,41,73,9
DK_305,Dragsholm,10260,8972,92,19,2473,350,898,156,702,1173,153,2730,60,152,14
DK_307,Fuglebjerg,4798,4171,60,9,1118,186,442,77,255,485,87,1328,27,80,17
DK_309,Gørlev,4891,4286,51,17,1189,130,330,48,200,732,56,1432,32,57,12
DK_311,Hashøj,4850,4314,36,14,1113,176,383,62,208,686,62,1451,40,66,17
DK_313,Haslev,10792,9488,94,17,2515,396,777,223,615,1084,210,3360,34,148,15
DK_315,Holbæk,25388,21965,154,45,6360,1521,3331,368,1507,2272,347,5462,95,483,20
DK_317,Hvidebæk,4026,3563,36,8,1011,147,402,41,196,489,47,1124,24,29,9
DK_319,Høng,6161,5419,48,17,1344,196,478,75,386,789,90,1818,42,116,20
DK_321,Jernløse,4278,3841,36,7,1021,202,444,64,244,433,59,1228,20,79,4
DK_323,Kalundborg,15073,12956,101,28,4150,494,1294,153,927,1866,183,3533,62,141,24
DK_325,Korsør,15643,13415,97,48,4556,409,1012,142,961,2427,145,3318,73,191,36
DK_327,Nykøbing-Rørvig,5962,5154,49,16,1557,239,582,68,366,607,66,1448,24,130,2
DK_329,Ringsted,22122,19427,150,106,5655,777,1470,300,1488,2816,267,6037,73,259,29
DK_331,Skælskør,8824,7698,73,36,1985,406,663,93,596,1175,132,2331,53,139,16
DK_333,Slagelse,27190,22960,175,77,6597,779,2362,337,1373,3656,285,6763,121,346,89
DK_335,Sorø,11375,10070,99,35,2879,501,1004,146,646,1100,203,3196,40,198,23
DK_337,Stenlille,4042,3567,31,11,919,128,307,52,217,473,78,1271,20,57,3
DK_339,Svinninge,4898,4292,36,15,1215,232,444,76,232,553,65,1322,29,63,10
DK_341,Tornved,6592,5703,56,12,1688,231,569,58,343,704,114,1767,31,120,10
DK_343,Trundholm,8803,7529,68,24,1965,365,754,124,520,1126,84,2252,47,194,6
DK_345,Tølløse,6938,6221,59,11,1612,407,637,118,415,718,118,1965,29,127,5
DK_351,Fakse,9361,8133,90,29,2524,271,747,121,474,1091,131,2415,56,184,0
DK_353,Fladså,5512,4904,39,12,1153,172,490,66,296,513,83,1934,62,84,0
DK_355,Holeby,3255,2885,33,7,1091,60,215,33,141,396,33,805,11,60,0
DK_357,Holmegaard,5144,4660,50,15,1604,146,598,73,242,514,74,1293,18,33,0
DK_359,Højreby,3196,2793,39,10,1000,65,189,37,128,437,25,788,21,54,0
DK_361,Langebæk,4792,4328,43,17,1377,121,429,64,274,534,51,1289,41,88,0
DK_363,Maribo,8620,7541,58,26,2701,217,603,72,570,817,115,2063,50,249,0
DK_365,Møn,9067,7990,90,22,2161,311,601,114,813,915,125,2548,69,221,0
DK_367,Nakskov,11597,9776,120,20,4235,244,669,71,1001,1438,85,1701,70,122,0
DK_369,Nykøbing Falster,19814,17166,175,60,5872,663,1588,230,1301,2160,293,4434,88,302,0
DK_371,Nysted,4290,3830,47,12,1101,166,311,58,179,595,50,1202,35,74,0
DK_373,Næstved,36242,31502,198,86,10487,1123,4511,456,1891,3414,604,8041,148,543,0
DK_375,Nørre Alslev,7348,6422,74,19,2102,241,459,86,305,931,74,2004,29,98,0
DK_377,Præstø,5636,4929,46,15,1514,168,395,69,387,511,60,1623,34,107,0
DK_379,Ravnsborg,4494,3848,51,17,1290,129,284,32,239,611,40,1022,32,101,0
DK_381,Rudbjerg,2806,2435,23,7,812,53,174,14,120,448,24,700,23,37,0
DK_383,Rødby,5165,4449,44,17,1439,121,311,51,339,563,51,1394,50,69,0
DK_385,Rønnede,5224,4713,44,15,1069,179,425,83,199,665,59,1890,21,64,0
DK_387,Sakskøbing,7288,6235,82,17,2194,207,505,70,331,830,59,1804,54,82,0
DK_389,Stevns,8547,7596,82,19,2034,281,729,130,434,981,81,2626,33,166,0
DK_391,Stubbekøbing,5329,4708,44,13,1615,157,375,53,275,636,71,1346,23,100,0
DK_393,Suså,6109,5458,46,10,1732,162,493,87,329,638,81,1738,20,122,0
DK_395,Sydfalster,5586,5063,42,15,1425,162,612,54,247,747,62,1603,33,61,0
DK_397,Vordingborg,15667,13621,112,20,4542,501,1447,190,957,1557,154,3776,57,308,0
DK_401,Allinge-Gudhjem,5869,5063,28,20,1468,118,130,48,274,514,203,2057,41,162,0
DK_403,Hasle,4805,4243,58,6,1547,77,121,34,144,466,172,1509,32,77,0
DK_405,Nexø,6520,5663,29,30,2078,119,242,62,256,441,162,2099,35,110,0
DK_407,Rønne,11417,9581,80,23,4260,168,374,115,446,879,333,2678,53,172,0
DK_409,Aakirkeby,5030,4398,39,11,1563,71,128,34,165,464,240,1572,39,72,0
DK_411,Christiansø,74,71,2,1,13,7,8,2,9,4,0,20,0,5,0
DK_421,Assens,8239,7070,81,28,2295,313,962,83,285,885,99,1891,39,109,0
DK_423,Bogense,4862,4258,41,11,1262,151,660,44,162,568,53,1222,39,45,0
DK_425,Broby,4713,4165,38,7,1051,151,563,52,225,533,54,1412,16,63,0
DK_427,Egebjerg,6592,5904,54,10,1582,273,485,97,499,608,83,1933,45,235,0
DK_429,Ejby,7440,6561,65,12,1796,320,718,90,279,1006,84,2072,43,76,0
DK_431,Faaborg,13291,11694,130,23,3242,556,1647,165,701,1353,159,3375,88,255,0
DK_433,Glamsbjerg,4409,3893,55,15,1045,228,534,50,199,429,53,1174,22,89,0
DK_435,Gudme,4634,4088,48,7,1023,148,428,54,272,553,76,1373,26,80,0
DK_437,Haarby,3768,3292,26,6,785,160,408,55,137,430,54,1182,14,35,0
DK_439,Kerteminde,8332,7541,59,13,2130,362,1123,87,541,832,98,2068,59,169,0
DK_441,Langeskov,4604,4185,44,9,1263,121,694,56,162,611,58,1104,16,47,0
DK_443,Marstal,2618,2237,20,5,628,40,450,163,110,262,34,488,10,27,0
DK_445,Middelfart,15065,13470,96,36,4419,717,1472,169,733,1576,254,3786,53,159,0
DK_447,Munkebo,4236,3680,31,7,1625,130,325,33,242,418,36,745,32,56,0
DK_449,Nyborg,14180,12136,101,44,4054,468,1511,145,811,1491,135,3059,72,245,0
DK_451,Nørre Aaby,3958,3533,40,11,1056,196,336,54,158,413,60,1122,27,60,0
DK_461,Odense,138713,117251,754,245,38091,5773,21015,1886,8507,12609,1744,23247,476,2904,0
DK_471,Otterup,8226,7340,56,8,2132,249,1142,86,279,986,79,2208,39,76,0
DK_473,Ringe,8409,7402,82,21,1882,339,917,113,469,848,127,2438,34,132,0
DK_475,Rudkøbing,5199,4446,51,14,1437,215,401,50,350,608,51,1145,27,97,0
DK_477,Ryslinge,5252,4591,60,12,1272,242,516,62,319,548,87,1357,28,88,0
DK_479,Svendborg,32504,28278,216,86,8415,1470,3060,402,2412,3324,367,7622,132,772,0
DK_481,Sydlangeland,3345,2896,43,4,713,157,292,32,117,475,28,950,27,58,0
DK_483,Søndersø,8338,7494,56,19,2219,250,1255,85,285,957,94,2138,58,78,0
DK_485,Tommerup,5720,5102,49,6,1450,198,692,58,341,557,104,1564,25,58,0
DK_487,Tranekær,2815,2448,27,5,660,130,252,42,136,309,41,789,17,40,0
DK_489,Ullerslev,3680,3320,31,9,1071,113,419,45,126,516,34,898,29,29,0
DK_491,Vissenbjerg,4579,4073,39,10,1169,136,688,61,244,626,65,942,31,62,0
DK_493,Ærøskøbing,3110,2637,8,4,773,64,348,101,130,315,42,789,19,44,0
DK_495,Ørbæk,5032,4491,58,6,1176,179,473,42,230,581,46,1598,46,56,0
DK_497,Årslev,6610,5989,51,12,1652,293,956,90,320,703,102,1688,28,94,0
DK_499,Aarup,3953,3473,23,11,955,127,514,30,129,500,68,1050,22,44,0
DK_501,Augustenborg,4780,4320,38,8,1243,167,328,57,124,641,65,1568,38,43,0
DK_503,Bov,7155,6126,93,17,1422,166,565,70,161,992,83,2454,60,43,0
DK_505,Bredebro,2708,2375,33,7,590,59,178,19,55,275,61,1055,29,14,0
DK_507,Broager,4525,4059,41,7,1337,132,349,53,118,635,61,1270,28,28,0
DK_509,Christiansfeld,6991,6133,60,21,1487,231,485,80,278,884,205,2300,49,53,0
DK_511,Gram,3703,3216,37,11,771,74,322,25,112,478,103,1219,40,24,0
DK_513,Gråsten,5283,4614,48,13,1375,161,400,52,149,737,128,1463,43,45,0
DK_515,Haderslev,23759,20700,190,65,5713,740,1942,275,1006,2635,637,7087,161,249,0
DK_517,Højer,2208,1939,33,2,560,70,114,51,72,185,38,779,12,23,0
DK_519,Lundtoft,4374,3828,46,6,837,151,293,47,105,581,59,1632,47,24,0
DK_521,Løgumkloster,5038,4357,43,12,729,129,235,74,106,559,258,2082,106,24,0
DK_523,Nordborg,10657,9425,94,20,3420,240,491,91,404,1423,122,2948,110,62,0
DK_525,Nørre Rangstrup,7055,6194,72,22,1353,173,435,71,149,741,318,2667,153,40,0
DK_527,Rødding,8065,7119,95,29,1457,212,446,75,200,819,209,3441,66,70,0
DK_529,Rødekro,8186,7317,124,32,2114,206,474,73,153,1018,233,2798,44,48,0
DK_531,Skærbæk,5448,4628,70,14,1085,129,323,48,111,596,100,2066,50,36,0
DK_533,Sundeved,3722,3325,34,8,843,115,276,46,113,501,81,1248,36,24,0
DK_535,Sydals,4793,4278,59,10,1038,152,404,66,146,581,79,1672,33,38,0
DK_537,Sønderborg,22427,19362,132,64,5872,814,1511,240,783,3037,334,6225,155,195,0
DK_539,Tinglev,7182,6180,90,13,1287,200,355,87,145,870,233,2783,83,34,0
DK_541,Tønder,9283,7985,109,21,2193,262,654,109,395,809,164,3073,73,123,0
DK_543,Vojens,12469,11137,83,38,3102,228,556,128,383,1436,252,4806,70,55,0
DK_545,Aabenraa,16518,14374,132,52,4239,577,1038,227,671,2074,268,4817,95,184,0
DK_551,Billund,6237,5561,34,4,1204,144,423,96,105,624,230,2647,29,21,0
DK_553,Blåbjerg,4649,4137,52,13,727,123,245,45,118,500,134,2113,23,44,0
DK_555,Blåvandshuk,3128,2824,29,6,687,78,223,33,68,359,51,1250,20,20,0
DK_557,Bramming,9745,8569,70,18,2239,323,517,85,258,991,244,3703,55,66,0
DK_559,Brørup,4779,4155,32,12,1231,104,249,44,102,456,45,1824,35,21,0
DK_561,Esbjerg,61217,52339,340,132,18705,1229,2538,560,2485,6678,924,17717,301,730,0
DK_563,Fanø,2447,2204,23,2,561,78,252,22,174,226,30,750,12,74,0
DK_565,Grindsted,12850,11141,53,26,2945,261,527,93,193,1440,404,5059,83,57,0
DK_567,Helle,5975,5359,34,13,910,147,273,49,131,609,148,2984,36,25,0
DK_569,Holsted,5013,4447,32,9,952,111,223,45,98,595,109,2205,30,38,0
DK_571,Ribe,13385,11730,85,47,3090,401,617,165,775,1064,224,4982,62,218,0
DK_573,Varde,14910,13146,115,29,3402,315,940,135,451,1582,267,5775,70,65,0
DK_575,Vejen,12238,10758,80,19,3233,359,679,146,367,1220,229,4295,54,77,0
DK_577,Ølgod,8232,7291,63,12,1317,317,388,75,171,799,471,3574,75,29,0
DK_601,Brædstrup,6323,5580,62,17,1211,238,377,86,272,811,200,2201,34,66,5
DK_603,Børkop,8133,7115,60,14,2035,227,544,115,354,995,346,2297,48,79,1
DK_605,Egtved,11003,9909,53,32,1918,419,843,144,431,1479,301,4122,71,95,1
DK_607,Fredericia,36347,31198,241,124,10460,1018,2413,364,1832,4346,684,9139,194,373,10
DK_609,Gedved,7217,6527,64,12,1570,273,438,125,373,773,127,2570,41,143,18
DK_611,Give,10272,9027,72,21,1521,272,544,118,311,1343,362,4304,87,71,1
DK_613,Hedensted,11800,10600,87,22,2585,370,693,152,335,1457,735,4016,71,72,5
DK_615,Horsens,42684,37180,236,102,12042,1442,3163,508,1955,4919,615,11231,255,675,37
DK_617,Jelling,4020,3670,25,5,765,236,259,95,329,420,131,1313,22,68,2
DK_619,Juelsminde,11526,10366,89,28,2466,340,855,123,427,1365,212,4292,43,117,9
DK_621,Kolding,46621,40176,248,104,10231,1975,3056,589,3587,5078,938,13750,155,453,12
DK_623,Lunderskov,3836,3420,35,12,791,117,262,40,214,383,143,1370,11,40,2
DK_625,Nørre Snede,5371,4655,42,8,1036,140,274,65,176,917,188,1700,50,58,1
DK_627,Tørring-Uldum,8982,8038,87,40,1729,280,495,104,363,1228,274,3297,54,81,6
DK_629,Vamdrup,5202,4592,39,25,1277,136,391,55,184,660,141,1637,21,25,1
DK_631,Vejle,41604,36180,285,168,10462,1553,3186,659,2238,4869,999,11088,190,472,11
DK_651,Aulum Haderup,4939,4468,32,11,761,98,517,35,121,593,369,1883,26,22,0
DK_653,Brande,6414,5588,53,17,1204,172,309,52,164,837,468,2235,38,39,0
DK_655,Egvad,6975,6175,54,17,1413,135,366,77,180,650,613,2589,46,35,0
DK_657,Herning,43841,38797,254,96,10184,1426,2245,514,1307,4536,2089,15701,194,251,0
DK_659,Holmsland,3870,3280,32,10,503,86,262,51,98,397,257,1552,15,17,0
DK_661,Holstebro,30466,26993,186,46,7390,1216,1434,362,1305,2796,1114,10789,134,221,0
DK_663,Ikast,16578,14778,104,40,3632,401,974,210,342,1939,717,6251,81,87,0
DK_665,Lemvig,13812,12105,94,34,2453,476,709,158,1070,1280,639,5032,76,84,0
DK_667,Ringkøbing,12814,11397,86,30,2578,436,655,142,545,1119,475,5166,59,106,0
DK_669,Skjern,9632,8553,67,15,1756,166,552,77,199,738,1116,3786,50,31,0
DK_671,Struer,14340,12688,72,25,3894,376,814,169,805,1330,420,4561,120,102,0
DK_673,Thyborøn-Harboøre,3598,3041,28,6,814,79,157,31,96,431,250,1128,13,8,0
DK_675,Thyholm,2746,2433,24,5,614,81,270,22,98,264,163,822,44,26,0
DK_677,Trehøje,6904,6273,43,8,1207,170,298,97,166,695,564,2951,47,27,0
DK_679,Ulfborg-Vemb,5215,4565,40,9,1035,148,220,50,239,546,88,2103,50,37,0
DK_681,Videbæk,8789,7930,52,7,1369,192,419,76,167,963,871,3674,102,38,0
DK_683,Vinderup,5959,5302,43,21,1198,256,340,53,187,631,345,2152,49,27,0
DK_685,Åskov,4977,4427,29,5,867,135,270,30,104,525,355,2014,56,37,0
DK_701,Ebeltoft,11276,9799,93,43,2584,364,779,193,626,1165,193,3495,74,188,2
DK_703,Galten,7586,6985,55,12,2114,234,477,128,304,865,161,2507,33,93,2
DK_705,Gjern,5696,5083,56,12,1265,198,351,61,196,587,282,1962,45,66,2
DK_707,Norddjurs,14199,12123,103,20,4202,360,855,136,482,1610,202,3877,105,154,17
DK_709,Hadsten,8374,7465,56,15,2137,287,650,124,325,856,150,2726,35,101,3
DK_711,Hammel,7846,7115,83,19,2111,320,589,120,268,818,134,2497,45,107,4
DK_713,Hinnerup,8122,7537,55,14,2146,383,559,166,422,812,204,2571,28,171,6
DK_715,Hørning,6064,5552,38,6,1659,202,454,83,240,619,98,2038,32,79,4
DK_717,Langå,6021,5427,46,5,1763,193,343,75,213,655,114,1888,53,78,1
DK_719,Mariager,6241,5381,54,10,1564,186,400,67,206,753,208,1828,28,73,4
DK_721,Midtdjurs,5715,5021,53,17,1660,162,349,75,238,580,129,1654,35,63,6
DK_723,Nørhald,6389,5678,35,16,1831,167,329,64,207,713,160,2017,54,78,7
DK_725,Nørre Djurs,5749,4984,29,11,1358,161,326,77,243,670,136,1793,39,129,12
DK_727,Odder,15100,13419,120,34,4083,605,1074,248,854,1155,294,4595,74,278,5
DK_729,Purhus,6239,5592,52,10,1728,175,373,61,170,780,126,2018,40,52,7
DK_731,Randers,47914,40753,276,135,15107,1476,3278,520,1974,5297,1041,10681,243,706,19
DK_733,Rosenholm,7443,6587,45,19,1899,256,565,102,327,791,164,2244,43,130,2
DK_735,Rougsø,6074,5149,57,14,1678,195,302,45,195,650,133,1716,53,107,4
DK_737,Ry,7556,6951,49,19,1826,424,431,142,537,581,168,2478,33,258,5
DK_739,Rønde,4980,4481,36,8,1226,254,354,69,211,526,100,1579,21,93,4
DK_741,Samsø,3332,2883,41,8,871,121,262,42,184,282,33,940,16,83,0
