gisco_id,name,registered,turnout,blank,invalid,A,B,C,F,K,O,V,Y,Ø,1,2,3,4,5
DK_101,København,369991,310363,1258,967,75695,28291,26911,69773,1575,31032,38334,13055,23351,10,55,11,11,34
DK_147,Frederiksberg,70758,62114,240,168,13106,6143,10250,10689,305,5473,9488,3171,3059,2,10,3,3,4
DK_151,Ballerup,33886,29949,146,72,10760,1162,2778,3715,121,4836,5011,758,586,0,4,0,0,0
DK_153,Brøndby,23827,20159,93,74,6711,728,1465,3005,91,3737,3293,472,483,2,5,0,0,0
DK_155,Dragør,9603,8777,30,11,1661,491,1561,833,29,1292,2416,327,124,0,0,1,1,0
DK_157,Gentofte,48563,43671,123,90,5938,3477,12080,3851,170,3420,11085,2399,1038,0,0,0,0,0
DK_159,Gladsaxe,44784,39149,173,67,10780,2622,4144,6077,196,5192,7164,1420,1312,1,1,0,0,0
DK_161,Glostrup,15486,13425,57,42,4173,497,1357,1589,52,2416,2698,316,227,1,0,0,0,0
DK_163,Herlev,19189,16670,84,29,5437,722,1688,2413,186,2599,2699,405,408,0,0,0,0,0
DK_165,Albertslund,18145,15633,78,57,4944,714,1059,3330,58,2283,1958,335,815,0,2,0,0,0
DK_167,Hvidovre,35591,30590,133,55,9371,1282,2492,4468,153,5751,5255,784,840,1,5,0,0,0
DK_169,Høje Taastrup,32506,27915,159,66,7894,1169,3209,3216,124,4635,6216,792,431,0,4,0,0,0
DK_173,Lyngby-Taarbæk,37573,33595,124,92,6782,2976,6269,4040,152,3261,7513,1601,779,4,2,0,0,0
DK_175,Rødovre,26671,22889,105,39,7607,1020,1953,3337,113,3875,3743,518,577,0,2,0,0,0
DK_183,Ishøj,13102,10973,53,65,3538,354,752,1526,40,2177,1952,262,252,0,2,0,0,0
DK_185,Tårnby,29565,25596,111,78,7441,933,2089,3548,105,5109,5073,670,429,1,3,2,0,4
DK_187,Vallensbæk,8823,8041,33,35,1886,352,1651,668,31,1258,1808,232,84,0,3,0,0,0
DK_190,Furesø,26077,23848,97,39,4611,2220,3660,3194,87,2398,5665,1237,640,0,0,0,0,0
DK_201,Allerød,16448,15155,43,30,2488,1323,2566,1595,85,1493,4603,711,218,0,0,0,0,0
DK_210,Fredensborg,27299,24309,100,62,4654,1897,3535,2525,106,2889,6904,1148,489,0,0,0,0,0
DK_217,Helsingør,44073,37896,132,68,9523,2590,4425,4844,156,5163,8511,1535,949,0,0,0,0,0
DK_219,Hillerød,32929,29401,121,61,7095,2024,3724,3310,298,3314,7532,1148,774,0,0,0,0,0
DK_223,Hørsholm,17627,15995,39,22,1872,1157,3861,753,31,1516,5696,894,154,0,0,0,0,0
DK_230,Rudersdal,37991,34644,121,80,4630,3519,6255,2996,100,2663,11497,2064,719,0,0,0,0,0
DK_240,Egedal,28471,26135,99,49,5543,1532,3675,2460,94,3581,7755,994,353,0,0,0,0,0
DK_250,Frederikssund,32337,28378,140,83,7005,1379,3004,3164,95,4496,7685,890,437,0,0,0,0,0
DK_253,Greve,34007,30199,92,67,6577,1086,2820,2464,123,5298,10416,948,308,0,0,0,0,0
DK_259,Køge,40892,36032,161,104,9283,1348,3377,4034,125,6058,9956,1071,515,0,0,0,0,0
DK_260,Halsnæs,22951,19482,80,42,5274,919,1458,2403,126,3494,4721,539,426,0,0,0,0,0
DK_265,Roskilde,58847,52639,195,138,12249,3234,5608,7313,268,6534,13637,2029,1434,0,0,0,0,0
DK_269,Solrød,14913,13397,38,24,2616,498,1401,1144,32,2056,4974,477,137,0,0,0,0,0
DK_270,Gribskov,30057,26380,90,62,5166,1471,2504,2898,279,4245,8265,947,453,0,0,0,0,0
DK_306,Odsherred,25795,22043,119,40,5402,913,1472,2878,52,4057,6132,593,385,0,0,0,0,0
DK_316,Holbæk,50415,43727,199,56,11075,2286,3809,5468,202,6620,11931,1300,781,0,0,0,0,0
DK_320,Faxe,26353,22736,117,32,5433,862,2180,2535,106,3940,6631,582,318,0,0,0,0,0
DK_326,Kalundborg,37393,31873,145,68,7753,1221,2053,3826,124,6766,8789,709,419,0,0,0,0,0
DK_329,Ringsted,23190,20160,100,34,5194,813,1667,2321,67,3367,5663,643,291,0,0,0,0,0
DK_330,Slagelse,57783,48822,202,78,12633,1402,3682,5834,182,9654,13335,1166,654,0,0,0,0,0
DK_336,Stevns,16567,14663,60,26,3533,520,1375,1603,45,2521,4376,410,194,0,0,0,0,0
DK_340,Sorø,21604,18830,93,36,4544,780,1671,2231,137,3074,5408,556,300,0,0,0,0,0
DK_350,Lejre,19346,17659,76,50,3862,944,1580,2056,80,2504,5550,632,325,0,0,0,0,0
DK_360,Lolland,37618,31347,129,131,7940,524,1503,8032,76,5234,7014,402,362,0,0,0,0,0
DK_370,Næstved,60654,52546,238,108,15339,1788,5110,6012,229,8305,13430,1313,674,0,0,0,0,0
DK_376,Guldborgsund,49243,42233,226,148,12852,1274,2913,5305,163,7103,10829,843,577,0,0,0,0,0
DK_390,Vordingborg,35723,31127,150,117,7995,1228,2372,4514,104,5049,8229,727,642,0,0,0,0,0
DK_400,Bornholm,33081,28132,174,57,9875,617,1682,3301,555,3357,7341,615,537,21,0,0,0,0
