gisco_id,name,registered,turnout,blank,invalid,A,B,C,F,I,K,O,V,Ø,1,2,3,4,5,6
DK_101,København,384861,329722,2033,1544,61995,56075,14997,42899,18644,912,25233,44590,60449,109,142,9,46,33,12
DK_147,Frederiksberg,73446,65562,346,228,10797,12234,6285,6852,4558,175,4535,11626,7897,7,13,1,6,2,0
DK_151,Ballerup,34263,30355,215,79,9950,2548,1385,2534,1283,112,4295,5819,2096,39,0,0,0,0,0
DK_153,Brøndby,23673,19981,122,94,6455,1463,678,2084,648,59,3348,3446,1569,15,0,0,0,0,0
DK_155,Dragør,9968,9085,25,9,1404,923,884,571,656,13,1267,2890,441,0,1,0,1,0,0
DK_157,Gentofte,49736,45396,201,162,5342,6787,6755,2142,4599,116,3099,13877,2299,17,0,0,0,0,0
DK_159,Gladsaxe,45597,40215,318,99,10329,5043,2162,3855,1890,148,4609,8064,3667,31,0,0,0,0,0
DK_161,Glostrup,15901,13882,88,60,3969,1058,639,1127,575,44,2304,3140,866,12,0,0,0,0,0
DK_163,Herlev,19196,16812,138,62,5143,1425,872,1636,648,129,2287,3096,1364,12,0,0,0,0,0
DK_165,Albertslund,18173,15809,97,94,4823,1433,547,2148,447,43,1984,2102,2077,14,0,0,0,0,0
DK_167,Hvidovre,36028,31299,232,65,8886,2620,1298,3213,1204,106,5121,5872,2652,30,0,0,0,0,0
DK_169,Høje Taastrup,32580,28282,177,105,7728,2520,1798,2240,1150,89,4171,6667,1607,30,0,0,0,0,0
DK_173,Lyngby-Taarbæk,38043,34409,212,93,6141,5420,3275,2740,2591,103,2815,8989,2015,15,0,0,0,0,0
DK_175,Rødovre,26725,23212,169,61,7270,2053,1012,2261,838,93,3362,4212,1862,19,0,0,0,0,0
DK_183,Ishøj,13254,11224,74,76,3530,809,380,1166,384,23,1774,2176,822,10,0,0,0,0,0
DK_185,Tårnby,30075,26294,184,89,6509,2032,1096,2548,1024,85,4852,5808,2044,7,5,0,1,8,2
DK_187,Vallensbæk,9974,9029,49,35,1991,813,962,621,446,21,1275,2488,325,3,0,0,0,0,0
DK_190,Furesø,26510,24247,120,79,4419,3743,1888,1866,1867,52,1850,6780,1577,6,0,0,0,0,0
DK_201,Allerød,16894,15764,88,45,2414,2181,1362,1156,1271,67,1328,5216,632,4,0,0,0,0,0
DK_210,Fredensborg,27512,24728,99,41,4281,3103,1965,1906,1855,85,2432,7779,1170,12,0,0,0,0,0
DK_217,Helsingør,44425,38821,224,152,9092,4237,2436,3289,2344,95,4519,9953,2469,11,0,0,0,0,0
DK_219,Hillerød,34111,30790,152,97,6190,3746,1845,2425,1895,264,2921,9352,1891,12,0,0,0,0,0
DK_223,Hørsholm,17728,16379,46,23,1700,1839,2251,505,1824,27,1247,6535,379,3,0,0,0,0,0
DK_230,Rudersdal,38393,35397,140,94,4094,5443,3469,1851,3820,60,2200,12679,1529,18,0,0,0,0,0
DK_240,Egedal,29533,27346,144,90,5663,2958,1590,1757,1858,75,3293,8838,1072,8,0,0,0,0,0
DK_250,Frederikssund,32904,29058,153,138,6457,2464,1187,2394,1543,110,3929,9156,1518,9,0,0,0,0,0
DK_253,Greve,34270,30753,167,115,6102,2358,1726,1939,1677,90,5253,10192,1130,2,1,1,0,0,0
DK_259,Køge,41299,36762,229,163,8309,2957,1953,3183,1883,103,6112,9905,1957,6,2,0,0,0,0
DK_260,Halsnæs,23218,20069,110,66,5073,1436,681,1969,896,85,2955,5399,1392,7,0,0,0,0,0
DK_265,Roskilde,60344,54375,347,209,11498,6327,3028,5605,3149,205,6523,13788,3680,12,0,4,0,0,0
DK_269,Solrød,15146,13880,75,67,2560,1052,850,871,909,26,2074,4857,538,1,0,0,0,0,0
DK_270,Gribskov,30555,27303,150,61,4799,2387,1091,1894,1440,251,3605,10183,1433,9,0,0,0,0,0
DK_306,Odsherred,25805,22355,156,50,5571,1520,780,2055,708,75,4028,5863,1541,4,2,2,0,0,0
DK_316,Holbæk,51088,44637,299,94,11449,3712,2146,4071,1890,191,6396,11657,2713,11,2,6,0,0,0
DK_320,Faxe,26476,23262,178,79,5352,1646,1190,2030,988,79,4027,6486,1201,4,0,2,0,0,0
DK_326,Kalundborg,37150,31964,226,89,7872,1934,1006,3152,1076,130,6428,8394,1640,6,2,9,0,0,0
DK_329,Ringsted,23807,21010,158,55,5163,1678,853,1760,1049,67,3403,5550,1258,6,7,3,0,0,0
DK_330,Slagelse,58086,49763,334,132,12645,3009,1999,4780,2246,171,9038,12642,2681,9,5,72,0,0,0
DK_336,Stevns,16688,14850,114,24,3149,1088,782,1219,687,37,2717,4263,765,5,0,0,0,0,0
DK_340,Sorø,21940,19279,140,28,4553,1575,975,1796,902,118,3015,5123,1038,6,6,4,0,0,0
DK_350,Lejre,19620,18008,140,53,3402,1772,878,1807,1083,64,2468,5354,982,3,2,0,0,0,0
DK_360,Lolland,35795,30150,209,153,9279,1255,961,5440,814,92,4544,5802,1583,12,3,3,0,0,0
DK_370,Næstved,60856,53268,368,160,15208,3546,2797,4706,2282,264,8092,13059,2763,14,3,6,0,0,0
