gisco_id,name,registered,turnout,invalid,blank,Eesti Vabaerakond,Eesti Reformierakond,Erakond Eestimaa Rohelised,Sotsiaaldemokraatlik Erakond,Elurikkuse Erakond,Eesti Konservatiivne Rahvaerakond,Erakond Eesti 200,Eesti Keskerakond,Isamaa Erakond,TANEL HÄIDKIND,ÜLLAR KRUUSTIK,Eestimaa Ühendatud Vasakpartei,EGE HIRV,MAARIKA PÄHKLEMÄE,HANDO TÕNUMAA,SERGEI SVJATUŠENKO,MARGUS SAAR,HANNES VESKIMÄE,JÜRI MALSUB,KALJU MÄTIK,VEIKO TANI,KAIDO KOOKMAA,VELLO KOOKMAA,RISTO NAHKOR,HARRY RAUDVERE
EE_0130,Alutaguse,3298,1870,17,0,9,535,13,147,9,393,90,411,240,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0141,Anija,4235,2650,58,0,23,741,52,214,37,468,69,555,427,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0
EE_0142,Antsla,3750,2217,15,0,36,511,27,218,96,544,44,410,315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0171,Elva,11362,7186,70,0,105,2059,100,612,93,1679,245,1175,1044,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0184,Haapsalu,9634,6108,54,0,156,1823,141,483,64,1332,168,1364,487,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,33
EE_0191,Haljala,3576,2405,21,0,21,607,21,232,21,512,149,358,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0198,Harku,9901,7376,30,0,60,3435,120,518,155,1172,367,701,809,0,0,4,0,0,0,0,0,0,0,0,0,0,1,4,0
EE_0205,Hiiumaa,8016,5252,23,0,139,1632,95,1053,41,902,144,794,386,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42
EE_0214,Häädemeeste,3912,2485,14,0,13,534,24,123,57,735,76,501,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0255,Järva,7009,4160,41,0,53,1105,52,391,31,1087,84,783,516,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0
EE_0245,Jõelähtme,4494,3076,12,0,69,1344,66,242,42,547,115,386,248,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0
EE_0247,Jõgeva,10868,6812,53,0,135,1265,76,557,45,1509,198,1252,1717,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0251,Jõhvi,6050,3585,41,0,16,812,30,377,10,506,154,1327,296,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0272,Kadrina,3750,2366,14,0,15,618,27,226,12,520,110,279,543,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0283,Kambja,7983,5674,29,0,90,2244,89,401,73,1079,266,518,879,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0284,Kanepi,3889,2414,23,0,46,801,28,175,46,534,103,483,170,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0291,Kastre,4064,2628,24,0,39,719,46,434,25,634,77,327,295,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0293,Kehtna,4335,2664,17,0,31,627,47,312,59,713,83,480,291,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
EE_0296,Keila linn,6934,4910,18,0,54,2068,84,453,54,786,177,722,485,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0
EE_0303,Kihnu,610,397,2,0,3,128,1,18,4,91,68,60,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0304,Kiili,3718,2808,7,0,29,1309,59,208,41,452,132,260,301,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,0
EE_0317,Kohila vald,5174,3323,24,0,30,1022,54,247,61,711,89,415,662,0,0,2,0,0,0,0,0,0,0,0,0,2,1,3,0
EE_0321,Kohtla-Järve,13308,5989,89,0,24,604,44,910,18,318,263,3431,267,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0338,Kose,5382,3627,16,0,40,1110,60,376,64,1081,129,442,306,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
EE_0353,Kuusalu,4834,3323,11,0,37,1104,70,308,115,642,133,443,452,0,0,1,0,0,0,0,0,0,0,0,0,2,1,4,0
EE_0424,Loksa linn,1067,606,9,0,3,102,11,54,7,54,11,294,56,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0
EE_0432,Luunja,3404,2144,17,0,30,760,40,162,18,470,80,227,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0431,Lääne-Harju,7485,4483,21,0,58,1372,70,392,62,873,138,995,485,0,0,8,0,0,0,0,0,0,0,0,0,2,0,7,0
EE_0441,Lääne-Nigula,5619,3639,29,0,74,1055,70,405,32,1016,82,549,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
EE_0430,Lääneranna,4487,2692,24,0,32,566,26,199,44,878,75,654,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0442,Lüganuse,5710,3332,40,0,19,753,23,178,52,405,89,1180,591,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0446,Maardu,6682,3264,55,0,40,538,50,201,17,278,79,1816,137,0,0,39,0,0,0,0,0,0,0,0,0,3,4,7,0
EE_0478,Muhu,1652,1093,6,0,22,306,21,95,26,236,74,161,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
EE_0480,Mulgi,6148,3740,45,0,14,872,25,262,32,858,116,970,538,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0
EE_0486,Mustvee,4458,2656,34,0,28,462,18,472,19,515,94,641,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0503,Märjamaa,6080,3766,23,0,55,975,54,318,73,963,101,693,505,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0
EE_0511,Narva,19760,8110,158,0,39,318,34,1668,6,103,232,5456,83,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0514,Narva-Jõesuu,2035,912,15,0,14,78,11,306,4,38,28,389,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0528,Nõo,3280,2260,10,0,26,664,31,176,53,502,91,255,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0557,Otepää,5350,3352,26,0,40,1026,32,336,72,650,169,613,370,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0567,Paide,8358,5170,27,0,53,1432,43,630,35,1146,105,979,704,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0
EE_0586,Peipsiääre,4455,2447,39,0,10,449,35,138,27,446,315,557,429,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0624,Pärnu,37856,23467,110,0,243,6804,303,1587,332,6008,776,4390,2884,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0638,Põhja-Pärnumaa,6723,4153,21,0,88,959,45,274,66,1285,172,735,507,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0615,Põhja-Sakala,6429,3824,27,0,40,892,36,350,39,963,120,687,657,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0
EE_0618,Põltsamaa,7916,4885,56,0,46,1120,65,429,30,1177,158,923,879,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0622,Põlva,11265,7081,50,0,138,1439,69,501,105,1813,415,1833,703,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0651,Raasiku,3636,2506,14,0,40,872,62,243,52,469,109,288,350,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0
EE_0653,Rae,12072,8794,20,0,85,4300,155,653,108,1241,451,906,851,0,0,2,0,0,0,0,0,0,0,0,0,6,3,13,0
EE_0663,Rakvere linn,11272,7114,40,0,30,1833,95,672,36,1374,173,1284,1573,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0661,Rakvere vald,4265,2599,24,0,17,641,25,240,16,590,73,451,520,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0668,Rapla,10329,6664,40,0,55,1906,95,691,114,1815,192,1049,691,0,0,1,0,0,0,0,0,0,0,0,0,2,1,12,0
EE_0689,Ruhnu,135,92,1,0,6,19,7,7,3,20,3,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EE_0708,Räpina,5263,3192,41,0,32,698,38,290,41,848,131,695,366,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0698,Rõuge,4504,2933,19,0,70,457,23,471,129,785,100,510,355,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
