gisco_id,name,registered,turnout,invalid,blank,Νέα Δημοκρατία,ΠΑ.ΣΟ.Κ.,K.K.E.,Συνασπισμός,ΛΑ.Ο.Σ.,ΔΗ.Κ.ΚI.,Ενωση Κεντρώων,ΜΕ.Ρ.Α.,Αντικαπιταλιστική Συμμαχία,Ελληνικό Μέτωπο,ΚΚΕ (μ-λ),Κόμμα Φιλελευθέρων,Μ-Λ ΚΚΕ,Α.Σ.Κ.Ε.,Ο.Α.Κ.Κ.Ε.,Ανεξ. / Μεμον.,Χριστοπιστία
EL_450100,Αθηναίων,550602,387897,7342,2931,168906,131898,27209,23855,11819,8603,1692,1043,801,651,445,245,204,129,124,0,0
EL_071002,Αγίου Παύλου,5817,4836,117,37,1667,2002,423,176,226,139,21,3,7,0,11,1,5,1,0,0,0
EL_070201,Αμπελοκήπων,23339,20367,646,165,7863,7839,1520,585,971,524,92,25,22,24,59,7,14,8,3,0,0
EL_070802,Ελευθερίου - Κορδελιού,15250,13616,416,97,4981,5747,838,207,811,361,49,5,10,14,57,6,9,6,2,0,0
EL_071102,Ευκαρπίας,4594,4197,68,33,1678,1809,177,58,210,92,14,2,2,6,41,0,3,4,0,0,0
EL_070801,Ευόσμου,26445,23596,684,194,10040,8325,1600,572,1271,625,106,21,15,22,84,15,14,7,1,0,0
EL_070101,Θεσσαλονίκης,249508,199325,4217,1439,93303,65784,10939,9098,7846,4435,834,249,286,222,374,85,106,42,52,11,3
EL_070700,Καλαμαριάς,46606,40880,872,245,15566,16070,3072,1808,1649,1138,202,40,61,23,74,25,17,7,11,0,0
EL_070202,Μενεμένης,10523,9403,273,61,3663,3980,456,179,445,232,42,5,8,9,31,7,6,3,3,0,0
EL_071003,Νεαπόλεως,25605,20502,542,184,7857,8237,1305,593,834,668,117,14,32,27,55,10,13,7,7,0,0
EL_071004,Πεύκων,3126,2971,51,27,1346,919,236,148,150,71,11,2,1,1,3,1,3,0,1,0,0
EL_071103,Πολίχνης,20908,18825,455,149,6931,7378,1781,534,850,530,82,20,14,20,53,8,6,7,7,0,0
EL_071101,Σταυρουπόλεως,22513,19512,548,156,7067,7950,1463,586,951,540,96,14,25,16,59,12,14,15,0,0,0
EL_071001,Συκεών,26513,21791,494,173,7463,9075,1923,750,954,716,92,28,21,17,46,10,19,5,5,0,0
EL_070102,Τριανδρίας,8424,7484,137,60,3092,2704,623,297,297,195,38,4,3,7,18,5,3,0,1,0,0
EL_520200,Αγκιστρίου,903,743,12,2,408,263,20,10,13,8,1,2,1,1,1,0,0,1,0,0,0
EL_520300,Αίγινας,12910,10141,112,67,5156,3724,327,288,215,158,35,16,5,10,10,7,5,4,2,0,0
EL_520402,Αντικυθήρων,138,68,1,0,30,28,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0
EL_520401,Κυθήρων,6461,2777,20,14,1399,1081,99,68,35,41,8,3,5,1,0,0,1,1,1,0,0
EL_520702,Μεθάνων,2512,2072,27,6,1075,823,35,41,32,22,3,0,0,3,0,1,3,1,0,0,0
EL_510100,Πειραιώς,178434,130516,2720,799,56099,47850,8473,5547,4245,2935,653,203,213,320,183,120,61,51,44,0,0
