gisco_id,name,registered,turnout,invalid,blank,Νέα Δημοκρατία,ΠΑ.ΣΟ.Κ,Κ.Κ.Ε.,ΛΑ.Ο.Σ,ΣΥ.ΡΙΖ.Α,ΟΙΚΟΛΟΓΟΙ ΠΡΑΣΙΝΟΙ,ΔΗΜΟΚΡΑΤΙΚΗ ΑΝΑΓΕΝΝΗΣΗ,Ενωση Κεντρώων,ΚΚΕ (μ-λ),ΕΝΩΤΙΚΗ ΑΝΤΙΚΑΠΙΤΑΛ. ΑΡΙΣΤΕΡΑ (ΕΝ.ΑΝΤΙ.Α.),ΜΑΡΞΙΣΤΙΚΟ-ΛΕΝΙΝΙΣΤΙΚΟ ΚΚΕ,Α.Σ.Κ.Ε.,ΜΕΤΩΠΟ ΡΙΖΟΣΠ. ΑΡΙΣΤΕΡΑΣ,φιλελεύθερη συμμαχία,Ο.Α.Κ.Κ.Ε.,Κόμμα Φιλελευθέρων,Δημ. Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,Φως. Αλήθεια. Δικαιοσύνη.,ΠΕΡΙΦ. ΑΣΤΙΚΗ ΑΝΑΠΤΥΞΗ (Π.Α.Α),ΔΗΜΟΚΡΑΤΙΚΗ ΠΑΓΚΟΣΜΙΟΣ ΕΛΛΑΣ,Ν.ΚΟΜΜΑ ΣΩΤΗΡΙΑΣ ΧΡΙΣΤ. ΔΗΜΟΚΡΑΤΙΑ,Ανεξ. Υποψ.
EL_030101,Αλεξανδρούπολης,42874,33268,1029,258,13881,12890,1704,1437,1113,361,219,74,60,56,55,44,42,32,13,0,0,0,0,0,0,0
EL_030302,Βύσσας,9902,6961,167,39,3614,2486,247,199,91,48,27,11,13,7,2,3,2,3,2,0,0,0,0,0,0,0
EL_030201,Διδυμοτείχου,25005,14916,335,81,7666,5219,622,474,215,92,74,29,27,7,24,13,13,13,12,0,0,0,0,0,0,0
EL_030303,Κυπρίνου,3857,2643,39,17,1242,1182,44,67,17,10,6,8,2,1,1,2,3,2,0,0,0,0,0,0,0,0
EL_030202,Μεταξάδων,8239,4907,98,21,2614,1849,115,90,61,19,16,3,4,5,3,3,5,1,0,0,0,0,0,0,0,0
EL_030301,Ορεστιάδος,23044,15278,409,125,7838,5376,471,489,268,99,72,23,19,31,13,12,14,13,6,0,0,0,0,0,0,0
EL_030502,Ορφέα,7786,5168,103,37,2442,2108,211,125,53,14,18,9,11,3,13,8,6,4,3,0,0,0,0,0,0,0
EL_030400,Σαμοθράκης,4410,2767,74,20,1036,1327,104,60,72,26,11,7,11,4,5,4,1,2,3,0,0,0,0,0,0,0
EL_030501,Σουφλίου,9205,6395,167,56,3307,2052,341,135,216,49,25,5,8,4,14,2,7,4,3,0,0,0,0,0,0,0
EL_030102,Τραϊανούπολης,4705,3566,69,22,1432,1625,151,138,60,31,8,6,4,2,1,4,7,5,1,0,0,0,0,0,0,0
