gisco_id,name,registered,turnout,invalid,blank,ΠΑ.ΣΟ.Κ,Νέα Δημοκρατία,ΛΑ.Ο.Σ,Κ.Κ.Ε.,ΣΥ.ΡΙΖ.Α,ΟΙΚΟΛΟΓΟΙ ΠΡΑΣΙΝΟΙ,ΔΗΜΟΚΡΑΤΙΚΗ ΑΝΑΓΕΝΝΗΣΗ,Δημ. Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,Αντικαπιταλιστική Αριστερή Συνεργασία (ΑΝΤ.ΑΡ.ΣΥ.Α.),Λαικός Σύνδεσμος - Χρυσή Αυγή,Ενωση Κεντρώων,ΚΚΕ (μ-λ),Δημοκρατικοί,ΜΑΡΞΙΣΤΙΚΟ-ΛΕΝΙΝΙΣΤΙΚΟ ΚΚΕ,Εργατικό Επαναστικό Κόμμα,ΚΟΙΝΩΝΙΑ ΠΟΛΙΤΙΚΗ ΠΑΡΑΤΑΞΗ συνεχιστών του ΚΑΠΟΔΙΣΤΡΙΑ,Ο.Α.Κ.Κ.Ε. Οργάνωση για την Ανασυγκρότηση του ΚΚΕ,Φως. Αλήθεια. Δικαιοσύνη.,ΠΕΡΙΦ. ΑΣΤΙΚΗ ΑΝΑΠΤΥΞΗ (Π.Α.Α),ΦΙΛΟΙ ΤΟΥ ΑΝΘΡΩΠΟΥ,"ΧΑΡΙΖΩ ΟΙΚΟΠΕΔΑ, ΧΑΡΙΖΩ ΧΡΕΗ, Παναγροτικό Εργατικό Κίνημα Ελλάδος (ΠΑΕΚΕ)",ΠΑΛΑΙΑ ΔΗΜΟΚΡΑΤΙΑ,Κ.Ο.Τ.Ε.Σ. Καπνιστικές Ομάδες για την Τέχνη και την Εικαστική Συγκρότηση,Ανεξ. Υποψ.
EL_030101,Αλεξανδρούπολης,43830,33073,977,240,14968,11137,2177,1374,942,675,110,95,85,67,63,41,32,30,25,25,10,0,0,0,0,0,0,0
EL_030301,Ορεστιάδος,23223,14791,383,121,5757,6453,934,407,265,239,32,32,45,44,22,11,15,8,9,12,2,0,0,0,0,0,0,0
EL_030304,Τριγώνου,12019,6548,126,23,3409,2397,239,142,77,72,9,5,9,15,4,4,3,3,5,1,5,0,0,0,0,0,0,0
EL_030302,Βύσσας,9820,6585,179,40,2454,3075,303,253,82,92,16,20,13,29,14,2,2,1,4,4,2,0,0,0,0,0,0,0
EL_030502,Ορφέα,7700,4965,98,34,2450,1862,194,170,59,41,6,11,6,7,1,10,2,5,3,2,4,0,0,0,0,0,0,0
EL_030503,Τυχερού,6067,3821,103,23,1472,1729,213,115,54,47,10,7,13,10,5,4,8,1,0,6,1,0,0,0,0,0,0,0
EL_030201,Διδυμοτείχου,24515,14256,330,83,5537,6161,1011,514,182,177,36,39,39,42,25,14,16,14,12,17,7,0,0,0,0,0,0,0
EL_030400,Σαμοθράκης,4384,2549,54,19,1405,761,88,82,53,36,3,7,11,11,4,5,2,4,2,2,0,0,0,0,0,0,0,0
EL_030103,Φερών (Ανατολικης Μακεδονιας Και Θρακης),11565,8173,176,48,3739,2974,454,386,171,85,28,24,21,21,12,4,9,3,8,8,2,0,0,0,0,0,0,0
EL_030303,Κυπρίνου,3802,2533,56,14,1266,1007,98,36,14,16,6,2,4,6,3,2,0,0,2,1,0,0,0,0,0,0,0,0
EL_030501,Σουφλίου,8966,5961,157,38,2170,2607,280,324,215,88,15,16,6,22,4,6,6,1,3,1,2,0,0,0,0,0,0,0
EL_030202,Μεταξάδων,8160,4549,113,21,1820,2204,194,90,43,25,5,4,8,5,4,3,0,3,2,5,0,0,0,0,0,0,0,0
EL_030102,Τραϊανούπολης,4649,3458,69,11,1774,1183,189,109,46,34,4,7,6,5,12,2,3,0,2,1,1,0,0,0,0,0,0,0
EL_450100,Αθηναίων,503004,311799,5987,2132,107860,96442,23063,28985,24193,12432,1727,788,1675,1538,1212,315,591,179,216,853,84,172,0,0,0,0,1355,0
EL_071002,Αγίου Παύλου,5976,4467,82,28,1923,1033,335,521,260,125,47,9,16,17,33,19,5,7,3,3,1,0,0,0,0,0,0,0
EL_070101,Θεσσαλονίκης,242772,172612,4227,1368,58257,58417,13190,13669,10965,6399,2286,487,694,599,788,351,309,107,109,348,39,0,0,0,0,0,0,3
EL_071103,Πολίχνης,23038,18867,590,139,7524,4684,1542,2374,851,513,239,55,37,83,97,61,15,12,12,38,1,0,0,0,0,0,0,0
EL_070201,Αμπελοκήπων,25057,19470,656,136,7864,5185,1598,1925,836,598,197,68,91,83,95,55,27,13,9,32,2,0,0,0,0,0,0,0
EL_070700,Καλαμαριάς,50331,40165,977,293,16199,10067,3124,4309,2565,1401,388,110,134,107,205,87,61,36,35,58,9,0,0,0,0,0,0,0
EL_071101,Σταυρουπόλεως,23869,18696,684,129,7997,4422,1509,1904,931,481,214,54,44,74,88,59,29,21,17,38,1,0,0,0,0,0,0,0
EL_070802,Ελευθερίου - Κορδελιού,17288,13664,516,118,5982,3448,1175,1224,413,353,96,52,40,60,52,72,16,21,6,17,3,0,0,0,0,0,0,0
EL_070202,Μενεμένης,11176,8995,359,49,4186,2219,779,622,295,202,84,28,18,32,40,26,13,16,5,17,5,0,0,0,0,0,0,0
EL_071001,Συκεών,27320,20350,540,158,8672,4575,1534,2323,1163,637,264,63,82,75,105,59,26,16,22,32,4,0,0,0,0,0,0,0
EL_071102,Ευκαρπίας,6226,5219,172,46,2489,1293,384,380,148,118,51,11,20,14,27,43,6,4,5,7,1,0,0,0,0,0,0,0
EL_071003,Νεαπόλεως,24796,17763,542,120,7669,4384,1375,1737,836,487,217,49,46,83,84,58,20,16,10,24,6,0,0,0,0,0,0,0
EL_070102,Τριανδρίας,8600,6921,149,42,2554,2035,543,796,351,221,69,27,17,26,40,19,15,8,2,6,1,0,0,0,0,0,0,0
EL_070801,Ευόσμου,32047,26409,814,216,9886,7406,2645,2588,1075,827,269,99,91,108,157,100,38,25,13,46,6,0,0,0,0,0,0,0
EL_071004,Πεύκων,5208,4603,94,46,1532,1414,415,403,329,211,71,10,14,14,24,7,7,2,3,6,1,0,0,0,0,0,0,0
EL_520200,Αγκιστρίου,960,722,6,4,294,290,50,30,20,18,1,2,0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0
EL_520702,Μεθάνων,2601,1839,19,9,821,737,81,55,60,36,4,3,4,6,1,1,0,1,1,0,0,0,0,0,0,0,0,0
EL_520701,Τροιζήνος,5702,4265,96,18,1542,1977,239,148,95,66,16,10,8,17,8,1,10,0,2,10,2,0,0,0,0,0,0,0
EL_520300,Αίγινας,13232,9139,215,54,3456,3430,670,427,409,280,29,28,29,28,23,12,22,0,3,24,0,0,0,0,0,0,0,0
EL_510100,Πειραιώς,166466,106663,2279,638,40308,31811,8165,9448,6594,3900,509,455,462,584,616,178,217,87,74,293,45,0,0,0,0,0,0,0
EL_520800,Ύδρας,3141,2027,42,15,766,782,149,77,90,53,8,11,7,3,5,4,10,3,0,2,0,0,0,0,0,0,0,0
EL_520402,Αντικυθήρων,157,67,1,0,27,27,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EL_520500,Πόρου,4649,3095,37,11,1121,1364,203,118,96,89,6,16,3,9,5,0,5,2,1,9,0,0,0,0,0,0,0,0
EL_520401,Κυθήρων,6948,2888,43,24,1196,1133,119,143,118,66,5,8,4,8,16,1,4,0,0,0,0,0,0,0,0,0,0,0
EL_520600,Σπετσών,4152,2820,48,11,985,1298,155,85,89,103,15,5,1,7,9,3,2,0,1,2,1,0,0,0,0,0,0,0
EL_380202,Αγγελοκάστρου,3297,2557,52,9,1218,1008,49,130,44,22,4,3,5,6,2,2,0,0,1,1,1,0,0,0,0,0,0,0
EL_380500,Θέρμου,10702,6793,99,25,3575,2316,226,278,128,65,9,6,9,11,7,6,5,6,3,18,1,0,0,0,0,0,0,0
EL_380103,Οινιάδων,11152,8282,138,36,3773,3300,248,404,239,51,14,9,20,20,4,4,8,4,4,5,1,0,0,0,0,0,0,0
EL_380201,Αγρινίου,46209,33670,677,170,15715,10319,1077,2997,1340,705,104,82,180,88,43,21,29,58,27,34,4,0,0,0,0,0,0,0
EL_380204,Θεστιέων,7981,6143,126,28,2949,2061,184,465,132,101,12,7,15,18,11,9,4,6,7,7,1,0,0,0,0,0,0,0
EL_380207,Παναιτωλικού,2155,1588,31,13,823,565,47,51,24,13,2,3,4,3,2,0,0,0,2,4,1,0,0,0,0,0,0,0
EL_380102,Αιτωλικού,7788,5700,137,20,2739,1897,179,419,162,42,33,7,11,21,2,8,9,1,3,9,1,0,0,0,0,0,0,0
EL_380402,Ινάχου,8329,6022,85,18,3404,1921,122,250,118,45,4,7,19,9,5,3,1,3,3,4,1,0,0,0,0,0,0,0
EL_380208,Παραβόλας,5630,4190,63,13,2232,1430,87,211,59,32,10,3,34,4,2,1,3,2,2,2,0,0,0,0,0,0,0,0
EL_380702,Αλυζίας,4578,3014,41,11,1421,1127,125,168,70,22,1,3,5,4,1,2,1,5,3,3,1,0,0,0,0,0,0,0
EL_380303,Παλαίρου,4802,3326,33,25,1518,1349,66,152,124,30,2,3,5,11,2,2,1,1,1,1,0,0,0,0,0,0,0,0
EL_380209,Παρακαμπυλίων,4408,2808,64,11,1430,1050,64,75,48,26,7,4,7,6,3,2,2,5,2,2,0,0,0,0,0,0,0,0
EL_380401,Αμφιλοχίας,13457,9664,127,27,5050,3271,306,509,183,91,11,13,38,11,5,6,5,3,4,3,1,0,0,0,0,0,0,0
EL_380205,Μακρυνείας,5730,4283,87,13,1790,1932,92,225,66,28,9,3,17,6,5,2,5,1,0,0,2,0,0,0,0,0,0,0
EL_380604,Πλατάνου,4309,1273,12,3,659,440,35,55,36,10,3,2,10,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0
EL_380301,Ανακτορίου,8696,6443,101,18,2831,2280,170,769,166,49,9,11,3,9,7,4,2,5,4,4,1,0,0,0,0,0,0,0
EL_380302,Μεδεώνος,6062,4175,57,18,2079,1631,104,148,57,31,2,5,12,12,2,2,3,5,3,3,1,0,0,0,0,0,0,0
EL_380605,Πυλλήνης,3037,1814,13,6,909,653,49,94,52,18,7,1,7,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
EL_380602,Αντιρρίου,2847,2340,30,13,1206,729,65,136,88,36,12,6,8,4,3,2,0,1,0,1,0,0,0,0,0,0,0,0
EL_380403,Μενιδίου,3203,2154,37,8,1040,817,55,90,54,16,2,3,11,4,3,1,6,1,1,5,0,0,0,0,0,0,0,0
EL_380210,Στράτου,7017,5566,72,14,2838,1989,112,356,105,35,6,7,8,6,3,5,4,1,3,2,0,0,0,0,0,0,0,0
