gisco_id,name,registered,turnout,invalid,blank,PARTIDO SOCIALISTA OBRERO ESPAÑOL,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,PARTIDO POPULAR,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,UNIÓN PROGRESO Y DEMOCRACIA,DEMOCRACIA NACIONAL,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,VOX,PODEMOS,RECORTES CERO-GRUPO VERDE,UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCA,POR UN MUNDO MÁS JUSTO,FALANGE ESPAÑOLA DE LAS JONS,PARTIDO LIBERTARIO,ESCAÑOS EN BLANCO,PARTIDO COMUNISTA OBRERO ESPAÑOL,CIUDADANOS PARTIDO DE LA CIUDADANÍA,UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES - CONVO,"CIUDADANOS, PARTIDO DE LA CIUDADANÍA",SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,CIUDADANOS LIBRES UNIDOS,ANDALUCES DE JAÉN UNIDOS,MÁLAGA POR SÍ,SOLUCIONA,"UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA, CHUNTA",PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGON,INDEPENDIENTES POR ARAGÓN,PODEMOS-Ahora Alto Aragón en Común,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN",PARTIDO POPULAR-FORO,PARTIDO HUMANISTA,EL PI - PROPOSTA PER LES ILLES,"UNITAT POPULAR BALEARS: IZQUIERDA UNIDA, UNIDAD PO",PARTIDO FAMILIA Y VIDA,MÉS,"CANARIAS DECIDE: LOS VERDES, UNIDAD DEL PUEBLO Y A",COALICIÓN CANARIA - PARTIDO NACIONALISTA CANARIO,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIAS,PARTIDO COMUNISTA DEL PUEBLO CANARIO,UNIDAD POPULAR: IZQUIERDA UNIDA. UNIDAD POPULAR EN,COALICIÓN CANARIA-PARTIDO NACIONALISTA CANARIO,"UNIDAD POPULAR: IZQUIERDA UNIDA CANARIA, UNIDAD PO",PARTIDO LIBERAL DE DERECHAS,PARTIDO ANIMALISTA-CONTRA EL MALTRATO ANIMAL,INICIATIVA FEMINISTA,PARTIDO REGIONALISTA DEL PAÍS LEONÉS,CIUDADANOS RURALES AGRUPADOS,CIUDADANOS DE CENTRO DEMOCRÁTICO,PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL,ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ,PARTIDO POPULAR/PARTIT POPULAR,UNIÓ DEMOCRÀTICA DE CATALUNYA,PARTIT DELS SOCIALISTES DE CATALUNYA,CIUTADANS-PARTIDO DE LA CIUDADANÍA,PARTIT COMUNISTA DEL POBLE DE CATALUNYA,DEMOCRÀCIA I LLIBERTAT. CONVERGÈNCIA. DEMÒCRATES.,"""EN COMÚ PODEM""",CIUTADANS - PARTIDO DE LA CIUDADANÍA,EN COMÚ PODEM,PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE),ESCONS EN BLANC/ESCAÑOS EN BLANCO,EXTREMADURA UNIDA-EXTREMEÑOS,UNIDAD POPULAR: IZQUIERDA UNIDA-UNIDAD POPULAR EN,PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE,PARTIDO ANIMALISTA CONTRA O MALTRATO ANIMAL,COMUNISTAS DA GALIZA,PARTIDO DA TERRA,NÓS-CANDIDATURA GALEGA (BNG-CG-FOGA-PCPG-PG),EN MAREA,COMUNISTAS DA GALIZA-PCPE,X A ESQUERDA,X LA IZQUIERDA-LOS VERDES,UNIÓN DEL PUEBLO NAVARRO EN COALICIÓN CON EL PARTI,GEROA BAI,"UNIDAD POPULAR-ORAIN BATERA:IZQUIERDA UNIDA, BATZA","LIBERTAD NAVARRA, LIBERTATE NAFARRA",EUSKAL HERRIA BILDU,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA (P,UNIDAD POPULAR- ORAIN BATERA:EZKER ANITZA-IZQUIERD,ESCAÑOS EN BLANCO - AULKI ZURIAK,ONGI ETORRI,PODEMOS-AHAL DUGU,LIBERTAD NAVARRA-LIBERTATE NAFARRA,PARTIDO POPULAR (PP),CIUDADANOS-PARTIDO DE LA CIUDADANÍA (C's),UNIÓN PROGRESO Y DEMOCRACIA (UPYD),EUSKAL HERRIA BILDU (EH Bildu),PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL (PACM,UNIDAD POPULAR-ORAIN BATERA:EZKER ANITZA-IZQUIERDA,"LIBERTAD NAVARRA, LIBERTATE NAFARRA (Ln)",PODEMOS/AHAL DUGU,ESCAÑOS EN BLANCO-AULKI ZURIAK,"JUSTIZIA SOCIAL, PARTICIPACIÓN CIUDADANA",EZKERRA-X LA IZQUIERDA,BIDEZKO MUNDURANTZ/POR UN MUNDO MÁS JUSTO,"UNIDAD POPULAR: UNIDAD POPULAR EN COMÚN, IZQUIERDA",MUERTE AL SISTEMA,"ARA, PAÍS VALENCIÀ","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, U",LOS VERDES-ECOPACIFISTAS,SOM VALENCIANS,COMPROMÍS-PODEMOS-ÉS EL MOMENT,FORO DEMÓCRATA,PARTIT COMUNISTA DELS POBLES D¿ESPANYA,"UNITAT POPULAR: ESQUERRA UNIDA DEL PAÍS VALENCIÀ,",AVANT VALENCIANS,EN POSITIU,UNIDAD POPULAR-IZQUIERDA UNIDA
ES_04001,Abla,1083,812,16,6,364,78,249,3,3,0,5,1,76,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04002,Abrucena,1063,765,5,1,379,73,212,0,1,0,3,2,77,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04003,Adra,17365,10931,101,57,3160,1315,4844,8,32,8,61,14,1096,9,265,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04004,Albanchez,421,314,2,2,129,35,96,1,0,0,1,1,30,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04005,Alboloduy,577,438,6,1,168,39,177,2,4,0,0,0,31,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04006,Albox,7016,4823,37,33,1700,701,1872,10,12,1,6,2,356,6,112,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04007,Alcolea,736,553,2,0,260,46,139,0,4,0,3,0,46,1,51,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04008,Alcóntar,501,420,5,3,127,32,230,0,0,0,0,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04009,Alcudia de Monteagud,169,127,1,0,33,11,58,0,2,0,0,0,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04010,Alhabia,579,469,5,2,255,59,97,1,1,0,4,0,35,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04011,Alhama de Almería,2798,2244,24,14,927,198,643,1,4,0,11,1,295,0,130,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
