gisco_id,name,registered,turnout,invalid,blank,CIUDADANOS-PARTIDO DE LA CIUDADANÍA,ESCAÑOS EN BLANCO,FALANGE ESPAÑOLA DE LAS JONS,IZQUIERDA ANTICAPITALISTA REVOLUCIONARIA,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,UNIDOS PODEMOS POR ANDALUCÍA,PARTIDO POPULAR,PARTIDO SOCIALISTA OBRERO ESPAÑOL,RECORTES CERO-GRUPO VERDE,UNIÓN PROGRESO Y DEMOCRACIA,VOX,PARTIDO LIBERTARIO,PARTIDO SOMOS ANDALUCES POR ANDALUCÍA Y LOS PUEBLO,PARTIDO COMUNISTA OBRERO ESPAÑOL,CIUDADANOS LIBRES UNIDOS,ENTABAN,MOVIMIENTO ARAGONÉS SOCIAL,UNIDOS PODEMOS EN ALTO ARAGÓN,PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGON,INDEPENDIENTES POR ARAGÓN,UNIDOS PODEMOS EN ARAGÓN,UNIÓN DE TODOS,PARTIDO HUMANISTA,UNIDOS PODEMOS/XUNÍOS PODEMOS,PARTIDO POPULAR-FORO,PARTIDO UNIONISTA ESTADO DE ESPAÑA,FAMILIA Y VIDA,UNITS PODEM MÉS,SOBIRANIA PER A LES ILLES,COALICIÓN CANARIA-PARTIDO NACIONALISTA CANARIO,JUNTOS POR CANARIAS,PARTIDO COMUNISTA DEL PUEBLO CANARIO,UNIDOS PODEMOS,PARTIDO SOCIALISTA OBRERO ESPAÑOL-NUEVA CANARIAS,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,UNIDAD DEL PUEBLO,LA FALANGE,INICIATIVA MERINDADES DE CASTILLA,ALIANZA DE CENTRO DEMOCRÁTICO,PARTIDO REGIONALISTA DEL PAÍS LEONÉS,UNIÓN DEL PUEBLO LEONÉS,CIUDADANOS DE CENTRO DEMOCRÁTICO-CANDIDATURA INDEP,CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA,"CIUTADANS, PARTIDO DE LA CIUDADANÍA",EN COMÚ PODEM-GUANYEM EL CANVI,ESQUERRA REPUBLICANA/CATALUNYA SÍ,PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL,PARTIT COMUNISTA DEL POBLE DE CATALUNYA,PARTIDO POPULAR/PARTIT POPULAR,PARTIT DELS SOCIALISTES DE CATALUNYA,CIUTADANS-PARTIDO DE LA CIUDADANÍA,PLATAFORMA PER CATALUNYA,BNG-NÓS CANDIDATURA GALEGA,PARTIDO ANIMALISTA CONTRA O MALTRATO ANIMAL,COMUNISTAS DA GALIZA,EN MAREA,PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE,COMUNISTAS DA GALIZA-PCPE,ESCANOS EN BRANCO,EUSKAL HERRIA BILDU,GEROA BAI,"LIBERTAD NAVARRA, LIBERTATE NAFARRA",UNIDOS PODEMOS-ELKARREKIN AHAL DUGU,UNIÓN DEL PUEBLO NAVARRO EN COALICIÓN CON EL PARTI,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,UNIDOS PODEMOS/ELKARREKIN AHAL DUGU,PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA(PSOE),ESCAÑOS EN BLANCO-AULKI ZURIAK,LA FUERZA DE LOS MAYORES DE ESPAÑA,HEGOALDE RIOJA-LIBERTAD NAVARRA,LOS VERDES-ECOPACIFISTAS,COMPROMÍS-PODEMOS-EUPV: A LA VALENCIANA,SOM VALENCIANS,CIUDADANOS DE CENTRO DEMOCRÁTICO,PARTIT COMUNISTA DELS POBLES D'ESPANYA,RENOVACIO POLITICA
ES_04001,Abla,1062,823,9,5,110,2,0,0,4,1,65,267,356,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04002,Abrucena,1039,748,8,2,93,2,3,0,3,0,79,212,342,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04003,Adra,17357,11157,82,64,1222,5,10,2,85,3,1071,5581,3007,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04004,Albanchez,425,329,0,0,42,0,0,0,1,0,44,105,136,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04005,Alboloduy,556,437,6,3,37,0,4,0,1,2,23,181,177,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04006,Albox,7022,4792,43,30,665,6,3,3,19,8,347,2161,1497,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04007,Alcolea,734,524,2,1,68,0,2,0,1,2,63,163,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04008,Alcóntar,505,423,6,5,23,0,0,0,2,0,20,261,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04009,Alcudia de Monteagud,162,123,1,2,13,0,0,0,0,0,15,62,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04010,Alhabia,576,444,1,3,50,0,0,0,2,0,35,120,232,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
