gisco_id,name,registered,turnout,invalid,blank,SPÖ,ÖVP,FPÖ,GRÜNE,LINKE,MARTIN
AT_10101,Eisenstadt,9111,4993,137,0,1269,2177,217,560,25,608
AT_10201,Rust,1438,1033,24,0,417,282,68,80,5,157
AT_10301,Breitenbrunn am Neusiedler See,1417,822,28,0,303,226,32,97,5,131
AT_10302,Donnerskirchen,1343,764,15,0,283,283,36,55,3,89
AT_10303,Großhöflein,1415,735,29,0,291,254,34,33,4,90
AT_10304,Hornstein,1959,1072,48,0,516,195,42,86,2,183
AT_10305,Klingenbach,914,642,12,0,376,179,11,18,0,46
AT_10306,Leithaprodersdorf,882,597,30,0,145,303,2,26,5,86
AT_10307,Mörbisch am See,1883,1035,22,0,454,244,110,68,3,134
AT_10308,Müllendorf,1004,596,14,0,258,186,26,43,0,69
AT_10309,Neufeld an der Leitha,2239,1552,41,0,813,235,61,126,5,271
AT_10310,Oggau am Neusiedler See,1488,1034,53,0,452,359,36,40,2,92
AT_10311,Oslip,1008,681,19,0,307,249,5,36,0,65
AT_10312,Purbach am Neusiedler See,2049,1234,28,0,469,449,49,67,6,166
AT_10313,Sankt Margarethen im Burgenland,2209,1227,48,0,471,487,39,44,4,134
AT_10314,Schützen am Gebirge,1137,700,29,0,223,338,34,24,0,52
AT_10315,Siegendorf,2060,1296,28,0,811,177,25,98,7,150
AT_10316,Steinbrunn,1537,1102,29,0,622,170,32,66,5,178
AT_10317,Trausdorf an der Wulka,1421,936,26,0,463,246,26,59,5,111
AT_10318,Wimpassing an der Leitha,884,402,9,0,161,120,25,21,0,66
AT_10319,Wulkaprodersdorf,1454,862,16,0,405,242,11,91,7,90
AT_10320,Loretto,312,205,9,0,57,86,5,7,0,41
AT_10321,Stotzing,615,342,9,0,155,127,2,10,0,39
AT_10322,Zillingtal,642,373,10,0,186,104,8,26,0,39
AT_10323,Zagersdorf,749,488,14,0,268,157,2,23,1,23
AT_10401,Bocksdorf,657,380,11,0,191,114,7,17,0,40
AT_10402,Burgauberg-Neudauberg,1075,483,23,0,175,190,12,27,2,54
AT_10403,Eberau,785,540,9,0,130,321,7,20,0,53
AT_10404,Gerersdorf-Sulz,862,593,11,0,217,284,13,32,4,32
AT_10405,Güssing,3140,1621,41,0,497,743,50,120,5,165
AT_10406,Güttenbach,790,541,21,0,178,268,7,17,0,50
AT_10407,Heiligenbrunn,762,499,26,0,119,293,8,14,1,38
AT_10408,Kukmirn,1623,874,24,0,311,344,49,39,6,101
AT_10409,Neuberg im Burgenland,837,434,8,0,172,152,6,23,0,73
AT_10410,Neustift bei Güssing,447,259,8,0,147,47,12,7,3,35
AT_10411,Olbendorf,1170,671,17,0,403,95,44,34,5,73
AT_10412,Ollersdorf im Burgenland,818,535,13,0,242,187,21,19,4,49
AT_10413,Sankt Michael im Burgenland,884,492,20,0,161,206,21,21,1,62
AT_10414,Stegersbach,1902,1007,29,0,497,285,41,45,3,107
AT_10415,Stinatz,1016,725,16,0,452,145,10,43,3,56
AT_10416,Strem,762,460,19,0,84,273,13,15,1,55
AT_10417,Tobaj,1134,575,27,0,151,284,12,16,1,84
AT_10418,Hackerberg,296,216,13,0,78,93,8,8,0,16
AT_10419,Wörterberg,374,251,8,0,103,98,7,14,1,20
AT_10420,Großmürbisch,216,129,3,0,49,64,1,3,0,9
AT_10421,Inzenhof,276,149,5,0,77,36,4,4,0,23
AT_10422,Kleinmürbisch,218,134,2,0,56,59,2,1,0,14
AT_10423,Tschanigraben,61,35,0,0,28,2,0,1,0,4
AT_10424,Heugraben,210,167,7,0,57,80,8,3,1,11
AT_10425,Rohr im Burgenland,334,192,13,0,76,72,6,4,1,20
AT_10426,Bildein,288,243,7,0,45,155,9,11,1,15
AT_10427,Rauchwart,387,253,8,0,144,63,6,8,1,23
AT_10428,Moschendorf,367,302,14,0,74,164,11,9,0,30
AT_10501,Deutsch Kaltenbrunn,1438,593,24,0,289,132,19,45,1,83
AT_10502,Eltendorf,816,475,20,0,159,175,37,27,0,57
AT_10503,Heiligenkreuz im Lafnitztal,1020,521,11,0,189,179,44,34,1,63
AT_10504,Jennersdorf,3373,1482,78,0,382,621,76,125,12,188
AT_10505,Minihof-Liebau,930,376,4,0,177,108,16,13,6,52
AT_10506,Mogersdorf,979,461,10,0,229,126,16,20,5,55
AT_10507,Neuhaus am Klausenbach,843,382,17,0,116,165,14,15,3,52
AT_10508,Rudersdorf,1704,793,21,0,279,285,33,65,5,105
AT_10509,Sankt Martin an der Raab,1716,976,29,0,367,378,34,56,2,110
AT_10510,Weichselbaum,648,269,6,0,100,129,10,8,0,16
AT_10511,Königsdorf,636,300,6,0,125,106,13,13,3,34
AT_10512,Mühlgraben,331,148,4,0,89,31,6,5,0,13
AT_10601,Draßburg,862,611,13,0,429,87,9,23,2,48
AT_10602,Forchtenstein,2172,1098,17,0,505,347,33,33,4,159
AT_10603,Hirm,696,496,14,0,351,45,9,24,4,49
AT_10604,Loipersbach im Burgenland,961,551,17,0,303,107,68,16,0,40
AT_10605,Marz,1515,889,24,0,375,332,35,43,0,80
AT_10606,Mattersburg,4840,2302,87,0,946,643,92,184,9,341
AT_10607,Neudörfl,2921,1510,56,0,774,279,57,101,3,240
AT_10608,Pöttelsdorf,518,294,3,0,116,117,14,11,0,33
AT_10609,Pöttsching,2132,1240,41,0,592,258,23,78,10,238
AT_10610,Rohrbach bei Mattersburg,2099,1254,43,0,693,320,39,29,3,127
AT_10611,Bad Sauerbrunn,1416,828,17,0,317,188,39,100,3,164
AT_10612,Schattendorf,1986,1203,38,0,767,186,41,50,2,119
AT_10613,Sieggraben,1043,519,15,0,217,215,10,17,1,44
AT_10614,Sigleß,892,579,21,0,305,127,10,54,1,61
AT_10615,Wiesen,2209,975,23,0,254,438,58,61,7,134
AT_10616,Antau,571,365,14,0,143,139,4,16,0,49
AT_10617,Baumgarten,684,494,14,0,294,103,12,24,1,46
AT_10618,Zemendorf-Stöttera,970,599,16,0,236,264,12,20,1,50
AT_10619,Krensdorf,469,317,11,0,144,107,7,5,4,39
AT_10701,Andau,2059,1385,34,0,829,323,34,31,0,134
AT_10702,Apetlon,1572,947,20,0,372,372,46,41,1,95
AT_10703,Bruckneudorf,2079,893,27,0,434,119,34,101,3,175
AT_10704,Deutsch Jahrndorf,451,285,7,0,100,95,41,10,1,31
AT_10705,Frauenkirchen,2227,1366,43,0,682,373,35,58,6,169
AT_10706,Gattendorf,937,500,13,0,209,167,39,8,6,58
AT_10707,Gols,2792,1384,43,0,569,338,151,69,3,211
AT_10708,Halbturn,1543,823,20,0,255,331,99,45,5,68
AT_10709,Illmitz,2023,1513,30,0,637,564,44,67,6,165
AT_10710,Jois,1062,673,23,0,247,268,17,40,5,73
AT_10711,Kittsee,1518,880,25,0,381,259,31,44,1,139
AT_10712,Mönchhof,1800,918,19,0,369,357,39,36,1,97
AT_10713,Neusiedl am See,4370,2206,56,0,591,886,80,293,12,288
AT_10714,Nickelsdorf,1225,727,23,0,322,133,44,72,7,126
AT_10715,Pama,811,581,11,0,274,235,6,14,0,41
AT_10716,Pamhagen,1434,792,18,0,333,304,26,33,5,73
AT_10717,Parndorf,2531,1113,29,0,642,204,29,68,10,131
AT_10718,Podersdorf am See,1610,1242,26,0,365,508,47,124,2,170
AT_10719,Sankt Andrä am Zicksee,1155,968,17,0,428,357,18,40,4,104
AT_10720,Tadten,1072,717,18,0,297,322,13,23,3,41
