gisco_id,name,registered,turnout,invalid,blank,ÖVP,SPÖ,FPÖ,GRÜNE,NEOS,KPÖ,EUROPA
AT_10101,Eisenstadt,10800,6292,100,0,2501,1366,966,790,485,31,53
AT_10199,Wahlkarten - Eisenstadt Stadt,0,1045,11,0,405,249,88,173,103,6,10
AT_10201,Rust,1597,956,26,0,336,287,175,62,53,9,8
AT_10299,Wahlkarten - Rust Stadt,0,168,3,0,38,51,26,39,8,3,0
AT_10301,Breitenbrunn am Neusiedler See,1611,1016,18,0,324,330,159,113,63,4,5
AT_10302,Donnerskirchen,1533,939,20,0,412,246,149,71,37,1,3
AT_10303,Großhöflein,1697,968,29,0,373,254,186,63,52,5,6
AT_10304,Hornstein,2385,1416,32,0,393,520,242,123,89,9,8
AT_10305,Klingenbach,903,587,17,0,175,291,58,26,14,1,5
AT_10306,Leithaprodersdorf,964,676,15,0,388,107,77,50,35,0,4
AT_10307,Mörbisch am See,1846,1111,23,0,326,416,216,71,46,4,9
AT_10308,Müllendorf,1143,760,24,0,234,260,106,59,62,2,13
AT_10309,Neufeld an der Leitha,2620,1706,41,0,426,619,348,130,114,8,20
AT_10310,Oggau am Neusiedler See,1482,1018,36,0,350,395,154,46,33,1,3
AT_10311,Oslip,1037,698,19,0,243,272,64,61,28,1,10
AT_10312,Purbach am Neusiedler See,2383,1362,29,0,518,346,246,132,82,3,6
AT_10313,Sankt Margarethen im Burgenland,2307,1464,47,0,641,364,253,93,54,1,11
AT_10314,Schützen am Gebirge,1127,766,27,0,350,218,103,33,30,2,3
AT_10315,Siegendorf,2262,1465,30,0,258,754,243,100,67,4,9
AT_10316,Steinbrunn,2084,1268,30,0,357,484,229,85,73,3,7
AT_10317,Trausdorf an der Wulka,1682,1053,21,0,338,398,154,73,52,4,13
AT_10318,Wimpassing an der Leitha,1210,686,14,0,225,162,167,55,54,2,7
AT_10319,Wulkaprodersdorf,1486,992,27,0,341,352,115,103,42,3,9
AT_10320,Loretto,415,246,1,0,94,70,51,16,10,1,3
AT_10321,Stotzing,650,396,13,0,174,112,54,15,22,2,4
AT_10322,Zillingtal,774,480,8,0,136,165,80,52,32,5,2
AT_10323,Zagersdorf,835,524,10,0,161,232,69,25,22,2,3
AT_10399,Wahlkarten - Eisenstadt - Umgebung,0,2512,26,0,792,832,347,301,178,16,20
AT_10401,Bocksdorf,682,432,3,0,120,170,93,24,18,3,1
AT_10402,Burgauberg-Neudauberg,1109,606,11,0,246,153,133,38,23,1,1
AT_10403,Eberau,721,463,13,0,253,87,72,10,24,1,3
AT_10404,Gerersdorf-Sulz,851,524,12,0,233,157,77,30,11,0,4
AT_10405,Güssing,2982,1671,36,0,656,514,288,89,76,4,8
AT_10406,Güttenbach,779,417,11,0,206,119,39,25,14,0,3
AT_10407,Heiligenbrunn,659,383,5,0,188,117,52,11,8,1,1
AT_10408,Kukmirn,1666,849,19,0,347,236,147,64,28,6,2
AT_10409,Neuberg im Burgenland,870,510,14,0,193,182,72,27,16,2,4
AT_10410,Neustift bei Güssing,415,257,3,0,47,130,49,17,11,0,0
AT_10411,Olbendorf,1206,754,17,0,161,331,170,42,23,3,7
AT_10412,Ollersdorf im Burgenland,811,554,10,0,226,176,75,38,24,2,3
AT_10413,Sankt Michael im Burgenland,815,521,6,0,232,146,91,24,15,0,7
AT_10414,Stegersbach,2098,1228,28,0,413,408,228,77,62,5,7
AT_10415,Stinatz,949,600,16,0,163,324,33,29,28,5,2
AT_10416,Strem,796,475,10,0,284,79,67,17,12,3,3
AT_10417,Tobaj,1100,678,10,0,311,148,150,26,26,2,5
AT_10418,Hackerberg,300,172,5,0,76,56,25,6,0,1,3
AT_10419,Wörterberg,405,258,4,0,98,75,36,24,17,1,3
AT_10420,Großmürbisch,223,141,1,0,73,48,11,5,3,0,0
AT_10421,Inzenhof,270,179,5,0,56,89,23,3,3,0,0
AT_10422,Kleinmürbisch,205,112,1,0,46,41,20,2,1,1,0
AT_10423,Tschanigraben,58,38,0,0,6,26,6,0,0,0,0
AT_10424,Heugraben,194,146,4,0,63,44,31,3,1,0,0
AT_10425,Rohr im Burgenland,328,169,1,0,60,61,32,9,5,1,0
AT_10426,Bildein,290,226,10,0,135,33,31,11,6,0,0
AT_10427,Rauchwart,369,279,8,0,50,126,77,13,4,0,1
AT_10428,Moschendorf,330,224,4,0,115,61,26,11,7,0,0
AT_10499,Wahlkarten - Güssing,0,1646,12,0,539,600,191,179,105,14,6
AT_10501,Deutsch Kaltenbrunn,1474,765,12,0,226,256,154,65,40,1,11
AT_10502,Eltendorf,801,450,14,0,160,128,95,28,25,0,0
AT_10503,Heiligenkreuz im Lafnitztal,973,508,12,0,205,150,109,25,5,0,2
AT_10504,Jennersdorf,3467,1798,38,0,656,338,489,152,99,10,16
AT_10505,Minihof-Liebau,875,472,14,0,138,153,106,34,24,1,2
AT_10506,Mogersdorf,963,509,11,0,186,159,95,25,19,7,7
AT_10507,Neuhaus am Klausenbach,759,405,10,0,153,92,95,33,19,0,3
AT_10508,Rudersdorf,1832,972,17,0,394,243,158,86,57,12,5
AT_10509,Sankt Martin an der Raab,1719,1074,29,0,404,284,209,89,47,3,9
AT_10510,Weichselbaum,607,361,9,0,160,81,70,21,10,5,5
AT_10511,Königsdorf,620,343,3,0,132,100,74,24,9,0,1
AT_10512,Mühlgraben,338,180,11,0,36,89,25,15,4,0,0
AT_10599,Wahlkarten - Jennersdorf,0,916,9,0,315,265,139,124,53,5,6
AT_10601,Draßburg,947,616,15,0,127,344,74,32,18,5,1
AT_10602,Forchtenstein,2270,1219,27,0,446,370,246,61,63,2,4
